QUERY,PROCESSED?
Zee News Interview,1.0
Zee News News,1.0
Zee Hindustan Interview,1.0
Zee Hindustan News,1.0
Zee 24 Ghanta Interview,1.0
Zee 24 Ghanta News,1.0
Zee Tamil News Interview,1.0
Zee Tamil News News,1.0
Zee Salaam Interview,1.0
Zee Salaam News,1.0
Zee 24 Taas Interview,1.0
Zee 24 Taas News,1.0
Zee 24 Kalak Interview,1.0
Zee 24 Kalak News,1.0
Zee Telugu News Interview,1.0
Zee Telugu News News,1.0
Zee Odisha Interview,1.0
Zee Odisha News,1.0
Zee Punjab Haryana Himachal Interview,1.0
Zee Punjab Haryana Himachal News,1.0
TVE Internacional Interview,1.0
TVE Internacional News,1.0
Canal de las Estrellas Interview,1.0
Canal de las Estrellas News,1.0
FOROtv Interview,1.0
FOROtv News,1.0
Todo Noticias Interview,1.0
Todo Noticias News,1.0
Caracol Televisión Interview,1.0
Caracol Televisión News,1.0
Canal 24 Horas Interview,1.0
Canal 24 Horas News,1.0
CCTV-4 Interview,1.0
CCTV-4 News,1.0
CGTN Documentary Interview,1.0
CGTN Documentary News,1.0
Al Arabiya Interview,1.0
Al Arabiya News,1.0
LBC International Interview,1.0
LBC International News,1.0
Al Jazeera Interview,1.0
Al Jazeera News,1.0
Sahar TV Interview,1.0
Sahar TV News,1.0
i24NEWS Interview,1.0
i24NEWS News,1.0
Sky News Arabia Interview,1.0
Sky News Arabia News,1.0
Berita RTM Interview,1.0
Berita RTM News,1.0
Metro Globe Network Interview,1.0
Metro Globe Network News,1.0
TVRI World Interview,1.0
TVRI World News,1.0
Pakistan Television Corporation Interview,1.0
Pakistan Television Corporation News,1.0
Thai Central Chinese Television Interview,1.0
Thai Central Chinese Television News,1.0
VTV4 Interview,1.0
VTV4 News,1.0
NHK General TV Interview,1.0
NHK General TV News,1.0
KBS News Interview,1.0
KBS News News,1.0
TTV News Interview,1.0
TTV News News,1.0
GMA News TV Interview,1.0
GMA News TV News,1.0
TRT Haber Interview,1.0
TRT Haber News,1.0
Nile TV International Interview,1.0
Nile TV International News,1.0
TV Brasil Interview,1.0
TV Brasil News,1.0
