,Frame Number,Rotation Vector
0,0.0,"[-0.41257699212455873, 0.31692677510320594, -3.0517467452093596]"
1,1.0,"[-0.41113732976174927, 0.3194826727559371, -3.052981464370623]"
2,2.0,"[-0.40955375345562434, 0.3025142792210381, -3.0635834277114435]"
3,3.0,"[-0.4034145502502318, 0.3003800373574815, -3.0664054437254498]"
4,4.0,"[-0.42154063357940796, 0.30442547908237305, -3.055920739727595]"
5,5.0,"[-0.423559891033876, 0.2945644870492101, -3.065341405872643]"
6,6.0,"[-0.43811932686074256, 0.275643247927896, -3.0526061368809128]"
7,7.0,"[-0.4547902804586941, 0.20748237335764425, -3.047405089530388]"
8,8.0,"[-0.4631015900209017, 0.19088787821258152, -3.0395616702937907]"
9,9.0,"[-0.47611278457646283, 0.17133294886250816, -3.0366221528507267]"
10,10.0,"[-0.4760916081400559, 0.17024988535361635, -3.0258792117416125]"
11,11.0,"[-0.4635217424046221, 0.15085102695597827, -3.0302252812919144]"
12,12.0,"[-0.46670257506859025, 0.13299297782567446, -3.0275117065688244]"
13,13.0,"[-0.4706980571723837, 0.11865007260485608, -3.0281331036655743]"
14,14.0,"[-0.43782846321052066, 0.12754250398343303, -3.0256795532334015]"
15,15.0,"[-0.46512586864901784, 0.13624858014472302, -3.0141724087510937]"
16,16.0,"[-0.4689001256016732, 0.14740945709764944, -3.022311553451466]"
17,17.0,"[-0.47866130319127315, 0.14356466328566728, -3.010385575558939]"
18,18.0,"[-0.4873305807112401, 0.1399245413653119, -3.010570954681483]"
19,19.0,"[-0.49086014644427234, 0.1418526208853171, -3.0022565982979184]"
20,20.0,"[-0.4721150844936624, 0.18038598019468702, -2.997217927922135]"
21,21.0,"[-0.4489716050332176, 0.12973982187761157, -3.007292795497986]"
22,22.0,"[-0.4773093656890533, 0.17802168824007486, -2.9900009677794177]"
23,23.0,"[-0.47239530991095036, 0.1711873736990125, -2.9913936599502002]"
24,24.0,"[-0.47091649466377533, 0.1335551190103131, -2.994932353263215]"
25,25.0,"[-0.5045954207392861, 0.1614349906179107, -2.981860510638148]"
26,26.0,"[-0.5015423897218924, 0.16735824514471967, -2.9846686005761827]"
27,27.0,"[-0.5130699994287639, 0.18812095216866534, -2.9681420469473254]"
28,28.0,"[-0.5128550778886231, 0.22823795551869916, -2.970170982061442]"
29,29.0,"[-0.49318048556253036, 0.2347906552108019, -2.988841908524656]"
30,30.0,"[-0.5072786374984755, 0.23087406731631593, -2.973287850826489]"
31,31.0,"[-0.4947606600983196, 0.24720801430512168, -2.986993531336396]"
32,32.0,"[-0.4984296366460476, 0.27937432601812257, -2.983250360032278]"
33,33.0,"[-0.49043007806933264, 0.285954876977801, -2.9685404864170803]"
34,34.0,"[-0.5078215495433084, 0.3180971031426638, -2.9555314627604488]"
35,35.0,"[-0.5056457156414552, 0.3273165193680171, -2.960860259602167]"
36,36.0,"[-0.5123977040288455, 0.29743405408945917, -2.959429767479138]"
37,37.0,"[-0.4951776336861137, 0.31077603923621716, -2.965067080127829]"
38,38.0,"[-0.5188495549165262, 0.32935230419054645, -2.9519737402779036]"
39,39.0,"[-0.5319122761091638, 0.3175221351445698, -2.9582002227729087]"
40,40.0,"[-0.5490380407405591, 0.2878071835678977, -2.9519719886841163]"
41,41.0,"[-0.5517049780142462, 0.27736369178338316, -2.947115655070982]"
42,42.0,"[-0.5363824737841999, 0.22453376559365928, -2.9560691179961034]"
43,43.0,"[-0.5349788144343195, 0.2370275034759005, -2.9510079297444265]"
44,44.0,"[-0.5280276106472954, 0.23564211859102338, -2.957711854603362]"
45,45.0,"[-0.541867577415032, 0.23846771301549477, -2.955857495807577]"
46,46.0,"[-0.5354869280542697, 0.21433981972697377, -2.966074249430709]"
47,47.0,"[-0.5481564850082042, 0.25226202069815123, -2.96134027616164]"
48,48.0,"[-0.5151121365335605, 0.26980381667142245, -2.9745049513839192]"
49,49.0,"[-0.5164054610916472, 0.2984307090120907, -2.980042994702824]"
50,50.0,"[-0.5283372738651088, 0.337699756465806, -2.971006120277548]"
51,51.0,"[-0.5263337670561581, 0.32676201999591103, -2.9643970901787626]"
52,52.0,"[-0.5305262755484469, 0.36778289996840496, -2.9518561146569415]"
53,53.0,"[-0.5220209212507956, 0.36235068226860107, -2.959808875621028]"
54,54.0,"[-0.5193969811748009, 0.3888535320334151, -2.9743852305375165]"
55,55.0,"[-0.5203988711233191, 0.3714721981603961, -2.955200124811333]"
56,56.0,"[-0.508523084175657, 0.37814379432796963, -2.9645335251396294]"
57,57.0,"[-0.49145447504098994, 0.40865681221506495, -2.9767118387162292]"
58,58.0,"[-0.4864356946084713, 0.3921141943574535, -2.974409269130632]"
59,59.0,"[-0.4849243025208716, 0.39180285815803184, -2.9743272843994495]"
60,60.0,"[-0.491744069640018, 0.3677500185606883, -2.9677796251187285]"
61,61.0,"[-0.5223894442134449, 0.36085024517987485, -2.9534358055168317]"
62,62.0,"[-0.5086837511277619, 0.3590023041751906, -2.960892771600021]"
63,63.0,"[-0.5129941294559547, 0.3575462431148711, -2.9606678048399195]"
64,64.0,"[-0.5011939807246666, 0.387259933522911, -2.9663392337949155]"
65,65.0,"[-0.5245592887237958, 0.363567181244437, -2.9577018588795894]"
66,66.0,"[-0.5199282771310069, 0.38021383635459743, -2.962699682072624]"
67,67.0,"[-0.5042202387613364, 0.41711538803977627, -2.9592481253991973]"
68,68.0,"[-0.5145891945484045, 0.3775350589692166, -2.962046375772445]"
69,69.0,"[-0.5185357356831424, 0.32761477057465616, -2.9590203551423326]"
70,70.0,"[-0.5116329733649588, 0.3126536094812013, -2.957320932388153]"
71,71.0,"[-0.49883574343659803, 0.31345339605202793, -2.9512188847018788]"
72,72.0,"[-0.4988194231622064, 0.2985957160695768, -2.950746217777285]"
73,73.0,"[-0.4954783884491829, 0.2990698271442199, -2.947479327241677]"
74,74.0,"[-0.49474265542357154, 0.29439417322099115, -2.9448344388021193]"
75,75.0,"[-0.4810473017242744, 0.2961973719863666, -2.952481013537763]"
76,76.0,"[-0.47820652632525135, 0.2780872597917532, -2.9602402886241763]"
77,77.0,"[-0.4930266038669683, 0.307589674256913, -2.9496222674366344]"
78,78.0,"[-0.49903015562873976, 0.31228125698763615, -2.9625502173560996]"
79,79.0,"[-0.49104622971042855, 0.3247253695659495, -2.9735045493414725]"
80,80.0,"[-0.49410348329665765, 0.322145037021402, -2.9755854291385972]"
81,81.0,"[-0.4936041543012165, 0.30690614845752473, -2.953979849364476]"
82,82.0,"[-0.49040748318124455, 0.27287776267420666, -2.956101803648763]"
83,83.0,"[-0.4761232851251292, 0.23813205632272968, -2.9515139742064895]"
84,84.0,"[-0.4690873136500534, 0.25125924365512436, -2.9385471327951276]"
85,85.0,"[-0.45403370993824776, 0.26728635810543894, -2.9424986334357626]"
86,86.0,"[-0.4559914238019186, 0.2783707702177802, -2.938103266468344]"
87,87.0,"[-0.4710418230714564, 0.282828309351648, -2.9377356379992317]"
88,88.0,"[-0.5063026651831609, 0.30531399150101757, -2.9324741958391893]"
89,89.0,"[-0.4859273046037873, 0.31649901988668416, -2.9402953488195327]"
90,90.0,"[-0.5133774399282379, 0.28378132583437304, -2.940511608375529]"
91,91.0,"[-0.5658320792221152, 0.27151422256643437, -2.9136382178710365]"
92,92.0,"[-0.5816086117948711, 0.2577357732847868, -2.907321846104312]"
93,93.0,"[-0.5878764211528914, 0.23855800524140341, -2.895733108673599]"
94,94.0,"[-0.5990391358061269, 0.2148547097731638, -2.882077871712865]"
95,95.0,"[-0.5945608600485276, 0.21853180823123042, -2.879050089798651]"
96,96.0,"[-0.5670238140990256, 0.2629002090562758, -2.879759771008949]"
97,97.0,"[-0.5432949568491945, 0.24551786806236744, -2.8925972648951945]"
98,98.0,"[-0.5062576342827771, 0.282150408605032, -2.9091654635730966]"
99,99.0,"[-0.5446235999213141, 0.3272865875470117, -2.907661835239531]"
100,100.0,"[-0.46652212808934584, 0.3730415736285504, -2.921177354369426]"
101,101.0,"[-0.468404739605495, 0.37114201185376167, -2.9348505871087935]"
102,102.0,"[-0.48016203487980247, 0.3464431554649404, -2.9469846289907236]"
103,103.0,"[-0.48224812958292773, 0.3382138928247652, -2.942351353355581]"
104,104.0,"[-0.4838039171365251, 0.34765159433248854, -2.9460431475549598]"
105,105.0,"[-0.482261360327107, 0.34978420835713064, -2.9550725836632177]"
106,106.0,"[-0.48473334816723185, 0.36427548580091806, -2.9511091519901966]"
107,107.0,"[-0.4736376037539103, 0.3525986220113348, -2.962527424718698]"
108,108.0,"[-0.47273530343283005, 0.35386651197486524, -2.95574408215408]"
109,109.0,"[-0.46812355272465345, 0.3486026657219374, -2.971753974016446]"
110,110.0,"[-0.49097975632761764, 0.35780945371354156, -2.9624004158288377]"
111,111.0,"[-0.4999170735056645, 0.3472448175242595, -2.9618871934714583]"
112,112.0,"[-0.5314747376246869, 0.33806697146698084, -2.952553872097602]"
113,113.0,"[-0.5356504036822265, 0.32777725995458507, -2.9392309024902086]"
114,114.0,"[-0.5474171914689405, 0.2558181226010004, -2.9320825842229956]"
115,115.0,"[-0.5669759287505304, 0.23628516153424045, -2.921666183844519]"
116,116.0,"[-0.5415644797391436, 0.2168678705454906, -2.925342916744117]"
117,117.0,"[-0.521945642831888, 0.16788916334400042, -2.9297682685275976]"
118,118.0,"[-0.5450410386095212, 0.18942272354486023, -2.9211667595079156]"
119,119.0,"[-0.5410504098623348, 0.1690768339070023, -2.925921542911196]"
120,120.0,"[-0.5264681969668313, 0.16667892362030118, -2.938239312836863]"
