,Frame Number,Rotation Vector
0,0.0,"[-0.7619188947641021, 0.16418161817746144, -3.1342102505960336]"
1,1.0,"[-0.739984285403977, 0.1812974720012087, -3.1301071304509445]"
2,2.0,"[-0.7339560355216912, 0.19054684546919373, -3.1491685279426833]"
3,3.0,"[-0.7722824417257486, 0.18270167499241702, -3.1632753769660082]"
4,4.0,"[-0.7585951355184548, 0.208553519239182, -3.155258865165746]"
5,5.0,"[-0.7815099191299545, 0.22281791770083134, -3.15951957183991]"
6,6.0,"[-0.7912832603995094, 0.18666452027526148, -3.1548179790981203]"
7,7.0,"[-0.7959806149941214, 0.18795831294373924, -3.1476073561170304]"
8,8.0,"[-0.7996075040841342, 0.18538724550917438, -3.142207393351608]"
9,9.0,"[-0.8092498426430194, 0.17118241711626198, -3.1333116787376167]"
10,10.0,"[-0.8123814447134372, 0.16407608880638483, -3.1291382034494974]"
11,11.0,"[-0.8201573798096911, 0.17392831464848338, -3.1332104918401718]"
12,12.0,"[-0.8260634257784317, 0.17883030337511896, -3.1343650921864876]"
13,13.0,"[-0.8318748193683893, 0.18604426078699632, -3.152332943378715]"
14,14.0,"[-0.8288601848330132, 0.1955171661881961, -3.1473536051124023]"
15,15.0,"[-0.8110377733922522, 0.1942584958181438, -3.134540887533791]"
16,16.0,"[-0.8170543296831563, 0.18875219769282686, -3.1369549456060715]"
17,17.0,"[-0.831048327862349, 0.18674051179121134, -3.1433040631034617]"
18,18.0,"[-0.8452032863415161, 0.19394977491449705, -3.1453085583797167]"
19,19.0,"[-0.8214030246015323, 0.1702834297522331, -3.12861142049455]"
20,20.0,"[-0.8156033010023441, 0.16144683544782346, -3.114656022714621]"
21,21.0,"[-0.824704892927038, 0.14352119892334725, -3.091670832659458]"
22,22.0,"[-0.8375325224687615, 0.14820822797067013, -3.088559560997245]"
23,23.0,"[-0.8361591503899721, 0.15659800048170922, -3.1039037776892515]"
24,24.0,"[-0.8479303407216975, 0.15881545783402426, -3.095295218013224]"
25,25.0,"[-0.860735924862171, 0.15536882911113528, -3.087551082213191]"
26,26.0,"[-0.8735105925796117, 0.16352259583256157, -3.085682531790652]"
27,27.0,"[-0.878534051760867, 0.16617915823046867, -3.08330670382]"
28,28.0,"[-0.8863987335991818, 0.161659724592474, -3.0760629385341907]"
29,29.0,"[-0.8993054162892753, 0.16196404694251676, -3.080195320886212]"
30,30.0,"[-0.9036818238369563, 0.16091480423359358, -3.076648960118102]"
31,31.0,"[-0.9058112695281857, 0.1672031136357375, -3.0715446140467826]"
32,32.0,"[-0.9073431913796818, 0.1728276341077297, -3.0708693494778787]"
33,33.0,"[-0.9226883786510396, 0.17689635114818322, -3.064985426736619]"
34,34.0,"[-0.9240895212699699, 0.16653372978654588, -3.0658183260365948]"
35,35.0,"[-0.9088937895070781, 0.17887943633969147, -3.0778482215053886]"
36,36.0,"[-0.9340693033208473, 0.1767771123016055, -3.0640606025372867]"
37,37.0,"[-0.9266188360458816, 0.1844796871279159, -3.063338285242672]"
38,38.0,"[-0.9370745704792468, 0.18694361221304537, -3.0632905463718854]"
39,39.0,"[-0.9338110494112029, 0.19131009457503448, -3.0631130252461585]"
40,40.0,"[-0.9274978085301786, 0.19235167731380923, -3.0679970595416206]"
41,41.0,"[-0.911934418956995, 0.19360228837720297, -3.0695064962991525]"
42,42.0,"[-0.9080469334664263, 0.19623461251224206, -3.0724372045242774]"
43,43.0,"[-0.9169563257093122, 0.19600884751009884, -3.0743968057255673]"
44,44.0,"[-0.9240210943108232, 0.19855770395175795, -3.082126536385332]"
45,45.0,"[-0.9329654245143396, 0.1951052407409568, -3.0779610090086384]"
46,46.0,"[-0.9245869372839155, 0.19703662266363692, -3.0865926859888613]"
47,47.0,"[-0.9211586152422672, 0.1887290399414763, -3.0908857814108854]"
48,48.0,"[-0.9299392283970449, 0.18327298378842888, -3.0805083910805786]"
49,49.0,"[-0.925929370284237, 0.18063394347460138, -3.0818032021729507]"
50,50.0,"[-0.9229512061784482, 0.18215504575296207, -3.0885268034758435]"
51,51.0,"[-0.9123027754615485, 0.18187540981886782, -3.0941645131392406]"
52,52.0,"[-0.9109214847420116, 0.1809073434143668, -3.093362091368052]"
53,53.0,"[-0.9074404760060616, 0.181013489253809, -3.0973156648650257]"
54,54.0,"[-0.9007898616533085, 0.1840874727642408, -3.108821663048777]"
55,55.0,"[-0.8848519700094111, 0.1913968774906945, -3.118228877205652]"
56,56.0,"[-0.8815648044743808, 0.2015110373250291, -3.1177487948014573]"
57,57.0,"[-0.8804147582814397, 0.2110656164444403, -3.117992465224746]"
58,58.0,"[-0.881510413135428, 0.2067312218415664, -3.1163608071305484]"
59,59.0,"[-0.8793754972687695, 0.20823246786754934, -3.1191134371344584]"
60,60.0,"[-0.8832381093264904, 0.20549143438664705, -3.117628198450024]"
61,61.0,"[-0.8847316880389342, 0.20988203237276287, -3.118648792998164]"
62,62.0,"[-0.8796541550304214, 0.20949403031795522, -3.126199665243225]"
63,63.0,"[-0.8806251859885192, 0.20966811742933922, -3.1181189450470512]"
64,64.0,"[-0.8855386352296427, 0.207655840284698, -3.1187876208676895]"
65,65.0,"[-0.8827529958159287, 0.20455063786561575, -3.116608137452313]"
66,66.0,"[-0.8802771529929941, 0.20428190247529218, -3.1166506803057383]"
67,67.0,"[-0.8832745736811534, 0.2047605115779584, -3.11653148418646]"
68,68.0,"[-0.7967935157148509, 0.31729077214552165, -3.1268663880554524]"
