,Frame Number,Rotation Vector
0,0.0,"[0.5170237502506655, 0.1645013730052476, -2.967170910227752]"
1,1.0,"[0.5436671103940888, 0.17207684293600262, -2.9663024874418564]"
2,2.0,"[0.5415519449961714, 0.1958132602376074, -2.964798829861134]"
3,3.0,"[0.5430182319512177, 0.20529787197438257, -2.9492609414578226]"
4,4.0,"[0.5453723474081854, 0.22179156806493827, -2.9401474587448027]"
5,5.0,"[0.5088061674444444, 0.22057078098846855, -2.945224228219462]"
6,6.0,"[0.5114747598410277, 0.20253171151381544, -2.9373733520633074]"
7,7.0,"[0.5155379048659685, 0.20290608008909602, -2.9375053335157815]"
8,8.0,"[0.5039633718635407, 0.19487584698139557, -2.9387311254061865]"
9,9.0,"[0.4886908546413585, 0.18128045518801833, -2.935110177028209]"
10,10.0,"[0.48090749949704836, 0.17086806044410793, -2.9256138519996284]"
11,11.0,"[0.4896076708159387, 0.15864257632360868, -2.915044009587428]"
12,12.0,"[0.5029540561255275, 0.16663044906890745, -2.9154719961406883]"
13,13.0,"[0.4940858962456676, 0.16369264275506534, -2.919862933353116]"
14,14.0,"[0.4998893318660546, 0.183272792817169, -2.922639947873801]"
15,15.0,"[0.5021752136954499, 0.17332543244330387, -2.9171408590479]"
16,16.0,"[0.5189555082965113, 0.17777410645829694, -2.9134961618862825]"
17,17.0,"[0.5219453963223704, 0.18015890422993563, -2.914292221732645]"
18,18.0,"[0.5273750572700475, 0.18642630307367966, -2.915904888335638]"
19,19.0,"[0.5266809988739041, 0.1945012952212187, -2.9253141529846576]"
20,20.0,"[0.5359720479196114, 0.188685497291879, -2.9270884843792215]"
21,21.0,"[0.513161962992411, 0.1782199276733154, -2.9226235828193112]"
22,22.0,"[0.49980163960138546, 0.17716341727805981, -2.9341703362225786]"
23,23.0,"[0.49601611486751956, 0.18621849282831124, -2.9504669437503077]"
24,24.0,"[0.49737052147379174, 0.18026587880945683, -2.950006923861296]"
25,25.0,"[0.5145683059624014, 0.18358540265879153, -2.9456693058753154]"
26,26.0,"[0.5461938273195444, 0.19744152159505118, -2.9447339030255106]"
27,27.0,"[0.5762763882202581, 0.2190605271757804, -2.930707832982412]"
28,28.0,"[0.6024322894920868, 0.2326473368547681, -2.9129260254060196]"
29,29.0,"[0.5750843922773671, 0.2288822152446435, -2.8957933205235378]"
30,30.0,"[0.6016750856693046, 0.2311694554961308, -2.9083589359647206]"
31,31.0,"[0.5988766450045141, 0.20082490531527677, -2.9218376751737845]"
32,32.0,"[0.615344092152765, 0.19157059429106496, -2.946718473909833]"
33,33.0,"[0.6184881423788232, 0.1723456931019222, -2.965702373491507]"
34,34.0,"[0.6146350887264718, 0.17195620934074354, -2.972809549798569]"
35,35.0,"[0.5966192449861353, 0.1629649749968628, -2.9760380473890096]"
36,36.0,"[0.5384655321982489, 0.1454895448870938, -3.005950631745815]"
37,37.0,"[0.5022847613648384, 0.1482804833338026, -3.0133826591554715]"
38,38.0,"[0.48435135960227454, 0.13164481975358286, -3.015363269745195]"
39,39.0,"[0.4536483318131616, 0.09866043825485817, -3.0196386098758268]"
40,40.0,"[0.4285100078859687, 0.0763414461624924, -3.0162783136072986]"
41,41.0,"[0.45795413878595176, 0.09786840221493105, -3.015160055234928]"
42,42.0,"[0.5610857749266875, 0.1656844045040015, -3.0080454791802196]"
43,43.0,"[0.5578207607177345, 0.1926691660199819, -3.0023265958036873]"
44,44.0,"[0.5798823094248452, 0.2189986025184868, -3.0135934127752932]"
45,45.0,"[0.6231820034181755, 0.2449153025996811, -2.99553184109048]"
46,46.0,"[0.6350417818381396, 0.2638517774518177, -2.9915687229340784]"
47,47.0,"[0.6391792132153653, 0.2725836197266322, -2.9591437402814322]"
48,48.0,"[0.6106264168959975, 0.27903880791575636, -2.958818735578286]"
49,49.0,"[0.6100080059037891, 0.28401398798124305, -2.944755592054064]"
50,50.0,"[0.5906513199440155, 0.2912555103068946, -2.94037739731497]"
