,Frame Number,Rotation Vector
0,0.0,"[0.4919360866685122, 0.04144096540317655, -2.9772155920602024]"
1,1.0,"[0.4886318309372964, 0.0950473344238528, -2.9744954964690495]"
2,2.0,"[0.5297455259675995, 0.09136673431338144, -2.9736373305040824]"
3,3.0,"[0.5550177512735044, 0.15962129191284205, -2.9851193074455966]"
4,4.0,"[0.5485660685680029, 0.1969466809886861, -3.0120642028349924]"
5,5.0,"[0.5569767532282917, 0.2162528944905442, -3.0394317741357444]"
6,6.0,"[0.5777805533857469, 0.23031284221085258, -3.0581723974694324]"
7,7.0,"[0.5453062329176577, 0.19599586898222252, -3.073151013985931]"
8,8.0,"[0.5681493252088536, 0.19869722520679634, -3.079389657385665]"
9,9.0,"[0.5740050825998267, 0.17498011514480627, -3.0798166332716725]"
10,10.0,"[0.5548306139133389, 0.1597710325938007, -3.0968543255675676]"
11,11.0,"[0.5175371313552773, 0.1806131059932313, -3.1137293371921557]"
12,12.0,"[0.5095778772455642, 0.1696868474058121, -3.1341810595623256]"
13,13.0,"[0.4878044444329541, 0.15288089507075983, -3.1666327322083836]"
14,14.0,"[0.4329917607076239, 0.1002469003964452, -3.249225836633328]"
15,15.0,"[0.43251465076585405, 0.11290473605871311, -3.2794791863359656]"
16,16.0,"[0.39629089539344076, 0.10337494147895758, -3.324410868599119]"
17,17.0,"[0.37087564463283695, 0.07649319880931096, -3.3334387352264363]"
18,18.0,"[0.3994000319932188, 0.07892412738548192, -3.3391520435459188]"
19,19.0,"[0.38582627598062946, 0.05190008175250996, -3.323493893202735]"
20,20.0,"[0.3540720966206657, 0.08672431560051164, -3.334159833296845]"
21,21.0,"[0.3745468381421547, 0.07093426661485906, -3.335522657075865]"
22,22.0,"[0.38170005902997917, 0.08323811249822535, -3.3441731309726963]"
23,23.0,"[0.3602662323642729, 0.07520219472119971, -3.3384318157461013]"
24,24.0,"[0.3526844643393858, 0.07827176169600092, -3.33305693977072]"
25,25.0,"[0.35067684380784003, 0.06651620088278828, -3.3255100323261657]"
26,26.0,"[0.33330917469764065, 0.06086054445121194, -3.3227055006180746]"
27,27.0,"[0.3490750983817727, 0.07515187547250694, -3.3355950367274088]"
28,28.0,"[0.37085981800393303, 0.0712097999439485, -3.3507532099476185]"
29,29.0,"[0.36692930066207463, 0.08017718387772146, -3.361223541637178]"
30,30.0,"[0.3899409973540183, 0.06705508598006314, -3.360828260897308]"
31,31.0,"[0.405489744642804, 0.08233393297378158, -3.3577475437001962]"
32,32.0,"[0.4047421260285412, 0.035729707032334086, -3.3372622370796714]"
33,33.0,"[0.4051544369712904, 0.02576432405735385, -3.340889728756129]"
34,34.0,"[0.4183349926280644, 0.0452304968109511, -3.3417792209627]"
35,35.0,"[0.4517264421416419, 0.04230139376851166, -3.309199483063498]"
36,36.0,"[0.47873856971467627, 0.04120191818391263, -3.2953224982247535]"
37,37.0,"[0.4821164144360664, 0.06074168076790189, -3.2956192839487337]"
38,38.0,"[0.49638062742075895, 0.0714075694140103, -3.277632795729652]"
39,39.0,"[0.4842145304520208, 0.07143650531074572, -3.2722352837969177]"
40,40.0,"[0.46680161780155, 0.0651206731164698, -3.2732784431586883]"
41,41.0,"[0.48054680352087215, 0.10043089043990018, -3.2812627384166357]"
42,42.0,"[0.48650041191202265, 0.10962549144281496, -3.271193907515358]"
43,43.0,"[0.4937407497583092, 0.12025071772732862, -3.2724575251619403]"
44,44.0,"[0.5176912031817527, 0.12637999964539845, -3.2618809060538445]"
45,45.0,"[0.5125060668375874, 0.11860099622409676, -3.270204067022475]"
46,46.0,"[0.5146895663761012, 0.1304099096432879, -3.2564245769240916]"
47,47.0,"[0.5088393194635691, 0.1369717794057314, -3.2655455689777737]"
48,48.0,"[0.4814183856163192, 0.11482029960279296, -3.259113462634874]"
49,49.0,"[0.49937197078522505, 0.12016102920648013, -3.2650097282219464]"
50,50.0,"[0.45100105803153256, 0.07010779420651438, -3.2441988030307187]"
51,51.0,"[0.43702695580382683, 0.059826965561174415, -3.2377716291226477]"
52,52.0,"[0.4469987881723924, 0.007855711065876316, -3.2417019140822587]"
53,53.0,"[0.4218691990373681, -0.05108865847931138, -3.1970309690416348]"
54,54.0,"[0.3256781014863844, -0.055224732341983204, -3.1967946469328017]"
55,55.0,"[0.21508023061868667, -0.054772816760882644, -3.2183982957902506]"
56,56.0,"[0.20207004516610028, -0.05680467911228896, -3.2097925880407616]"
57,57.0,"[0.22439769400485063, -0.07593144354796055, -3.179887861137775]"
58,58.0,"[0.24617319991695505, -0.0031056477967151327, -3.16286560660033]"
59,59.0,"[0.24245097320509815, 0.02306547764445281, -3.156260073097444]"
60,60.0,"[0.19491881928559388, 0.03890258846251308, -3.145468524836695]"
61,61.0,"[0.21274652056639426, 0.04146848291197078, -3.134401150351838]"
62,62.0,"[0.21307209428328394, 0.06386960241946119, -3.140157452745815]"
63,63.0,"[0.2572626277964058, 0.07204992692888398, -3.1437643875399774]"
64,64.0,"[0.28754947926299357, 0.07578879606305661, -3.1708412812873727]"
65,65.0,"[0.29632283034466544, 0.059125776258241565, -3.1790749087844543]"
66,66.0,"[0.32693919954220113, 0.05504994666109919, -3.173363863575357]"
67,67.0,"[0.35194473672849286, 0.06488723131484993, -3.167412689056762]"
68,68.0,"[0.3461679503282938, 0.06077035542418218, -3.159801506680071]"
69,69.0,"[0.3459838147857179, 0.04829613045113857, -3.16305886317402]"
70,70.0,"[0.33949088920799597, 0.05706396653451513, -3.1714292989776944]"
71,71.0,"[0.3463592985970201, 0.06189296389491827, -3.1799335625021152]"
72,72.0,"[0.35745037106843286, 0.08168505445035425, -3.218559314053868]"
73,73.0,"[0.36237218461785176, 0.11715095174010416, -3.2408969485550867]"
74,74.0,"[0.3787566767281838, 0.10494013238543193, -3.239895954840194]"
75,75.0,"[0.3702495953688493, 0.09226789007690331, -3.2196346193359204]"
76,76.0,"[0.43846766773286155, 0.0945760777294235, -3.243199399909386]"
77,77.0,"[0.5305364031251333, 0.10011110113823074, -3.2313797926287213]"
78,78.0,"[0.5621666891244534, 0.08547232182524071, -3.2345426110229782]"
79,79.0,"[0.5134686807831835, 0.098385088346598, -3.235542096481478]"
80,80.0,"[0.432038859302884, 0.1163997716058639, -3.206490780117781]"
81,81.0,"[0.4355302815770603, 0.13283067831674147, -3.2042025150720255]"
82,82.0,"[0.4239352773100049, 0.12205795864942391, -3.190280335386991]"
83,83.0,"[0.5113767224258574, 0.09352268631348422, -3.2243361934988983]"
84,84.0,"[0.3956736098363752, 0.09332099562401869, -3.204985236208336]"
85,85.0,"[0.4313168260816415, 0.1011448552651959, -3.2395788282018936]"
86,86.0,"[0.5012077687736758, 0.12474657774857496, -3.237814589935568]"
87,87.0,"[0.5568930405818496, 0.15280481539900395, -3.2526668148333595]"
88,88.0,"[0.5117925758085773, 0.24392413746566816, -3.2979266128700875]"
89,89.0,"[0.4890738627403129, 0.2283394998464212, -3.3041286827370953]"
90,90.0,"[0.39728080518236514, 0.19674012388473366, -3.309304037885168]"
91,91.0,"[0.438383356757888, 0.10879869374669641, -3.2760168971360826]"
92,92.0,"[0.4511434562042616, 0.11961717919257273, -3.2851379533966125]"
