,Frame Number,Rotation Vector
0,6.0,"[-0.4194209009058281, 0.12194950566401191, -2.946260666428691]"
1,7.0,"[-0.41840782852794234, 0.12672034341021698, -2.9498463664314287]"
2,8.0,"[-0.4183675671193433, 0.12136894008406188, -2.954739610367133]"
3,9.0,"[-0.41842623880108215, 0.1387966325805971, -2.9523568021251427]"
4,10.0,"[-0.42015943920928434, 0.13443515046030993, -2.9543803348077007]"
5,11.0,"[-0.4141196430192505, 0.1323252861523238, -2.9564541460152642]"
6,12.0,"[-0.4162630269389894, 0.12826086243981524, -2.9581389102720608]"
7,13.0,"[-0.4303669986168801, 0.1410860862451868, -2.950964813244807]"
8,14.0,"[-0.42843616678869884, 0.09541394603825898, -2.946341830425484]"
9,15.0,"[-0.43164924858602405, 0.0980386263326311, -2.9430849953262124]"
10,16.0,"[-0.42463685532883305, 0.1022938451645784, -2.948880868183263]"
11,17.0,"[-0.42173014573358375, 0.11083628858740047, -2.94764512548504]"
12,18.0,"[-0.4293260493350467, 0.11303851617165085, -2.93639446624752]"
13,19.0,"[-0.41792966730324405, 0.11013862550668012, -2.9389084508643015]"
14,20.0,"[-0.4222850834844577, 0.08943810818493948, -2.9244456259875253]"
15,21.0,"[-0.440133111935381, 0.08133841256786722, -2.917360229745927]"
16,22.0,"[-0.44383433896499463, 0.08938472870262472, -2.9052578928468975]"
17,23.0,"[-0.45224298067883645, 0.08214076267149846, -2.8995376768096626]"
18,24.0,"[-0.4332334799682497, 0.06194976573939032, -2.909004747690786]"
19,25.0,"[-0.4369850535716821, 0.03817664704489778, -2.90238825786441]"
20,26.0,"[-0.430426160367165, 0.05632131477522731, -2.898704502993657]"
21,27.0,"[-0.4289681155514778, 0.05371130354512882, -2.8880092252054697]"
22,28.0,"[-0.42318360545403333, 0.05444633170333942, -2.884802235115156]"
23,29.0,"[-0.4257421813183342, 0.05905009966853824, -2.882717134680212]"
24,30.0,"[-0.4284605703046973, 0.05953937633467532, -2.877741383086954]"
25,31.0,"[-0.43539744483664455, 0.05526865722280183, -2.8733077158130604]"
26,32.0,"[-0.4325638811019398, 0.06305825618439216, -2.8657923613903518]"
27,33.0,"[-0.4347615809574901, 0.07052235064714188, -2.86263810272353]"
28,34.0,"[-0.4339124861733145, 0.0822011152000011, -2.8618628906645616]"
29,35.0,"[-0.43247284015474124, 0.07749163259202348, -2.856218180535298]"
30,36.0,"[-0.4311565294588361, 0.04947698452011574, -2.8547167624837995]"
31,37.0,"[-0.4183922894969394, 0.06455567107099713, -2.859685710411132]"
32,38.0,"[-0.4301298821390854, 0.08838107321338008, -2.8529248046717792]"
33,39.0,"[-0.4306114965347928, 0.10257937576706151, -2.85534364330694]"
34,40.0,"[-0.4313302219477866, 0.10961903756512961, -2.8566355485390322]"
35,41.0,"[-0.43181171810410607, 0.10757947100731426, -2.854230337394138]"
36,42.0,"[-0.4273732790360248, 0.10414008382439541, -2.8577311765045086]"
37,43.0,"[-0.4191646593252954, 0.10329281230519761, -2.8596126347770556]"
38,44.0,"[-0.41375117892182867, 0.09784914070410843, -2.8624262139170016]"
39,45.0,"[-0.4133373310115596, 0.09322868322237195, -2.8582428404635123]"
40,46.0,"[-0.41718994085410616, 0.0945431066946266, -2.8513328467596426]"
41,47.0,"[-0.41268574406757286, 0.10003031077988418, -2.849983433887017]"
42,48.0,"[-0.4126995565555241, 0.10025879878752747, -2.8502050937513776]"
43,49.0,"[-0.41038350840245047, 0.10470755536292613, -2.8507450841364026]"
44,50.0,"[-0.41158440774307176, 0.09295131852562287, -2.852986468820096]"
45,51.0,"[-0.40094719184335403, 0.10268525288526746, -2.856422261373556]"
46,52.0,"[-0.4091774258169946, 0.11457748764489903, -2.8558785685801533]"
47,53.0,"[-0.4141839797214237, 0.128789750861683, -2.854472398205846]"
48,54.0,"[-0.4138201484777432, 0.1483814196491613, -2.858411894884293]"
49,55.0,"[-0.4031299014011102, 0.14705408926707464, -2.8625096221445845]"
50,56.0,"[-0.4122888775611525, 0.1273270112440339, -2.852475919296617]"
51,57.0,"[-0.422462178873698, 0.11095591649829756, -2.8517030885953756]"
52,58.0,"[-0.4135911656231539, 0.12546829678942115, -2.857046062832067]"
53,59.0,"[-0.40618743271145746, 0.14174445372508315, -2.865910212404293]"
54,60.0,"[-0.4109212119769567, 0.14561365682498145, -2.865085259133918]"
55,61.0,"[-0.42256755940384655, 0.14636787265969306, -2.86326969464811]"
56,62.0,"[-0.42966481236593806, 0.1459890706671902, -2.8608997532079026]"
57,63.0,"[-0.43543830018216567, 0.13593019744648988, -2.8636742512789506]"
58,64.0,"[-0.438595198275671, 0.12071371999436019, -2.8656663761209744]"
59,65.0,"[-0.43598454009034066, 0.1263335964482684, -2.8679342177772016]"
60,66.0,"[-0.442539532238026, 0.11337608616020499, -2.870421356395091]"
61,67.0,"[-0.45542373368868394, 0.09518451723563151, -2.8615939797635415]"
62,68.0,"[-0.4443691449970744, 0.08839296248281348, -2.865292554220603]"
63,69.0,"[-0.44234079180794966, 0.11655361029222866, -2.872374155548293]"
64,70.0,"[-0.4482316354624949, 0.10822129779518147, -2.8720963905191277]"
65,71.0,"[-0.45541876640673146, 0.09864327071707939, -2.868184543233335]"
66,72.0,"[-0.45692655121705306, 0.10515758415762518, -2.8694327308418597]"
67,73.0,"[-0.4655325312754382, 0.10331199257749714, -2.8677671713070327]"
68,74.0,"[-0.4636984715898342, 0.10119802805235628, -2.8675430624331297]"
69,75.0,"[-0.4643863280653752, 0.10208228616214711, -2.871570555969017]"
70,76.0,"[-0.45446570700335237, 0.09065176306684224, -2.869693443754492]"
71,77.0,"[-0.46048765608597636, 0.09013483807986, -2.8731930724800905]"
72,78.0,"[-0.46286536776455683, 0.09654274618049224, -2.8760077874300944]"
73,79.0,"[-0.4616025273126928, 0.09148789043105267, -2.8749998586273224]"
74,80.0,"[-0.4532510513928909, 0.09397681925957431, -2.8752862232412086]"
75,81.0,"[-0.4483973365128794, 0.10110865793000283, -2.879054612816366]"
76,82.0,"[-0.44812177960110694, 0.09628394939433053, -2.8798164880823327]"
77,83.0,"[-0.4388346908172334, 0.10384399854953978, -2.884271575446021]"
78,84.0,"[-0.4388492750957916, 0.09609523458961303, -2.8872832680087175]"
79,85.0,"[-0.45443908038660974, 0.0905094257752268, -2.8787201379774197]"
80,86.0,"[-0.4502696866890856, 0.10861521903510256, -2.877284916330643]"
81,87.0,"[-0.4516909947253549, 0.11316840498118898, -2.8783689724668156]"
82,88.0,"[-0.44667875017325925, 0.1093603170636782, -2.883892816352327]"
83,89.0,"[-0.4547650743399049, 0.11618372197765603, -2.881479706986933]"
84,90.0,"[-0.45329287659803547, 0.12197207804788623, -2.8807675902553616]"
85,91.0,"[-0.47919999383190226, 0.11937948727204375, -2.8772870923734044]"
86,92.0,"[-0.4804174858022166, 0.11716091990824647, -2.8789933364590024]"
87,93.0,"[-0.4908439527323377, 0.13495680481308722, -2.8748996503005584]"
88,94.0,"[-0.4888263596449104, 0.1298340587692029, -2.8779569091263677]"
89,95.0,"[-0.5156082561174434, 0.11404365816589278, -2.8745569462517593]"
90,96.0,"[-0.5122727063313622, 0.1184961398345316, -2.8762021436045546]"
91,97.0,"[-0.5270511415123863, 0.11310698811408429, -2.872835628858275]"
92,98.0,"[-0.5250268809344809, 0.0869520109667444, -2.873502710207449]"
93,99.0,"[-0.5221515542988617, 0.0821285527163003, -2.8717074359426866]"
94,100.0,"[-0.5154495846515332, 0.09281728003310107, -2.8772561434989217]"
95,101.0,"[-0.5223132344143248, 0.10547302518023659, -2.8763001313119676]"
96,102.0,"[-0.5174032049797443, 0.11545326882667112, -2.878461126217975]"
97,103.0,"[-0.5289540258492313, 0.12255764751485564, -2.876515108540141]"
98,104.0,"[-0.5314222263253546, 0.12467074839262395, -2.8786626542041165]"
99,105.0,"[-0.5404666053437794, 0.13285585058309088, -2.8723809338813684]"
100,106.0,"[-0.5298088763173219, 0.1273026681034941, -2.87787254027465]"
101,107.0,"[-0.5351184426440194, 0.12392114796383623, -2.8785627585292795]"
102,108.0,"[-0.5326941617117855, 0.12854592483684574, -2.8764502780312053]"
103,109.0,"[-0.5401322010838886, 0.12928209119170905, -2.874837623716828]"
104,110.0,"[-0.5387660746182793, 0.1276335304032134, -2.8756005779047045]"
105,111.0,"[-0.5396140363418308, 0.11804085645369364, -2.8751930608371405]"
106,112.0,"[-0.5260193910585674, 0.12431283403447621, -2.878916016317029]"
107,113.0,"[-0.5243895448518421, 0.12852163377158698, -2.8785511141770876]"
108,114.0,"[-0.5251178456711137, 0.13102876433041086, -2.877331476814299]"
109,115.0,"[-0.5320270342346576, 0.12820073391950015, -2.8757057470286287]"
110,116.0,"[-0.5284065922654915, 0.13057484384501394, -2.8760836334794613]"
111,117.0,"[-0.5314207456758105, 0.1274073138667971, -2.876660075180641]"
112,118.0,"[-0.5392627058315453, 0.12964606850146904, -2.8751851032839677]"
113,119.0,"[-0.527386048716303, 0.1265282140325104, -2.8772176637773983]"
114,120.0,"[-0.5309357418587975, 0.12380537685368546, -2.878713184195123]"
115,121.0,"[-0.5331127363339314, 0.08116843021769812, -2.8713111851161464]"
116,122.0,"[-0.5200091047948847, 0.06794750117418917, -2.8696965007137183]"
117,123.0,"[-0.517115613337586, 0.07712159126526806, -2.877663789436525]"
118,124.0,"[-0.5120393395052635, 0.09879998121383649, -2.8783101115699092]"
119,125.0,"[-0.519450448604295, 0.10780260892291313, -2.8871756784138336]"
120,126.0,"[-0.5216727826345742, 0.12202008498847534, -2.8999546356386725]"
121,127.0,"[-0.5286472573901464, 0.09261898306431732, -2.9187478331346646]"
122,128.0,"[-0.5631130651765914, 0.07596662559926252, -2.9432504431570905]"
123,129.0,"[-0.5675715863316635, 0.08866231561827766, -2.974379257795938]"
124,130.0,"[-0.5834945089042626, 0.10224252649086563, -2.988462805752562]"
125,131.0,"[-0.5949788095734013, 0.09810203819590112, -3.0156579482485197]"
126,132.0,"[-0.6119617913953073, 0.0934067052136957, -3.0315422893736423]"
127,133.0,"[-0.6253231564233408, 0.1021361671338524, -3.0398159437399563]"
128,134.0,"[-0.6255779269455249, 0.09615152550321245, -3.0449477680450947]"
129,135.0,"[-0.642737959474671, 0.09604122903755609, -3.049698615409246]"
130,136.0,"[-0.650383966641792, 0.08460526455582014, -3.0558562897531383]"
131,137.0,"[-0.6472397892695514, 0.07617854861831419, -3.0648148372751773]"
132,138.0,"[-0.6667887358984704, 0.08377709305398204, -3.0668175936503848]"
133,139.0,"[-0.676682753000627, 0.10395613034165883, -3.077101877601378]"
134,140.0,"[-0.7030371453805621, 0.10264483897960491, -3.0625314966188815]"
135,141.0,"[-0.7290576926285771, 0.0980215852308038, -3.056699303276291]"
136,142.0,"[-0.7464921140625457, 0.09205112352480053, -3.0543279503913454]"
137,143.0,"[-0.7983575928793297, 0.09870293093756699, -3.0301821678602385]"
138,144.0,"[-0.7948668783714865, 0.08247449668656527, -3.0474345555695748]"
139,145.0,"[-0.801657065972913, 0.0875482203657812, -3.045504974551161]"
140,146.0,"[-0.8146503972440624, 0.09363456052353433, -3.042945215597306]"
141,147.0,"[-0.8361760616507932, 0.11207116748051045, -3.0259046906761013]"
142,148.0,"[-0.8265961163171207, 0.11448727763737775, -3.029047394115498]"
143,149.0,"[-0.8220600676798132, 0.11657221512270086, -3.037264597259776]"
144,150.0,"[-0.8301336320356372, 0.11309543732925993, -3.027229138299921]"
145,151.0,"[-0.8328133604287219, 0.11377365141922871, -3.0228981135701303]"
146,152.0,"[-0.8393592786855495, 0.11420531763689404, -3.019711739763453]"
147,153.0,"[-0.8420358639141753, 0.12882122421429837, -3.0139244922318205]"
148,154.0,"[-0.8326135554918942, 0.13372866551482407, -3.012372134362534]"
149,155.0,"[-0.8137259545447673, 0.1197157021013702, -3.0083681307847736]"
150,156.0,"[-0.746625204448234, 0.1489392895049536, -3.030767935670318]"
151,157.0,"[-0.7011142150989009, 0.11884426968915092, -3.0417879895383555]"
152,158.0,"[-0.6701038026147829, 0.10721507363423513, -3.0466016226578025]"
153,159.0,"[-0.676919758356084, 0.11449704403538909, -3.041942594190655]"
154,160.0,"[-0.6946961545514436, 0.08904585918978238, -3.027099497571009]"
155,161.0,"[-0.6668071888292286, 0.08559079720813875, -3.033017074180715]"
156,162.0,"[-0.6512206539941633, 0.09635202611729526, -3.0185988141617526]"
157,163.0,"[-0.6157968689100215, 0.093135886699, -3.0145004922762593]"
158,164.0,"[-0.5753087626447599, 0.08775420509959272, -3.0276559457288115]"
159,165.0,"[-0.572726511400691, 0.08724225432653458, -3.015120052792342]"
160,166.0,"[-0.5642841888308301, 0.07638622724402033, -3.006163777181179]"
161,167.0,"[-0.5574956690454395, 0.07304618382730456, -2.994856010127354]"
162,168.0,"[-0.5602100969159933, 0.06493162150755923, -2.979805036301104]"
163,169.0,"[-0.5410313003641789, 0.06922180000946336, -2.980554603842195]"
164,170.0,"[-0.5000965211494378, 0.061839488616576295, -2.9803462762860167]"
165,171.0,"[-0.4416880816649986, 0.05808860358818233, -2.996639491848748]"
166,172.0,"[-0.39910627689821065, 0.035506797991310575, -3.0093711568086934]"
167,173.0,"[-0.3759395181149664, 0.02414084528768561, -3.0195553014787277]"
168,174.0,"[-0.39372053862591067, 0.030922976448198254, -3.0229727228386882]"
169,175.0,"[-0.3712753738882575, 0.044974384601346444, -3.0450258864156496]"
170,176.0,"[-0.3880782842267725, 0.05987663859532405, -3.056252683766917]"
171,177.0,"[-0.38114223544140746, 0.07940591237366176, -3.058917567745266]"
172,178.0,"[-0.4020439015073499, 0.08647034456249499, -3.0607335577641814]"
173,179.0,"[-0.3834438088245009, 0.07333808460271478, -3.0750080742764383]"
174,180.0,"[-0.4047842360742952, 0.06599837785649024, -3.064620464242124]"
175,181.0,"[-0.42568296069940126, 0.02626421555162645, -3.0541035837725974]"
