,Frame Number,Rotation Vector
0,0.0,"[-0.6279042607019966, -0.011473169181296134, -3.0938963449334893]"
1,1.0,"[-0.5914630093737452, 0.008327328898179477, -3.1150156515228384]"
2,2.0,"[-0.5862045983658664, 0.01512032972368687, -3.1161412409055282]"
3,3.0,"[-0.5503199298301465, 0.010254649105932762, -3.1345035541062085]"
4,4.0,"[-0.5488246972790669, -0.011063590843257653, -3.136825365862991]"
5,5.0,"[-0.5454026160298204, 0.01184349213616229, -3.14406797112544]"
6,6.0,"[-0.5135608193622104, 0.01091526081573351, -3.173562231497177]"
7,7.0,"[-0.5413988073780325, 0.009247084220032302, -3.1716878944190463]"
8,8.0,"[-0.5618041768579626, -0.04603691136318527, -3.152031670579629]"
9,9.0,"[-0.5734365445832885, -0.040781359058922516, -3.1489375872827763]"
10,10.0,"[-0.5927366614042864, -0.04548983214138214, -3.1362367019003172]"
11,11.0,"[-0.6338018753508371, -0.02914243309029826, -3.121824954239634]"
12,12.0,"[-0.6206054580978312, -0.04302541587618814, -3.1043346785299955]"
13,13.0,"[-0.666104323587246, -0.03810599422178659, -3.084066289287264]"
14,14.0,"[-0.6854517374007307, -0.021838073260585247, -3.078713263326613]"
15,15.0,"[-0.687793623761403, -0.03142929688365169, -3.0709909884574174]"
16,16.0,"[-0.6736256756513697, -0.03599696156810493, -3.071122679531706]"
17,17.0,"[-0.6336470689663921, -0.0257927753199498, -3.0754077205385517]"
18,18.0,"[-0.6331237172529838, -0.021977427087004203, -3.0739768747401652]"
19,19.0,"[-0.667509718843808, 0.02302038186434911, -3.09831602494012]"
20,20.0,"[-0.6861523879999306, 0.02452340891131793, -3.0872910834022713]"
21,21.0,"[-0.7177504529225653, 0.020945306693491116, -3.077605679601272]"
22,22.0,"[-0.7267268715348111, 0.017743476860950156, -3.0767472323416305]"
23,23.0,"[-0.7328422771188167, 0.025558864579517764, -3.0756088184444277]"
24,24.0,"[-0.7112110880080325, 0.03385701845630265, -3.0793804145063812]"
25,25.0,"[-0.7241306305023222, 0.026822368863642695, -3.078271974807662]"
26,26.0,"[-0.7332355019519486, 0.01390154087470364, -3.0527578980067354]"
27,27.0,"[-0.7357548593013327, 0.008719926757918045, -3.0444864826755693]"
28,28.0,"[-0.7532277283998581, 0.05183439240989656, -3.023652615605189]"
29,29.0,"[-0.7440102767849572, 0.011590905697741318, -3.0084859514686335]"
30,30.0,"[-0.7715619966623016, 0.023612810776992173, -2.980310951658348]"
31,31.0,"[-0.8157095817031965, -0.006813991880283901, -2.9513417366320414]"
32,32.0,"[-0.8309579826986263, 0.02769513983671487, -2.9409267224355955]"
33,33.0,"[-0.8418738819165976, 0.0277157149702211, -2.9365617241127775]"
34,34.0,"[-0.8422715884147949, 0.03409937083628526, -2.9361838214729206]"
35,35.0,"[-0.847815624923363, 0.03147289527493351, -2.93881065526016]"
36,36.0,"[-0.8474135680955242, 0.05719521631801441, -2.9441413137606878]"
37,37.0,"[-0.8483696883019737, 0.04733948330829505, -2.931987888407501]"
38,38.0,"[-0.8281442778352646, 0.018943414163437356, -2.956175096282569]"
39,39.0,"[-0.8427240047417573, 0.049932598359035456, -2.936963440383657]"
40,40.0,"[-0.8679649761741858, 0.06031245808477563, -2.916591153627802]"
41,41.0,"[-0.9037056220045002, 0.07015039688051959, -2.896269398996863]"
42,42.0,"[-0.9172292923695315, 0.07694869153959341, -2.883583353164754]"
43,43.0,"[-0.913885340927077, 0.08026717767611906, -2.881257586961258]"
44,44.0,"[-0.9040642893445422, 0.06761360417521571, -2.8849207794146032]"
45,45.0,"[-0.8977828670953886, 0.07411695904348534, -2.874278350523274]"
46,46.0,"[-0.8678901551377275, 0.07878415594122443, -2.8943291291909636]"
47,47.0,"[-0.861265743094157, 0.07820031708746335, -2.8997275342656867]"
48,48.0,"[-0.8501278283359399, 0.05219224511237586, -2.9159928186804276]"
49,49.0,"[-0.8550376831944542, 0.05153330755282017, -2.906258260286792]"
50,50.0,"[-0.8393848360435475, 0.056690569808467255, -2.9217478667035217]"
51,51.0,"[-0.8142350749914208, 0.05416074218400845, -2.942232082251992]"
52,52.0,"[-0.8248097580331444, 0.054905129131209644, -2.940937225073471]"
53,53.0,"[-0.8231022507749476, 0.05703075368265707, -2.947358341275911]"
54,54.0,"[-0.8183095583630875, 0.07697183946871954, -2.9429033637350583]"
55,55.0,"[-0.8109574304301174, 0.07036787693128169, -2.94782566722804]"
56,56.0,"[-0.8139252922774374, 0.07366178810779016, -2.942430012775882]"
57,57.0,"[-0.8177768046167374, 0.07893025792483115, -2.937107053564154]"
58,58.0,"[-0.7993399424279087, 0.06916031268425397, -2.945942448368177]"
59,59.0,"[-0.8036864142412458, 0.0736918786345434, -2.9452403307702077]"
60,60.0,"[-0.8024107069913059, 0.0740367727974634, -2.9480473139195653]"
61,61.0,"[-0.804016444892411, 0.09027581298504098, -2.946922364794087]"
62,62.0,"[-0.7993266160915399, 0.07116349410577155, -2.957130377064092]"
63,63.0,"[-0.8162069035026007, 0.05843013721714963, -2.955521670273175]"
64,64.0,"[-0.8166174668268623, 0.05965359417860028, -2.955046487839804]"
65,65.0,"[-0.8065721634936289, 0.04675149331322331, -2.9638183051147085]"
66,66.0,"[-0.7924650782380664, 0.0621907366454294, -2.9600796804674667]"
67,67.0,"[-0.7669389616171768, 0.007349151469246451, -2.9604773158681077]"
68,68.0,"[-0.7742412390347191, 0.003662159381074462, -2.978838929683422]"
69,69.0,"[-0.7392004077334455, -0.009339990305274402, -3.025509775551167]"
70,70.0,"[-0.7105494664736877, -0.006476802638898099, -3.0412291590922793]"
71,71.0,"[-0.7589259791602772, 0.0044950591126241505, -3.0235947110613184]"
72,72.0,"[-0.7748505124046132, -0.020587664272891302, -3.02610991086997]"
73,73.0,"[-0.7748433407469975, -0.00046075370084794863, -3.0340735709915116]"
74,74.0,"[-0.8264882832302717, 0.02016603886419837, -3.0141076160775824]"
75,75.0,"[-0.821604743066344, 0.04658469547871266, -3.0170180917900513]"
76,76.0,"[-0.8337254609060374, 0.061697930960180745, -3.0065556522837595]"
77,77.0,"[-0.8078259346230174, 0.056943466524214274, -2.9997665860916536]"
78,78.0,"[-0.811733440477594, 0.06803692382931431, -3.001917342762135]"
79,79.0,"[-0.8240889843380906, 0.050551298419547995, -2.9771421046842903]"
80,80.0,"[-0.8343998228503945, 0.04089847521360686, -2.9585321950010495]"
81,81.0,"[-0.8655176572665902, 0.061597201231383084, -2.93395039933982]"
82,82.0,"[-0.8758464993608162, 0.04917798546111213, -2.921963991800298]"
83,83.0,"[-0.8623974511200847, 0.04806622614707769, -2.915682637369119]"
84,84.0,"[-0.8661649090829536, 0.06183822025799721, -2.9195129419149533]"
85,85.0,"[-0.8609953063448965, 0.0617597099011127, -2.9325339601551756]"
86,86.0,"[-0.8523045679633555, 0.0762945383826562, -2.9364389183870254]"
87,87.0,"[-0.8246469459937794, 0.08297115064296778, -2.9454379325462132]"
88,88.0,"[-0.8151496724174093, 0.0790481985400094, -2.9417749979731593]"
89,89.0,"[-0.8154770000736775, 0.0841418574331258, -2.9413798806853215]"
90,90.0,"[-0.811207493315153, 0.09631207733913971, -2.944397036132326]"
91,91.0,"[-0.8113489328385931, 0.0952674193057138, -2.94613645235109]"
92,92.0,"[-0.8086332669865032, 0.08199049548490805, -2.9461742589837936]"
93,93.0,"[-0.8187609683074482, 0.08507566141126015, -2.943046373859629]"
94,94.0,"[-0.8071618026318437, 0.07905385984328353, -2.947512194014902]"
95,95.0,"[-0.8048527284918742, 0.07455748850478089, -2.9489482274753014]"
96,96.0,"[-0.8622119416308679, 0.06804775208257156, -2.9212370271304]"
97,97.0,"[-0.850886534488313, 0.07321492649712577, -2.9294222841627264]"
98,98.0,"[-0.8416259058196865, 0.07987008460712317, -2.9312029013053933]"
99,99.0,"[-0.7844701126297096, 0.07375702251497963, -2.955089394152473]"
100,100.0,"[-0.7698160268676667, 0.04807715091965519, -2.9735657505081434]"
101,101.0,"[-0.7696887449699118, 0.04673678431640676, -2.9735467357802134]"
102,102.0,"[-0.7694326021649267, 0.04667972012903359, -2.9740653284719363]"
103,103.0,"[-0.7627685277486433, 0.03424715549147908, -2.9769802780822334]"
104,104.0,"[-0.763245268109189, 0.03616495820469211, -2.97669290446679]"
105,105.0,"[-0.7696344817722988, 0.06022463187137567, -2.970130254881321]"
106,106.0,"[-0.768359404315828, 0.05386291989278867, -2.9696539730947342]"
107,107.0,"[-0.7847837501830456, 0.06727718319254908, -2.9607914136091393]"
108,108.0,"[-0.771728300269614, 0.04915217548964104, -2.9690279662249464]"
109,109.0,"[-0.7734838446840323, 0.05272542129825778, -2.9677440537100237]"
110,110.0,"[-0.7712379620278671, 0.054822920035166096, -2.9666150178367343]"
111,111.0,"[-0.7749181797066069, 0.04819329733189749, -2.9725298399332853]"
112,112.0,"[-0.7697986650582596, 0.0463167656316292, -2.9660629280597717]"
113,113.0,"[-0.7693871165788926, 0.04530498183321379, -2.966391691390252]"
114,114.0,"[-0.7636639570173063, 0.051205560580883526, -2.970882617665023]"
115,115.0,"[-0.7536639858718704, 0.03826431662936883, -2.9799679447379135]"
116,116.0,"[-0.760307406576679, 0.044737621122328174, -2.9784773782576166]"
117,117.0,"[-0.7562604878526065, 0.03654567810281007, -2.9831525443604527]"
118,118.0,"[-0.7665653492524169, 0.040197845548492116, -2.980287307583363]"
119,119.0,"[-0.778183628680561, 0.03701136060832786, -2.973948386660597]"
120,120.0,"[-0.8076553458416226, 0.05273187422250437, -2.9634912451335818]"
121,121.0,"[-0.7982812261999298, 0.05069151192090197, -2.968139622883967]"
122,122.0,"[-0.7954148811305249, 0.04776906324435023, -2.9674513284839996]"
123,123.0,"[-0.7995396245463036, 0.019714801454266268, -2.952154868191149]"
124,124.0,"[-0.8048461117173921, -0.012351000392024936, -2.951458438109533]"
125,125.0,"[-0.763649347675588, -0.061805506283736995, -2.9633458083534383]"
126,126.0,"[-0.7534452527366841, -0.06092826682908555, -2.968312655559963]"
127,127.0,"[-0.73825975926834, -0.030750780908996155, -2.9761453250750405]"
128,128.0,"[-0.7558020107891208, -0.024545543419358027, -2.9691521791279034]"
129,129.0,"[-0.7485263415175196, 0.001481378666286073, -2.9755728350360227]"
130,130.0,"[-0.7651137158787518, 0.008065555023533863, -2.961940329949591]"
131,131.0,"[-0.7568062651499273, 0.0016249821863109836, -2.971323146305973]"
132,132.0,"[-0.732020065023145, -0.0118016488212145, -2.9856430325385994]"
133,133.0,"[-0.7279529329036348, -0.001207644257270193, -2.991875125351642]"
134,134.0,"[-0.7234085467721474, -0.03589122844935007, -2.992093311679916]"
135,135.0,"[-0.7273325695673565, -0.01512435699470246, -2.9874127325205397]"
136,136.0,"[-0.7323326978951264, -0.01364861822433708, -2.9811845440709805]"
137,137.0,"[-0.7486493838668098, 0.006128317520648308, -2.970529485861129]"
138,138.0,"[-0.7421878016298477, -0.0017038335996123458, -2.9661372341016476]"
139,139.0,"[-0.7021024058617011, 0.0011506736011221573, -2.987187960925604]"
140,140.0,"[-0.7439790157474002, 0.024124128468105143, -2.963100766040685]"
141,141.0,"[-0.7210159692642779, 0.015248545217760283, -2.9826116022974203]"
142,142.0,"[-0.7359815755336373, 0.036230958412491764, -2.977905212574964]"
143,143.0,"[-0.730808679420856, 0.043535363499435584, -2.9920861511809442]"
144,144.0,"[-0.7361832150264711, 0.051459864697159755, -2.9864914970575804]"
145,145.0,"[-0.7222492064060918, 0.0532739590507319, -2.993693237215507]"
146,146.0,"[-0.7340688718569612, 0.03667818386499244, -2.9996434632112514]"
147,147.0,"[-0.7590785537934684, 0.040935128941253174, -2.990507356994128]"
148,148.0,"[-0.745062758059982, 0.029461502210787957, -3.000919510268353]"
149,149.0,"[-0.7539903501868428, 0.044758380669317456, -2.995932108115856]"
150,150.0,"[-0.7378729773528915, 0.04895067009551416, -2.9989744719465197]"
151,151.0,"[-0.7461833057447012, 0.06428002275368189, -3.000851446703565]"
152,152.0,"[-0.7682904638654412, 0.030042520839560004, -2.9924303394599865]"
153,153.0,"[-0.7617374351927255, 0.005832661072534978, -2.983756705358853]"
154,154.0,"[-0.7409879567191401, -0.011649479284519806, -3.001831924883525]"
155,155.0,"[-0.6464900459764275, -0.026770828963009863, -3.0506555435817537]"
156,156.0,"[-0.6003463702657763, -0.05421779538499089, -3.0624725388323677]"
157,157.0,"[-0.5631149757765568, -0.09443974055171998, -3.089699498737761]"
158,158.0,"[-0.5556948987206202, -0.09327654178563598, -3.0953410664661787]"
159,159.0,"[-0.5686772056652355, -0.06609548422393491, -3.1015959502410033]"
160,160.0,"[-0.6308036548041861, -0.034028684967529546, -3.083028866215576]"
161,161.0,"[-0.6407421329163476, -0.022698155510619624, -3.087215969721614]"
162,162.0,"[-0.6742409815450541, -0.015217440052186846, -3.0734171758969473]"
163,163.0,"[-0.6620808737619316, -0.033011137860828724, -3.060171503065365]"
164,164.0,"[-0.6779166099286444, -8.273353523477857e-05, -3.0638876995111923]"
165,165.0,"[-0.6911379437050579, 0.009208719498261929, -3.080529906254859]"
166,166.0,"[-0.7244973341617705, 0.0029143279039979906, -3.069087285241368]"
167,167.0,"[-0.7494913000335036, 0.026379895418854084, -3.0710332217524967]"
168,168.0,"[-0.7622970058707339, 0.03754059150366823, -3.0611436453321237]"
169,169.0,"[-0.7650255742150197, 0.048184448466893216, -3.056403487559362]"
170,170.0,"[-0.7663995038239029, 0.06190293494833379, -3.054429593774622]"
171,171.0,"[-0.7707783014563564, 0.0511534841481319, -3.0425025364314333]"
172,172.0,"[-0.796469544980988, 0.04823956019743221, -3.034496060726798]"
173,173.0,"[-0.7908534861048325, 0.05340000563663873, -3.0275439180365455]"
174,174.0,"[-0.8045443625273496, 0.029643886204610018, -3.011475620250772]"
175,175.0,"[-0.8208992189184937, 0.00011864511608170974, -2.9719211740973908]"
176,176.0,"[-0.8269251894570595, -0.00354617177174928, -2.9548220492299833]"
177,177.0,"[-0.8300701782931962, 0.010514098012237835, -2.956814423047694]"
178,178.0,"[-0.814562436547879, -0.002376136671925927, -2.9662988476028893]"
179,179.0,"[-0.8098443163128721, 0.009216418932562077, -2.9631460048935394]"
180,180.0,"[-0.8223089668444721, 0.004763614910715746, -2.959837085498102]"
181,181.0,"[-0.8102627790697825, -0.004303469858937602, -2.973001583361165]"
182,182.0,"[-0.8244099506438172, 0.017171527368115152, -2.9727763506016243]"
183,183.0,"[-0.8303074855323301, 0.024171954005857067, -2.9663934991074195]"
184,184.0,"[-0.8220892974866831, 0.02212890421706476, -2.9627219277976597]"
185,185.0,"[-0.8218046916779582, 0.029101731803141153, -2.9664383520849027]"
186,186.0,"[-0.8053331621119957, 0.026483596055562338, -2.976589188549251]"
187,187.0,"[-0.7961840636409194, 0.08271357337333833, -2.9759262841477088]"
188,188.0,"[-0.7935449912075082, 0.08088651966533868, -2.9832801713374213]"
189,189.0,"[-0.7497086360634219, 0.09026787570866499, -2.9940639214698423]"
190,190.0,"[-0.7966349580582524, 0.10388063158536805, -2.9901380045301087]"
191,191.0,"[-0.7916130349490906, 0.09760590768681437, -2.9899171098742077]"
192,192.0,"[-0.766134464060925, 0.07847492649384498, -3.001097844681351]"
193,193.0,"[-0.78352072569244, 0.09529127890567476, -2.9989822323046673]"
194,194.0,"[-0.8223984451236741, 0.077558625728076, -2.983664244641933]"
195,195.0,"[-0.7862168654664979, 0.09297478728834456, -3.0112452393809623]"
196,196.0,"[-0.7925586795360904, 0.08643725521822213, -3.0074062849281]"
197,197.0,"[-0.7720075694523532, 0.08013901970656002, -3.010190414951653]"
198,198.0,"[-0.795460837167734, 0.10320117240310396, -3.0009017151738537]"
199,199.0,"[-0.7687949412985453, 0.07394576979159236, -3.010035972814165]"
200,200.0,"[-0.7898981720148023, 0.0880401486863493, -3.00779509139789]"
201,201.0,"[-0.7896999934312028, 0.08967801967381879, -2.998906103247457]"
202,202.0,"[-0.7564828284191878, 0.08303508724608394, -3.001992979138921]"
203,203.0,"[-0.7651290656781361, 0.08293051748437771, -3.0012655197144196]"
204,204.0,"[-0.7666293554968483, 0.0897110886105058, -3.0004663751043408]"
205,205.0,"[-0.7672926175999797, 0.07302301367520701, -3.0035328586449754]"
206,206.0,"[-0.7801455250489046, 0.08618842489076582, -2.9970737700248824]"
207,207.0,"[-0.7940807868361263, 0.09268222710165375, -2.991924210647879]"
208,208.0,"[-0.807669682355987, 0.10649767384618399, -2.990189612822105]"
209,209.0,"[-0.7598476708191444, 0.12499012603190772, -2.995165207025218]"
