,Frame Number,Rotation Vector
0,0.0,"[0.23426558569000885, 0.48678119761893496, -3.373513352329298]"
1,1.0,"[0.199321916728306, 0.4874091910084875, -3.356483673679991]"
2,2.0,"[0.1907489113178385, 0.5057826338804797, -3.3466063164934554]"
3,3.0,"[0.21708683432497075, 0.523457586707927, -3.334128200240827]"
4,4.0,"[0.23186122923655614, 0.4784847514580334, -3.3456867076455143]"
5,5.0,"[0.25596591422535936, 0.45984596947449846, -3.3491726898820646]"
6,6.0,"[0.25063461586829866, 0.46443246800863164, -3.369679320191187]"
7,7.0,"[0.2465988002413707, 0.4353986427265387, -3.364391803639063]"
8,8.0,"[0.23342228537029694, 0.44413714361742734, -3.3625767661320585]"
9,9.0,"[0.2456091198925899, 0.432867614825218, -3.3656167823943353]"
10,10.0,"[0.24645932719489702, 0.4366851651388987, -3.36102127990423]"
11,11.0,"[0.24308260561247905, 0.4315779629989382, -3.3612408848281476]"
12,12.0,"[0.2419211976582791, 0.4412352076129707, -3.3617474315900697]"
13,13.0,"[0.23416227001940598, 0.43075974899629255, -3.3509262052889515]"
14,14.0,"[0.23323896594706955, 0.4238603936130843, -3.3433103534360895]"
15,15.0,"[0.2632975482807916, 0.4415617711873461, -3.340388378189616]"
16,16.0,"[0.2704925086408425, 0.4453523638894254, -3.337812594225905]"
17,17.0,"[0.3006299906488694, 0.42953698859412653, -3.327865352434689]"
18,18.0,"[0.40012266494476967, 0.3952027948819285, -3.341433970552678]"
19,19.0,"[0.4585222233257593, 0.34994235591813305, -3.337224609053818]"
20,20.0,"[0.460368354417044, 0.34321827284721973, -3.314864106689471]"
21,21.0,"[0.505960962564322, 0.34029883374220204, -3.2687444155038112]"
22,22.0,"[0.4965147528260145, 0.34995780271326193, -3.2174107798429703]"
23,23.0,"[0.5170274893334548, 0.33333500176792974, -3.1923594126619466]"
24,24.0,"[0.5241795809455494, 0.3335152023637722, -3.172496769724881]"
25,25.0,"[0.5101513313555854, 0.35342596856146596, -3.1486301957464207]"
26,26.0,"[0.5177342387409382, 0.365740759204539, -3.1387799226654973]"
27,27.0,"[0.542733713593669, 0.34356935160421037, -3.137268098258908]"
28,28.0,"[0.5737963487549762, 0.36532226282114916, -3.1423417876922013]"
29,29.0,"[0.6013705267022853, 0.3691490314794158, -3.1726303287216218]"
30,30.0,"[0.5898633886935643, 0.359360714101361, -3.183964484159344]"
31,31.0,"[0.5950628810504502, 0.3532007708409644, -3.1825525032410082]"
32,32.0,"[0.5867973752557591, 0.3461410487864741, -3.1963793329818495]"
33,33.0,"[0.5244000644298038, 0.34607244891941513, -3.177707890655269]"
34,34.0,"[0.5175946108935537, 0.34782658683804035, -3.1605672188839677]"
35,35.0,"[0.5286933056016964, 0.34842861621768534, -3.1594810054688467]"
36,36.0,"[0.5490770550038029, 0.3579998779030844, -3.1620493271530496]"
37,37.0,"[0.5455786753033006, 0.3651581784336718, -3.152285744315513]"
38,38.0,"[0.5504742989344252, 0.3609430644038481, -3.1552946404568605]"
39,39.0,"[0.5176123046961588, 0.3860995055428524, -3.1516239365376575]"
40,40.0,"[0.52560277653949, 0.39308785514899014, -3.1429818293901075]"
41,41.0,"[0.5316707403153655, 0.3844955822259714, -3.142799260476506]"
42,42.0,"[0.530719452432549, 0.37583215458963704, -3.1537112481203975]"
43,43.0,"[0.5292776902061287, 0.3791883056132259, -3.158105137273964]"
44,44.0,"[0.5288321413577283, 0.3884042973584423, -3.165284309746928]"
45,45.0,"[0.47796102130079676, 0.39356197653197655, -3.184223042343181]"
46,46.0,"[0.41048183625277285, 0.4413493780203886, -3.204761540634159]"
47,47.0,"[0.3148890979910293, 0.47048745688382126, -3.251188693039716]"
48,48.0,"[0.2608529788913186, 0.5086524994386418, -3.2892759518488384]"
49,49.0,"[0.15629490536415916, 0.47748783749129126, -3.307506532277141]"
50,50.0,"[0.07465619573789423, 0.45366079819437527, -3.3149017822666216]"
51,51.0,"[0.050409883392927624, 0.48109911306966546, -3.3158092836819795]"
52,52.0,"[0.04437373773499515, 0.5219682693121803, -3.311203228772652]"
53,53.0,"[0.021700268048223764, 0.5510251703882577, -3.312855889706374]"
54,54.0,"[0.025713226515720194, 0.5666522125718919, -3.326037978668035]"
55,55.0,"[0.026511915900130995, 0.5681207637344237, -3.3243226825958523]"
56,56.0,"[0.02185725097774008, 0.5866129838971132, -3.331966377133566]"
57,57.0,"[0.014760944594217625, 0.6082374950894424, -3.3424644986853522]"
58,58.0,"[0.013344835541309944, 0.62938866572259, -3.343834076707223]"
59,59.0,"[0.0031471737194194117, 0.6337486042294107, -3.3501896994344613]"
60,60.0,"[0.010353155694245107, 0.6356537950094606, -3.350755530234249]"
61,61.0,"[0.024528148364583172, 0.6388348948236905, -3.3532078428222554]"
62,62.0,"[0.023497944923594295, 0.633993432714476, -3.3560686545003797]"
63,63.0,"[0.005799187003193629, 0.6308058560717895, -3.3528219943090103]"
64,64.0,"[0.026147918407570515, 0.6313418282616331, -3.3546021775628385]"
65,65.0,"[0.03083641732309329, 0.6310852788941895, -3.352664625428655]"
66,66.0,"[0.01813772144129163, 0.6270332188179822, -3.351682993775652]"
67,67.0,"[0.028639884942494365, 0.6357533603013069, -3.351682553986311]"
68,68.0,"[0.027277740655345252, 0.6312346608423561, -3.3527061532024027]"
69,69.0,"[0.018490033293915478, 0.6258812517421856, -3.354585517669621]"
70,70.0,"[0.02291778572429382, 0.6291672346564452, -3.352797998652449]"
71,71.0,"[0.045920547995310854, 0.6188767349856198, -3.3530164428782485]"
72,72.0,"[0.04116619890577154, 0.6202130384297406, -3.352436331699961]"
73,73.0,"[0.016247860461754107, 0.5963144044084675, -3.3590677800138122]"
74,74.0,"[-0.006263801498662401, 0.6116403717930514, -3.3470928644078355]"
75,75.0,"[0.03984113387992105, 0.6051680056914687, -3.3436746020935546]"
76,76.0,"[0.05579555815136011, 0.6105889259406979, -3.3316452803349805]"
77,77.0,"[0.029677151458758946, 0.5933476207330505, -3.345523709866687]"
78,78.0,"[0.018215339619564258, 0.5977455239606247, -3.3524156005917183]"
79,79.0,"[0.003725336657760572, 0.5916873684359824, -3.353721685520379]"
80,80.0,"[0.02114052197001606, 0.5727084592528238, -3.34618508875354]"
81,81.0,"[0.033679315234506096, 0.5565802669484219, -3.3486739991954764]"
82,82.0,"[0.044169955764507614, 0.5328631169194046, -3.361187820021198]"
83,83.0,"[0.09548016635256694, 0.5280231254721486, -3.3643339382791324]"
84,84.0,"[0.10380979907090179, 0.5454034283396676, -3.354459981399227]"
85,85.0,"[0.10876364520913913, 0.5449400137770553, -3.3645169079119244]"
86,86.0,"[0.1087866298549171, 0.5445470269295586, -3.3671432138360977]"
87,87.0,"[0.11709510256752023, 0.5316266174110719, -3.367814729137126]"
88,88.0,"[0.12954785188535856, 0.5306536005298835, -3.3689118517516277]"
89,89.0,"[0.15648581441166665, 0.5139824500860595, -3.373567219157514]"
90,90.0,"[0.16966197207688682, 0.4986662189213309, -3.3750160184067495]"
91,91.0,"[0.1858062764578843, 0.500656183687019, -3.3858700281982412]"
92,92.0,"[0.20529239402982982, 0.4976889507889338, -3.383988103660587]"
93,93.0,"[0.19616148423450522, 0.4851783663023244, -3.3742004462795396]"
94,94.0,"[0.16226813353695022, 0.46940575267940116, -3.371876206697819]"
95,95.0,"[0.20904195267967118, 0.4010327625308756, -3.3502868058287607]"
96,96.0,"[0.21954896389595055, 0.38677935152646237, -3.3582919134326774]"
97,97.0,"[0.2704568744905828, 0.35671199062689596, -3.3360138789731426]"
98,98.0,"[0.33390413528930823, 0.3703270139570867, -3.346831064496132]"
99,99.0,"[0.3748120122725808, 0.38538219714322997, -3.338111895697676]"
100,100.0,"[0.4098953168865921, 0.4031797917371209, -3.3504114565795624]"
101,101.0,"[0.439792189709408, 0.42331624694682957, -3.352703288228495]"
102,102.0,"[0.4125944989771996, 0.41357366740309, -3.35042519722271]"
103,103.0,"[0.41873809312344773, 0.4369405554560447, -3.345926068695262]"
104,104.0,"[0.4175690123579057, 0.4300633008162154, -3.3468702935185264]"
105,105.0,"[0.4234370834249997, 0.4615953886955667, -3.3435611762908413]"
106,106.0,"[0.38954801985438126, 0.4969824395246613, -3.345107626665728]"
107,107.0,"[0.23067994612733503, 0.5493792981436383, -3.3635447870570725]"
108,108.0,"[0.17255745342907472, 0.54936411008502, -3.3509734631923003]"
109,109.0,"[0.1454493573583829, 0.58614991688335, -3.3431325030429404]"
110,110.0,"[0.18922162029252312, 0.6261230011847979, -3.349699776239985]"
111,111.0,"[0.18689065169472988, 0.6201567884240254, -3.354104768910174]"
112,112.0,"[0.2073806520711499, 0.6232515793201437, -3.3551639067813266]"
113,113.0,"[0.1994575066486704, 0.6118416964249305, -3.36342595586444]"
114,114.0,"[0.19145894457445026, 0.6099275347023511, -3.362613710185378]"
115,115.0,"[0.19639211945391044, 0.6012647949766308, -3.3726436446315566]"
116,116.0,"[0.17281131667320068, 0.5834997851696275, -3.3657895330614993]"
117,117.0,"[0.1775883280030169, 0.5684611100140899, -3.3655967750118183]"
118,118.0,"[0.1822077921936658, 0.5664841601472673, -3.364992538513261]"
119,119.0,"[0.2080346982626042, 0.5532029146515389, -3.373029369516328]"
120,120.0,"[0.22934776484797628, 0.5792198056982463, -3.3753028680806056]"
121,121.0,"[0.22943107535246512, 0.5799769140178611, -3.3788038810735523]"
122,122.0,"[0.19469373628340517, 0.5604216134879422, -3.369470480324771]"
123,123.0,"[0.24580114774682152, 0.5790121863279778, -3.3770693591734]"
124,124.0,"[0.266867780736684, 0.5858960611849466, -3.3718147135829395]"
125,125.0,"[0.2660364702241812, 0.5845543641973442, -3.368725449902309]"
126,126.0,"[0.2645054361123652, 0.569774280717265, -3.37409232208686]"
127,127.0,"[0.28022326927286656, 0.5385016515144578, -3.3800405186247913]"
128,128.0,"[0.28969805608033666, 0.516431371191802, -3.3702151668816973]"
129,129.0,"[0.278799176740411, 0.5018129542777974, -3.3686159349785694]"
130,130.0,"[0.2456106656858391, 0.5014482292185035, -3.36888011869115]"
131,131.0,"[0.3241936299158971, 0.4938332789006793, -3.356272520451755]"
132,132.0,"[0.3232494801030891, 0.48736314473281855, -3.365105870997756]"
133,133.0,"[0.324733398923951, 0.447230018072578, -3.374328458613914]"
134,134.0,"[0.3176633688414446, 0.4521360082350642, -3.366443899608684]"
135,135.0,"[0.27218890452261535, 0.4500498530532319, -3.3392626511407393]"
136,136.0,"[0.2790893914801217, 0.4295453043632023, -3.334717185506264]"
137,137.0,"[0.25221846541810805, 0.4451648518734693, -3.34180319788373]"
138,138.0,"[0.2923542681690419, 0.421896309502242, -3.344625297611818]"
139,139.0,"[0.2964901849220921, 0.41470842512130845, -3.3365290030711274]"
140,140.0,"[0.32556096286634767, 0.4149452073141219, -3.3440665916200234]"
141,141.0,"[0.3417633443139905, 0.442842823127966, -3.329671755427092]"
142,142.0,"[0.3700180269667693, 0.4255086992871712, -3.3317263271039796]"
143,143.0,"[0.38282735986799066, 0.4244912754215871, -3.3164300317561426]"
144,144.0,"[0.4025170540281817, 0.4208761464109592, -3.319232068187444]"
145,145.0,"[0.3923795187331151, 0.43075338215049375, -3.308916196688186]"
146,146.0,"[0.40273767807354005, 0.431809037595052, -3.308206698766674]"
147,147.0,"[0.4037812214168234, 0.4297498964442294, -3.310971391866703]"
148,148.0,"[0.3891674658439551, 0.4198025594533799, -3.31140047086048]"
149,149.0,"[0.3761868559332383, 0.41862163753834963, -3.310370482803585]"
150,150.0,"[0.36758694529465363, 0.4264979504648522, -3.320261001703351]"
151,151.0,"[0.35670733358696144, 0.40469801574740516, -3.3236955644877373]"
152,152.0,"[0.37549637498190436, 0.42554785473436413, -3.3149399627246594]"
153,153.0,"[0.396976218164371, 0.40262835843230615, -3.33704420957515]"
154,154.0,"[0.3946671678384581, 0.39647986943962044, -3.3349691157818793]"
155,155.0,"[0.4083138806323271, 0.3808227476660371, -3.338313239012876]"
156,156.0,"[0.381347315973585, 0.3854722473906251, -3.343155660180287]"
157,157.0,"[0.3414733860090296, 0.34283259611177624, -3.373470799912824]"
158,158.0,"[0.31888725812978663, 0.37398386763820973, -3.3795804243838288]"
