,Frame Number,Rotation Vector
0,0.0,"[-0.9573532806696411, 0.38880036752404007, -2.892274796688513]"
1,1.0,"[-0.9447493244306352, 0.372352380799611, -2.901021602059786]"
2,2.0,"[-0.9258658306956308, 0.38691211719696333, -2.920858319606263]"
3,3.0,"[-0.920110718946355, 0.37829362994539306, -2.9300728770246045]"
4,4.0,"[-0.9224956062870263, 0.39245390223669974, -2.93349229394865]"
5,5.0,"[-0.899858644426518, 0.3966307381802239, -2.9469168500654295]"
6,6.0,"[-0.905358681631656, 0.37985477623131636, -2.9468981424070266]"
7,7.0,"[-0.8323580963961167, 0.39475331655872775, -2.97454876660628]"
8,8.0,"[-0.8304017244537631, 0.39066460762355015, -2.9751280188709757]"
9,9.0,"[-0.7919098410864398, 0.3943955916596739, -2.9864496094634605]"
10,10.0,"[-0.7962191386538227, 0.3794817682889697, -2.988199605236828]"
11,11.0,"[-0.7976319616184124, 0.37401407487831534, -2.9901740848574936]"
12,12.0,"[-0.8050941307710165, 0.37702500060639754, -2.985943709609474]"
13,13.0,"[-0.795643004619343, 0.35069078525613046, -2.9865044854915546]"
14,14.0,"[-0.7674291086650621, 0.3261016136439141, -3.003999064033973]"
15,15.0,"[-0.7833242420990988, 0.3312495389183941, -2.9933346497761075]"
16,16.0,"[-0.779513019475017, 0.3209968576525924, -2.9922584596943373]"
17,17.0,"[-0.7791778920369796, 0.32061178313856387, -2.9816875390295023]"
18,18.0,"[-0.765287931376705, 0.29707991725661526, -2.9805198763689504]"
19,19.0,"[-0.7634776335533763, 0.28064132921677704, -2.9746066960248947]"
20,20.0,"[-0.7523089881945605, 0.26385723199034566, -2.978985986708914]"
21,21.0,"[-0.7391259087696506, 0.24187855092155963, -2.9762098146877825]"
22,22.0,"[-0.7277702411949973, 0.23585993729555663, -2.976142096845735]"
23,23.0,"[-0.7346537793971207, 0.2459338701749189, -2.9749178058700183]"
24,24.0,"[-0.767220225871825, 0.24737100248215646, -2.962873080160539]"
25,25.0,"[-0.7687201015564459, 0.2506818606671899, -2.956714774115023]"
26,26.0,"[-0.7812565945782421, 0.2702554162716037, -2.951580082300283]"
27,27.0,"[-0.7659504153087191, 0.2578407127508581, -2.957213802187251]"
28,28.0,"[-0.7829549244499353, 0.2556413023077904, -2.9481669324818625]"
29,29.0,"[-0.7856474100883357, 0.26863699451499545, -2.946588780584873]"
30,30.0,"[-0.7759670690833085, 0.26995422467277763, -2.949239761577489]"
31,31.0,"[-0.7721841205967287, 0.27382951593648214, -2.951822209875639]"
32,32.0,"[-0.8031555900306507, 0.2744608886355886, -2.936588642848362]"
33,33.0,"[-0.7856763953197491, 0.26995196745862116, -2.953156226754096]"
34,34.0,"[-0.8074259424913659, 0.27725516685138596, -2.944801672574998]"
35,35.0,"[-0.8262899095937007, 0.2614399256582345, -2.9413116446209697]"
36,36.0,"[-0.8008778644077296, 0.25560513249679667, -2.9469038604264575]"
37,37.0,"[-0.800646120447483, 0.25150266310546476, -2.9505551967833585]"
38,38.0,"[-0.8183588190751214, 0.2679728748278902, -2.9439358995327343]"
39,39.0,"[-0.8004325085160411, 0.28006421629617717, -2.9570502417232154]"
40,40.0,"[-0.843660230438179, 0.2972916166676393, -2.9474903527840404]"
41,41.0,"[-0.8668609591376316, 0.30028298811440646, -2.941830201874192]"
42,42.0,"[-0.8738164839673633, 0.2767340125131265, -2.944100006732493]"
43,43.0,"[-0.8659699463244943, 0.30113397100783296, -2.9320517913668636]"
44,44.0,"[-0.835086355190904, 0.31537935682266033, -2.9306701299477154]"
45,45.0,"[-0.8403107093158078, 0.3123553478070029, -2.9239911476992]"
46,46.0,"[-0.7965843905655267, 0.30263647555207124, -2.9397634143287585]"
47,47.0,"[-0.8047089737558253, 0.31305416434798106, -2.930535006344113]"
48,48.0,"[-0.8074154710608379, 0.3040032076524542, -2.9261824705819985]"
49,49.0,"[-0.7882058837349274, 0.3444276717349615, -2.927493812616813]"
50,50.0,"[-0.7663885056092544, 0.3256564978218979, -2.9456391758008316]"
51,51.0,"[-0.7780335341518094, 0.32424593306033966, -2.9370799226556117]"
52,52.0,"[-0.774886615785616, 0.3247182220189462, -2.9406241301517726]"
53,53.0,"[-0.8045503803331728, 0.3253464298427791, -2.9349567563105428]"
54,54.0,"[-0.7867955389710328, 0.3284079211876717, -2.940035355055621]"
55,55.0,"[-0.7709607016863651, 0.3334766029501523, -2.9460370311606487]"
56,56.0,"[-0.7794751441442888, 0.3385160575470766, -2.9418097563042664]"
57,57.0,"[-0.7600696075924782, 0.3449436825246525, -2.953182979122515]"
58,58.0,"[-0.751100635541779, 0.3584341406637414, -2.9525734859346797]"
59,59.0,"[-0.7506240380285615, 0.3463233264395997, -2.9602124018308236]"
60,60.0,"[-0.7464299897234452, 0.33708586699076437, -2.967694384420265]"
61,61.0,"[-0.7537152839677937, 0.3319643459432797, -2.964058541757736]"
62,62.0,"[-0.742268097077628, 0.35488131120003014, -2.9615338692557382]"
63,63.0,"[-0.7193299069900814, 0.34300409598077897, -2.9747078648724985]"
64,64.0,"[-0.7209321135096664, 0.323361244042297, -2.9753487278983717]"
65,65.0,"[-0.7250076126295092, 0.30797179741709174, -2.974644658558792]"
66,66.0,"[-0.7032525064587626, 0.32292805398317476, -2.979010457188805]"
67,67.0,"[-0.7148484054954456, 0.3277035705996732, -2.981462101982899]"
68,68.0,"[-0.705708955813355, 0.32995654520968276, -2.9835799642786474]"
69,69.0,"[-0.7171443200976826, 0.33949211371988286, -2.9799007489434297]"
70,70.0,"[-0.7047717403919282, 0.35914534361487455, -2.9857934607413488]"
71,71.0,"[-0.7087070657597742, 0.36287572639230514, -2.982526253948338]"
72,72.0,"[-0.7098904832187185, 0.357033421265644, -2.985410597858576]"
73,73.0,"[-0.6920213668010601, 0.3773697245265641, -2.9852089497198286]"
74,74.0,"[-0.666471893319996, 0.37695496935306355, -2.9985356013863065]"
75,75.0,"[-0.6896518364888866, 0.38283219217345943, -2.996036362464381]"
76,76.0,"[-0.6962710598158315, 0.39961686464493634, -2.9931517444602274]"
77,77.0,"[-0.694289152240683, 0.39099472254001044, -2.9871824590361307]"
78,78.0,"[-0.7280609745729538, 0.3741594718048985, -2.973483843469804]"
79,79.0,"[-0.8329867519255993, 0.38395460092517136, -2.9363550497387236]"
80,80.0,"[-0.877032430526862, 0.364760446846888, -2.9098052747924146]"
81,81.0,"[-0.8913270127788036, 0.3830916939657072, -2.8997286026858786]"
82,82.0,"[-0.8921715281936515, 0.3907876014565011, -2.895760830521334]"
83,83.0,"[-0.8952469977987306, 0.40621519234537773, -2.8996971890723904]"
84,84.0,"[-0.8736225398375496, 0.401301679977592, -2.8989208776169275]"
85,85.0,"[-0.8687619302925613, 0.3816935944518375, -2.9050797981670553]"
86,86.0,"[-0.8268743875591291, 0.35889916153259976, -2.929256909852877]"
87,87.0,"[-0.8193587726869548, 0.3544925889092616, -2.930205597463669]"
88,88.0,"[-0.8216372297841589, 0.35883403172350997, -2.916846488521067]"
89,89.0,"[-0.8223785354760612, 0.3738157834644852, -2.9156924438982488]"
90,90.0,"[-0.8170202498751605, 0.35646489019201194, -2.9255541011037525]"
91,91.0,"[-0.7989223764294172, 0.3433326567999245, -2.9338765224589234]"
92,92.0,"[-0.7905420394950502, 0.34010700523414944, -2.93911272838405]"
93,93.0,"[-0.7885327697288937, 0.3390319406895104, -2.934575630939792]"
94,94.0,"[-0.7668199144914766, 0.2841575785986547, -2.945694027793387]"
95,95.0,"[-0.7508363935008983, 0.2998616938319478, -2.958451307141957]"
96,96.0,"[-0.7346626986585835, 0.30138998867013816, -2.9652234434532545]"
97,97.0,"[-0.778139918332038, 0.2933720686815134, -2.9515335510821186]"
98,98.0,"[-0.7567653753017816, 0.29078881954575503, -2.960764516172687]"
99,99.0,"[-0.7506874004748735, 0.3022087014851592, -2.963381811167133]"
100,100.0,"[-0.7372965360442567, 0.2972431449910138, -2.9700039073312032]"
101,101.0,"[-0.7369567821975402, 0.323629448651882, -2.967681435460859]"
102,102.0,"[-0.7325255776986104, 0.30628285181774817, -2.968820140798851]"
103,103.0,"[-0.72226173633444, 0.2913618413878635, -2.9768009199327414]"
104,104.0,"[-0.7228811087561883, 0.2980918891578822, -2.9746884160592892]"
105,105.0,"[-0.725075844180755, 0.32564398434870334, -2.971554588209009]"
106,106.0,"[-0.7119256920943483, 0.31939319502812485, -2.9765915095285154]"
107,107.0,"[-0.7042869839245015, 0.2980703023348757, -2.9771455866422545]"
108,108.0,"[-0.7170405888997969, 0.27319512225502673, -2.9812225863284274]"
109,109.0,"[-0.6871057806082259, 0.3176644888383693, -2.9803257693998284]"
110,110.0,"[-0.6885315291607144, 0.2946148796720118, -2.9845545445329575]"
111,111.0,"[-0.6847102344448229, 0.32127023921256503, -2.9878271553729707]"
112,112.0,"[-0.7010281325229157, 0.30057219461996476, -2.992044066445064]"
113,113.0,"[-0.7012444509989173, 0.3088264286902924, -2.984030387069142]"
114,114.0,"[-0.6951607318933715, 0.29836892645617336, -2.9919888145436624]"
115,115.0,"[-0.6871349746216623, 0.28428496290051064, -2.99753736547995]"
116,116.0,"[-0.6901259476689365, 0.30494034077777904, -3.0029194742421694]"
117,117.0,"[-0.6709616303613007, 0.3244031336139325, -3.002568244597147]"
