,Frame Number,Rotation Vector
0,0.0,"[0.09289821040454814, 0.020706677887397572, -3.3636045916120367]"
1,1.0,"[0.08415970141820867, 0.027872535641293588, -3.3567393516246304]"
2,2.0,"[0.09310826545814756, 0.028088182445044567, -3.3604081020734884]"
3,3.0,"[0.127219306084128, 0.04002042406412494, -3.3628801121324305]"
4,4.0,"[0.1242310878146122, 0.04096058924911273, -3.361653012683313]"
5,5.0,"[0.14802283526500046, 0.03244218479557788, -3.3591605210036346]"
6,6.0,"[0.10678852774707402, 0.03597250466453327, -3.3665020384119506]"
7,7.0,"[0.11388959626817645, 0.019992399277434358, -3.372404113205821]"
8,8.0,"[0.12638287803417633, 0.023999828631678842, -3.3706447632526224]"
9,9.0,"[0.11140822767250869, 0.025338723594914358, -3.3661612927803097]"
10,10.0,"[0.16410189585655413, 0.04870049340034955, -3.323826010375782]"
11,11.0,"[0.11644039352384437, 0.024195547191868064, -3.3516015613934007]"
12,12.0,"[0.13513775229243336, 0.01972097900373816, -3.3464516141573672]"
13,13.0,"[0.14139449353954328, -0.004936203042430302, -3.353462530164097]"
14,14.0,"[0.1506330060022467, 0.0006641669767589003, -3.3474849842028505]"
15,15.0,"[0.16295315913698724, 0.020501766607064348, -3.3380693776045733]"
16,16.0,"[0.15378329237591398, 0.002919379089116195, -3.3531868205312216]"
17,17.0,"[0.13220848325794862, -0.0018741547125482993, -3.356969784549686]"
18,18.0,"[0.17002213759843518, 0.019573215241219667, -3.334833667937401]"
19,19.0,"[0.15130907998990567, 0.023733023814102264, -3.347022307264511]"
20,20.0,"[0.1691082390525712, 0.01127947180039976, -3.351773007303483]"
21,21.0,"[0.14082072279532867, 0.03760254184560281, -3.3421171841179635]"
22,22.0,"[0.1532737425650416, 0.0777424936200002, -3.318882907779733]"
23,23.0,"[0.16110983903616982, 0.08680065967760736, -3.3134944439041814]"
24,24.0,"[0.1672294812459731, 0.08627646398073549, -3.3123464146840518]"
25,25.0,"[0.15782761524904462, 0.0860188975510588, -3.3144072554979584]"
26,26.0,"[0.1433755782593548, 0.07012352719830418, -3.323449174214169]"
27,27.0,"[0.1407216683416588, 0.05267376776838534, -3.332190718244078]"
28,28.0,"[0.1389345729126447, 0.05366607210397896, -3.325412666833811]"
29,29.0,"[0.14074211705822612, 0.06808620262842574, -3.321895855956777]"
30,30.0,"[0.1350458750266198, 0.03295130661476407, -3.3411715668574558]"
31,31.0,"[0.04579826848809423, -0.05133260919806935, -3.3148517580982837]"
32,32.0,"[0.06683726439536086, -0.050098995606020345, -3.310140832587682]"
33,33.0,"[0.06661584767013624, -0.04089202932105167, -3.316538905388005]"
34,34.0,"[0.0570126580234624, -0.042365959862508254, -3.31629683292313]"
35,35.0,"[0.050040854412504, -0.02171168609411952, -3.313331291302864]"
36,36.0,"[0.036746208837637906, 0.00035044454592544384, -3.310323676825236]"
37,37.0,"[0.03995644450491586, 0.015465769636044705, -3.3098837542746105]"
38,38.0,"[0.05409368719252198, 0.06430518502701282, -3.289125840966257]"
39,39.0,"[0.05501490393055096, 0.16322974657106037, -3.289468265927315]"
40,40.0,"[0.04289774513289344, 0.24574904732069128, -3.2804112383591213]"
41,41.0,"[-0.012884605986659945, 0.25213437598013655, -3.2655476521795985]"
42,42.0,"[-0.06648169740902103, 0.25326111041416727, -3.2590668148265416]"
43,43.0,"[-0.11780571638416511, 0.26207198029888473, -3.235930097289731]"
44,44.0,"[-0.1518166926934814, 0.2912412284243898, -3.218512258414316]"
45,45.0,"[-0.2933029729345961, 0.33416066474810185, -3.1845034407121577]"
46,46.0,"[-0.37668385844618363, 0.3235065157065089, -3.1678899989191307]"
