,Frame Number,Rotation Vector
0,0.0,"[0.19999018924190562, 0.14769793723094013, -3.0764114122209665]"
1,1.0,"[0.1792028776684862, 0.15229699644926784, -3.076705684403765]"
2,2.0,"[0.19258794904150614, 0.16434876618356906, -3.061751465951202]"
3,3.0,"[0.17053849318522785, 0.17119888948370582, -3.0574232032523714]"
4,4.0,"[0.16348586502561477, 0.17267100472508007, -3.0753555013533824]"
5,5.0,"[0.1612163827813036, 0.16720042824760306, -3.074458437420741]"
6,6.0,"[0.1562393085610577, 0.15427653020962476, -3.0694030305060997]"
7,7.0,"[0.12271983765749561, 0.19004658748404468, -3.061128656822384]"
8,8.0,"[0.10911671130615296, 0.22403949607984258, -3.0622351785222706]"
9,9.0,"[0.11683276368753498, 0.2167910863432045, -3.066787198104047]"
10,10.0,"[0.13603200174978694, 0.19891537069269694, -3.0529690654104296]"
11,11.0,"[0.12337656665253206, 0.2111990164948028, -3.0567015901914436]"
12,12.0,"[0.12770325001557953, 0.20359127844684505, -3.0525939342832396]"
13,13.0,"[0.1528580969153384, 0.1991956884384501, -3.0427043839078984]"
14,14.0,"[0.16863649381673496, 0.1883408259519852, -3.047033708470162]"
15,15.0,"[0.1655026795648064, 0.19283904012919031, -3.0515591375785127]"
16,16.0,"[0.16851107621195127, 0.1877033689153987, -3.0462209051562663]"
17,17.0,"[0.145461636329363, 0.1893388354487739, -3.0475338078160212]"
18,18.0,"[0.15795289367874712, 0.2087737282630531, -3.0377581653889534]"
19,19.0,"[0.1668979083700521, 0.17849999709474854, -3.0454008478501495]"
20,20.0,"[0.18126497803574443, 0.16824759267917466, -3.040733316453312]"
21,21.0,"[0.22855240160871668, 0.11654530045616728, -3.05212560412477]"
22,22.0,"[0.2417870609993576, 0.11203497434529773, -3.041374808490397]"
23,23.0,"[0.25048606423492825, 0.13791466844178576, -3.0318054190643355]"
24,24.0,"[0.24070230412501828, 0.1609074432599449, -3.0244251619698765]"
25,25.0,"[0.2546958274332295, 0.17567933524491625, -3.02618749087103]"
26,26.0,"[0.2578486928349317, 0.21408157039359837, -3.031467599935041]"
