,Frame Number,Rotation Vector
0,0.0,"[-0.19715772800158443, 0.6006696578187571, -3.0912809967043198]"
1,1.0,"[-0.16675071482450765, 0.6290978691609884, -3.100896675801937]"
2,2.0,"[-0.1375379914019453, 0.6298986012536015, -3.102675275922191]"
3,3.0,"[-0.09726410235801491, 0.6612424367640561, -3.1055375415390394]"
4,4.0,"[-0.06751000063997437, 0.6496001849945144, -3.109706280324774]"
5,5.0,"[-0.055513862761218766, 0.6856465055397082, -3.0981325649209093]"
6,6.0,"[-0.049305319724486825, 0.666189522329806, -3.091126564546909]"
7,7.0,"[-0.03228493677145809, 0.6685822004720332, -3.0835399313442107]"
8,8.0,"[-0.009697790569729536, 0.6688281272230174, -3.090081107171485]"
9,9.0,"[-0.0350598044464295, 0.6829709421605615, -3.077579221130379]"
10,10.0,"[-0.0859591353769076, 0.685365286625215, -3.0839084857849643]"
11,11.0,"[-0.1279615728423785, 0.678291493116654, -3.0902270281390543]"
12,12.0,"[-0.13224471068359378, 0.6542247583396584, -3.087602051236521]"
13,13.0,"[-0.15111767333306322, 0.6819414706094785, -3.08471199427725]"
14,14.0,"[-0.15575945313889913, 0.6706327466051539, -3.07809153605246]"
15,15.0,"[-0.19017589284923925, 0.6254127377526238, -3.0829414291252557]"
16,16.0,"[-0.1706628838425461, 0.6287164455587536, -3.081869676038873]"
17,17.0,"[-0.18050208874737053, 0.6199114976381047, -3.0612889275907587]"
18,18.0,"[-0.19936369300733245, 0.6048553014314721, -3.052779176449534]"
19,19.0,"[-0.188432457210957, 0.599841447399686, -3.067860159364841]"
20,20.0,"[-0.18467148108675435, 0.6052812035732441, -3.0732709020267257]"
21,21.0,"[-0.1958483914909513, 0.6144270163602633, -3.0724217592772107]"
22,22.0,"[-0.21910038292821815, 0.5951835836565766, -3.077811096279366]"
23,23.0,"[-0.22168722686283887, 0.599303306097321, -3.0782682590597354]"
24,24.0,"[-0.25241545379936897, 0.6218558309217763, -3.0786127952651765]"
25,25.0,"[-0.3074365171806447, 0.6399620327736443, -3.0595569659820057]"
26,26.0,"[-0.40618399776980973, 0.6349418092267333, -3.04654570980277]"
27,27.0,"[-0.47937036119137316, 0.6085291978206254, -3.037233064364222]"
28,28.0,"[-0.5478709378978273, 0.6316071239323717, -3.022355796431339]"
29,29.0,"[-0.5477799818984936, 0.5878517834199074, -3.039429293832381]"
30,30.0,"[-0.523096475387682, 0.571226477229763, -3.048692125710418]"
31,31.0,"[-0.427466049738055, 0.5519611082375963, -3.0750162656671116]"
32,32.0,"[-0.3906749607087438, 0.5404247255262867, -3.078400543876981]"
33,33.0,"[-0.319713185548485, 0.5602203859700191, -3.0914098501893497]"
