,Frame Number,Rotation Vector
0,0.0,"[-0.7587413646269973, 0.24859201321625, -3.018024011146279]"
1,1.0,"[-0.7302229947159514, 0.22951766295037282, -3.0316030102457487]"
2,2.0,"[-0.7359951558389075, 0.2332853161836809, -3.0330852189722424]"
3,3.0,"[-0.7407429650528817, 0.21959619894513147, -3.0315860409683433]"
4,4.0,"[-0.7157228128882562, 0.23415438062740326, -3.049026169697744]"
5,5.0,"[-0.7189702497105376, 0.22008456841118837, -3.0428801787848445]"
6,6.0,"[-0.7423040281211664, 0.2340126483524098, -3.0368333708244957]"
7,7.0,"[-0.737296796862211, 0.23554413022648102, -3.035544674826653]"
8,8.0,"[-0.7158476105000541, 0.22292314275493008, -3.0405177861557435]"
9,9.0,"[-0.7094045079787744, 0.20382358345323354, -3.0477619301058727]"
10,10.0,"[-0.7132986925385845, 0.238008257087542, -3.0594231816715522]"
11,11.0,"[-0.7406952172363783, 0.2572378489424808, -3.0577267522421714]"
12,12.0,"[-0.7562341087294209, 0.2676423412972478, -3.0660649023999205]"
13,13.0,"[-0.7617825498953487, 0.26108757419683765, -3.069086781320139]"
14,14.0,"[-0.7999318769976099, 0.279667350622934, -3.059165127130611]"
15,15.0,"[-0.8084629309525274, 0.28919845098402425, -3.0641378482950827]"
16,16.0,"[-0.8508016953050813, 0.31555657986176777, -3.058002069026929]"
17,17.0,"[-0.8911308322102056, 0.3480294877396657, -3.052921977025131]"
18,18.0,"[-0.941478081812552, 0.3703075763211502, -3.0377128702723772]"
19,19.0,"[-0.9686043453150684, 0.37316125757885954, -3.0298593416608757]"
20,20.0,"[-0.9660931309899574, 0.40142415244533125, -3.036015953922467]"
21,21.0,"[-0.9960943083076277, 0.417311863804728, -3.029687462777765]"
22,22.0,"[-1.0201166464954747, 0.4398426510629064, -3.0284403958671273]"
23,23.0,"[-1.0328416349827465, 0.42619467126950417, -3.0274036628210723]"
24,24.0,"[-1.0741564129773291, 0.45696125129658927, -3.0199544013389152]"
25,25.0,"[-1.055405910996719, 0.483190066200058, -3.007640775973627]"
26,26.0,"[-1.0617333880648308, 0.4750275971683453, -3.014039568459625]"
27,27.0,"[-1.0382905853898161, 0.42007315605865836, -2.9906140651923856]"
28,28.0,"[-1.0156954335708794, 0.43269291382690234, -2.9905677474920713]"
29,29.0,"[-0.9754276909861725, 0.4182565737003743, -3.0191240932017878]"
30,30.0,"[-0.9795982694584909, 0.383537133989848, -3.027948760627249]"
31,31.0,"[-0.9542305454447098, 0.3604638508625734, -3.0224170321708135]"
32,32.0,"[-0.8769047571704383, 0.3332447684565201, -3.0274164416170724]"
33,33.0,"[-0.8751466635380213, 0.33964642526979544, -3.028176361515544]"
34,34.0,"[-0.8462942930807715, 0.33443706029721026, -3.0454905539474235]"
35,35.0,"[-0.8398329552295214, 0.33692262618111873, -3.0473875018070653]"
36,36.0,"[-0.8175124238127092, 0.37670743700660264, -3.0689419852300626]"
37,37.0,"[-0.7489311867815145, 0.3583574271502794, -3.0673414453834837]"
38,38.0,"[-0.739161704069334, 0.3679112997149771, -3.0681870575825316]"
39,39.0,"[-0.7532716636217829, 0.3690697444010805, -3.075994661144511]"
40,40.0,"[-0.7632986283535198, 0.36642267128801187, -3.061408442358635]"
41,41.0,"[-0.7673816377485587, 0.35771056233004467, -3.0616209514848887]"
42,42.0,"[-0.7343817957482465, 0.339181192107466, -3.0619030940709124]"
43,43.0,"[-0.7546615649600457, 0.36007962091075085, -3.07107724287037]"
44,44.0,"[-0.775891817391696, 0.38402095008788983, -3.058197507075422]"
45,45.0,"[-0.7642995546335053, 0.38840975319294585, -3.0544377370053675]"
46,46.0,"[-0.7759507073725085, 0.3589968740259788, -3.0495092964912094]"
47,47.0,"[-0.7921266111122965, 0.3726237382485102, -3.0438886522169737]"
48,48.0,"[-0.7973170993845404, 0.34442736852588834, -3.0463061467825843]"
49,49.0,"[-0.7564081578612061, 0.34439751261570495, -3.0449253129266296]"
50,50.0,"[-0.7413108824685225, 0.36094539604786247, -3.0611052161423613]"
51,51.0,"[-0.7611529956965375, 0.36175994046664733, -3.0472458703867424]"
52,52.0,"[-0.7508818636624477, 0.3303972524969403, -3.0500369152750046]"
53,53.0,"[-0.7839003360215726, 0.3189444361505421, -3.0339756366705677]"
54,54.0,"[-0.8201158872491933, 0.3274827623255553, -3.0372247439068523]"
55,55.0,"[-0.80708763942968, 0.29798821294087185, -3.029150461722758]"
56,56.0,"[-0.7821819933590952, 0.30741979776352796, -3.037890215950223]"
57,57.0,"[-0.7707216825441658, 0.32209122488238423, -3.036061882262704]"
58,58.0,"[-0.7720340183024215, 0.3373852893571458, -3.0429623807467223]"
59,59.0,"[-0.7666292657678941, 0.34173853204218024, -3.0442011010785115]"
60,60.0,"[-0.7403765387851424, 0.33946572449495277, -3.0465486137944047]"
61,61.0,"[-0.7473118680009668, 0.37471128028518746, -3.0487888941369037]"
62,62.0,"[-0.7766525818148091, 0.37084301948247694, -3.0332227981128357]"
63,63.0,"[-0.7543905098332596, 0.37252348419035203, -3.0356947462024393]"
64,64.0,"[-0.7671281597988455, 0.37650825236314533, -3.019189996717295]"
65,65.0,"[-0.789617647872507, 0.3989240012118546, -3.010125384909778]"
66,66.0,"[-0.8010971730697625, 0.4157187586705123, -3.0050287975139476]"
67,67.0,"[-0.7605390255074916, 0.41772278048521627, -3.0184218146020543]"
68,68.0,"[-0.7790188103641352, 0.4873532079189967, -3.002114087718547]"
69,69.0,"[-0.7792074325938861, 0.4382141006309342, -3.02127338827798]"
