,Frame Number,Rotation Vector
0,0.0,"[-0.08021790111539705, 0.09279853153517628, -3.146430739008285]"
1,1.0,"[-0.06808411933818077, 0.1002914350735305, -3.150876579398771]"
2,2.0,"[-0.0802189110034957, 0.10534108026293681, -3.155685239722133]"
3,3.0,"[-0.05495013942896688, 0.12608133579892156, -3.144597273187195]"
4,4.0,"[-0.06226855665068988, 0.11492592637014364, -3.15229869092581]"
5,5.0,"[-0.04975454362292122, 0.12784736414456305, -3.139915555798837]"
6,6.0,"[-0.06443155958930728, 0.10315508213127934, -3.153724944529851]"
7,7.0,"[-0.05798898470442596, 0.11428713294064713, -3.1544282165342]"
8,8.0,"[-0.04886918348478786, 0.10362717649582061, -3.1545630767227917]"
9,9.0,"[-0.04792894241535902, 0.10241339745859826, -3.153340903104388]"
10,10.0,"[-0.044279713196494014, 0.10124511674981865, -3.154633678629798]"
11,11.0,"[-0.04496270555420735, 0.10020880922862152, -3.153124066396544]"
12,12.0,"[-0.03659273878579834, 0.09997224532557906, -3.1592165435401576]"
13,13.0,"[-0.03194999237822277, 0.11885225456435211, -3.1537866249088418]"
14,14.0,"[-0.015667072137802177, 0.11057891787503762, -3.146550727014824]"
15,15.0,"[-0.0032143487472974515, 0.13765741003756293, -3.144117750609926]"
16,16.0,"[-0.009673486942604824, 0.12489665652496988, -3.147011114646092]"
17,17.0,"[-0.006052373151984844, 0.097781576231212, -3.1560388170130804]"
18,18.0,"[-0.012369648458203574, 0.0923503024385473, -3.1578728063728168]"
19,19.0,"[-0.005916974310189894, 0.10186552996743195, -3.1635371078657664]"
20,20.0,"[-0.009717567580289466, 0.0991745079537555, -3.1584868470791134]"
21,21.0,"[-0.01129194294778579, 0.12177412664555047, -3.1504813109454597]"
22,22.0,"[-0.037453122886007204, 0.16383598421434614, -3.138285018881811]"
23,23.0,"[-0.002739412134167162, 0.147562997612456, -3.1402838401599187]"
24,24.0,"[0.008346123351623005, 0.1418544939854569, -3.1479574905737078]"
25,25.0,"[-0.007959276965529614, 0.15023803670693914, -3.162087335902887]"
26,26.0,"[0.020586717857101568, 0.14293598552170542, -3.177680443973114]"
27,27.0,"[0.02849665967556699, 0.13789290192892428, -3.168621193059308]"
28,28.0,"[0.029518739865684047, 0.14687990315084337, -3.169264022891344]"
29,29.0,"[0.01964734228298345, 0.15105835206555243, -3.168409792628592]"
30,30.0,"[0.033322235840626616, 0.16708691908812412, -3.165841057051146]"
31,31.0,"[0.03369323179802714, 0.18194080920542388, -3.15984434334426]"
32,32.0,"[0.03808493100858753, 0.19254008163890793, -3.160287001164273]"
33,33.0,"[0.04859815789293892, 0.20187883765007816, -3.1592582435082965]"
34,34.0,"[0.05732451596395254, 0.1967213847577421, -3.163164717436356]"
35,35.0,"[0.06833154038461761, 0.19908168688265082, -3.1595458559371377]"
36,36.0,"[0.09002447707246941, 0.17920925297529958, -3.161726592553275]"
37,37.0,"[0.10744636534210804, 0.1813791472461296, -3.1592927100482626]"
38,38.0,"[0.07963670493862536, 0.1675152863246172, -3.162675693911382]"
39,39.0,"[0.07961517399334185, 0.1710077254614841, -3.159974304268585]"
40,40.0,"[0.057689233813472615, 0.17628506971168487, -3.171532164159674]"
41,41.0,"[0.08520923055687875, 0.16471441431921227, -3.1705162088646053]"
42,42.0,"[0.10361763945399362, 0.149302762311181, -3.1734523781115476]"
43,43.0,"[0.10013582361618217, 0.14203840192881995, -3.1723141805842454]"
44,44.0,"[0.10076816487438797, 0.15571854621639983, -3.168488853044134]"
45,45.0,"[0.09775298341711007, 0.15110853363031, -3.1618000969625446]"
46,46.0,"[0.08093226134624008, 0.1648003446804387, -3.1630732540312634]"
47,47.0,"[0.08090898746342587, 0.16997534698721023, -3.158275883106521]"
48,48.0,"[0.08458950767258072, 0.16548934507200164, -3.151806444921697]"
49,49.0,"[0.07601360242313555, 0.17482672087099355, -3.145708438474087]"
50,50.0,"[0.10010277301185842, 0.18545473861049708, -3.143598112071867]"
51,51.0,"[0.08816521181223906, 0.18840856884942137, -3.145696463322872]"
52,52.0,"[0.10228159501067458, 0.189616783005144, -3.138710410176934]"
53,53.0,"[0.1026427820534103, 0.16725306732723705, -3.138792472463143]"
54,54.0,"[0.11319982571164709, 0.16264853688890418, -3.1396389201084554]"
55,55.0,"[0.08904008749883377, 0.18171074131268306, -3.131531214661571]"
56,56.0,"[0.08707420924778249, 0.16531853606990218, -3.1436482401696195]"
57,57.0,"[0.0986244387278923, 0.17881714354022243, -3.150929126162888]"
58,58.0,"[0.11256423279468837, 0.17718829562453164, -3.1452093129762955]"
