,Frame Number,Rotation Vector
0,0.0,"[-0.04957191001331992, 0.2653618683986564, -3.1187430935256986]"
1,1.0,"[-0.05854850907986543, 0.24484389528188236, -3.1157381466347958]"
2,2.0,"[-0.05856174792708, 0.24000507207429775, -3.1192685068209554]"
3,3.0,"[-0.05540233979192248, 0.23634003388513997, -3.120595224734008]"
4,4.0,"[-0.06515309833067531, 0.21778546016480965, -3.1315910211612166]"
5,5.0,"[-0.07867880880642393, 0.21495666425709387, -3.130547472807475]"
6,6.0,"[-0.07473772943417105, 0.21071250046627174, -3.1385603492746688]"
7,7.0,"[-0.0631446951516304, 0.18335388673695227, -3.1473231414303062]"
8,8.0,"[-0.07907520338104725, 0.17458932848036138, -3.1472140051604023]"
9,9.0,"[-0.058400837971778356, 0.16510218293788292, -3.1632451671561417]"
10,10.0,"[-0.06091734650367368, 0.1602540621657621, -3.1580829378049393]"
11,11.0,"[-0.048424216074794066, 0.1507416323402999, -3.157954908830474]"
12,12.0,"[-0.04721261575458368, 0.17950096034139748, -3.1673442968985586]"
13,13.0,"[-0.0488674277664868, 0.16806068055439777, -3.163203383201275]"
14,14.0,"[-0.04185007822735039, 0.15078058496839067, -3.166918099868278]"
15,15.0,"[-0.032420019656714996, 0.13718926294638972, -3.1661702760340895]"
16,16.0,"[-0.048909119671215896, 0.13992059384597463, -3.152623962486332]"
17,17.0,"[-0.06973031457168775, 0.07622626403933389, -3.151144165500122]"
18,18.0,"[-0.05486895546698466, 0.08530545392249493, -3.1538826302292025]"
19,19.0,"[-0.06183828585058226, 0.10733179144319897, -3.1536901979285075]"
20,20.0,"[-0.0015420648295432315, 0.17724325229081728, -3.1700330712179383]"
21,21.0,"[-0.026958983406658046, 0.2056619054534733, -3.163911130691761]"
22,22.0,"[-0.030705977988030916, 0.21728039356691084, -3.1567474556944615]"
23,23.0,"[-0.021122591007946986, 0.13609844570389745, -3.1560588346149108]"
24,24.0,"[-0.021255685329771457, 0.13918663171958273, -3.1317366369336956]"
25,25.0,"[-0.013798300790860354, 0.12948188308093125, -3.133585575387806]"
26,26.0,"[-0.04353977597371342, 0.19296434966855008, -3.129602889854701]"
27,27.0,"[-0.04318967734196414, 0.2095412860617658, -3.136672672165153]"
28,28.0,"[-0.0604256357481732, 0.24487687436263147, -3.1269368533173902]"
29,29.0,"[-0.06200158015333161, 0.24227965680215463, -3.121610841052425]"
30,30.0,"[-0.0599935565733849, 0.21282902068507872, -3.111781675869717]"
31,31.0,"[-0.08577229219083302, 0.17662412240338846, -3.105941384819335]"
32,32.0,"[-0.09017471142411883, 0.12364581410091717, -3.1051367833495984]"
33,33.0,"[-0.05099844931118784, 0.06951224906440052, -3.1180729210204783]"
34,34.0,"[-0.09379689635164791, 0.06181417326797, -3.1165148798005]"
35,35.0,"[-0.11588615887327568, 0.03977294329027162, -3.1299509695204972]"
36,36.0,"[-0.11879013802334888, 0.04720056149789181, -3.1389880890369017]"
37,37.0,"[-0.1169586560720905, 0.0771863244265119, -3.1253371319315444]"
38,38.0,"[-0.10780192384560747, 0.09367223437358503, -3.1203440907102284]"
39,39.0,"[-0.11169482443928606, 0.07970346635071103, -3.1092773804266995]"
40,40.0,"[-0.10393290067325227, 0.10564672625222761, -3.1102801499580677]"
41,41.0,"[-0.09213192967830178, 0.09268693875518551, -3.0992383045925127]"
42,42.0,"[-0.07771214712909055, 0.10154425251560989, -3.095956749593228]"
43,43.0,"[-0.07496735459838733, 0.10599569816841323, -3.0923909500167666]"
44,44.0,"[-0.08469057110009306, 0.10537504897301489, -3.0868531275183533]"
45,45.0,"[-0.06555790436004284, 0.17531412777603056, -3.1060722443329474]"
46,46.0,"[-0.0611688400158128, 0.16500110126082418, -3.111055848778205]"
47,47.0,"[-0.044683714364394764, 0.19849462291936257, -3.110915642993533]"
48,48.0,"[-0.031000543942994195, 0.22264988524468168, -3.1113787652178924]"
49,49.0,"[-0.026848973850901393, 0.2532518993419007, -3.1315004454121333]"
50,50.0,"[-0.011560747675344681, 0.34269095739596844, -3.1143157608610035]"
51,51.0,"[-9.689886907769603e-05, 0.3632581210640444, -3.1144276076200166]"
52,52.0,"[0.007272423307188621, 0.35770013465829403, -3.12254102406279]"
53,53.0,"[-8.383834198556569e-05, 0.32361630802127345, -3.1258890605300738]"
54,54.0,"[-0.02034589085300802, 0.3326856140242766, -3.1176256424473343]"
55,55.0,"[-0.025117776956015456, 0.3097481381821297, -3.1124575576956257]"
56,56.0,"[-0.011995752229006732, 0.2511607183855292, -3.129230485948402]"
57,57.0,"[-0.014616908258080362, 0.24362377154055698, -3.1273012754534313]"
58,58.0,"[-0.02139034361653403, 0.2625969131182485, -3.1124144798821676]"
59,59.0,"[0.0011966011620386935, 0.25449081428244286, -3.1147231959900594]"
60,60.0,"[0.003355176179698776, 0.22961390106089383, -3.125967048645516]"
61,61.0,"[0.0033609171823701053, 0.23230814414816323, -3.122202405672428]"
62,62.0,"[-0.013836981475428313, 0.2194175243235516, -3.1312760783023443]"
63,63.0,"[-0.03594535114800212, 0.21009238356319498, -3.1472037423633816]"
64,64.0,"[-0.028036715618895473, 0.22463967846586094, -3.176686678707037]"
65,65.0,"[-0.05362744427022347, 0.2528246582976281, -3.182993964085536]"
66,66.0,"[-0.026183824653357536, 0.2875042218633287, -3.1942130531873336]"
67,67.0,"[-0.04667349665189918, 0.2821300456312074, -3.2014633497315113]"
68,68.0,"[-0.04759294366375486, 0.3158052984913743, -3.193553980088402]"
69,69.0,"[-0.035229395975957374, 0.29409140018281693, -3.180708888442329]"
70,70.0,"[-0.01793279645410582, 0.2852376183899212, -3.168429520272824]"
71,71.0,"[-0.010831542937772491, 0.29280685569199805, -3.1574217154871485]"
72,72.0,"[0.014414133403442067, 0.25376085320795116, -3.1398320552358308]"
73,73.0,"[0.03260785692965749, 0.21486812344674125, -3.163506919881341]"
74,74.0,"[0.02045841160756436, 0.19005090550189627, -3.1517425545898603]"
75,75.0,"[-0.013865855573257067, 0.1786735738306234, -3.145106673062338]"
76,76.0,"[-0.014171448627268797, 0.17484868015810257, -3.1438551543788837]"
77,77.0,"[-0.0010316854979310105, 0.14404914198225646, -3.1535166920101614]"
78,78.0,"[-0.011805937239287077, 0.14302613396222097, -3.150631375883558]"
79,79.0,"[0.028797133474386165, 0.11239074803667962, -3.164076032640916]"
80,80.0,"[0.0230457884003383, 0.16602413029982804, -3.160723110356089]"
81,81.0,"[0.012199058533545958, 0.1683836163856266, -3.1727440502052695]"
82,82.0,"[0.005396534459405466, 0.08220724741614983, -3.1776006102337626]"
83,83.0,"[0.0010403602900738588, 0.1046213214316723, -3.178060486400714]"
84,84.0,"[0.029396876221481866, 0.14674463034982366, -3.188010507966244]"
85,85.0,"[0.03248313562702495, 0.1800380177782515, -3.173876686894751]"
86,86.0,"[0.03241284136707156, 0.10687130191446409, -3.173952679588544]"
87,87.0,"[0.03655723059834512, 0.09704524398393176, -3.1815240754499365]"
88,88.0,"[0.023483168488064553, 0.12400309869156567, -3.171012973766457]"
89,89.0,"[0.03347255772595233, 0.12009899370042505, -3.157804826524832]"
90,90.0,"[0.026898773864889047, 0.10536487720551155, -3.156933343640614]"
91,91.0,"[0.03299083940087811, 0.11657681647312489, -3.158906698171423]"
92,92.0,"[0.012418310251399103, 0.14854774831047424, -3.157972252044862]"
93,93.0,"[0.020090174803540327, 0.22978547430689208, -3.1417142082723903]"
94,94.0,"[-0.019031338653475737, 0.27662097957806747, -3.1508226802508608]"
95,95.0,"[-0.004033812730293015, 0.26479996919831617, -3.151998157789292]"
96,96.0,"[-0.03784463676538678, 0.24532077248599687, -3.139930724863671]"
97,97.0,"[-0.04199474450584536, 0.2687940937714681, -3.148877838416005]"
98,98.0,"[-0.03146300598920953, 0.2592670312286969, -3.1529350189949805]"
99,99.0,"[-0.008168768155776442, 0.2559164743028625, -3.15114527372152]"
100,100.0,"[-0.01608319945773098, 0.2637395437767404, -3.136493409074892]"
101,101.0,"[-0.029573455064168235, 0.22896175804729751, -3.1398845087806273]"
102,102.0,"[-0.021466801185402885, 0.19440394338526532, -3.1350387578381995]"
103,103.0,"[-0.04422914877538187, 0.1807525471072948, -3.131473162462375]"
104,104.0,"[-0.05057550109248309, 0.16874282992815842, -3.1261911958533375]"
105,105.0,"[-0.04756371507888786, 0.15423079182800106, -3.1245864386135596]"
106,106.0,"[-0.041274645036254116, 0.15279741514868356, -3.119768516350943]"
107,107.0,"[-0.0712584058092513, 0.15741166408253934, -3.125029794437787]"
108,108.0,"[-0.0822299003003088, 0.13352615271188484, -3.122700896746883]"
109,109.0,"[-0.07930233326218536, 0.08368325221837501, -3.1137320481412605]"
110,110.0,"[-0.05924310890871569, 0.08546301230213539, -3.1148204486569075]"
111,111.0,"[-0.03833654153384235, 0.1025644218786449, -3.132701738639401]"
112,112.0,"[-0.014050544609983333, 0.15253449220082002, -3.1227904415277368]"
113,113.0,"[0.016250126634086957, 0.16781760477271068, -3.128230553289754]"
114,114.0,"[0.010603127220470174, 0.1776330522791453, -3.115157652930013]"
115,115.0,"[0.016383909068550327, 0.2791000100709159, -3.1140761530461263]"
116,116.0,"[0.01565724341526744, 0.28329952247744367, -3.1105399831097507]"
117,117.0,"[0.013384601355122386, 0.28617962132447655, -3.09896100625384]"
118,118.0,"[0.03190559476843006, 0.32923854738080377, -3.103300775021358]"
119,119.0,"[0.0525731983408481, 0.38171257039637657, -3.1060893837902515]"
120,120.0,"[0.025861202517791566, 0.3971081372948422, -3.100318803486589]"
121,121.0,"[0.016699488191563673, 0.4588079403849547, -3.090856030168427]"
122,122.0,"[0.03052515217491576, 0.4604379240552127, -3.106334423999068]"
123,123.0,"[0.027024138354056537, 0.4563526657192754, -3.096670792198758]"
124,124.0,"[0.05254565787783495, 0.45081092941205536, -3.105885228847026]"
125,125.0,"[0.061670950888099346, 0.43752253820034304, -3.1101943474797724]"
126,126.0,"[0.02666930167959071, 0.44920429984398735, -3.1064063149182704]"
127,127.0,"[0.022538535772806005, 0.46304375557691924, -3.1020408222335956]"
128,128.0,"[0.03347866409265015, 0.4573031169981529, -3.1019787817911104]"
129,129.0,"[0.039381781117062566, 0.4385833978373131, -3.1046736782552813]"
130,130.0,"[0.05240160973844964, 0.4262954382544955, -3.1021242210747775]"
131,131.0,"[0.06991760673256353, 0.42251652431834946, -3.100215868162185]"
132,132.0,"[0.06046463805126858, 0.3836988073314292, -3.0970878159944544]"
133,133.0,"[0.07503168410715669, 0.38172442329654127, -3.091319945054062]"
134,134.0,"[0.08425595257499835, 0.4006544387127502, -3.0844193689914428]"
135,135.0,"[0.09390337904875747, 0.4020556473889349, -3.090972147833158]"
136,136.0,"[0.06730944770571094, 0.41108622307149556, -3.0871252662747426]"
137,137.0,"[0.07133731552811687, 0.38859464476777306, -3.108493533816615]"
138,138.0,"[0.04912729596162545, 0.37996334092382095, -3.1066797312378918]"
139,139.0,"[0.0370775501603686, 0.3424421198322052, -3.120562848179374]"
140,140.0,"[0.049795767501407004, 0.35876398548161426, -3.1364228902004267]"
141,141.0,"[0.030296611974778412, 0.3512118167185756, -3.1379890523573017]"
142,142.0,"[0.015772079390593118, 0.3266398842856817, -3.14117195836662]"
143,143.0,"[-0.00757511116250283, 0.3296741538489211, -3.134093604281224]"
144,144.0,"[-0.008787116410322569, 0.3148248781890843, -3.1126984949964562]"
145,145.0,"[-0.007033347902480374, 0.29863463869502543, -3.105299220460027]"
146,146.0,"[0.008148162732299343, 0.28514646287472384, -3.105937049878816]"
147,147.0,"[0.03354944572631365, 0.265040093372328, -3.1069673939746414]"
148,148.0,"[-0.005340725213975784, 0.2830614224894136, -3.1026398596981606]"
149,149.0,"[0.03544958353358356, 0.26905514153990523, -3.1225047590876454]"
150,150.0,"[0.023841654042001503, 0.2476966843293559, -3.1259909640750267]"
151,151.0,"[0.011885355267730189, 0.23386950760766617, -3.129611493633834]"
152,152.0,"[-0.00017042787393706013, 0.23980238472426516, -3.1294741487026463]"
153,153.0,"[-0.024505968455728017, 0.25121249108827765, -3.1341609828113173]"
154,154.0,"[-0.020986737414682693, 0.23810484422741965, -3.1425403952991324]"
155,155.0,"[-0.03878633523474659, 0.24251558928166567, -3.139781026162063]"
156,156.0,"[-0.01875286903340678, 0.24339582560967296, -3.1365283388331657]"
157,157.0,"[-0.00737165913353923, 0.2393557584592868, -3.135480101778241]"
158,158.0,"[-0.012206315452329622, 0.22538904808461613, -3.1428323998870598]"
159,159.0,"[-0.017250522069211724, 0.1898897267394737, -3.1508669387743]"
160,160.0,"[-0.00031683578599903963, 0.198467040276578, -3.14529484042914]"
161,161.0,"[0.010012058446508909, 0.17268567519028907, -3.151144066449116]"
162,162.0,"[-0.006017625657805162, 0.16026341482028486, -3.1497990145515433]"
163,163.0,"[0.028697070553637672, 0.1639829615462528, -3.1551178663333266]"
164,164.0,"[0.03682652524846747, 0.1653782026406774, -3.1576822382308833]"
165,165.0,"[0.008661383477806926, 0.1758517576144006, -3.1540454695128224]"
166,166.0,"[0.0225476507702917, 0.14253365057342238, -3.163649831654625]"
167,167.0,"[-0.005341502709484395, 0.09508728186211746, -3.1561219087567025]"
168,168.0,"[-0.012463597664116246, 0.10322791973963187, -3.1579759532961464]"
169,169.0,"[-0.01999224204841096, 0.08270872746260735, -3.153256472492217]"
170,170.0,"[-0.011883601695007876, 0.10840904317567696, -3.1528214449479206]"
171,171.0,"[-0.018978257417567004, 0.14321025452449376, -3.151737924229179]"
172,172.0,"[-0.04868570349896738, 0.1463861745235124, -3.1553850697505337]"
173,173.0,"[-0.023909313140606247, 0.14185959263759398, -3.1649628921087816]"
174,174.0,"[-0.04132747409317428, 0.14672623882479957, -3.166294993296067]"
175,175.0,"[-0.05165220700566208, 0.11122724388000964, -3.1676372132742636]"
176,176.0,"[-0.063338983915559, 0.15144752354394453, -3.1689220200171007]"
177,177.0,"[-0.0543952326535769, 0.14220137507046632, -3.1718332764565202]"
178,178.0,"[-0.021409785933499525, 0.1188300877264565, -3.1730236553883864]"
179,179.0,"[-0.03722504726822986, 0.09494922975627824, -3.1609221524579993]"
180,180.0,"[-0.014622885136301871, 0.16922222711099832, -3.170043657548916]"
181,181.0,"[0.009737059048193943, 0.1558591024549332, -3.174277179189656]"
182,182.0,"[0.006801550475283349, 0.15465081288436386, -3.169575616418593]"
183,183.0,"[-0.009355173444188408, 0.1660868250333759, -3.164427088254652]"
184,184.0,"[0.00023776070044739721, 0.1590824111069041, -3.1639489071378257]"
185,185.0,"[-0.015362965285525011, 0.151051629897416, -3.1556161769831923]"
186,186.0,"[-0.00226409634410241, 0.1535684873233548, -3.1567216336954225]"
187,187.0,"[0.008856342395237962, 0.14822292852100388, -3.1569472227111417]"
188,188.0,"[0.02442560996609775, 0.1494996477534837, -3.1583910220676064]"
189,189.0,"[0.027336873298223794, 0.15432322283448788, -3.1636544864360197]"
190,190.0,"[0.00956160790907968, 0.1662787524544197, -3.175681968639981]"
191,191.0,"[-0.0025713012021042862, 0.18343824895980596, -3.1687886676477888]"
192,192.0,"[0.017749666845667516, 0.16776144764530582, -3.175028014675413]"
193,193.0,"[-0.01616872829298717, 0.15184611264703435, -3.158247408668641]"
