,Frame Number,Rotation Vector
0,0.0,"[0.2941965688529464, 0.1921047893116408, -3.1069366781513117]"
1,1.0,"[0.302052270872983, 0.19436349726239593, -3.1057998704401246]"
2,2.0,"[0.27190265707257777, 0.1562758814531473, -3.100891871779709]"
3,3.0,"[0.22016858010466428, 0.14132699182861297, -3.1063397979490763]"
4,4.0,"[0.18198786702163924, 0.0825503686728425, -3.123402678279106]"
5,5.0,"[0.15127056282420878, 0.05193316055713877, -3.1192560727186374]"
6,6.0,"[0.11735715306136904, 0.07684061014317153, -3.116932746161864]"
7,7.0,"[0.1072399663441978, 0.09093889763922353, -3.115418199557331]"
8,8.0,"[0.04813909717093766, 0.09871069699626178, -3.112963393112788]"
9,9.0,"[0.014101997422754513, 0.1412038977317569, -3.096890838526917]"
10,10.0,"[-0.0027074547106442208, 0.16460491291152352, -3.0960905343746496]"
11,11.0,"[0.005176197268793144, 0.14630002226605746, -3.101329819873852]"
12,12.0,"[-0.006787653021439025, 0.07389235828698007, -3.0990950508385815]"
13,13.0,"[0.00792591700058788, 0.040795834207991176, -3.100841257486625]"
14,14.0,"[-0.01811020934305444, 0.022514084007697104, -3.093804127534254]"
15,15.0,"[-0.007878336808172709, 0.026960625690375814, -3.0885634508350597]"
16,16.0,"[-0.009539235167193386, 0.08257313953581118, -3.088211288147306]"
17,17.0,"[-0.005192673132590195, 0.09139060481845994, -3.088391335249964]"
18,18.0,"[-0.003455034749712342, 0.11570003279979524, -3.065209302470384]"
19,19.0,"[0.008854425798254623, 0.10666378486896214, -3.0641361876712536]"
20,20.0,"[0.017580540783790146, 0.08108110914107174, -3.055121055588888]"
21,21.0,"[0.0294650721310321, 0.026398911424656408, -3.033387514339958]"
22,22.0,"[0.03984096100235971, -0.014234914445600383, -3.037780803368432]"
23,23.0,"[0.05975195147249556, 0.06858537452161784, -3.0570891207591173]"
24,24.0,"[0.07845043246822685, 0.061195126188773874, -3.0856698740876896]"
25,25.0,"[0.15912053623744604, 0.041632063528980634, -3.1069660758542095]"
26,26.0,"[0.20069161036760874, 0.021738219386579202, -3.1180186700207146]"
27,27.0,"[0.19754631648198348, 0.0662724741545215, -3.118419565594022]"
28,28.0,"[0.23847266794473693, 0.09700554160186971, -3.1110389940289167]"
29,29.0,"[0.27986424337324717, 0.10108824488458393, -3.132529982166329]"
30,30.0,"[0.2772023173298611, 0.11648759163101688, -3.140864534013103]"
31,31.0,"[0.2762300073154457, 0.1024729519956211, -3.146304741952796]"
32,32.0,"[0.30090105017871244, 0.0902715354987726, -3.1637046223810943]"
33,33.0,"[0.27269189745800504, 0.07575344723455972, -3.178434021010816]"
34,34.0,"[0.28230410064997585, 0.0835816979842373, -3.184751275392453]"
35,35.0,"[0.3061196201784549, 0.101645602256636, -3.1949803169359745]"
36,36.0,"[0.3001373755424795, 0.10433318508840625, -3.197765155940922]"
37,37.0,"[0.29002615776956636, 0.10752675458657332, -3.193567868327192]"
38,38.0,"[0.30053925837992423, 0.10201434134124926, -3.195042336431249]"
39,39.0,"[0.30058260018857047, 0.10010753232714749, -3.1927189690984084]"
40,40.0,"[0.27603446104123125, 0.10565843388572332, -3.1968035689897953]"
41,41.0,"[0.26939742913455617, 0.10208558998603173, -3.1932906321278463]"
42,42.0,"[0.2985997592322918, 0.09349373201322836, -3.1976471900247248]"
43,43.0,"[0.2956014443626709, 0.07693868892618934, -3.194133712287929]"
44,44.0,"[0.27542111485453813, 0.07373877121512377, -3.1914262835476177]"
45,45.0,"[0.27828114048076114, 0.080265435021227, -3.183247506187914]"
46,46.0,"[0.28860402774347604, 0.07186203110948836, -3.186220868407536]"
47,47.0,"[0.2802536025938055, 0.06336413565811351, -3.1873130172018245]"
48,48.0,"[0.26892079361413707, 0.08171739359474851, -3.1916614058275727]"
49,49.0,"[0.2807516895917833, 0.07939939141988599, -3.1825689263183006]"
50,50.0,"[0.2700203811377138, 0.08786561379145333, -3.195942141177755]"
51,51.0,"[0.26358889523614837, 0.09448538174936331, -3.194332538498584]"
52,52.0,"[0.2780454390104537, 0.09239844733495148, -3.1958649229903267]"
53,53.0,"[0.29747521713927305, 0.09090623559565729, -3.1883565775126836]"
54,54.0,"[0.2956624485216342, 0.09731716271603208, -3.187312898122166]"
55,55.0,"[0.2647041050462825, 0.07672949035453415, -3.179241308008334]"
56,56.0,"[0.2590619481120108, 0.08311917205094374, -3.1849198143014004]"
57,57.0,"[0.27433666280302227, 0.09169836789948255, -3.175975528697512]"
58,58.0,"[0.25893951500179885, 0.10411743594794805, -3.185630313088306]"
59,59.0,"[0.2837983830446753, 0.09106116841601007, -3.173811277609616]"
60,60.0,"[0.2888811918782423, 0.08787566509106363, -3.1807901440943875]"
61,61.0,"[0.3034032154990445, 0.10790359679957823, -3.17945836568578]"
62,62.0,"[0.3087756674110465, 0.13728864418750364, -3.1741462758034906]"
63,63.0,"[0.31491022165822696, 0.12300796235755407, -3.172540222144076]"
64,64.0,"[0.3147902186846359, 0.11162661115279028, -3.1756282081427085]"
65,65.0,"[0.3087267430164594, 0.09537689296194318, -3.183151528811743]"
66,66.0,"[0.33731317275761363, 0.1231596267637384, -3.190648220452177]"
67,67.0,"[0.3307658481335559, 0.10323633516059681, -3.1947883136353887]"
68,68.0,"[0.34334953321511724, 0.12156354927867787, -3.193846169824951]"
69,69.0,"[0.35490984765264466, 0.1299013027325779, -3.183640189496032]"
70,70.0,"[0.3392289672742537, 0.10948843808030724, -3.1869727624360045]"
71,71.0,"[0.34964733558429023, 0.10926216943728326, -3.187291833577891]"
72,72.0,"[0.35862567660080674, 0.07959099813648703, -3.1831180077560126]"
73,73.0,"[0.3331434385651993, 0.018514177288058774, -3.1899008274274303]"
74,74.0,"[0.3326861807243795, 0.011903502851204695, -3.1877682384838537]"
75,75.0,"[0.31828998430574346, 0.014597460579764266, -3.187986618355527]"
76,76.0,"[0.30422551053448377, -0.004549343064038235, -3.18589979547281]"
77,77.0,"[0.3239559482795223, 0.057156601434671786, -3.1871294324458943]"
78,78.0,"[0.3178940099146652, 0.07226155764104389, -3.1938332969265604]"
79,79.0,"[0.32852305188584574, 0.08647105765760987, -3.1912375062852547]"
80,80.0,"[0.3216374264009212, 0.08973200699952805, -3.1937537660686055]"
81,81.0,"[0.32312551629540953, 0.09659655482093496, -3.196910197436318]"
82,82.0,"[0.3131727893660631, 0.09030873207111648, -3.1912854678209372]"
83,83.0,"[0.3045285516628241, 0.07909147845602163, -3.1989997816472817]"
84,84.0,"[0.29509332535040544, 0.07975100203465811, -3.205282573812349]"
85,85.0,"[0.2942007964284213, 0.0781427759653898, -3.208994411301707]"
86,86.0,"[0.29051139795641145, 0.07613111199897894, -3.2125308868789864]"
87,87.0,"[0.3197379185425968, 0.09266893780458949, -3.208842365704879]"
88,88.0,"[0.32429137123178986, 0.10587812994660095, -3.206506665679866]"
89,89.0,"[0.3334478546385224, 0.0896795751838475, -3.2073655317966625]"
90,90.0,"[0.3327480109105709, 0.08523788092230514, -3.2056813377309514]"
91,91.0,"[0.3369180004141816, 0.061934795364021404, -3.1959520612809125]"
92,92.0,"[0.34111366163917306, 0.07631043221009243, -3.2001203021033713]"
93,93.0,"[0.3482042139928419, 0.06957776652971417, -3.1987838098372143]"
94,94.0,"[0.3452814722466058, 0.07675038778024869, -3.2021082857364807]"
95,95.0,"[0.3754829258041957, 0.0929417374784253, -3.1904016552992975]"
96,96.0,"[0.3822891978775317, 0.12607635827945424, -3.1767629980593997]"
97,97.0,"[0.37369941806376955, 0.1271383267392312, -3.183150478179718]"
98,98.0,"[0.40593081910739953, 0.11964028273636468, -3.17384524502701]"
99,99.0,"[0.3901778490731422, 0.1059738822158638, -3.1844292036452173]"
100,100.0,"[0.3623970901449884, 0.10601096382136571, -3.182992638648916]"
101,101.0,"[0.3541936205072304, 0.09780694895948146, -3.185541920491688]"
102,102.0,"[0.3597271042190967, 0.1024721769896472, -3.1836218372662812]"
103,103.0,"[0.3523110644871621, 0.09661564417025169, -3.1865337611426625]"
104,104.0,"[0.3740413639807195, 0.136455660941168, -3.1954919281309997]"
105,105.0,"[0.3803567939321884, 0.15991496634886088, -3.197052948414922]"
106,106.0,"[0.3756858171385175, 0.15977208866278444, -3.1939619558564587]"
107,107.0,"[0.37018459486858285, 0.14953740451941464, -3.1887413291096]"
108,108.0,"[0.36113232321458066, 0.1221406080002174, -3.183939163929585]"
109,109.0,"[0.3701673972156609, 0.1265520164465808, -3.1839211844675206]"
110,110.0,"[0.36739741081454746, 0.12045439182950386, -3.18570917518761]"
111,111.0,"[0.3519844103802979, 0.09744362792978033, -3.1841678944949416]"
112,112.0,"[0.35391629223791216, 0.0939649865476715, -3.1856944813240515]"
113,113.0,"[0.33690436576923427, 0.0954564364457961, -3.1899970781173144]"
114,114.0,"[0.3051628800947957, 0.08857301658415583, -3.1925385368418437]"
115,115.0,"[0.29237916958625326, 0.08166647917668739, -3.19462105596603]"
116,116.0,"[0.2774553848374395, 0.09040128695052002, -3.1970410796034776]"
117,117.0,"[0.2807505340257184, 0.10526241552879154, -3.200466628615252]"
118,118.0,"[0.28587756711053675, 0.10538157526204124, -3.1969960469503858]"
119,119.0,"[0.2981978308580264, 0.0999060591265962, -3.194590633779604]"
120,120.0,"[0.32102964407450807, 0.09932127444937938, -3.1976020270170693]"
121,121.0,"[0.3409019591362397, 0.14501907778589396, -3.1992353993399547]"
122,122.0,"[0.36441603296635305, 0.1697515176401874, -3.211302196061837]"
123,123.0,"[0.35314553286658384, 0.18102651324580277, -3.205793653746208]"
124,124.0,"[0.3668197681443674, 0.20097867599644445, -3.2012953954004315]"
125,125.0,"[0.393228182804471, 0.23894447624938003, -3.1968442487769573]"
126,126.0,"[0.38383243619412544, 0.20871354847306345, -3.1976383716301946]"
127,127.0,"[0.3553170714458273, 0.19497668279031033, -3.2082117655981164]"
128,128.0,"[0.357131665332201, 0.16028531462458487, -3.202453899745509]"
129,129.0,"[0.36531757095936646, 0.19459406605135982, -3.204790854598917]"
