,Frame Number,Rotation Vector
0,0.0,"[-0.03795747963480588, 0.21117172201718357, -3.3450301927763575]"
1,1.0,"[-0.03907917852785325, 0.20515552174834364, -3.3663837773921297]"
2,2.0,"[-0.03412322277192357, 0.22984172052017512, -3.367565224902393]"
3,3.0,"[-0.07394470949402687, 0.22953195613086308, -3.3510709681120754]"
4,4.0,"[-0.08518997991583756, 0.24133617733020504, -3.3637287972051975]"
5,5.0,"[-0.11810267043290794, 0.23008998548116114, -3.343294781975501]"
6,6.0,"[-0.10467299789206476, 0.24248257907330217, -3.343534785222747]"
7,7.0,"[-0.10598637253035359, 0.22293500490726936, -3.3351345476234187]"
8,8.0,"[-0.10347130005337851, 0.1889922958611824, -3.3248235192256868]"
9,9.0,"[-0.11617319553975028, 0.19690146165583067, -3.3091953948618635]"
10,10.0,"[-0.10483564291517254, 0.1974447648095555, -3.2979037622367358]"
11,11.0,"[-0.08818557746528044, 0.19679026636732064, -3.2931356365710207]"
12,12.0,"[-0.1101108719671324, 0.21603821274174956, -3.3085783210437225]"
13,13.0,"[-0.12197181358689768, 0.22559240218547952, -3.2952776624047435]"
14,14.0,"[-0.09964701011934747, 0.19054257427862015, -3.284632304521867]"
15,15.0,"[-0.12594644509289657, 0.23024518894383017, -3.273837190589925]"
16,16.0,"[-0.15568304885464854, 0.2443756264644285, -3.289171416220636]"
17,17.0,"[-0.20889083215294724, 0.25341374118959403, -3.3040841091297266]"
18,18.0,"[-0.23312218422454908, 0.2877668184592474, -3.2849371205066964]"
19,19.0,"[-0.23173446615211057, 0.3058949706169699, -3.2829649119318285]"
20,20.0,"[-0.24150406448705533, 0.2790868935977835, -3.2914928213578367]"
21,21.0,"[-0.18944303127055456, 0.24847944390576582, -3.3017629670642155]"
22,22.0,"[-0.18672331750407042, 0.29890464916614057, -3.3238231955793944]"
23,23.0,"[-0.2135468282410695, 0.3094087997283255, -3.3205024632698725]"
24,24.0,"[-0.18083234452083838, 0.2948558710192908, -3.315803946764451]"
25,25.0,"[-0.16120069335813186, 0.28918327995068777, -3.314091900175399]"
26,26.0,"[-0.1908636042782809, 0.2899422043798073, -3.3000171405408407]"
27,27.0,"[-0.16553224198675717, 0.24308256321533875, -3.303613015060116]"
28,28.0,"[-0.1407896298447251, 0.2551285409268271, -3.3057464231011107]"
29,29.0,"[-0.11723242511989115, 0.23400368454403267, -3.3086163861036]"
30,30.0,"[-0.09476850363845118, 0.23591886130672132, -3.30572473797376]"
