,Frame Number,Rotation Vector
0,10.0,"[-0.49723036773779355, 0.1455634281806532, -3.1516325604879034]"
1,11.0,"[-0.5013946792173679, 0.14318328138046496, -3.149654939661656]"
2,12.0,"[-0.5121412193765185, 0.15425120235130566, -3.1483291952149415]"
3,13.0,"[-0.5089125228265996, 0.15474167074269402, -3.156988512907513]"
4,14.0,"[-0.5308493766845451, 0.14925291867158333, -3.149745681606747]"
5,15.0,"[-0.5449342410544006, 0.15431680992281852, -3.1344532398183147]"
6,16.0,"[-0.5060241467972075, 0.14898819365849988, -3.1468181977528804]"
7,17.0,"[-0.5281174666991039, 0.1480917661290303, -3.143027279980044]"
8,18.0,"[-0.5057075215188563, 0.15373155295646235, -3.1444656669264557]"
9,19.0,"[-0.5013996258971691, 0.1790568489240662, -3.1412946899638]"
10,20.0,"[-0.5053515525322769, 0.07881028323618246, -3.133917832926993]"
11,21.0,"[-0.5111097609620182, 0.06054257150690821, -3.1324181408252785]"
12,22.0,"[-0.5103585475991335, 0.07329923150481596, -3.1287411906101177]"
13,23.0,"[-0.5081103059837597, 0.08703594707115214, -3.1306728431570683]"
14,24.0,"[-0.5040774353783519, 0.08423256495428467, -3.1313144302014306]"
15,25.0,"[-0.4991525863279368, 0.08331249075399466, -3.132769455679167]"
16,26.0,"[-0.49806770001447137, 0.07811496622997496, -3.1378084966963367]"
17,27.0,"[-0.49654537519078285, 0.07662877883646811, -3.149862245275885]"
18,28.0,"[-0.5010443800281396, 0.09291448092608141, -3.1564002313972006]"
19,29.0,"[-0.49662506748730617, 0.09179134060920772, -3.157887886292054]"
20,30.0,"[-0.5240275351770504, 0.09425536181211236, -3.142709337340742]"
21,31.0,"[-0.5247598316250055, 0.09714675595385214, -3.1421235761870365]"
22,32.0,"[-0.5392562111676319, 0.10603828774164573, -3.1535400659779786]"
23,33.0,"[-0.5232914011288993, 0.11949228513038784, -3.1595191868233856]"
24,34.0,"[-0.5322126611756814, 0.13939142658359852, -3.134678234055274]"
25,35.0,"[-0.5087148019816188, 0.12708564138532086, -3.146421890054741]"
26,36.0,"[-0.5080968022818247, 0.13041671815151823, -3.14956299886008]"
27,37.0,"[-0.5252264640783126, 0.13327284609084142, -3.1482223405537817]"
28,38.0,"[-0.560257116681142, 0.1303333306200327, -3.144729007313304]"
