,Frame Number,Rotation Vector
0,0.0,"[-0.048923731253779176, 0.20266546229201854, -3.152629390906625]"
1,1.0,"[-0.09316289552053075, 0.1724177811201896, -3.146033290581733]"
2,2.0,"[-0.09665495941702244, 0.15310310903393687, -3.1364726129667515]"
3,3.0,"[-0.07886404035052547, 0.12683096015774398, -3.1367919405489584]"
4,4.0,"[-0.09356436164305112, 0.04890760007053904, -3.129678614655083]"
5,5.0,"[-0.13310904100443396, -0.0011008408674438002, -3.130566036703273]"
6,6.0,"[-0.18644369695830326, 0.03313157325816347, -3.0874563854090082]"
7,7.0,"[-0.20402014786436057, 0.012888723555131808, -3.084258834406754]"
8,8.0,"[-0.210772068722379, 0.021200380944210666, -3.0783187807725407]"
9,9.0,"[-0.2338452426072182, 0.009850319847549494, -3.060863102191373]"
10,10.0,"[-0.2410306059688393, -0.009255074977644965, -3.061819392947322]"
11,11.0,"[-0.2473211718393223, -0.0025028077698498116, -3.059359137641062]"
12,12.0,"[-0.23939262663126273, -0.01642674984434794, -3.071209564702291]"
13,13.0,"[-0.2200113651178714, 0.02128132092668371, -3.075362707117713]"
14,14.0,"[-0.21523690512919025, 0.04212330287568826, -3.0801709432076447]"
15,15.0,"[-0.16675951528276237, 0.05882127225097412, -3.091629472926562]"
16,16.0,"[-0.15511538852441917, 0.06935167972544186, -3.0964466525006724]"
17,17.0,"[-0.14626043819383075, 0.04439985098171649, -3.1005230896985587]"
18,18.0,"[-0.1686810071381507, -0.04424366908438628, -3.114913233779066]"
19,19.0,"[-0.17427604435551763, -0.04777264873070738, -3.115310298526413]"
20,20.0,"[-0.15703587064990532, 0.0036908065948593007, -3.1216940836263705]"
21,21.0,"[-0.16825132244725718, 0.029107522409858942, -3.099417768520575]"
22,22.0,"[-0.1406537653501607, 0.021748345440628963, -3.0960804374179562]"
23,23.0,"[-0.12118615546781014, 0.01729551660258398, -3.0965962141123136]"
24,24.0,"[-0.12378493145848793, 0.03595395990490992, -3.080913516767272]"
25,25.0,"[-0.11981093481688389, 0.051053397223063374, -3.0866234999115023]"
26,26.0,"[-0.10789507966801842, 0.010472072582477137, -3.085224342891258]"
27,27.0,"[-0.1011848780182861, 0.003052022996998312, -3.0885415084395644]"
28,28.0,"[-0.07654161272705948, -0.05359771600369984, -3.100839931690901]"
29,29.0,"[-0.05223951645864036, -0.08134247223312945, -3.101429619088953]"
30,30.0,"[-0.032083999701346545, -0.08026432710817905, -3.1029431687265254]"
31,31.0,"[-0.046895851750081825, -0.1473075766405746, -3.107682223482666]"
32,32.0,"[-0.051254963894700925, -0.14240569767622832, -3.1027117348694153]"
33,33.0,"[-0.061169545055811556, -0.13488110828764677, -3.106825598647841]"
34,34.0,"[-0.05917168940186472, -0.11136553034859513, -3.108587421815372]"
35,35.0,"[-0.047801973775345695, -0.06553885083711349, -3.10746443429689]"
36,36.0,"[-0.011073853970593059, -0.05080884283533623, -3.116128225712285]"
37,37.0,"[-0.009430620379763572, -0.0340818741159341, -3.11113326355955]"
38,38.0,"[-0.040404377160208255, -0.0623240702808269, -3.122901886548644]"
39,39.0,"[-0.05967778436926375, -0.0671338766017562, -3.122447019653123]"
40,40.0,"[-0.06681726044717776, -0.04969764010461329, -3.129821325078781]"
41,41.0,"[-0.0735400437094608, -0.027309262778463426, -3.1260113045260134]"
42,42.0,"[-0.0532842131648344, -0.021342564764285137, -3.1225093914448334]"
43,43.0,"[-0.04993955448338543, -0.02508791546528969, -3.119291329985663]"
44,44.0,"[-0.04287890396248345, -0.010907987156745083, -3.125404879699159]"
45,45.0,"[-0.0349463187106687, -0.009667747697160715, -3.141290697541568]"
46,46.0,"[-0.05265454097827508, -0.023179172116329038, -3.1264132982659927]"
47,47.0,"[-0.01862274981524275, -0.017837120664566004, -3.1439066051445046]"
48,48.0,"[-0.0139896918195606, -0.01252436776942861, -3.1561385985471433]"
49,49.0,"[-0.03750325875668843, 0.012678864372793426, -3.149505389288893]"
50,50.0,"[-0.0513070599915214, 0.047004742224341124, -3.1521031047090333]"
51,51.0,"[-0.05494664826646505, 0.034149773047977096, -3.1541340767290396]"
52,52.0,"[-0.053276904588443356, 0.023695366166728786, -3.152330514137477]"
53,53.0,"[-0.04700568201807225, 0.041438997086866776, -3.1482467690875677]"
54,54.0,"[0.0025251735603540717, 0.028221071589018112, -3.1796184624993535]"
55,55.0,"[-0.0005946741287807017, 0.00822541274592701, -3.165687657226009]"
56,56.0,"[-0.00682138193965045, -0.014733456697412134, -3.166002651134274]"
57,57.0,"[-0.03483833593621087, -0.031069188962632714, -3.157095529116905]"
58,58.0,"[-0.034956869900856974, -0.028354609371220304, -3.1480506448150094]"
59,59.0,"[-0.011875889501155158, -0.0024069332445359384, -3.147805836758099]"
60,60.0,"[-4.021129422560324e-05, 0.01110617065598861, -3.1459128213194893]"
61,61.0,"[-0.02003791941261012, 0.037166323339486704, -3.1415195322849825]"
62,62.0,"[-0.04483137339959073, 0.026366180643679082, -3.1487030118716226]"
63,63.0,"[-0.05022296521668377, 0.022090524030645188, -3.1523123738884458]"
64,64.0,"[-0.05755973673968503, 0.027753525244772016, -3.1461001713453665]"
65,65.0,"[-0.010385971219511847, 0.07027019151266109, -3.1409450160821653]"
66,66.0,"[-0.00923867771914914, 0.0816291843911275, -3.133482183504392]"
67,67.0,"[-0.04114294498384007, 0.07358259128818881, -3.12725661007641]"
68,68.0,"[-0.048162029272547126, 0.08290676405722587, -3.123259174361744]"
69,69.0,"[-0.03817684014002884, 0.12164295357573322, -3.1160599263981306]"
70,70.0,"[-0.05510034522260223, 0.11937361642884707, -3.1021657626531858]"
71,71.0,"[-0.04764981704154046, 0.1109367837170206, -3.101467231129277]"
72,72.0,"[-0.015288369629105033, 0.10599859694392798, -3.1153851412773643]"
73,73.0,"[-0.052660059079696196, 0.0976271596910657, -3.107545794627706]"
74,74.0,"[-0.04706200135151177, 0.12829136984682657, -3.098455570441117]"
75,75.0,"[-0.0675644225648543, 0.1660303594182864, -3.1044092289301517]"
76,76.0,"[-0.08130272681818276, 0.23215760254784512, -3.1060483282305]"
77,77.0,"[-0.08622146210289307, 0.2842070877612062, -3.110767720248703]"
78,78.0,"[-0.09696616693700942, 0.39587223598948124, -3.1037889331330275]"
79,79.0,"[-0.07117590945916444, 0.39026127570648533, -3.115980283983758]"
80,80.0,"[-0.06724957223603496, 0.3997329002315232, -3.1151312912135163]"
81,81.0,"[-0.01634421702246323, 0.432378940161404, -3.132526717271647]"
82,82.0,"[-0.03481316276562011, 0.4525231869302919, -3.131672690529277]"
83,83.0,"[-0.03411541071941513, 0.471411713242533, -3.133090468801482]"
84,84.0,"[-0.046319416076031794, 0.4514285344835891, -3.130744727158421]"
85,85.0,"[-0.05707561097369723, 0.42271063787227386, -3.132037112587532]"
86,86.0,"[-0.04897757985356179, 0.40708164019750737, -3.127025740230045]"
87,87.0,"[-0.08959323489673351, 0.4017757025799824, -3.1350126988795624]"
88,88.0,"[-0.09852311445880754, 0.41773412813232963, -3.125788804264259]"
89,89.0,"[-0.09766838590997974, 0.42380204061276233, -3.118738864819635]"
90,90.0,"[-0.0725932675722829, 0.40334082627091666, -3.1175128478702194]"
91,91.0,"[-0.03627521453219319, 0.40271442710792216, -3.113198589800679]"
92,92.0,"[-0.02838244798797152, 0.4018133693096245, -3.1080572426165203]"
93,93.0,"[-0.018838824826964293, 0.4128837929323215, -3.108084504658357]"
94,94.0,"[-0.016551122050474185, 0.4447122046947401, -3.111392001477456]"
95,95.0,"[-0.018086120536457945, 0.4494120515113482, -3.1122440461747525]"
96,96.0,"[-0.02628091014812224, 0.438991830365552, -3.1120533986939196]"
97,97.0,"[-0.05450954792773454, 0.38879278151646485, -3.1175056993758887]"
98,98.0,"[-0.03687795342302758, 0.3874580270022259, -3.1142109622010548]"
99,99.0,"[-0.0407004610385541, 0.40554481896037897, -3.1153141779319022]"
100,100.0,"[-0.05125934560009232, 0.37988560836295954, -3.114864195188365]"
101,101.0,"[-0.056644176487888165, 0.37538675391552495, -3.115969903293399]"
102,102.0,"[-0.05324639487446452, 0.37387973148397163, -3.1134089535752976]"
103,103.0,"[-0.05598195181249877, 0.3754357667699894, -3.115730436154601]"
104,104.0,"[-0.04933214902059554, 0.3918362145302164, -3.1240297595168087]"
105,105.0,"[-0.04760813840570189, 0.4080192337559032, -3.122656995033223]"
106,106.0,"[-0.04510257779220381, 0.41900329024809585, -3.1229276031840665]"
107,107.0,"[-0.0993803449362974, 0.3704837075703723, -3.121075661682523]"
108,108.0,"[-0.10177472866930078, 0.3524075834745094, -3.1101312457636654]"
109,109.0,"[-0.12595075738250228, 0.34187179460873424, -3.1151290903038196]"
110,110.0,"[-0.11481896625788673, 0.3122263402210927, -3.1264070931421557]"
111,111.0,"[-0.12540629604899223, 0.29692992284490494, -3.1408402838954332]"
112,112.0,"[-0.16113101421108034, 0.28518204738160974, -3.136354216517359]"
113,113.0,"[-0.203335375779301, 0.31982176205291496, -3.1424371672242546]"
114,114.0,"[-0.2529118227618, 0.3118825602228744, -3.1712489239992117]"
115,115.0,"[-0.37197441616528193, 0.29798498718861943, -3.1589736078794033]"
116,116.0,"[-0.4173228137652568, 0.274638308330628, -3.135312921428172]"
117,117.0,"[-0.4511957893312433, 0.2919930420347741, -3.1359569216062453]"
118,118.0,"[-0.4547446911101494, 0.2860922139097419, -3.1302447359108014]"
119,119.0,"[-0.42505020674339317, 0.3139415030927814, -3.1290644315832696]"
120,120.0,"[-0.4067121398913876, 0.3313634390075271, -3.1269655045233]"
121,121.0,"[-0.4091778650523894, 0.3309269210493179, -3.1222459146980173]"
122,122.0,"[-0.39595462162392, 0.3416731664457077, -3.119175796647063]"
123,123.0,"[-0.378166835797943, 0.35367023173021217, -3.1272558562999113]"
124,124.0,"[-0.37311679066469333, 0.36335138062230726, -3.143602238004612]"
125,125.0,"[-0.39450875562612914, 0.4010624630589372, -3.13645756343391]"
126,126.0,"[-0.3994906956594102, 0.4071227253052191, -3.1495431193014043]"
127,127.0,"[-0.37583826377197566, 0.4158175708819149, -3.1621144714861593]"
128,128.0,"[-0.3829786250010949, 0.3730199180056374, -3.1642916479850345]"
129,129.0,"[-0.3515197205577177, 0.3476429706675007, -3.1785962862527026]"
130,130.0,"[-0.37163684224116567, 0.3148562251515595, -3.174682571482857]"
131,131.0,"[-0.3850158708826534, 0.32101920557199515, -3.1570257575452443]"
132,132.0,"[-0.3767397313869545, 0.3072580277865267, -3.1613148151055914]"
133,133.0,"[-0.34841286727623755, 0.3060897532812344, -3.1498618940721723]"
134,134.0,"[-0.31942681858064237, 0.26948305044486004, -3.1399599484720664]"
135,135.0,"[-0.2737263753103489, 0.24716450760987022, -3.1255164774770874]"
136,136.0,"[-0.27268489067780205, 0.22350450502892777, -3.105384597524032]"
137,137.0,"[-0.22554608663945902, 0.18315521737314655, -3.1026593200355754]"
138,138.0,"[-0.20165653170541786, 0.13715481649049788, -3.083897249197377]"
139,139.0,"[-0.1696924563723196, 0.13106681741631446, -3.0804781377538544]"
140,140.0,"[-0.14455281239539305, 0.09246178969548338, -3.0857581667156944]"
141,141.0,"[-0.0714455489025997, 0.09714003108843568, -3.106810273464934]"
142,142.0,"[-0.07724772003205418, 0.11817691571431445, -3.104060041772949]"
143,143.0,"[-0.05456397019440226, 0.12424756581872284, -3.1105190261398343]"
144,144.0,"[-0.0732000540063956, 0.18093115702421853, -3.1155100551496226]"
145,145.0,"[-0.05326772864049132, 0.18895950971083905, -3.1216863030659963]"
146,146.0,"[-0.06285743460253213, 0.19515434777970514, -3.118154212875398]"
147,147.0,"[-0.09040757902846157, 0.20474062641197863, -3.1216474306713797]"
148,148.0,"[-0.07317939561540064, 0.20085991050881435, -3.132748737315576]"
149,149.0,"[-0.12222710092460544, 0.2223691152931967, -3.12643767783409]"
150,150.0,"[-0.12402690891696419, 0.2612603936868491, -3.1249250746867854]"
151,151.0,"[-0.12731033942365913, 0.2781984980856152, -3.118406252442711]"
152,152.0,"[-0.10110612018895765, 0.28032885034895, -3.1226360829400757]"
153,153.0,"[-0.1195452646001796, 0.27227105638998655, -3.1208992281807872]"
154,154.0,"[-0.15813296590549797, 0.25766174689988397, -3.116696660052769]"
155,155.0,"[-0.16115780227923157, 0.24039557306848688, -3.1172341418851564]"
156,156.0,"[-0.1788295004462836, 0.2258916561303006, -3.116881901383122]"
157,157.0,"[-0.16674844682813286, 0.20484034786124228, -3.110910067773476]"
158,158.0,"[-0.13778400296796525, 0.23632404703894572, -3.1047294569542174]"
159,159.0,"[-0.14681635603824386, 0.3176762521780075, -3.0855346158126213]"
160,160.0,"[-0.0969485384990946, 0.3262665084144194, -3.0931248823103368]"
161,161.0,"[-0.09516859422951571, 0.3771186674013912, -3.1002470627913503]"
162,162.0,"[-0.08488850636273308, 0.4264786756334773, -3.104180663551349]"
163,163.0,"[-0.09582271601123818, 0.40868999318117194, -3.105234878164262]"
164,164.0,"[-0.13603958993915036, 0.4172067409020121, -3.1013523444997833]"
165,165.0,"[-0.15190990296992535, 0.4082625441164897, -3.098794701048517]"
166,166.0,"[-0.16291188887891955, 0.4166645140401741, -3.0965567219475294]"
167,167.0,"[-0.15013665736093265, 0.4074708709167843, -3.0962166209480424]"
168,168.0,"[-0.17356868521215707, 0.40372578938388526, -3.1008299089932527]"
169,169.0,"[-0.1743342710252494, 0.406163383037882, -3.1010243106352644]"
170,170.0,"[-0.11313734281800873, 0.4227612496542755, -3.1102285725638223]"
171,171.0,"[-0.1359610968621273, 0.4158290341164178, -3.103904185192732]"
172,172.0,"[-0.16503199610719682, 0.41265166832142774, -3.100455982737599]"
173,173.0,"[-0.17510078446004537, 0.42576729594707324, -3.1028184632825107]"
174,174.0,"[-0.16177004589177768, 0.43293664696316037, -3.102912985176493]"
175,175.0,"[-0.14984016629436625, 0.42855547121340465, -3.1051887304383756]"
176,176.0,"[-0.15824292131100554, 0.4084168173875262, -3.1159526177255388]"
177,177.0,"[-0.14132732021058814, 0.40525437287083516, -3.1274380823077452]"
178,178.0,"[-0.14212868698743633, 0.4089686704956875, -3.1353676932333725]"
179,179.0,"[-0.1555516193741223, 0.37475627121298827, -3.1417366059353853]"
180,180.0,"[-0.14767448639498942, 0.3492364725867373, -3.139033875869228]"
181,181.0,"[-0.11176453735214273, 0.36871328741045317, -3.1478543701999864]"
182,182.0,"[-0.12038573606255626, 0.3435250523883626, -3.144112398361735]"
183,183.0,"[-0.10089561513712317, 0.29748752497752146, -3.142293106543371]"
184,184.0,"[-0.10988109685722623, 0.27586198648542165, -3.1442804784546916]"
185,185.0,"[-0.09501765537949954, 0.28037003415441397, -3.1427783190876912]"
186,186.0,"[-0.07583962144012193, 0.24066366289692423, -3.1521924831764663]"
187,187.0,"[-0.054433841384956695, 0.20452384012038893, -3.1555337383309645]"
188,188.0,"[-0.05021225107736016, 0.22420143397572645, -3.1513860761962627]"
189,189.0,"[-0.0328063380165938, 0.22236738101738454, -3.1457301113597205]"
190,190.0,"[-0.025642086494242988, 0.2173096771713782, -3.1536184928575985]"
191,191.0,"[-0.005701705431137797, 0.257769226034273, -3.15464208777946]"
192,192.0,"[-0.024008526376528314, 0.26588333425930505, -3.1465806007400916]"
193,193.0,"[-0.00813519271033406, 0.28689086172782785, -3.145108253263314]"
194,194.0,"[-0.030643213481615115, 0.3066710586623576, -3.1352861979926376]"
195,195.0,"[-0.010026404992217594, 0.3894722514130208, -3.1223453078964054]"
196,196.0,"[0.005265395816243494, 0.3952589813872388, -3.1166372906460222]"
197,197.0,"[-0.020451175175463247, 0.4096567148542419, -3.10799020007209]"
198,198.0,"[-0.01703547388303373, 0.4307991763791054, -3.1022231416522073]"
199,199.0,"[-0.005916643137692451, 0.41249882782895597, -3.111342398557969]"
200,200.0,"[-0.03902263005932303, 0.42072709700191635, -3.104211565907136]"
201,201.0,"[-0.0365616138253319, 0.4167923456771244, -3.1021610593906015]"
202,202.0,"[-0.02090342983104594, 0.4377494166002962, -3.0991048066052125]"
203,203.0,"[-0.021626027050086555, 0.4396668450400482, -3.096664296464084]"
204,204.0,"[-0.014824864068378699, 0.4351163659879946, -3.096447080095961]"
205,205.0,"[-0.026359209720875167, 0.45319581798302166, -3.0905100954830105]"
206,206.0,"[-0.05320738353748839, 0.447131225504417, -3.0794214819357473]"
207,207.0,"[-0.06904117141310381, 0.4473769974418079, -3.0824263748841223]"
208,208.0,"[-0.0588642626560689, 0.44193149035271223, -3.0932109030309847]"
209,209.0,"[-0.11983137465594089, 0.38127378816010393, -3.0853732404241376]"
210,210.0,"[-0.16401943194710691, 0.365478516259862, -3.0898097555219337]"
211,211.0,"[-0.2501536605137233, 0.2873598309844433, -3.075475918802177]"
212,212.0,"[-0.32803761029886896, 0.13041234538453575, -3.062253350362937]"
213,213.0,"[-0.39059051915328397, 0.06250821614308495, -3.05772981091386]"
214,214.0,"[-0.40189659722491483, 0.037798063017255086, -3.0486336282046826]"
215,215.0,"[-0.42493513059313365, 0.08205135654820436, -3.0420513472427286]"
216,216.0,"[-0.3858703499717359, 0.07406982359592997, -3.0665824055300037]"
217,217.0,"[-0.3472941891197577, 0.017739645600210026, -3.08739119908213]"
218,218.0,"[-0.37222772491467937, 0.06562371266615455, -3.063355444028898]"
219,219.0,"[-0.37625544590404225, 0.16685005371448583, -3.046136243894026]"
220,220.0,"[-0.3634201264124697, 0.1639821216821888, -3.0487088388640586]"
