,Frame Number,Rotation Vector
0,0.0,"[0.752410346456416, 0.09636260054671934, -2.904741123474111]"
1,1.0,"[0.7477153324747429, 0.105006230931637, -2.9239731183376354]"
2,2.0,"[0.7255024960933242, 0.1384824925539481, -2.9597607130347567]"
3,3.0,"[0.7214380040411653, 0.16490600939637035, -3.002823712843104]"
4,4.0,"[0.7134251012149379, 0.16542489079180517, -3.0228901754406587]"
5,5.0,"[0.685323052295965, 0.17344096973454343, -3.0648379250898423]"
6,6.0,"[0.6588520538319903, 0.15569453447479636, -3.0890532731970284]"
7,7.0,"[0.632966289337448, 0.1300599524191354, -3.105924093796428]"
8,8.0,"[0.5398736674972691, 0.06660038271816086, -3.1402984407441887]"
9,9.0,"[0.5275537418354423, 0.08218139432885936, -3.1553417105809762]"
10,10.0,"[0.5183473209524785, 0.07527437521029093, -3.1609418299131313]"
11,11.0,"[0.5292426853434566, 0.0745726792658645, -3.159093239686885]"
12,12.0,"[0.5246928506566667, 0.06692258894577315, -3.1569602189990476]"
13,13.0,"[0.5062210268654508, 0.07174836672067228, -3.1677060239495938]"
14,14.0,"[0.49231854975901423, 0.07547309986469752, -3.1709978768082885]"
15,15.0,"[0.5056627283791968, 0.08197024354416181, -3.164835678523552]"
16,16.0,"[0.5343170321218751, 0.08271597678869211, -3.1534991505210974]"
17,17.0,"[0.5550370638028116, 0.09023689577754153, -3.1705733561836738]"
18,18.0,"[0.563653235224894, 0.09623223187471908, -3.1693505892123106]"
19,19.0,"[0.5486024727882965, 0.09591363670844141, -3.1681862769682367]"
20,20.0,"[0.5546756070582319, 0.11629860802229211, -3.154856808524161]"
21,21.0,"[0.5644105150329556, 0.13181640305723039, -3.1546893877307056]"
22,22.0,"[0.6135352939282347, 0.1842072304120228, -3.1206000995117003]"
23,23.0,"[0.5813459757466409, 0.19132212564404058, -3.1258243255110454]"
24,24.0,"[0.5786314272028781, 0.19843870161851337, -3.1258736403198597]"
25,25.0,"[0.605037599279744, 0.21281164768908528, -3.1187914804312507]"
26,26.0,"[0.6137780087054352, 0.23137977407863167, -3.116069313088191]"
27,27.0,"[0.5906916019636053, 0.19138932833956918, -3.1436660084533234]"
28,28.0,"[0.6090449405644821, 0.20131090522798878, -3.1481828875734785]"
29,29.0,"[0.5992649308479095, 0.17349321562162667, -3.155364508704228]"
30,30.0,"[0.5920690713451414, 0.16771088639718706, -3.1425321021300183]"
31,31.0,"[0.578651630028702, 0.15503167093756104, -3.154321119541477]"
32,32.0,"[0.5733771200934691, 0.14457138361261665, -3.1471088564286807]"
33,33.0,"[0.554717225069217, 0.14526724462512583, -3.149222486145773]"
34,34.0,"[0.5610352325428603, 0.15473615420524575, -3.143866950112898]"
35,35.0,"[0.5546961909142547, 0.15220427061054415, -3.154179003216572]"
36,36.0,"[0.5618417249717651, 0.1579766188430916, -3.1507801132985693]"
37,37.0,"[0.5394474029682743, 0.1461779457255446, -3.1852970506573044]"
38,38.0,"[0.599981122463771, 0.16076494012028192, -3.1811806246175682]"
39,39.0,"[0.5913677561775659, 0.15842218287171622, -3.184389596143475]"
40,40.0,"[0.5459648473068416, 0.17526431284294258, -3.2235985155190066]"
41,41.0,"[0.5041023760117028, 0.07646337078784818, -3.2116462556681267]"
42,42.0,"[0.3461560447500764, 0.07865171146467036, -3.2122946735493723]"
43,43.0,"[0.22780407684543302, 0.05390588547955547, -3.2535550226579355]"
44,44.0,"[0.22380170454636464, 0.05984938874192943, -3.227420533803485]"
45,45.0,"[0.23488166500137345, 0.03464829518381591, -3.210868779862844]"
46,46.0,"[0.2374064327537151, -0.02353241098959073, -3.1577039652096346]"
47,47.0,"[0.2983343202590945, 0.015103191745455971, -3.1804245360612304]"
48,48.0,"[0.33049867257856635, 0.05376703721287356, -3.1816248852340365]"
49,49.0,"[0.36674050212080195, 0.06000173187211735, -3.1757738558744997]"
50,50.0,"[0.3653002309232386, 0.06888251380013116, -3.1780731342965036]"
51,51.0,"[0.36730209389044916, 0.05864106057074053, -3.183931398163651]"
52,52.0,"[0.39588335738324126, 0.0719962467495024, -3.175162045558415]"
53,53.0,"[0.3969729096499048, 0.08412249677274211, -3.1749188574505185]"
54,54.0,"[0.3992377696488002, 0.08341117456984011, -3.1728031309906575]"
55,55.0,"[0.4385908950188267, 0.12129144008274391, -3.163867697688196]"
56,56.0,"[0.4601201293282945, 0.13464057937095467, -3.167560638012612]"
57,57.0,"[0.4783806219071022, 0.18110712797144, -3.154539014280569]"
58,58.0,"[0.578762420905864, 0.3014686071243975, -3.1348724697698884]"
59,59.0,"[0.6709225607071057, 0.3093267183088202, -3.1338924130070653]"
60,60.0,"[0.7420284115207779, 0.36851677916905673, -3.162236426261964]"
61,61.0,"[0.7992437302223161, 0.3730628888354764, -3.168521584987835]"
62,62.0,"[0.8644427815674409, 0.3728783477595819, -3.164766608935815]"
63,63.0,"[0.8689139715622658, 0.34174881653182254, -3.155820831420309]"
64,64.0,"[0.8701021461503357, 0.3313658814458463, -3.14702233466793]"
65,65.0,"[0.8535430280000026, 0.35996212539034456, -3.1339521045895458]"
66,66.0,"[0.8264453673105427, 0.3263267497336663, -3.122137873120998]"
67,67.0,"[0.8009868013679818, 0.2886313214575541, -3.1104697729595743]"
68,68.0,"[0.7480633903660736, 0.303510376713837, -3.0768842325448964]"
69,69.0,"[0.6585273979343349, 0.3275520320686772, -3.0652821018268543]"
70,70.0,"[0.5628063483144411, 0.3438089403132153, -3.075675456473736]"
71,71.0,"[0.4200395391565374, 0.1921902989801235, -3.1227906470971503]"
72,72.0,"[0.28090221491240885, 0.10492262190150009, -3.1527432450180513]"
73,73.0,"[0.16648854142288574, 0.06043229260100976, -3.198929397857654]"
74,74.0,"[0.18764094487699923, 0.052018195098974394, -3.2318706928334886]"
75,75.0,"[0.2510010031531322, 0.05368201731433226, -3.2334185455659736]"
76,76.0,"[0.31532999719250226, 0.08304950010790622, -3.242976092046281]"
77,77.0,"[0.3953452610245981, 0.13460193455126038, -3.2564541652443513]"
78,78.0,"[0.43457718818030294, 0.11533647845046531, -3.246693510678409]"
79,79.0,"[0.43929651069047676, 0.12428052470294956, -3.231813228362734]"
80,80.0,"[0.43967895161791376, 0.1092179231673131, -3.2184512288478606]"
81,81.0,"[0.4481073541720081, 0.11337170685244158, -3.228544487584994]"
82,82.0,"[0.4542075353581169, 0.09941366702686552, -3.2330055484598876]"
83,83.0,"[0.461178004603387, 0.10179546444437362, -3.2346586552816987]"
84,84.0,"[0.46432660802764614, 0.11573960275424067, -3.237691092357635]"
85,85.0,"[0.45679977181648773, 0.10909265962829774, -3.234835834489512]"
86,86.0,"[0.4531310415196505, 0.14113767892516846, -3.2284271468348273]"
87,87.0,"[0.4798532515645847, 0.14598430624583633, -3.226024813162071]"
88,88.0,"[0.49977597861080847, 0.1281151802354824, -3.203562653327857]"
89,89.0,"[0.5121987610552252, 0.12177424471420592, -3.2055514505329015]"
90,90.0,"[0.49351564227527894, 0.1194012048379068, -3.209940681994723]"
91,91.0,"[0.5362086211726684, 0.13447894926181875, -3.201630115263473]"
92,92.0,"[0.5403742912565443, 0.13225300056042394, -3.200223371647093]"
93,93.0,"[0.5642982450117281, 0.1704175950661581, -3.172244554508569]"
94,94.0,"[0.5406849442578582, 0.16126703572714476, -3.1712008315742395]"
95,95.0,"[0.5097246967131018, 0.14712486172662032, -3.168882549816805]"
96,96.0,"[0.5418520367620362, 0.1312113566363103, -3.12393592555774]"
97,97.0,"[0.5155378434597638, 0.1234140734872155, -3.1099161331957483]"
98,98.0,"[0.4883239633952506, 0.1422263290575002, -3.085685985057457]"
99,99.0,"[0.47896979463120937, 0.1396410734129046, -3.082607529530115]"
100,100.0,"[0.5011686192473234, 0.12514080898774527, -3.088640522958095]"
101,101.0,"[0.5028222626654203, 0.13519708170385156, -3.098927376547277]"
102,102.0,"[0.5080334086287902, 0.13160803625279782, -3.10324375621599]"
103,103.0,"[0.5221872108894674, 0.1192138124109815, -3.1377421707511632]"
104,104.0,"[0.5215600899036609, 0.12578299441978288, -3.143129600854526]"
105,105.0,"[0.5095609092969018, 0.10283084579483105, -3.1443119992823645]"
106,106.0,"[0.5061597621287056, 0.11240208364978976, -3.1415806707293092]"
107,107.0,"[0.4929714145912732, 0.12815986360960485, -3.1447311681743804]"
108,108.0,"[0.5014881580586951, 0.11548422878343804, -3.145632966827104]"
109,109.0,"[0.49601612721671756, 0.10337144230389621, -3.142113043594033]"
110,110.0,"[0.48707446989718284, 0.12339505760576269, -3.168473782793123]"
111,111.0,"[0.4163010372764207, 0.10845280513100962, -3.1744927914845915]"
112,112.0,"[0.38567042220293385, 0.061700821371432124, -3.157325538696673]"
113,113.0,"[0.3845623316284842, 0.03720071245215176, -3.139592249403468]"
114,114.0,"[0.384093963068979, 0.08211553783855705, -3.196746203048624]"
115,115.0,"[0.34846988571920307, 0.08512295160064515, -3.1933447845890854]"
116,116.0,"[0.3518065837784797, 0.07430104367607479, -3.1848215514718388]"
117,117.0,"[0.31759927122659376, 0.0597276843968609, -3.1893775756050884]"
118,118.0,"[0.31469072935549974, 0.050468320565726886, -3.194832013890866]"
119,119.0,"[0.3728224557574148, 0.06049587118569586, -3.1690865296199973]"
120,120.0,"[0.3760064182726705, 0.06819447745455649, -3.16624426441111]"
121,121.0,"[0.389193824265622, 0.08498448352655347, -3.206577349999551]"
122,122.0,"[0.416422392550955, 0.09310998925891388, -3.1854240340479483]"
123,123.0,"[0.4938872378791937, 0.05520100052297555, -3.173601140567379]"
124,124.0,"[0.49544092415802576, 0.050961253666258775, -3.1503155127884117]"
125,125.0,"[0.519242415158192, 0.1165697668737312, -3.0945861316532093]"
126,126.0,"[0.5793284911941834, 0.15147497084512346, -3.0370609862111557]"
127,127.0,"[0.6019413750996702, 0.1416739774229542, -2.997206998262096]"
128,128.0,"[0.6121214627035833, 0.10812379080622143, -2.962286733205941]"
129,129.0,"[0.6045337355262205, 0.09150492064747685, -2.9425793722507163]"
130,130.0,"[0.5858001064057018, 0.10955155101992371, -2.9392467264545523]"
131,131.0,"[0.6135921028412905, 0.12720300493605347, -2.9245368941720775]"
132,132.0,"[0.6232339521802804, 0.16378584979130154, -2.9187265944424645]"
133,133.0,"[0.6335074575746216, 0.18735766351689212, -2.9360223168996114]"
134,134.0,"[0.6279691306657685, 0.2121425162959473, -2.940722154446325]"
135,135.0,"[0.6149499919795267, 0.2120476991617476, -2.9545256841199885]"
136,136.0,"[0.636260931227802, 0.22368121755209935, -2.9512786852416126]"
137,137.0,"[0.639975753423705, 0.235674372044743, -2.9502769996678273]"
138,138.0,"[0.6431367999233003, 0.24244376152697014, -2.956096380525119]"
139,139.0,"[0.6364394402795779, 0.24634625698623352, -2.9574114494349715]"
140,140.0,"[0.6489769759784012, 0.23563815389866158, -2.966234799433676]"
141,141.0,"[0.6450359960285906, 0.22882031384130397, -2.963226998881912]"
142,142.0,"[0.6370879472445701, 0.23183921448813608, -2.9685548393076955]"
143,143.0,"[0.6320268551204367, 0.2341212283150836, -2.970360313073932]"
144,144.0,"[0.6260677285811453, 0.2352304277907669, -2.9767193773664777]"
145,145.0,"[0.6271709834085983, 0.2361755777212578, -2.975965519945119]"
146,146.0,"[0.6441262080258001, 0.2263049010021103, -2.9727889335077724]"
147,147.0,"[0.6518370934333502, 0.20908470412488492, -2.9791737675886507]"
148,148.0,"[0.6487434255380788, 0.19719458248917068, -2.9931135957220296]"
149,149.0,"[0.6312922051695045, 0.16870356811776702, -3.014203352311179]"
150,150.0,"[0.6117437675207741, 0.1595311110615056, -3.020639189886111]"
151,151.0,"[0.6265543296029348, 0.16422839455907445, -3.021570676249615]"
152,152.0,"[0.6016363852551676, 0.16676748415050233, -3.0623818856493417]"
153,153.0,"[0.5637473522134206, 0.16139687499789981, -3.0996340059827387]"
154,154.0,"[0.5365295399498615, 0.14872713136116797, -3.1238158009268173]"
155,155.0,"[0.498617222734246, 0.10952718997175769, -3.1396209995902025]"
156,156.0,"[0.4995203422932166, 0.11440249212307195, -3.1448845627952595]"
157,157.0,"[0.490823014502037, 0.10296104158354072, -3.148554033689585]"
158,158.0,"[0.4850008412501587, 0.11486282118762411, -3.1566583614078727]"
159,159.0,"[0.5027677902418686, 0.12170657369336439, -3.1635356792073517]"
160,160.0,"[0.5059885853411303, 0.1230342083048947, -3.1602678518683764]"
161,161.0,"[0.4686765062296888, 0.14745778127898124, -3.18130150040778]"
162,162.0,"[0.47270431776874156, 0.13654561207370033, -3.1691398519228686]"
163,163.0,"[0.5219311400332849, 0.16351731945315828, -3.2038640084709686]"
164,164.0,"[0.5264406210990238, 0.1491647760402272, -3.2047792380618856]"
165,165.0,"[0.48795837916804374, 0.17088567927229875, -3.1872455067753753]"
166,166.0,"[0.47214080568173644, 0.17884318552368467, -3.1913469686936664]"
167,167.0,"[0.5138406359869969, 0.17314809737589396, -3.1895326298137325]"
168,168.0,"[0.5548324618170787, 0.12360698079354922, -3.1672801210499344]"
169,169.0,"[0.5479001922475916, 0.15449618768391313, -3.1909631752738905]"
170,170.0,"[0.4847858749993091, 0.1428926841318445, -3.171811514745154]"
171,171.0,"[0.48478273747232375, 0.12353895559066941, -3.1715440490688818]"
172,172.0,"[0.4817396693226236, 0.13217003724853815, -3.1733618978164913]"
173,173.0,"[0.4792027973291858, 0.14304069406720468, -3.170938063429716]"
174,174.0,"[0.47628095219642036, 0.14311877284764746, -3.1717672535895227]"
175,175.0,"[0.45759239218928033, 0.13426842922041157, -3.162547860746142]"
176,176.0,"[0.47722421175795143, 0.13696975167287598, -3.1638743898808506]"
177,177.0,"[0.5005373173123533, 0.16818371003400107, -3.172602879597686]"
178,178.0,"[0.5291354152655733, 0.09710501212495858, -3.136065438907782]"
179,179.0,"[0.5654363607407259, 0.08265497326135647, -3.0867517463431104]"
180,180.0,"[0.5531432099355228, 0.055603637354880706, -3.0238496017853795]"
181,181.0,"[0.445242867947903, -0.0007721428529569072, -3.0670409228150377]"
182,182.0,"[0.37941759923904667, -0.044811116945094216, -3.0638473644339643]"
183,183.0,"[0.39567483056765845, -0.05234323909327306, -3.0561235867052354]"
184,184.0,"[0.3990845262567007, -0.05863550070119611, -3.051155503215999]"
185,185.0,"[0.41513743614245485, -0.021908009651778197, -3.0406790604619665]"
186,186.0,"[0.42964359573693345, -0.0077220176920160324, -3.023211913664598]"
187,187.0,"[0.4303604766586937, 0.006943314649581451, -3.0085780824278205]"
188,188.0,"[0.41639717201357995, 0.018323778361693563, -2.9917346716609354]"
189,189.0,"[0.4558891459797674, 0.05927175430949925, -2.983776226238097]"
190,190.0,"[0.4447711910028713, 0.10085812229511604, -2.974716443131835]"
191,191.0,"[0.4311286745715983, 0.09406247170936494, -2.9824041628920397]"
192,192.0,"[0.44388788566181797, 0.11644161777715548, -2.985593024421837]"
193,193.0,"[0.44385805955494956, 0.09900066716724934, -3.0074014968330895]"
194,194.0,"[0.45071820007225233, 0.07218890177270797, -3.0093697866013147]"
195,195.0,"[0.49035218225438343, 0.053484345695013334, -3.0035991866669907]"
196,196.0,"[0.518249646555288, 0.07311251592100368, -2.9982677363033425]"
197,197.0,"[0.5460317562408229, 0.07757444286427605, -2.9977092164562036]"
198,198.0,"[0.5570490394321709, 0.08890190497690624, -3.0042269403084814]"
199,199.0,"[0.5832383704906018, 0.07901940021293645, -3.0138338236054705]"
200,200.0,"[0.5886450018345127, 0.08351530839866586, -3.0141926840621522]"
201,201.0,"[0.5994209457927262, 0.08819671400599238, -3.0184780453992035]"
202,202.0,"[0.6016498512625357, 0.11075705182811342, -3.00784323549131]"
203,203.0,"[0.5987986647072607, 0.09941762776482532, -3.011891343387718]"
204,204.0,"[0.6151425089748873, 0.10349227030954984, -3.0061908941865148]"
205,205.0,"[0.634154868730546, 0.11245463367352958, -2.9930673922250395]"
206,206.0,"[0.6271531834655897, 0.11974139736157574, -2.9885386184321012]"
207,207.0,"[0.6374791763338067, 0.09446803853520322, -2.9797964781189994]"
208,208.0,"[0.6366117460589634, 0.08653462582806958, -2.9654383900790684]"
209,209.0,"[0.6840404042272709, 0.09519690771037331, -2.957453419531002]"
210,210.0,"[0.6838871969041862, 0.10426663796908976, -2.946568577321887]"
211,211.0,"[0.6973271285046497, 0.09259541572377256, -2.9342719059020146]"
212,212.0,"[0.6786844864931639, 0.08813713201989758, -2.9339148873059737]"
213,213.0,"[0.6689070035367148, 0.08732133693028361, -2.9361467879368583]"
214,214.0,"[0.6697544524969058, 0.0891644003846197, -2.9397987327721737]"
215,215.0,"[0.6636931438582676, 0.07383834369629645, -2.947368734884809]"
216,216.0,"[0.6506441069885731, 0.08192742427868377, -2.9556138834901557]"
217,217.0,"[0.6604826398324756, 0.1055441885308976, -2.9790546203236405]"
218,218.0,"[0.6706360438584033, 0.09700838865126266, -2.9895305972329176]"
219,219.0,"[0.6450178937704047, 0.09667859284133876, -3.0290388565624977]"
220,220.0,"[0.6328768108250488, 0.13959001111208563, -3.083842579701153]"
221,221.0,"[0.5963390080935153, 0.1956721334230195, -3.1703105825592495]"
222,222.0,"[0.5436025282383602, 0.17706957201996545, -3.220431475947502]"
223,223.0,"[0.5291046749049653, 0.20116724457799653, -3.238226922322328]"
224,224.0,"[0.459755930901701, 0.18957856684780897, -3.243375102367746]"
225,225.0,"[0.4596012481416191, 0.19444331667821388, -3.2421199392826834]"
226,226.0,"[0.5228903141993254, 0.1871158968196059, -3.2554392851107203]"
227,227.0,"[0.5392910006139991, 0.18277208403459136, -3.234549164131952]"
228,228.0,"[0.5343328705695574, 0.18954212731174655, -3.2197551137901894]"
229,229.0,"[0.5274949553276548, 0.17175602500153475, -3.213036334388576]"
230,230.0,"[0.5224866154778101, 0.17801288955079794, -3.2265097118082795]"
231,231.0,"[0.512739796463885, 0.19011122933235225, -3.233833967717776]"
232,232.0,"[0.5290299152720453, 0.17429029978479552, -3.2227194367178877]"
233,233.0,"[0.47502902486166376, 0.14303775348934591, -3.2150151836536685]"
234,234.0,"[0.46637567864764634, 0.13366460713469447, -3.21261339764893]"
235,235.0,"[0.47815479820693985, 0.13331399566248, -3.2114157309933122]"
236,236.0,"[0.47655651968405793, 0.1477146406964805, -3.2052379322079454]"
237,237.0,"[0.4887914253610751, 0.14379715374059865, -3.201855327340205]"
238,238.0,"[0.48262444881313404, 0.1511051859300487, -3.198051879420208]"
239,239.0,"[0.4716252172416536, 0.12126199457063055, -3.2007301215423625]"
240,240.0,"[0.4786007738356338, 0.1353823008526601, -3.209474394136285]"
241,241.0,"[0.4971004213539984, 0.15983933134680026, -3.2076676178180232]"
242,242.0,"[0.6443875102594442, 0.2598699793301931, -3.2421421670978923]"
243,243.0,"[0.6525942087635824, 0.25414436373820043, -3.237753380944586]"
244,244.0,"[0.5616709229039266, 0.1508097666761083, -3.199294017019127]"
245,245.0,"[0.42577446614605413, 0.04094152189856075, -3.146997850479819]"
246,246.0,"[0.3834318535342037, 0.07249825860143357, -3.1616004857548203]"
247,247.0,"[0.3565504215304854, 0.054616205121046466, -3.1655447458736026]"
248,248.0,"[0.3417530822836914, 0.09096568700362828, -3.204516268693472]"
249,249.0,"[0.3662972832867202, 0.1178362114239487, -3.2184434084677958]"
250,250.0,"[0.3688115151419945, 0.09748195015078567, -3.203180484743055]"
251,251.0,"[0.3863754405857329, 0.11278885102007574, -3.2074128106447457]"
252,252.0,"[0.3788787621341689, 0.1051085880556141, -3.225845157129935]"
253,253.0,"[0.4124108865630525, 0.10621421287429592, -3.210143349393054]"
254,254.0,"[0.4254118236692971, 0.12249376749553652, -3.2044988664745753]"
255,255.0,"[0.41087348714301763, 0.12012391052577151, -3.203326639187787]"
256,256.0,"[0.4038249055827055, 0.11200903889317736, -3.205268091269685]"
257,257.0,"[0.43928370955857227, 0.11534323144727947, -3.1852201034742165]"
258,258.0,"[0.4397310004201614, 0.09435432437948318, -3.1827689463249285]"
259,259.0,"[0.44839773281398215, 0.12252456457576823, -3.1783061109667976]"
260,260.0,"[0.45422425870126526, 0.156925463869197, -3.19849901100077]"
261,261.0,"[0.4598112861295028, 0.14813942984916562, -3.188689883674585]"
262,262.0,"[0.4598694409239051, 0.13648535146885288, -3.1841817313256606]"
263,263.0,"[0.4692951112389915, 0.14018594060395587, -3.185563234809541]"
264,264.0,"[0.4746978795731177, 0.14240776572331212, -3.193864889022356]"
265,265.0,"[0.4744469464167363, 0.14300351132181666, -3.2020997715733834]"
266,266.0,"[0.47106651456930404, 0.13778076582499774, -3.20948738685218]"
267,267.0,"[0.46820038099726324, 0.15028559326745058, -3.1973765400214833]"
268,268.0,"[0.4797420440098169, 0.14406871291410608, -3.190831905804457]"
269,269.0,"[0.4817192786594458, 0.1415027200163459, -3.193095210271538]"
270,270.0,"[0.4904258030311079, 0.15196500604814356, -3.19460102651707]"
271,271.0,"[0.49348655455206614, 0.15536524853591474, -3.194856273198084]"
272,272.0,"[0.49498612291622973, 0.154602957130258, -3.1999020332531676]"
273,273.0,"[0.4910394087736355, 0.15388122079857847, -3.193466325869919]"
274,274.0,"[0.48546234970865754, 0.15093251413693776, -3.1959907118542783]"
275,275.0,"[0.4893562709567119, 0.14926497210425763, -3.2155241653692275]"
276,276.0,"[0.5011220134114555, 0.14677163971280718, -3.212221918817249]"
