,Frame Number,Rotation Vector
0,2.0,"[-0.11291118782766796, 0.2981213663432319, -3.1148690641869297]"
1,3.0,"[-0.09134043751391788, 0.2720086902930981, -3.1595472519431107]"
2,4.0,"[-0.15079398244052095, 0.26907096857022306, -3.156819955119119]"
3,5.0,"[-0.1470507594859664, 0.2621337947721224, -3.1615633986708453]"
4,6.0,"[-0.15640788798788313, 0.25278837269639987, -3.1641144664472054]"
5,7.0,"[-0.16691453585334792, 0.22582438942889704, -3.167772860160147]"
6,8.0,"[-0.1763673966144703, 0.21071946685221363, -3.1699667572423205]"
7,9.0,"[-0.18524221571675883, 0.2052908154284038, -3.1719287143133568]"
8,10.0,"[-0.21964701011587962, 0.21015576564439606, -3.174347778552992]"
9,11.0,"[-0.2391028324627675, 0.20865904137419383, -3.1758950442999523]"
10,12.0,"[-0.23710236718526653, 0.20345122731594645, -3.180687652154829]"
11,13.0,"[-0.25627476138972255, 0.18848859605076407, -3.1846171037420428]"
12,14.0,"[-0.3148209487538913, 0.15872050005159122, -3.1877489269341015]"
13,15.0,"[-0.33113656862153246, 0.20109865858245568, -3.1835652685199465]"
14,16.0,"[-0.36386956706447227, 0.20606767107822133, -3.182407647252326]"
15,17.0,"[-0.38443672608266233, 0.20778259312416772, -3.1666546934145994]"
16,18.0,"[-0.3873931778049404, 0.17877943106833358, -3.161193291627148]"
17,19.0,"[-0.3814311567550874, 0.22186070539463423, -3.1479213328487474]"
18,20.0,"[-0.3905060981709806, 0.17014157762271126, -3.169151948052387]"
19,21.0,"[-0.4422405898869754, 0.20087449861921877, -3.142198612317512]"
20,22.0,"[-0.484045866518351, 0.19639168673597396, -3.1338507501446604]"
21,23.0,"[-0.5244268340676991, 0.18724490566122515, -3.126784760370936]"
22,24.0,"[-0.5577796772792308, 0.16411161722554213, -3.1047681362952844]"
23,25.0,"[-0.5930462533453877, 0.17764067821663984, -3.079806325644432]"
