,Frame Number,Rotation Vector
0,137.0,"[-0.26159848617169956, 0.3954139269354823, -3.04200220360625]"
1,138.0,"[-0.33083758652401085, 0.2587787922610163, -3.082676223831036]"
2,139.0,"[-0.3376959355239126, 0.25807123456155734, -3.0831505419257317]"
3,140.0,"[-0.36717363234974565, 0.25146897653811034, -3.0854495390639354]"
4,141.0,"[-0.3760632948288003, 0.24797976247013523, -3.09148371092757]"
5,142.0,"[-0.39784292368772645, 0.23260271083904627, -3.088412626706506]"
6,143.0,"[-0.4018062883519601, 0.20736722813696779, -3.1071114877759234]"
7,144.0,"[-0.38077850367108573, 0.1718807751350517, -3.108716249269999]"
8,145.0,"[-0.42051293479662294, 0.15727758860204452, -3.1038727981226564]"
9,146.0,"[-0.4760756398016201, 0.164655118630173, -3.0984810509078966]"
10,147.0,"[-0.5712790720887259, 0.17331158650509412, -3.069469736887106]"
11,148.0,"[-0.6026484333915755, 0.18862197656296043, -3.0585088918963677]"
12,149.0,"[-0.5919504304707703, 0.20931281053160794, -3.0432964926016814]"
13,150.0,"[-0.5161709638840498, 0.2054212613476184, -3.0552744667981426]"
14,151.0,"[-0.47413272657244215, 0.20424939688799784, -3.0651393835600227]"
15,152.0,"[-0.47816676298383526, 0.18903702866258884, -3.0739778536675813]"
16,153.0,"[-0.46811483292908834, 0.21872426911996914, -3.0656367763461634]"
17,154.0,"[-0.4487558944848059, 0.23401599281836324, -3.068820219278427]"
18,155.0,"[-0.41957585254181357, 0.22825512139901918, -3.0812175992402495]"
19,156.0,"[-0.4272550148311054, 0.1829073453616399, -3.0821696221401265]"
20,157.0,"[-0.4107574132877402, 0.17867992575683536, -3.08536858533104]"
21,158.0,"[-0.4030877801592536, 0.20634054939334542, -3.0774028292334856]"
22,159.0,"[-0.3992020655826362, 0.18767533257875663, -3.084917426915164]"
23,160.0,"[-0.4102538098925376, 0.1775798853288109, -3.0858323112394395]"
24,161.0,"[-0.420923490257228, 0.17287442690520444, -3.076641264852492]"
25,162.0,"[-0.4175670664310908, 0.17443370833861171, -3.0790694889735746]"
26,163.0,"[-0.4182386311769157, 0.19458777572159378, -3.074226443092216]"
27,164.0,"[-0.4157250957889924, 0.19573225669712505, -3.0767657313710455]"
28,165.0,"[-0.41759755918267744, 0.18851168331907442, -3.08030377073322]"
29,166.0,"[-0.43165830757759255, 0.19367488515631529, -3.0756062941008118]"
30,167.0,"[-0.44826867147175575, 0.189244794817194, -3.0677847988923475]"
31,168.0,"[-0.5339869314317589, 0.19855046545230207, -3.0393377190957587]"
32,169.0,"[-0.6628750726665247, 0.20021200872696357, -2.9889653514457555]"
33,170.0,"[-0.7948939833528776, 0.19273001844082674, -2.9576469305782003]"
34,171.0,"[-0.8034145233250581, 0.18862931132788313, -2.929848014817554]"
35,172.0,"[-0.7692624883540914, 0.1890942135554213, -2.930481844263462]"
36,173.0,"[-0.6873954367233385, 0.22736281243829795, -2.9387940586327215]"
37,174.0,"[-0.435473633871125, 0.2599274548775208, -3.070890296023763]"
38,175.0,"[-0.3924950548982661, 0.21037773634384013, -3.0745160527647326]"
39,176.0,"[-0.14302670486129135, 0.26735943796449785, -3.0845662929633724]"
40,177.0,"[-0.24500635707341026, 0.41455836686679043, -3.0539165448667656]"
41,178.0,"[-0.17788358555224998, 0.40354158704083015, -3.0971668655987328]"
42,179.0,"[-0.1359277549094577, 0.3608323042830131, -3.1249528395658994]"
43,180.0,"[-0.16867107547066043, 0.3276590410186856, -3.1258959322012236]"
44,181.0,"[-0.19235769818394163, 0.27199035274953265, -3.1214554099269827]"
45,182.0,"[-0.21979592574454004, 0.23894204211012302, -3.114351494806634]"
46,183.0,"[-0.2155047504653684, 0.21472255841577428, -3.1223522019005854]"
47,184.0,"[-0.18939897729786045, 0.13356082936704763, -3.127611689185893]"
48,185.0,"[-0.18272583900591424, 0.13243740572525234, -3.13842258281032]"
49,186.0,"[-0.18955289669564998, 0.17020007385169952, -3.131636429838663]"
50,187.0,"[-0.18152138006080965, 0.2058404362636689, -3.128039880525732]"
51,188.0,"[-0.18735409955104493, 0.1723173392040107, -3.11845249688906]"
52,189.0,"[-0.19211588443933497, 0.14964422031824107, -3.122848494406929]"
53,190.0,"[-0.19630445114218656, 0.14897078227177438, -3.1228310687458367]"
54,191.0,"[-0.19909889588730853, 0.1487804643283449, -3.1251126074894207]"
55,192.0,"[-0.19678796608539262, 0.1493053436760505, -3.13790132948604]"
56,193.0,"[-0.20983786758622977, 0.15055238491450312, -3.1455122223615573]"
57,194.0,"[-0.20310601433996114, 0.15904947375401762, -3.1446791793889988]"
58,195.0,"[-0.20307422670703024, 0.1651794353774433, -3.146527390006746]"
59,196.0,"[-0.197304042322172, 0.16376690183983905, -3.1470200959206083]"
60,197.0,"[-0.20209202931539694, 0.156136346235295, -3.142086762184128]"
61,198.0,"[-0.21319544795104314, 0.13592678163093733, -3.1454856243072506]"
62,199.0,"[-0.1835125309909962, 0.09440796986713458, -3.1560131266674007]"
63,200.0,"[-0.18587014451802814, 0.09269478393692403, -3.1522992989265073]"
64,201.0,"[-0.18866373176254428, 0.09088065902368998, -3.149026370955319]"
65,202.0,"[-0.17632529353328744, 0.07387285934900586, -3.1605084728140884]"
66,203.0,"[-0.17812402383487072, 0.10095404785477159, -3.1525312114654067]"
67,204.0,"[-0.18423683695303508, 0.16131323793256971, -3.139822943731216]"
68,205.0,"[-0.1831383773283564, 0.16879720416213578, -3.1278149668623643]"
69,206.0,"[-0.16804293989445962, 0.1624893148567932, -3.115512555026629]"
70,207.0,"[-0.1507827392044526, 0.153398769751168, -3.1278810244589628]"
71,208.0,"[-0.13715119710227314, 0.1420512996428004, -3.1396773598820378]"
72,209.0,"[-0.12244896887123749, 0.13961274971417106, -3.1355519410884316]"
73,210.0,"[-0.10115916617466822, 0.12413795962327925, -3.1447967792873994]"
74,211.0,"[-0.09219141270474744, 0.12639785997363134, -3.1452725743506886]"
75,212.0,"[-0.06950273885702263, 0.12867012714941026, -3.1524908498222715]"
76,213.0,"[-0.0207110691396312, 0.10442205310052728, -3.1649370564042387]"
77,214.0,"[0.003901135104726383, 0.09228261575933926, -3.1921175249995555]"
78,215.0,"[0.05298392116588344, 0.11463561086047946, -3.1923490605590503]"
79,216.0,"[0.0570561812590292, 0.1360083791829686, -3.181901081184396]"
80,217.0,"[0.06428553737626709, 0.1221250193014967, -3.1987990460598006]"
81,218.0,"[0.05961006523101189, 0.09261496706859229, -3.201030063991249]"
82,219.0,"[0.06359579755545641, 0.1200918589913044, -3.201832462126475]"
83,220.0,"[0.07809077688661918, 0.1615518168763741, -3.208952337243406]"
84,221.0,"[0.07715080998543034, 0.15476309548987632, -3.2091535603334274]"
85,222.0,"[0.06586711279017389, 0.14783984469111403, -3.202318055402636]"
86,223.0,"[0.09366177127390668, 0.15025391795440343, -3.213747899126787]"
