,Frame Number,Rotation Vector
0,0.0,"[0.6255722503772476, 0.1747584789536581, -3.0307809667440706]"
1,1.0,"[0.622549467904351, 0.17528049139206486, -3.035092031869302]"
2,2.0,"[0.6162397177416047, 0.1616607642517647, -3.027406352845491]"
3,3.0,"[0.6091493621162787, 0.1477126871106984, -3.0312447076491082]"
4,4.0,"[0.6184880501479446, 0.2011351569616074, -3.0407928080299707]"
5,5.0,"[0.6606713610710426, 0.22054926188783466, -3.0223635556490733]"
6,6.0,"[0.6494130925078827, 0.2146293423741695, -3.0205333293051546]"
7,7.0,"[0.6264236109180848, 0.21304284079243388, -3.025884247658029]"
8,8.0,"[0.6318796572569827, 0.2076085458458909, -3.0265479285924792]"
9,9.0,"[0.6382692222445827, 0.20538537124705983, -3.0378308600071113]"
10,10.0,"[0.6449533652056969, 0.2339435985188278, -3.0314039207887724]"
11,11.0,"[0.6437297608649772, 0.23526506711008974, -3.0310710862934673]"
12,12.0,"[0.6418015945682992, 0.22502867433969637, -3.0299643919869035]"
13,13.0,"[0.6349700633228765, 0.20955009914018594, -3.0350753548639386]"
14,14.0,"[0.5970450841863285, 0.18468856189856858, -3.038091473207632]"
15,15.0,"[0.5901397706443047, 0.19556618729836753, -3.031075921798914]"
16,16.0,"[0.6259470451535665, 0.19746803511015884, -3.0375763420227693]"
17,17.0,"[0.6478212562696406, 0.2060294850155473, -3.027592500920141]"
18,18.0,"[0.6328903503634592, 0.1841131225994265, -3.0359994037465645]"
19,19.0,"[0.6182946507323472, 0.1878270051607206, -3.045353810052769]"
20,20.0,"[0.6351036822173172, 0.21321571038193046, -3.0365217224593484]"
21,21.0,"[0.651415015881177, 0.24354911666543155, -3.0280935748802618]"
22,22.0,"[0.6590916051672512, 0.23798460640747982, -3.02795036611089]"
23,23.0,"[0.6361567691400883, 0.2026767038064379, -3.0380432473923147]"
24,24.0,"[0.6190478417387655, 0.2008552217595704, -3.0412146924608514]"
25,25.0,"[0.6218407123861668, 0.21425825649019523, -3.0160504195739337]"
26,26.0,"[0.632797317554048, 0.2262361241882992, -3.0137911268588167]"
27,27.0,"[0.6264852095708562, 0.19368590070623945, -3.0344192683896845]"
28,28.0,"[0.6297970656712991, 0.19065101566898668, -3.040968717333245]"
29,29.0,"[0.6346925009337527, 0.211816946949036, -3.0354832434078536]"
30,30.0,"[0.6184261080349625, 0.22242274660619527, -3.0383262360533045]"
31,31.0,"[0.6013475179148413, 0.2245038825427139, -3.0365945176926483]"
32,32.0,"[0.5940666443676117, 0.18604028699718422, -3.0365307129134247]"
33,33.0,"[0.6350129702398374, 0.22526643274468708, -3.024707124925794]"
34,34.0,"[0.6611032867617163, 0.2486659505766716, -3.0260341576813548]"
35,35.0,"[0.6536878386143906, 0.22864972688427615, -3.0345140071837586]"
36,36.0,"[0.6213564866517545, 0.14957872324277163, -3.0394183638875245]"
37,37.0,"[0.5942864873055854, 0.13661595940064125, -3.041944412906737]"
38,38.0,"[0.6244266177103515, 0.13641689046714217, -3.037933631503909]"
39,39.0,"[0.6777407205440642, 0.18038778168312175, -3.03669870370486]"
