,Frame Number,Rotation Vector
0,0.0,"[0.5026336680740305, 0.3534016766392756, -2.9890891099248798]"
1,1.0,"[0.47270494549922804, 0.3739163603040377, -2.976918575961191]"
2,2.0,"[0.477250918093453, 0.404693412550891, -2.977008377835147]"
3,3.0,"[0.4629020249010949, 0.4375542772309367, -2.975220956587183]"
4,4.0,"[0.4467355118604191, 0.44948525456025834, -2.9806996354912827]"
5,5.0,"[0.45397080724769817, 0.4398351892752294, -2.9797918274017654]"
6,6.0,"[0.4342775427361515, 0.43091737109030026, -2.991137932221225]"
7,7.0,"[0.4392544601497279, 0.41832741830870723, -2.9986249875404685]"
8,8.0,"[0.4440865273049737, 0.4063276925255401, -3.0003542062659037]"
9,9.0,"[0.4479060447070756, 0.4016070394232685, -3.0057707945819443]"
10,10.0,"[0.44092518730838093, 0.4133880277105283, -3.0046109264384095]"
11,11.0,"[0.42360464506804646, 0.40849796990449816, -3.0073229207779373]"
12,12.0,"[0.43466597355877207, 0.4104794678467807, -3.0106959278825345]"
13,13.0,"[0.43565021346626065, 0.40975588079560005, -3.0119477664924865]"
14,14.0,"[0.4248691585175952, 0.4096857661004479, -3.0121260210901433]"
15,15.0,"[0.43406718620600404, 0.3841626633981512, -3.022037164216466]"
16,16.0,"[0.44698520400664604, 0.37498448302699366, -3.0315062020326238]"
17,17.0,"[0.4463304048051897, 0.37991111929573357, -3.0299842761163287]"
18,18.0,"[0.4583894266248094, 0.3803990225760098, -3.0265837386598826]"
19,19.0,"[0.47880198507226274, 0.4022435122993637, -3.0159183618737013]"
20,20.0,"[0.4809031774087788, 0.39623718465126323, -3.01855205809796]"
21,21.0,"[0.4940444648384296, 0.38845144363014955, -3.022413343247434]"
22,22.0,"[0.49457523563128436, 0.3941134593549233, -3.0226891439953176]"
23,23.0,"[0.4966064846965746, 0.39555678551253237, -3.0249572815305172]"
24,24.0,"[0.5035058637315444, 0.40895050188649185, -3.022582830986535]"
25,25.0,"[0.49192747386057234, 0.42186679651147124, -3.0207573021722247]"
26,26.0,"[0.47843752696700187, 0.38427377801935636, -3.015593397106192]"
27,27.0,"[0.4680802269134487, 0.34862378911152925, -3.009741810240319]"
28,28.0,"[0.495533978063022, 0.32065144855075933, -3.0135311838483307]"
29,29.0,"[0.4883379341762161, 0.31487828928869904, -3.022387861593995]"
30,30.0,"[0.4763276953941767, 0.3365490443570386, -3.0308142623817473]"
31,31.0,"[0.4508924121083061, 0.33098713681419556, -3.04192951324501]"
32,32.0,"[0.4332882488812768, 0.31056629388911583, -3.0413769278411067]"
33,33.0,"[0.41889640613799606, 0.28303492860073765, -3.039977629986047]"
34,34.0,"[0.41814682509079837, 0.24456836860154466, -3.0525217771303677]"
35,35.0,"[0.4364296432594458, 0.2465838900082016, -3.058518134110434]"
36,36.0,"[0.4110160377495276, 0.2658501368155356, -3.0591927551941116]"
37,37.0,"[0.4091632042440269, 0.28772605760915837, -3.0553142149270363]"
38,38.0,"[0.42796842244605804, 0.30877189287942935, -3.0488333270270784]"
39,39.0,"[0.44546711337484757, 0.3148366431692623, -3.047864938728848]"
40,40.0,"[0.4726582406696891, 0.3270481702965696, -3.0427393646662377]"
41,41.0,"[0.49664788736047666, 0.33151322940035066, -3.0429134331475516]"
