,Frame Number,Rotation Vector
0,0.0,"[0.6455826510123525, 0.2363912355653524, -3.0974124921988824]"
1,1.0,"[0.5849515363484725, 0.23380632198457924, -3.1193479287680734]"
2,2.0,"[0.5516838619135949, 0.1909664340123983, -3.1384324921894375]"
3,3.0,"[0.5329033079964809, 0.20235155674551042, -3.162814009274866]"
4,4.0,"[0.5183692570189727, 0.20437612044385275, -3.158389661304343]"
5,5.0,"[0.5599958742485057, 0.17729093318388722, -3.144650663004424]"
6,6.0,"[0.5958575534143007, 0.16504557594625843, -3.1391130641237774]"
7,7.0,"[0.6360561028736236, 0.17052297783958725, -3.1068410574106884]"
8,8.0,"[0.6578769323015048, 0.20135040977707147, -3.1066111546768522]"
9,9.0,"[0.6594063312847448, 0.2088143095336512, -3.112374714385252]"
10,10.0,"[0.6429464203935614, 0.18956745551329324, -3.1063959192576474]"
11,11.0,"[0.6176644876687114, 0.19115233474338317, -3.1148858392046286]"
12,12.0,"[0.6122038899674994, 0.1949266582927784, -3.1161200498035995]"
13,13.0,"[0.6175414028254694, 0.183471443271526, -3.1131437415922316]"
14,14.0,"[0.6601117596915088, 0.20044677770525404, -3.1080204862087855]"
15,15.0,"[0.673477600601326, 0.19451794177425558, -3.1030570599511034]"
16,16.0,"[0.7053899988453693, 0.18565366992799884, -3.0871995739686557]"
17,17.0,"[0.699658979588421, 0.1938548466803292, -3.0949704510724163]"
18,18.0,"[0.6925259939681726, 0.2086860037182962, -3.1044208080123488]"
19,19.0,"[0.683554633518441, 0.20624116996823605, -3.1119216794876934]"
20,20.0,"[0.6754463172871846, 0.2162326267358143, -3.101461881420284]"
21,21.0,"[0.7025522793572739, 0.18678644176068868, -3.076668904514175]"
22,22.0,"[0.7186223477211561, 0.15053036739751216, -3.0928272973749142]"
23,23.0,"[0.7506970192679682, 0.12647868568837595, -3.097715726645351]"
24,24.0,"[0.7626681117439613, 0.11775940975423754, -3.0981969060745103]"
25,25.0,"[0.7672332084457785, 0.118860133918327, -3.0946597521043158]"
26,26.0,"[0.722793053907569, 0.14275990261257138, -3.1148099729341863]"
27,27.0,"[0.6629332468336616, 0.13781970449537628, -3.1312945516103907]"
28,28.0,"[0.687758836197749, 0.12114573393745062, -3.1091551827618584]"
29,29.0,"[0.7242120690664482, 0.15471277415025875, -3.1066134821718507]"
30,30.0,"[0.7141920016763459, 0.17037602708217864, -3.095587916703684]"
31,31.0,"[0.7161078191833568, 0.19427557650352784, -3.0840136117838073]"
32,32.0,"[0.7205944996763648, 0.22508670632026884, -3.0710772551134204]"
33,33.0,"[0.7112348564109081, 0.2021421187464168, -3.086498999899688]"
34,34.0,"[0.688035145481286, 0.13270764349458272, -3.110322711236921]"
35,35.0,"[0.7273203395512543, 0.1378835205667666, -3.1181265632312885]"
36,36.0,"[0.7364861933858251, 0.13510122929767351, -3.108284513561881]"
37,37.0,"[0.6932878805190693, 0.10586569849803683, -3.1354181980211875]"
38,38.0,"[0.666693478691942, 0.09103329577629024, -3.1484464911601533]"
39,39.0,"[0.6872440460391704, 0.09301919718933681, -3.1557866333298827]"
40,40.0,"[0.6935798796681313, 0.11534176764940438, -3.1544850992804894]"
41,41.0,"[0.6734051934591349, 0.1309298210501268, -3.167695121897736]"
42,42.0,"[0.6843886990638235, 0.09633719994408324, -3.1572511157936467]"
43,43.0,"[0.6955905171898346, 0.11654227442405493, -3.1516150587243623]"
44,44.0,"[0.6854796626793392, 0.1316663133958391, -3.149817506898385]"
45,45.0,"[0.6634230410069208, 0.12852862379652338, -3.1526249068223633]"
46,46.0,"[0.661874235640792, 0.1512634644252373, -3.1539156897668423]"
47,47.0,"[0.6436224718756658, 0.18751009473717548, -3.1528381528259835]"
48,48.0,"[0.6609577709408568, 0.17310136026291031, -3.1364667283804333]"
49,49.0,"[0.6452204829984497, 0.1966843446993335, -3.148252622502582]"
50,50.0,"[0.6489308779248903, 0.1851241969072438, -3.1415111009749555]"
51,51.0,"[0.6282028248537874, 0.17523496529063093, -3.149367484742831]"
52,52.0,"[0.6206017890232061, 0.15196614245912907, -3.1503794478832425]"
53,53.0,"[0.6469278590908976, 0.1818000715951069, -3.154423344789454]"
54,54.0,"[0.6376438567440473, 0.1806288818689431, -3.157082133474578]"
55,55.0,"[0.6531560739590666, 0.17420076566350962, -3.1484272856008886]"
56,56.0,"[0.6407484982618238, 0.1435064235560122, -3.1485242895177117]"
57,57.0,"[0.658660381370928, 0.16539714127075497, -3.1443503050190817]"
58,58.0,"[0.6695090116464659, 0.15762021659339834, -3.138645276119202]"
59,59.0,"[0.6798494859743077, 0.16399991680604678, -3.1346461825859055]"
60,60.0,"[0.6594233674196199, 0.141697441336382, -3.1439849278840626]"
61,61.0,"[0.6503699268991824, 0.11969024478386979, -3.143172472950078]"
62,62.0,"[0.6519712947927269, 0.14579512918753096, -3.1362793839011682]"
63,63.0,"[0.6333790754959827, 0.13648652492935354, -3.129825387852165]"
64,64.0,"[0.6258788665649269, 0.13519833585240393, -3.130891995116406]"
65,65.0,"[0.6246934844929409, 0.1638543128660756, -3.1217455608358153]"
66,66.0,"[0.6465434043351548, 0.13796596808685205, -3.1219146426166717]"
67,67.0,"[0.6524436219786396, 0.14854621560448356, -3.1158077997695695]"
68,68.0,"[0.6372498016743582, 0.15499707543834124, -3.112891055235261]"
69,69.0,"[0.6218865252901383, 0.14662411451333826, -3.109271665494812]"
70,70.0,"[0.6267203160162071, 0.14751428911086034, -3.091231713362207]"
71,71.0,"[0.6475759704417545, 0.09791268582851116, -3.0979866944163574]"
72,72.0,"[0.6460250049280196, 0.10534601722214129, -3.084420423199867]"
73,73.0,"[0.60861773429996, 0.08756406783901784, -3.094073511194557]"
74,74.0,"[0.6259563687242954, 0.1391473608218187, -3.0522822556772695]"
75,75.0,"[0.593959748904861, 0.11603753140943456, -3.0817054407641993]"
76,76.0,"[0.6095797173324451, 0.11241833956233727, -3.082203953324244]"
77,77.0,"[0.555102926539797, 0.11110340055421301, -3.0742728960722645]"
78,78.0,"[0.602190169279901, 0.11029501218948454, -3.056387420248935]"
79,79.0,"[0.6000426155640396, 0.0715043790876328, -3.0670976431566186]"
80,80.0,"[0.5889140675493725, 0.0746890398681677, -3.0789809376981885]"
81,81.0,"[0.6102428446158434, 0.11587288657367749, -3.0430451463538115]"
82,82.0,"[0.6150311124828179, 0.10274214018338279, -3.0618664827058235]"
83,83.0,"[0.6212760872636998, 0.09327368794280091, -3.06796555454824]"
84,84.0,"[0.6121845957991967, 0.062185482662498015, -3.075456835060233]"
85,85.0,"[0.6159722387099318, 0.030864722606078743, -3.146127263406094]"
86,86.0,"[0.6167048645084346, 0.04264853900963289, -3.122322151595991]"
87,87.0,"[0.6201667199322458, 0.04604558495051719, -3.120091425988737]"
88,88.0,"[0.617120037130594, 0.03950926839439801, -3.1081542769563373]"
89,89.0,"[0.6273392552148231, 0.051344994690177836, -3.080691762803869]"
90,90.0,"[0.6215644480888511, 0.07303508363512877, -3.0930163544010614]"
91,91.0,"[0.6325695700687691, 0.06656725338393986, -3.0788827812943755]"
92,92.0,"[0.6296928827956443, 0.08330287017805632, -3.089943220449992]"
93,93.0,"[0.6092034452195234, 0.08277111280140124, -3.103917085122413]"
94,94.0,"[0.5873481987647616, 0.06631077169255667, -3.1060092062363283]"
95,95.0,"[0.6156533202427448, 0.0769015818618115, -3.1076652085407948]"
96,96.0,"[0.6157969904954048, 0.06077921194756238, -3.122454984284791]"
97,97.0,"[0.5541455591787681, 0.09799359925538695, -3.1763877381195424]"
98,98.0,"[0.5665172077532317, 0.1352187666158856, -3.1780089805901404]"
99,99.0,"[0.5609949915295581, 0.12376755461100018, -3.177581428691068]"
100,100.0,"[0.5457147698076293, 0.14076156571521278, -3.1891696915861396]"
101,101.0,"[0.5082813747816441, 0.10886177586571791, -3.217687198848585]"
102,102.0,"[0.49539988964237336, 0.09748684090051407, -3.217911808941896]"
103,103.0,"[0.4745669673721012, 0.11693314031588992, -3.234657820539862]"
104,104.0,"[0.4352038799210602, 0.1221011219271991, -3.257559414989737]"
105,105.0,"[0.4075826241297676, 0.13611745372865958, -3.2596164682870707]"
106,106.0,"[0.3769766879978041, 0.12056978790231002, -3.2620152344466793]"
107,107.0,"[0.3563694681889608, 0.1411441913214843, -3.260112106832027]"
108,108.0,"[0.3466006796294374, 0.15334795246868732, -3.26396166499555]"
109,109.0,"[0.32619913181067445, 0.1453509358469807, -3.2789871885841553]"
110,110.0,"[0.31757446415976526, 0.14629772987170872, -3.2811224605778406]"
111,111.0,"[0.3028641995622399, 0.1535939310684824, -3.2857014278809675]"
112,112.0,"[0.2744816410040144, 0.19142536982081473, -3.2657707102389133]"
113,113.0,"[0.2856619077597443, 0.15731688775800032, -3.253774616707183]"
114,114.0,"[0.25581215404967017, 0.1519911329886905, -3.2615708145088673]"
115,115.0,"[0.23914877517205477, 0.12487165329502439, -3.2740218022334413]"
116,116.0,"[0.2223155625494791, 0.1416440115152334, -3.2913772152413148]"
117,117.0,"[0.22799590312517723, 0.11664862617139841, -3.2980357023294746]"
118,118.0,"[0.20543485746850207, 0.15888238798402596, -3.3328801055420008]"
119,119.0,"[0.17268162936434697, 0.1879501951282793, -3.3385804342014938]"
120,120.0,"[0.18348192247783712, 0.21727161593428293, -3.3331332230630606]"
121,121.0,"[0.19968831132278264, 0.2162426133118658, -3.3252513346541024]"
122,122.0,"[0.17081036233362756, 0.21744658431446973, -3.33464185607139]"
123,123.0,"[0.1765686817626348, 0.2096686567375189, -3.317720703426468]"
124,124.0,"[0.1799327956628009, 0.217348995558026, -3.3186257280566265]"
125,125.0,"[0.15250135367449524, 0.2126153375346053, -3.3193952993927316]"
126,126.0,"[0.15785477160775427, 0.22717289778739533, -3.320733596383356]"
127,127.0,"[0.19332510678250964, 0.22864904422315022, -3.3132286593553033]"
128,128.0,"[0.21102902869456305, 0.19386138883268775, -3.2964916661813595]"
129,129.0,"[0.2440022396636022, 0.19439930419624302, -3.250088504086359]"
130,130.0,"[0.2605322253816722, 0.19407306175923422, -3.241859293643358]"
131,131.0,"[0.26249145777653543, 0.1921503017076774, -3.2360035413908754]"
132,132.0,"[0.3027618215833042, 0.14525014702074057, -3.2106902077381476]"
133,133.0,"[0.3307474309451938, 0.1329437483375893, -3.2251989380070225]"
134,134.0,"[0.3507785929518671, 0.13895775996278595, -3.224969484870165]"
135,135.0,"[0.3501833541103997, 0.1620944650348351, -3.239850593559145]"
136,136.0,"[0.34671634791586736, 0.16240698278471957, -3.2461707004520965]"
137,137.0,"[0.34298495498299886, 0.1682894552299705, -3.245007870268749]"
138,138.0,"[0.3420141375704695, 0.168411522852451, -3.2269293836668416]"
139,139.0,"[0.30634731068830295, 0.15683569692594626, -3.238250854456221]"
140,140.0,"[0.3208064498925492, 0.16372083352682973, -3.2542061262631514]"
141,141.0,"[0.297025527240671, 0.19473809637185613, -3.2574081814434837]"
142,142.0,"[0.24645069041557088, 0.2397311440638732, -3.2630773625199883]"
143,143.0,"[0.23879646742260355, 0.22309257012596923, -3.240113140229363]"
144,144.0,"[0.22629178700920358, 0.22302554004361372, -3.2388407943260433]"
145,145.0,"[0.20488774141462082, 0.23671592532757285, -3.239642806169356]"
146,146.0,"[0.20806450633559878, 0.20625261031925518, -3.2466912985235727]"
147,147.0,"[0.19905890979085641, 0.19984766481776453, -3.26029889605947]"
148,148.0,"[0.19540572254335314, 0.1928873709437603, -3.2572274670063863]"
149,149.0,"[0.1872043968633659, 0.2135563222948753, -3.2603243264332136]"
150,150.0,"[0.16820284131844732, 0.22813459804638828, -3.254504883330868]"
151,151.0,"[0.1769601899513547, 0.2177617913159547, -3.275233257283529]"
152,152.0,"[0.19042039061177532, 0.19802384592024033, -3.268546211599302]"
153,153.0,"[0.17760036583289904, 0.24046781798542652, -3.2627134296571514]"
154,154.0,"[0.17579286829694468, 0.23822763371139236, -3.239764027790372]"
155,155.0,"[0.1678677205983896, 0.2517335833208032, -3.2293722355823187]"
156,156.0,"[0.17296597069275005, 0.2988032239137519, -3.243769251175776]"
157,157.0,"[0.18017252570024733, 0.28189653003786924, -3.2286509536825085]"
158,158.0,"[0.19075588953642972, 0.27104402867678085, -3.2284083196295814]"
159,159.0,"[0.1973494798473652, 0.2980381263235599, -3.2263715629230094]"
160,160.0,"[0.2291755513209012, 0.27423265198797775, -3.216358262279865]"
161,161.0,"[0.26264870673577795, 0.22618861382240552, -3.204352547855419]"
162,162.0,"[0.2769774145399497, 0.2776398146851749, -3.209057585868424]"
