,Frame Number,Rotation Vector
0,0.0,"[-0.09176188268333617, 0.1196994089288471, -3.237779609937841]"
1,1.0,"[-0.08245552699304136, 0.11275648171294399, -3.2561077996560646]"
2,2.0,"[-0.04153430416260367, 0.11380700394696067, -3.271375954279536]"
3,3.0,"[-0.025531524873932537, 0.11893769147570678, -3.280837022226999]"
4,4.0,"[-0.026019011232399945, 0.12016196756322467, -3.279602392866155]"
5,5.0,"[-0.00905119865201669, 0.13812368589525517, -3.2788056536803647]"
6,6.0,"[-0.02664787039296904, 0.14942567009613952, -3.274325515194261]"
7,7.0,"[-0.0041943543066955994, 0.14886935103581603, -3.2598496534103427]"
8,8.0,"[-0.015727354309490647, 0.16514525821027395, -3.2404441655252016]"
9,9.0,"[-0.004167870785759084, 0.19728354411485813, -3.2116730907249593]"
10,10.0,"[-0.025268084854587633, 0.2008240395901983, -3.201726785637897]"
11,11.0,"[-0.07474523997475234, 0.22074187529512773, -3.1695608843774776]"
12,12.0,"[-0.060316016354796706, 0.23452217605724496, -3.1370015154586355]"
13,13.0,"[-0.10690667489587953, 0.27580589637727065, -3.0889282776860694]"
14,14.0,"[-0.13118695627782928, 0.27347068046471734, -3.07054859055314]"
15,15.0,"[-0.1424372540881668, 0.26190324650073593, -3.0616423265896477]"
16,16.0,"[-0.16046746996781552, 0.2767339871992146, -3.054205964288022]"
17,17.0,"[-0.17196804846928979, 0.2775610565049717, -3.0585949427468964]"
18,18.0,"[-0.1947402894535837, 0.2677447144096279, -3.041178991581084]"
19,19.0,"[-0.20442080229439072, 0.2809731228183136, -3.03744061332308]"
20,20.0,"[-0.2517894082848969, 0.2743685815927948, -3.0331996561922105]"
21,21.0,"[-0.2268859508019198, 0.2724589426874104, -3.0352220116338526]"
22,22.0,"[-0.2288220514084537, 0.2893449413510671, -3.0325366639962557]"
23,23.0,"[-0.23385424600014793, 0.28578215428142467, -3.046560227288958]"
24,24.0,"[-0.21920657391961315, 0.26704306094162306, -3.0605194779756535]"
25,25.0,"[-0.26362941654094046, 0.24475686128619195, -3.0594095982818135]"
26,26.0,"[-0.25629202547400703, 0.2582032078931895, -3.0701857960223795]"
27,27.0,"[-0.27167859934163524, 0.24840134291296156, -3.0730975422615443]"
28,28.0,"[-0.28046840326961303, 0.24589916690745747, -3.0904556863945696]"
29,29.0,"[-0.28937869775367087, 0.2418359197589525, -3.1000417062876626]"
30,30.0,"[-0.26377828060639164, 0.24579911969542667, -3.110551701729459]"
31,31.0,"[-0.2531034783155544, 0.1883078523967833, -3.13121261562908]"
32,32.0,"[-0.22882216555290014, 0.22708595504568083, -3.12888903202886]"
33,33.0,"[-0.22036204390689215, 0.2641667689265623, -3.114718799146547]"
34,34.0,"[-0.21088526160335716, 0.27505532658217, -3.0953265587182925]"
35,35.0,"[-0.1809951964157767, 0.31859872475386847, -3.067990255717653]"
36,36.0,"[-0.20028858892630855, 0.3444701561717471, -3.0263749775023627]"
37,37.0,"[-0.20555737289274434, 0.33157119518413514, -3.00356444075841]"
38,38.0,"[-0.2056544207411307, 0.32422330041473063, -3.0046620856140906]"
39,39.0,"[-0.1995812065863615, 0.3364311506880706, -3.0087133370443566]"
40,40.0,"[-0.1994566439981304, 0.3401937403719979, -3.010277966312342]"
41,41.0,"[-0.19991152556939207, 0.3706139285907494, -3.008256582989251]"
42,42.0,"[-0.19469573109183952, 0.3517350484837699, -3.010079527789133]"
43,43.0,"[-0.17901405918012978, 0.3313469148911333, -3.0166493966141776]"
44,44.0,"[-0.18240802811775, 0.2892245562758745, -3.0137711078317713]"
45,45.0,"[-0.16510279365331276, 0.2717796284944278, -3.0224765552205684]"
