,Frame Number,Rotation Vector
0,0.0,"[0.22642479530044535, 0.12375926816350914, -3.1429344292197223]"
1,1.0,"[0.31955548753326546, 0.22909417513224947, -3.092970187255636]"
2,2.0,"[0.2912264113052366, 0.08332292619684331, -3.115443007527811]"
3,3.0,"[0.33078551257254163, 0.19515635023921216, -3.140050278711473]"
4,4.0,"[0.3049874742173754, 0.3329433724657244, -3.134000538013559]"
5,5.0,"[0.2792329985191811, 0.37135987952867067, -3.1454356291999015]"
6,6.0,"[0.2581149643041794, 0.401667348667507, -3.125540812429784]"
7,7.0,"[0.2565957305632955, 0.3273549142989865, -3.0850191956876367]"
8,8.0,"[0.23046314594283313, 0.46902048543571234, -3.070901458722375]"
9,9.0,"[0.16835876996159188, 0.24055628716544997, -3.076300101231895]"
10,10.0,"[0.12863691047925863, 0.17391424816554293, -3.0548980478249317]"
11,11.0,"[0.1665253111845961, 0.1578826911448845, -3.059118442221744]"
12,12.0,"[0.6234770874298242, 0.12592544545491327, -2.953035262684696]"
13,13.0,"[0.6235756991927662, 0.12593636261064864, -2.9530445264042644]"
14,14.0,"[0.6230787791284564, 0.12576099734628354, -2.953020992405117]"
15,15.0,"[0.6233148659756182, 0.12583561646761807, -2.952995094691464]"
16,16.0,"[0.6231255741707493, 0.12577864257556529, -2.9529820634484545]"
17,17.0,"[0.6231160207049001, 0.12577853109717818, -2.952982547063173]"
18,18.0,"[0.6231148918278085, 0.12577446172831355, -2.952985174451732]"
19,19.0,"[0.6231131712365916, 0.12576840963843683, -2.952986385674337]"
20,20.0,"[0.6231172192981481, 0.12577019603487286, -2.9529884759052125]"
21,21.0,"[0.6231173617776171, 0.12577031886436332, -2.9529884296101714]"
22,22.0,"[0.6231174014652423, 0.1257702901682681, -2.952988423534788]"
23,23.0,"[0.6231174019618065, 0.12577029089180872, -2.9529884234817496]"
24,24.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
25,25.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
26,26.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
27,27.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
28,28.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
29,29.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
30,30.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
31,31.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
32,32.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
33,33.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
34,34.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
35,35.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
36,36.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
37,37.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
38,38.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
39,39.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
40,40.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
41,41.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
42,42.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
43,43.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
44,44.0,"[0.6231174019618065, 0.1257702908918088, -2.9529884234817496]"
45,45.0,"[0.6230854902414925, 0.1258572542162647, -2.952844512944962]"
46,46.0,"[0.6230957977405264, 0.12541245680390925, -2.9532882672439]"
47,47.0,"[0.6229722519495525, 0.1255832620092602, -2.9530255963073873]"
48,48.0,"[0.6230832227592741, 0.12540283098965402, -2.9532575555267324]"
49,49.0,"[0.6230831934453331, 0.1254033339032429, -2.95325750757136]"
50,50.0,"[0.6230832058259811, 0.1254031940885394, -2.953257519893863]"
51,51.0,"[0.6230832034450767, 0.12540323319488952, -2.9532575161958414]"
52,52.0,"[0.6230832043799416, 0.12540322231012385, -2.9532575171619686]"
53,53.0,"[0.6230832041824172, 0.12540322531016043, -2.953257516883642]"
54,54.0,"[0.6230832042542932, 0.1254032245213096, -2.953257516950324]"
55,55.0,"[0.6230832042452119, 0.1254032246184699, -2.953257516945603]"
56,56.0,"[0.6230832042432177, 0.12540322470910192, -2.953257516932967]"
57,57.0,"[0.6230832042466699, 0.125403224684386, -2.953257516934846]"
58,58.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
59,59.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
60,60.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
61,61.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
62,62.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
63,63.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
64,64.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
65,65.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
66,66.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
67,67.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
68,68.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
69,69.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
70,70.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
71,71.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
72,72.0,"[0.6230832042466699, 0.12540322468438606, -2.953257516934846]"
73,73.0,"[0.6235666417278946, 0.12541465865584292, -2.953190693256896]"
74,74.0,"[0.6235679858904214, 0.12541445493510117, -2.9531904047260964]"
75,75.0,"[0.6235683075259423, 0.12541456005937612, -2.9531903187478847]"
76,76.0,"[0.6235683905015531, 0.1254145427994091, -2.953190301386357]"
77,77.0,"[0.623568410188111, 0.12541455061400014, -2.9531902959736165]"
78,78.0,"[0.6235684101881114, 0.125414550614, -2.9531902959736165]"
79,79.0,"[0.6235684101881117, 0.12541455061399986, -2.9531902959736165]"
80,80.0,"[0.6318077232567257, 0.1334214778798386, -2.9552592683909107]"
81,81.0,"[0.6411466513018137, 0.1303964745065654, -2.952918151075404]"
82,82.0,"[0.6402794295817245, 0.1302836028956005, -2.9527798813257213]"
83,83.0,"[0.6408553634991285, 0.1304760483387405, -2.952866935301177]"
84,84.0,"[0.6405539438579335, 0.13019220273006998, -2.952953365847292]"
85,85.0,"[0.6406988522258575, 0.13030929926975068, -2.9529956228275123]"
86,86.0,"[0.6402573601787641, 0.13018012042439794, -2.9530191370580825]"
87,87.0,"[0.640598078771238, 0.1302530875934268, -2.953019147664899]"
88,88.0,"[0.6403956814838905, 0.13007985334530128, -2.9529988234853914]"
89,89.0,"[0.6403711253866016, 0.13023131515808897, -2.952988659432482]"
90,90.0,"[0.6403710368941702, 0.13023225821655612, -2.952988578186501]"
91,91.0,"[0.6403716847464874, 0.13023384565388016, -2.9529874890893204]"
92,92.0,"[0.6403709807964296, 0.13022032036901343, -2.9530012432187926]"
93,93.0,"[0.6403707735146585, 0.13023336046756653, -2.952987932996111]"
94,94.0,"[0.640370846405754, 0.13023298276113215, -2.952987956663155]"
95,95.0,"[0.6403708495009126, 0.13023308522665505, -2.9529879448361043]"
96,96.0,"[0.6403708540249091, 0.1302330581667663, -2.95298794668897]"
97,97.0,"[0.6401930289053132, 0.13012303164188, -2.953027283435826]"
98,98.0,"[0.640192645076726, 0.13012234590321872, -2.9530274487956123]"
99,99.0,"[0.6402731205797128, 0.13011407746116388, -2.9530581123378883]"
100,100.0,"[0.6411441432398386, 0.1302881629164841, -2.9531577237771143]"
101,101.0,"[0.6411459769273453, 0.13028871503169273, -2.953157228496312]"
102,102.0,"[0.6411464288956911, 0.13028863269713692, -2.953157129743435]"
103,103.0,"[0.6411465322657967, 0.13028867034615263, -2.9531571010466]"
104,104.0,"[0.641146558004927, 0.13028866401640962, -2.95315709559986]"
105,105.0,"[0.6411465637171174, 0.1302886665277135, -2.9531570939776217]"
106,106.0,"[0.6411465652693262, 0.13028866613464096, -2.9531570936402214]"
107,107.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
108,108.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
109,109.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
110,110.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
111,111.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
112,112.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
113,113.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
114,114.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
115,115.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
116,116.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
117,117.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
118,118.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
119,119.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
120,120.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
121,121.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
122,122.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
123,123.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
124,124.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
125,125.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
126,126.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
127,127.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
128,128.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
129,129.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
130,130.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
131,131.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
132,132.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
133,133.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
134,134.0,"[0.6411465652693265, 0.1302886661346411, -2.9531570936402214]"
