,Frame Number,Rotation Vector
0,0.0,"[-0.8964064416381611, 0.1132693514871411, -2.979817645673029]"
1,1.0,"[-0.9089020471215209, 0.11214213647442674, -2.9709391860563805]"
2,2.0,"[-0.951587285640263, 0.1308799517673997, -2.98799093850112]"
3,3.0,"[-0.9458522628408511, 0.13184164074018656, -2.9901535927053993]"
4,4.0,"[-0.939915049509635, 0.120156304122998, -2.9690612488286487]"
5,5.0,"[-0.9280349493548963, 0.11837665577824473, -2.9696068889582907]"
6,6.0,"[-0.912912452580898, 0.10978386725122863, -2.972451820999888]"
7,7.0,"[-0.924145324295071, 0.12241067719855578, -2.97349589083769]"
8,8.0,"[-0.9158885265354733, 0.11011213396801199, -2.9852143329069647]"
9,9.0,"[-0.8915685417147521, 0.09807781313036472, -2.9870094132260445]"
10,10.0,"[-0.8802597156932412, 0.10128799320543919, -2.9925965601911577]"
11,11.0,"[-0.8882907349090414, 0.10001237224067203, -2.9965204049809544]"
12,12.0,"[-0.9054019101693854, 0.09853563567257995, -2.995114549260808]"
13,13.0,"[-0.8908926301287093, 0.08471024124770797, -2.989238722560493]"
14,14.0,"[-0.8901188445291375, 0.08392398860527797, -2.9851273187556586]"
15,15.0,"[-0.8793861013003985, 0.08368651177724365, -2.9878159224809755]"
16,16.0,"[-0.8857978612204829, 0.0917818565903504, -2.9746637929748387]"
17,17.0,"[-0.9125773852925219, 0.09954580689095932, -2.9583966494727507]"
18,18.0,"[-0.9265173011737103, 0.10629333068965921, -2.957071192130973]"
19,19.0,"[-0.9329984897184065, 0.11257232386489542, -2.954152649537413]"
20,20.0,"[-0.9003013144215389, 0.10236502548371407, -2.9734579468188183]"
21,21.0,"[-0.8567970000043863, 0.08209500469801413, -2.991591847138876]"
22,22.0,"[-0.8627837397015279, 0.07866392936924808, -3.0012461226940035]"
23,23.0,"[-0.867575665577183, 0.09084261934440548, -2.9957331896343633]"
24,24.0,"[-0.8499529327922097, 0.08929339615073167, -3.0014780389741165]"
25,25.0,"[-0.869556804118021, 0.08573133024306968, -3.0017756437085534]"
26,26.0,"[-0.8656835720449353, 0.07950829655981456, -3.001658949649721]"
27,27.0,"[-0.8659146644772466, 0.08290614237538473, -3.0061492028878614]"
28,28.0,"[-0.870462190481163, 0.08219978549512758, -3.006009384589823]"
29,29.0,"[-0.8670232780944952, 0.08488581939344876, -3.0057713587007084]"
30,30.0,"[-0.8444352874416157, 0.10076731346330424, -3.000021243659398]"
31,31.0,"[-0.8314910970711372, 0.08881319869340112, -3.0026572057379193]"
32,32.0,"[-0.811691056902884, 0.07952301014561038, -3.004587728209137]"
33,33.0,"[-0.8093107373876551, 0.07448011547350664, -3.0042596653287785]"
