,Frame Number,Rotation Vector
0,0.0,"[-0.01838501374694017, -0.04992272662212376, -3.090290695192802]"
1,1.0,"[-0.005016424149782049, -0.08015776410102929, -3.0973228199566836]"
2,2.0,"[0.012629398544759978, -0.09424486404071007, -3.085202804829949]"
3,3.0,"[0.028724151228654266, -0.10870687014968029, -3.0735614004047482]"
4,4.0,"[0.025056700968460254, -0.103814312364531, -3.0747894683722996]"
5,5.0,"[0.024004628950346128, -0.10722508959043091, -3.0727569112266497]"
6,6.0,"[0.023974218941080313, -0.08320424049094839, -3.073768189965484]"
7,7.0,"[0.0245931299613244, -0.08526396025340051, -3.078048453548944]"
8,8.0,"[0.011074390932083617, -0.06163655956922945, -3.067549805856799]"
9,9.0,"[0.006367025568054554, -0.05126749477830366, -3.0684873775223087]"
10,10.0,"[-0.0028457398367442693, -0.03825825880157846, -3.0724923906990234]"
11,11.0,"[-0.015454296959939036, -0.025205076920144107, -3.079558340261303]"
12,12.0,"[-0.019731063227534602, -0.020178373789401582, -3.08060548572153]"
13,13.0,"[-0.005966516859734505, -0.02552761038118835, -3.082537765758001]"
14,14.0,"[0.020640224888460935, -0.031893326627827845, -3.0871417329216677]"
15,15.0,"[0.013148540546395008, -0.035087599306375, -3.0715125294882104]"
16,16.0,"[0.032088853684900435, -0.041858878972179436, -3.050048642976353]"
17,17.0,"[0.031815664379419, -0.06270733891738728, -3.040210991628521]"
18,18.0,"[0.037156456208964316, -0.07994789780633592, -3.04135772305739]"
19,19.0,"[0.02057882118700616, -0.08953736108695151, -3.0412861129145043]"
20,20.0,"[0.008157891156062696, -0.08444165216921817, -3.042572169331962]"
21,21.0,"[0.012175084347826673, -0.05499824338028766, -3.0377934238023268]"
22,22.0,"[-0.005546468588859793, -0.08993805633093105, -3.0373568516054785]"
23,23.0,"[-0.014638337154139628, -0.08426988434842178, -3.027763570688183]"
24,24.0,"[-0.04084623376291512, -0.10092418780892852, -3.016723105229125]"
25,25.0,"[-0.06401940904987911, -0.08919290235348057, -3.0175846703954017]"
26,26.0,"[-0.12920862933789082, -0.05923165308855963, -3.011744148264458]"
27,27.0,"[-0.14438799414308928, -0.0595523792312323, -3.017973722933211]"
28,28.0,"[-0.17617008813365914, -0.05636005689180221, -3.0067222511737524]"
29,29.0,"[-0.17843794925278214, -0.05863800628373284, -3.007901008510731]"
30,30.0,"[-0.18248284410567095, -0.04411552576794512, -3.0056111311125298]"
31,31.0,"[-0.16670847704703334, -0.04928400186353242, -3.0083338997916256]"
32,32.0,"[-0.1527858487323151, -0.1265876679355381, -3.0138867627794785]"
33,33.0,"[-0.15146072193424012, -0.13719482757261545, -2.997957849312955]"
34,34.0,"[-0.14544142146928024, -0.1669812128443917, -2.9911561713752017]"
35,35.0,"[-0.12288391625271478, -0.1649955338683406, -2.9911230859931988]"
36,36.0,"[-0.12385616842328567, -0.12900936524884574, -2.9880153891843104]"
37,37.0,"[-0.10724184251800879, -0.12231965427886303, -2.999071284637894]"
38,38.0,"[-0.12363922508773063, -0.09155023730389253, -2.999838739767154]"
39,39.0,"[-0.11234570196140001, -0.09842398247686722, -3.0084239777012516]"
40,40.0,"[-0.1258826401341653, -0.09132783045553979, -3.012248166188686]"
41,41.0,"[-0.1392392482824859, -0.08987914829267474, -3.0158573161189337]"
42,42.0,"[-0.1486029517385766, -0.09489131429537533, -3.018222279123075]"
43,43.0,"[-0.15573024077648162, -0.09174667711367597, -3.0150052656153927]"
44,44.0,"[-0.16006600391140594, -0.11647485943567384, -3.007566751797935]"
45,45.0,"[-0.16115068550327144, -0.08515115441704771, -3.005190112591974]"
46,46.0,"[-0.15009756020679044, -0.07071620968075042, -3.0062855705886795]"
47,47.0,"[-0.15314241275020143, -0.0723001892489704, -3.007066076174607]"
48,48.0,"[-0.15328282602339763, -0.012696457818287338, -2.987365057326357]"
49,49.0,"[-0.1497971230623415, -0.0025965997159105706, -2.987125393175806]"
50,50.0,"[-0.13439735029451347, -0.0009448818895568117, -2.987091604411498]"
51,51.0,"[-0.12328739826560728, 0.010208061836512475, -2.977278558690903]"
52,52.0,"[-0.1439394350064077, -0.008074432000398712, -2.9661236834629707]"
53,53.0,"[-0.14618409502128552, -0.008562501550420924, -2.96513890137075]"
54,54.0,"[-0.14085632387585637, -0.013008838811419315, -2.9635328654230366]"
55,55.0,"[-0.14259758115663496, -0.016592440213214037, -2.9675072059206653]"
56,56.0,"[-0.1464165006881544, -0.016203090744527256, -2.9649303384652828]"
57,57.0,"[-0.15055587451798816, -0.011416265956659268, -2.9675934725739026]"
58,58.0,"[-0.1387978274991824, -0.004226458645618355, -2.9781907394569753]"
59,59.0,"[-0.11299174703431039, -0.0019321908842047097, -2.9967333362439925]"
60,60.0,"[-0.090369059388218, 0.013494874881494931, -3.013619470532882]"
61,61.0,"[-0.06139873996063293, 0.001127640973014116, -3.0375655525109515]"
62,62.0,"[-0.051189084614748526, -0.006995874028483085, -3.0601624101102907]"
63,63.0,"[-0.0470393175446275, -0.00435996307676086, -3.070117437463797]"
64,64.0,"[-0.04381366345059168, 0.002974566789130428, -3.067525639072554]"
65,65.0,"[-0.047569605268063676, 0.010774991499034074, -3.069434428344565]"
66,66.0,"[-0.07109963028657493, -0.002356519078937042, -3.0586408013731208]"
