,Frame Number,Rotation Vector
0,0.0,"[-0.030093728021233748, 0.36734074663429217, -3.1294718933251295]"
1,1.0,"[-0.02551044324555135, 0.3682204893374675, -3.131073629619496]"
2,2.0,"[-0.03440745076164986, 0.3720019250330923, -3.126543863416283]"
3,3.0,"[-0.030203233220734583, 0.3928128143345008, -3.1291815611565723]"
4,4.0,"[-0.025508521557738608, 0.38863472554511364, -3.125380653401797]"
5,5.0,"[-0.020526100270084877, 0.36768761010322676, -3.1290178635942607]"
6,6.0,"[-0.015640122636120322, 0.3441027275740933, -3.133120958391737]"
7,7.0,"[-0.015809549080506247, 0.31586041344176924, -3.1427070261079657]"
8,8.0,"[-0.0123997894593369, 0.2485607778681411, -3.1621712624229534]"
9,9.0,"[-0.03261404211780854, 0.23101674977517858, -3.1627485215617894]"
10,10.0,"[-0.04526447080370144, 0.22620736626157473, -3.170746579929324]"
11,11.0,"[-0.09223628777473018, 0.2344019899542883, -3.1680165468245938]"
12,12.0,"[-0.15001420308470598, 0.22963368780530533, -3.1659708379608493]"
13,13.0,"[-0.19942408155630761, 0.2615445108180162, -3.1432128943234687]"
14,14.0,"[-0.2674108415009813, 0.28583870644249354, -3.126426270125405]"
15,15.0,"[-0.29164748366987503, 0.2953246426569463, -3.108870455856845]"
16,16.0,"[-0.3109564977189636, 0.27562625528554724, -3.101500288186476]"
17,17.0,"[-0.30357991152806246, 0.26978690482656553, -3.1079661941714365]"
18,18.0,"[-0.32697591076746196, 0.27219311243001093, -3.1065012731020865]"
19,19.0,"[-0.34737792818038526, 0.31205079032193334, -3.113724286549721]"
20,20.0,"[-0.33963763582283124, 0.31542220073222244, -3.116139573343199]"
21,21.0,"[-0.3443614121994955, 0.3046665154792057, -3.119025255508785]"
22,22.0,"[-0.3510405427127438, 0.3043234529036769, -3.1156284524132056]"
23,23.0,"[-0.3603331029090041, 0.309928174524777, -3.113102949472628]"
24,24.0,"[-0.37517282679962677, 0.3125691118583182, -3.1134515070105877]"
25,25.0,"[-0.39839759544958525, 0.3098876860725906, -3.1187247629344155]"
26,26.0,"[-0.3992548273997475, 0.31171210990337284, -3.1122620198572846]"
27,27.0,"[-0.3961192556885524, 0.3348879651128018, -3.12258280118948]"
28,28.0,"[-0.39615080575214595, 0.32838844808458206, -3.139391414868456]"
29,29.0,"[-0.42191357663018436, 0.3302297453608334, -3.1280788388107426]"
30,30.0,"[-0.43543994411824705, 0.3426681678973177, -3.127959853581152]"
31,31.0,"[-0.41528757770907254, 0.3349735989738566, -3.1316749518380056]"
32,32.0,"[-0.40747624955526984, 0.31812356419925447, -3.1290761825498126]"
