,Frame Number,Rotation Vector
0,0.0,"[-0.004164300576660838, 0.09285555404976178, -3.240785552357583]"
1,1.0,"[-0.04324495534965236, 0.110281062712217, -3.2545695956256355]"
2,2.0,"[-0.05715839244334107, 0.10943575601865554, -3.259272279905068]"
3,3.0,"[-0.061941878455116575, 0.12052875904890205, -3.2701924013384382]"
4,4.0,"[-0.07535084649077992, 0.12076787241904285, -3.282146071543721]"
5,5.0,"[-0.07761674317912118, 0.1016373228736361, -3.302754783077862]"
6,6.0,"[-0.07540532934479448, 0.10459538511045444, -3.3080405349486357]"
7,7.0,"[-0.07077667360712407, 0.06998388756697443, -3.3078992711358426]"
8,8.0,"[-0.06227096842047923, 0.050819443651352006, -3.330450286093079]"
9,9.0,"[-0.09904872482909272, 0.07520728737446727, -3.3665804469606986]"
10,10.0,"[-0.13692129049306104, 0.04177417201792041, -3.391886546382808]"
11,11.0,"[-0.06857156452526185, -0.010101829593681218, -3.414289884587176]"
12,12.0,"[-0.07721464469288766, -0.040080606549616364, -3.414786278118519]"
13,13.0,"[-0.09788869931544263, -0.05536795410390605, -3.439009481545017]"
14,14.0,"[-0.03237612348671047, -0.06561255827136234, -3.44079084570382]"
15,15.0,"[-0.04493196282458147, -0.05414951875657135, -3.4672437567225614]"
16,16.0,"[-0.04473867280729729, -0.078406672348196, -3.4466092992022346]"
17,17.0,"[-0.1125638987824706, -0.07955244344811715, -3.4818634219120934]"
18,18.0,"[-0.1207976256897654, -0.06165873086053647, -3.4588367540831095]"
19,19.0,"[-0.12717448228216943, -0.06866472306571103, -3.443086238268936]"
20,20.0,"[-0.13207345487476185, -0.023924583506468148, -3.385104703613945]"
21,21.0,"[-0.14682920565343865, -0.005757066565911597, -3.393031086244217]"
22,22.0,"[-0.12978770898979583, -0.0017969586955999908, -3.3892605600934607]"
23,23.0,"[-0.10080949371697165, 0.008717821312490511, -3.3810861313769687]"
24,24.0,"[-0.11877740871184413, 0.033858366721314086, -3.354018784455297]"
25,25.0,"[-0.15514657526064954, 0.03617552355094978, -3.4107215945175113]"
26,26.0,"[-0.19338078349905402, 0.0672206024803689, -3.408069983468972]"
27,27.0,"[-0.17795599601087314, 0.04691590497883368, -3.419399278451779]"
28,28.0,"[-0.21882534634533785, 0.02090021476808533, -3.4047927494352654]"
29,29.0,"[-0.1840296081995944, 0.03080111111266111, -3.409382831729717]"
30,30.0,"[-0.1584005731397191, 0.022225144675654382, -3.3871258540643567]"
31,31.0,"[-0.17725822967234078, 0.014851859937335695, -3.394426590936071]"
32,32.0,"[-0.14840039585104908, 0.008504918881064123, -3.3926847201466916]"
33,33.0,"[-0.1787810632468534, -0.003963788369929152, -3.3869237809462485]"
34,34.0,"[-0.133759119941005, -0.002433943042497266, -3.374026202805105]"
35,35.0,"[-0.17701727051673624, 0.009717278060289667, -3.373650586466727]"
36,36.0,"[-0.17730111481407185, 0.006553476293660545, -3.3556331916229603]"
37,37.0,"[-0.14530247899676318, -0.000421247976738703, -3.3559351180592336]"
38,38.0,"[-0.14682876729412841, -0.00740528760302106, -3.3456865223464334]"
39,39.0,"[-0.14340015086894511, -0.00396509188546257, -3.3501435629359193]"
40,40.0,"[-0.14703997116369633, -0.01608874076822626, -3.335092217610168]"
41,41.0,"[-0.13798168190482168, -0.030497692182206302, -3.3270126940431792]"
42,42.0,"[-0.12516812869628138, -0.035140462618857234, -3.3242162668719595]"
43,43.0,"[-0.1375421037163406, -0.028060129912015938, -3.350181963105207]"
44,44.0,"[-0.12318767116895189, 0.002426520174986024, -3.3617724611216926]"
45,45.0,"[-0.13467559460492529, 0.00802963569946639, -3.3736710112144204]"
46,46.0,"[-0.11959925035096003, 0.018964551816031038, -3.3684172295202504]"
47,47.0,"[-0.12086894211603103, 0.008878554351268645, -3.3724831597066878]"
48,48.0,"[-0.1244315905952264, -0.027147188530814857, -3.3617034296943547]"
49,49.0,"[-0.10980398387734754, -0.036444478570791174, -3.369778779346724]"
50,50.0,"[-0.1291313208226508, -0.03729415801540026, -3.344389405755345]"
51,51.0,"[-0.10392133345156114, 3.515786190708739e-05, -3.3547464331126022]"
52,52.0,"[-0.0896370010401152, 0.06930837356562605, -3.336744206856873]"
53,53.0,"[-0.10661225735488652, 0.07331383652091791, -3.3280469146321208]"
54,54.0,"[-0.10692545211034235, 0.08392088682217243, -3.32871957298874]"
55,55.0,"[-0.1003086945831724, 0.08368995594163253, -3.329240614980708]"
56,56.0,"[-0.09376338941426365, 0.07886270453750385, -3.3307673797211237]"
57,57.0,"[-0.09666110712203962, 0.08545542830286089, -3.333269608746236]"
58,58.0,"[-0.11295581732703389, 0.08213652493253448, -3.3314555246223287]"
59,59.0,"[-0.10879212531142081, 0.09234432831619346, -3.332252104099121]"
60,60.0,"[-0.10644978039635927, 0.0498147267020682, -3.3491474658911695]"
61,61.0,"[-0.10956667412736162, 0.05102190059732687, -3.3585200700973217]"
62,62.0,"[-0.12721387822638344, 0.05841174522955147, -3.349535849589419]"
63,63.0,"[-0.1452663061685931, 0.06715896784378324, -3.353890761824345]"
64,64.0,"[-0.1457073267900162, 0.06363171415130403, -3.354245616002105]"
65,65.0,"[-0.14939048501945096, 0.06596080016284503, -3.3505573747086905]"
66,66.0,"[-0.14537040885407543, 0.06717112863480693, -3.3478266212960097]"
67,67.0,"[-0.15002661152959265, 0.06341624252218729, -3.3509099686895594]"
68,68.0,"[-0.15242430507724555, 0.06694872299430982, -3.349595155089989]"
69,69.0,"[-0.14462605596223882, 0.07935937312354009, -3.3519765250220397]"
70,70.0,"[-0.15431911742827872, 0.09957307624838864, -3.3543733497129167]"
71,71.0,"[-0.1755317520583743, 0.09001036852494171, -3.3517153274266667]"
72,72.0,"[-0.19029524615601456, 0.0937339697741958, -3.3445779148226187]"
73,73.0,"[-0.2214793783351457, 0.0668164191264711, -3.3299643902662277]"
74,74.0,"[-0.2501372824199225, 0.03892792817082145, -3.327220785997769]"
75,75.0,"[-0.301518452077107, -0.003207507919859161, -3.3192750568362497]"
76,76.0,"[-0.3113866472881731, 0.022350557954337363, -3.3073917463099605]"
77,77.0,"[-0.33471285029239795, -0.008460310433801866, -3.3157541368516177]"
78,78.0,"[-0.3492697167923664, -0.01893577471714406, -3.3320118202734506]"
79,79.0,"[-0.39923515940555193, 0.009989996913668786, -3.322825743697405]"
80,80.0,"[-0.42256903818683184, 0.02099350362687595, -3.334902437700991]"
81,81.0,"[-0.4192334810604896, 0.02874932741930785, -3.3468990340086684]"
82,82.0,"[-0.48631006536977595, 0.07930521371244985, -3.310179982746533]"
83,83.0,"[-0.4796728849658559, 0.10562771375047149, -3.3041226228481504]"
84,84.0,"[-0.4731875285768483, 0.12640679399752763, -3.283218562104792]"
85,85.0,"[-0.4446140343439992, 0.12953132483693675, -3.2869564364713417]"
86,86.0,"[-0.44921090667183283, 0.13250520792953066, -3.2844523142634707]"
87,87.0,"[-0.4333330315874146, 0.18925940698884264, -3.273834727789816]"
88,88.0,"[-0.4221385273669103, 0.21301316367748163, -3.2451695970446384]"
89,89.0,"[-0.4157834997243744, 0.20162167486956398, -3.2275855123645023]"
90,90.0,"[-0.3981578424318234, 0.2084901317723857, -3.230694430772485]"
91,91.0,"[-0.39635090727497535, 0.21533560794571918, -3.2362119850101667]"
92,92.0,"[-0.43130678542236195, 0.18121614688720286, -3.250623054860118]"
93,93.0,"[-0.4291633935071825, 0.17912358854455115, -3.2633568081847355]"
94,94.0,"[-0.4233134091264345, 0.19743796793051918, -3.2631402711972304]"
95,95.0,"[-0.42103352617604367, 0.18966195884987716, -3.2674631837117576]"
96,96.0,"[-0.4203988599485676, 0.17781783496687867, -3.264641098372128]"
97,97.0,"[-0.43722473093324965, 0.17114925817851737, -3.2669921443931575]"
98,98.0,"[-0.44427511027522265, 0.17425495471975225, -3.2796472007739204]"
99,99.0,"[-0.43034575123043955, 0.176492357505832, -3.276145080938529]"
100,100.0,"[-0.42974187780245726, 0.18601775805513876, -3.277680274704225]"
101,101.0,"[-0.43282201797225417, 0.1726695988905221, -3.2927233331674115]"
102,102.0,"[-0.4281296379927855, 0.18569444008016048, -3.2972180632183745]"
103,103.0,"[-0.4408207017277604, 0.1768098218300203, -3.30431368960072]"
104,104.0,"[-0.46443955497903494, 0.15779606758155124, -3.3174083546082023]"
105,105.0,"[-0.4494369918120879, 0.20474335142536484, -3.307596659329341]"
106,106.0,"[-0.4515692317304373, 0.17359568414563298, -3.3209111195555656]"
107,107.0,"[-0.4470934924002918, 0.16578083761521722, -3.3139852764837756]"
108,108.0,"[-0.44386410222699224, 0.17194332669411658, -3.322533955359827]"
109,109.0,"[-0.45123907292116444, 0.15325340029043147, -3.323706135913043]"
110,110.0,"[-0.45455597502396106, 0.15787588760907637, -3.320468942696114]"
111,111.0,"[-0.4390109880315884, 0.14364212945021512, -3.3205373839513244]"
112,112.0,"[-0.4345669221614304, 0.14926798021906662, -3.319414578481463]"
113,113.0,"[-0.43368784811119165, 0.13990355461102197, -3.3037509386100155]"
114,114.0,"[-0.4376859307867567, 0.15106220702103867, -3.296393282171525]"
115,115.0,"[-0.4446457649879621, 0.14169115691984896, -3.2866714293688397]"
116,116.0,"[-0.4577824794262427, 0.11475427842960151, -3.2698490537260834]"
117,117.0,"[-0.44638372149832556, 0.11718644918684284, -3.2588711627931537]"
118,118.0,"[-0.4472106460628713, 0.11807960065943691, -3.245712400854753]"
119,119.0,"[-0.4228852369537896, 0.10790689429591861, -3.2329245253494316]"
120,120.0,"[-0.4006441774356295, 0.09256221302441486, -3.2136306967438135]"
121,121.0,"[-0.4045727142141196, 0.10016444446541005, -3.1796574485752007]"
122,122.0,"[-0.39969190824390455, 0.10489439599784356, -3.1498514401436735]"
123,123.0,"[-0.39739088032182424, 0.15049614499353273, -3.130948238916008]"
124,124.0,"[-0.3784076804226834, 0.16502297606816504, -3.110815747698587]"
125,125.0,"[-0.3562511333798039, 0.19703483331089214, -3.0898336574531413]"
126,126.0,"[-0.3358583058362254, 0.247918976387851, -3.0691323543129876]"
127,127.0,"[-0.31971508940246773, 0.26685934902968944, -3.0629351776455738]"
128,128.0,"[-0.3246860960444919, 0.2805352684447474, -3.067615747790456]"
129,129.0,"[-0.3161394218201644, 0.29842862604635684, -3.0630793119697937]"
130,130.0,"[-0.3154063212755174, 0.28711274311394525, -3.066695294055844]"
131,131.0,"[-0.3109339957993374, 0.29475207517823454, -3.0716811131064885]"
132,132.0,"[-0.3316083605465407, 0.3010434409213949, -3.071285223295192]"
133,133.0,"[-0.32236986950274626, 0.2779491888481152, -3.0801386717565244]"
134,134.0,"[-0.34704150866358346, 0.30812543942944653, -3.0792928571609104]"
135,135.0,"[-0.35450094755497213, 0.32201091180824537, -3.0795959777455035]"
136,136.0,"[-0.3486408155956359, 0.29335016100537853, -3.0753643514177513]"
137,137.0,"[-0.3689693811103884, 0.3306762901927411, -3.070126079036316]"
138,138.0,"[-0.3611355108935353, 0.29758413554869817, -3.079035181860164]"
139,139.0,"[-0.3675085249505168, 0.2934909859699199, -3.085086192490674]"
140,140.0,"[-0.36601701307577483, 0.2973471118347522, -3.085518446942161]"
141,141.0,"[-0.35907961356545653, 0.2844289048224163, -3.0858863659216023]"
142,142.0,"[-0.3655462005131973, 0.28915743801608296, -3.0845991748982575]"
143,143.0,"[-0.35570539420304553, 0.27458609283269086, -3.088231691878468]"
144,144.0,"[-0.3673908446045636, 0.2872317081694258, -3.089810025838802]"
145,145.0,"[-0.38166393625424455, 0.27930143201060625, -3.090489600177695]"
146,146.0,"[-0.3546463455258776, 0.2733660411549563, -3.0937071167569408]"
147,147.0,"[-0.35017610038951247, 0.25800077032084484, -3.094168687214653]"
148,148.0,"[-0.3585810607915359, 0.23374209176191021, -3.1007240503057885]"
149,149.0,"[-0.35806584005676195, 0.2127442932949276, -3.108465611325317]"
150,150.0,"[-0.37899721566160044, 0.22445686179203242, -3.1117591031471634]"
151,151.0,"[-0.3782184001656443, 0.22671838107003855, -3.111835492629879]"
152,152.0,"[-0.3821961327108013, 0.22434858050683085, -3.110253110607482]"
153,153.0,"[-0.3840688193320348, 0.21964070589456217, -3.106485098964972]"
154,154.0,"[-0.38993072649318916, 0.226658576990097, -3.1063582236869407]"
155,155.0,"[-0.39672607551485517, 0.22454762470235065, -3.104084440002013]"
156,156.0,"[-0.3976317366495042, 0.22829983415117613, -3.108513366565735]"
157,157.0,"[-0.39816208393886243, 0.22572028217160303, -3.1074705754562926]"
158,158.0,"[-0.400895054331916, 0.23952388236697592, -3.1086652478726595]"
159,159.0,"[-0.4032403862851555, 0.2496875952113229, -3.1078104585903996]"
