,Frame Number,Rotation Vector
0,0.0,"[-0.3133345047851521, 0.23282164851494008, -3.063388938629599]"
1,1.0,"[-0.30454717318931057, 0.23285957908620605, -3.0625725193355007]"
2,2.0,"[-0.31872503223762705, 0.23306152642348205, -3.058600403048947]"
3,3.0,"[-0.3017677555298975, 0.2032564199280649, -3.080916726164543]"
4,4.0,"[-0.32409331520064066, 0.21638685582662812, -3.075251185042872]"
5,5.0,"[-0.31958798057914595, 0.19748255538336115, -3.0883007533470894]"
6,6.0,"[-0.32183368080532376, 0.21642676770298883, -3.078688155308594]"
7,7.0,"[-0.3180923227485758, 0.22140757852409823, -3.0758337064587833]"
8,8.0,"[-0.3213911053199538, 0.22743448408880398, -3.068924189635593]"
9,9.0,"[-0.3639279142622963, 0.25018124858680957, -3.0635048352158294]"
10,10.0,"[-0.3849396688250535, 0.19028664113436947, -3.0448955380998135]"
11,11.0,"[-0.3621585028997564, 0.1765263599876878, -3.0663893463222873]"
12,12.0,"[-0.36450092131154216, 0.20745997748917253, -3.0630217129252624]"
13,13.0,"[-0.37158055140445423, 0.23074073914271268, -3.050663442775952]"
14,14.0,"[-0.3681138371179599, 0.2709619578096876, -3.0505827489296564]"
15,15.0,"[-0.36510151933923685, 0.29473939096315815, -3.0464766533774514]"
16,16.0,"[-0.41632587831787, 0.3008546315154279, -3.0301061998009367]"
17,17.0,"[-0.4285187936448989, 0.3032594430070893, -3.019829715894588]"
18,18.0,"[-0.46794252288947447, 0.30840192224740004, -3.003743483541335]"
19,19.0,"[-0.5080137303986006, 0.3733908465994429, -2.9907577160269927]"
20,20.0,"[-0.4832402404685833, 0.357028682143724, -2.987322163024209]"
21,21.0,"[-0.4822861549861503, 0.3848001889466299, -2.9890593772080645]"
22,22.0,"[-0.5326943097136768, 0.4208438759831074, -2.963515090996772]"
23,23.0,"[-0.5428552375731484, 0.3977851050162671, -2.934932766663136]"
24,24.0,"[-0.5457579298302561, 0.42723586114908313, -2.9314313391255933]"
25,25.0,"[-0.516335341131016, 0.4285316571145632, -2.937338310623075]"
26,26.0,"[-0.5038201486622051, 0.4271892942755027, -2.9381696431805886]"
27,27.0,"[-0.473831775717119, 0.49052160786797605, -2.938807491960477]"
28,28.0,"[-0.4701010284902773, 0.3828886603516802, -2.948818379136563]"
29,29.0,"[-0.4636888334892025, 0.3176875383492024, -2.954364047213669]"
30,30.0,"[-0.4317623438513541, 0.28968558810664014, -2.968167352499321]"
31,31.0,"[-0.436994287058139, 0.28249495608988734, -2.966764766187127]"
32,32.0,"[-0.4677802505261186, 0.281001873154094, -2.9694499286250315]"
33,33.0,"[-0.47294510771623743, 0.27572683528006425, -2.9589260031779543]"
