,Frame Number,Rotation Vector
0,36.0,"[-1.3913700982054493, 0.38231907863818715, -2.839701300716315]"
1,37.0,"[-1.4344154529871518, 0.35342888638919534, -2.829347223296393]"
2,38.0,"[-1.4533158454949424, 0.34621076296289627, -2.8265882291085687]"
3,39.0,"[-1.474817740183464, 0.3511089338813467, -2.8249700734742005]"
4,40.0,"[-1.4946163520944866, 0.3462803353100898, -2.806377499596782]"
5,41.0,"[-1.5051775776112915, 0.34779885080248246, -2.781466345052133]"
6,43.0,"[-1.5222714199439364, 0.3505664580429492, -2.772933648888509]"
7,44.0,"[-1.5305068336249121, 0.36251730400250237, -2.7601687209216723]"
8,45.0,"[-1.5257141081469228, 0.3663434485621494, -2.7587592213629155]"
9,46.0,"[-1.5193154749677773, 0.38003705904029145, -2.7562191734418273]"
10,47.0,"[-1.5298742631730324, 0.3673891941407164, -2.7434747879561545]"
11,48.0,"[-1.5242913514415755, 0.38405361781142944, -2.7384826732252745]"
12,49.0,"[-1.514567809730945, 0.3802968306539566, -2.7348673741732314]"
13,50.0,"[-1.5038361562098814, 0.38957098413963775, -2.7424419247608056]"
14,51.0,"[-1.4875311676998964, 0.3898283872560089, -2.757182211265482]"
15,52.0,"[-1.4806937121308559, 0.3695836048840897, -2.7432851050126414]"
16,53.0,"[-1.4618194652239629, 0.3814078007256938, -2.7568365149018006]"
17,55.0,"[-1.5256851336687318, 0.3363260329090205, -2.726851727038061]"
18,56.0,"[-1.4644902532593065, 0.33521489391220227, -2.7920455624984375]"
19,57.0,"[-1.4905368391678027, 0.3267703152466129, -2.7603763968917168]"
20,58.0,"[-1.4912690307002314, 0.32546255318994255, -2.784975528594309]"
21,67.0,"[-1.5565412132437053, 0.31685918288918075, -2.759351325785016]"
22,68.0,"[-1.5597730820384323, 0.3237318842232023, -2.750965708214044]"
23,69.0,"[-1.5583951982795559, 0.3196196214573669, -2.7759533078976584]"
24,70.0,"[-1.5318593722358127, 0.3230031780119656, -2.7993453577135408]"
25,71.0,"[-1.5414681122153746, 0.32144387470577857, -2.786408712321572]"
26,72.0,"[-1.5662089746014995, 0.3109870934389331, -2.78300400895132]"
