,Frame Number,Rotation Vector
0,0.0,"[0.5471247807322265, 0.21028443065834296, -2.9630323313317124]"
1,1.0,"[0.5460085980185251, 0.23141387547621614, -2.954023614716121]"
2,2.0,"[0.5411709171089102, 0.22705156519963834, -2.96228699360497]"
3,3.0,"[0.5601255879263425, 0.2863208691429328, -2.94145052667843]"
4,4.0,"[0.5501833790580984, 0.3355588862496529, -2.9288083951474446]"
5,5.0,"[0.5118611701326702, 0.25097279975496367, -2.936164823942454]"
6,6.0,"[0.4825766192344072, 0.33215762372907986, -2.9307615581919015]"
7,7.0,"[0.4676923432861089, 0.32229785778430364, -2.9302713962970968]"
8,8.0,"[0.4802433810564133, 0.3180700667655347, -2.9384223528998192]"
9,9.0,"[0.4813779772009764, 0.28335233768707446, -2.937365914785404]"
10,10.0,"[0.5018297564580355, 0.44314821911890184, -2.9166227349866025]"
11,11.0,"[0.4877868691419366, 0.4388030474019202, -2.9120363422643956]"
12,12.0,"[0.4724147473150269, 0.4412984734531098, -2.92391301757099]"
13,13.0,"[0.5128577567853168, 0.3150080002766059, -2.927662338748697]"
14,14.0,"[0.5137814899070937, 0.2977300883904209, -2.9230015382609236]"
15,15.0,"[0.4938549468408142, 0.3754660732668564, -2.9288063334803978]"
16,16.0,"[0.5144195419781177, 0.29168122462053553, -2.9333267704128403]"
17,17.0,"[0.5361910879595996, 0.4276599387012583, -2.9268810219254116]"
18,18.0,"[0.5272596284312077, 0.37074760592431943, -2.9385314967795635]"
19,19.0,"[0.5462822221421032, 0.3047188931250566, -2.939084872645249]"
20,20.0,"[0.5140547749021027, 0.3537468281921397, -2.946130319191077]"
21,21.0,"[0.5408861018178139, 0.41369411183507193, -2.925963058191304]"
22,22.0,"[0.5513380065533118, 0.32113701615924206, -2.9348329800380255]"
23,23.0,"[0.5464367812855889, 0.3352991104651975, -2.932835135009051]"
24,24.0,"[0.560793666601441, 0.3954935733888488, -2.909719122542672]"
25,25.0,"[0.5775710516334943, 0.24906429750636763, -2.9213461776485805]"
26,26.0,"[0.5587764926244565, 0.4557291206928281, -2.9061664691567843]"
27,27.0,"[0.5692606316475703, 0.26758695593828236, -2.9324400805096995]"
28,28.0,"[0.5554310041675697, 0.3664275131848544, -2.9195138266024574]"
29,29.0,"[0.5479759821172592, 0.3397385211901419, -2.9203621124967474]"
30,30.0,"[0.549402004214352, 0.3015876690073786, -2.9171410698797855]"
31,31.0,"[0.5715199576834065, 0.3244316860978564, -2.901566203429179]"
32,32.0,"[0.5724847718365096, 0.28367729309402323, -2.8905601362348303]"
33,33.0,"[0.5663107187397073, 0.2594017308790912, -2.9116875450467723]"
34,34.0,"[0.5570983247488155, 0.2905612833140535, -2.8980094672382006]"
35,35.0,"[0.5645827274967838, 0.37073786302583284, -2.877508843524809]"
36,36.0,"[0.593555976834124, 0.2723904816387608, -2.869089120902484]"
37,37.0,"[0.5686293393404114, 0.33140622762287625, -2.861571231958946]"
38,38.0,"[0.5447157711461389, 0.31480193012822405, -2.8838680108781967]"
39,39.0,"[0.5394957730879726, 0.2947233348547058, -2.8971072131527555]"
40,40.0,"[0.5231611767111427, 0.331905930721342, -2.9050977333775108]"
41,41.0,"[0.5357291052899351, 0.31930955003830636, -2.913413291838759]"
42,42.0,"[0.5427590414599187, 0.33533030447352885, -2.928187521632827]"
43,43.0,"[0.5323868557841291, 0.3193942926273873, -2.9280113512325987]"
44,44.0,"[0.5209963546617583, 0.31981101402157025, -2.927451524065305]"
45,45.0,"[0.5273060880911495, 0.32489563775542174, -2.933684329151411]"
46,46.0,"[0.517513054235447, 0.2977464531674928, -2.9468561349698437]"
47,47.0,"[0.5115240816919638, 0.30227669771644883, -2.9455196960655776]"
48,48.0,"[0.5084652970129306, 0.30922431160905717, -2.934035288460832]"
49,49.0,"[0.4956734179720349, 0.34768595814776954, -2.926060942130125]"
50,50.0,"[0.4838988931741512, 0.41742286732985084, -2.9079929670719147]"
51,51.0,"[0.4754844381913022, 0.42659168485484156, -2.91180603779667]"
52,52.0,"[0.46444264795467327, 0.4033262630009885, -2.922204996929296]"
53,53.0,"[0.4669617683490174, 0.2932988666590483, -2.939974892227648]"
54,54.0,"[0.46830185206369085, 0.29512570340938155, -2.9487814886786246]"
55,55.0,"[0.4683062201390651, 0.2784252563052568, -2.9530428741382497]"
56,56.0,"[0.4756187540942136, 0.2855947385791884, -2.95477033160776]"
57,57.0,"[0.4529822948050847, 0.31428140800429316, -2.967621491125036]"
58,58.0,"[0.4579606590735955, 0.2880658804122357, -2.9639151072071153]"
59,59.0,"[0.45654807669430136, 0.31561893081358816, -2.9644299453605925]"
60,60.0,"[0.4499993982009104, 0.3013786810021208, -2.9645058963654893]"
61,61.0,"[0.4478187083521294, 0.3047199734225026, -2.967743491374684]"
62,62.0,"[0.44134985883630995, 0.31292848514700333, -2.96776517827546]"
63,63.0,"[0.44382914436439935, 0.30676647369110926, -2.967282239388929]"
64,64.0,"[0.4379189983253539, 0.3109004949583713, -2.970626846799991]"
65,65.0,"[0.4371833829149294, 0.2957462965975672, -2.9608342669572796]"
66,66.0,"[0.4284886365411595, 0.2991375278183042, -2.959272511675773]"
67,67.0,"[0.44406753346353756, 0.29126507940175334, -2.954698427260993]"
68,68.0,"[0.44660044133755306, 0.3035721743223835, -2.967905509567022]"
69,69.0,"[0.4458320678115646, 0.3074103203064488, -2.9653542673564712]"
70,70.0,"[0.44583157000028245, 0.31584601268317536, -2.956257548373957]"
71,71.0,"[0.44492871292317016, 0.28156619761584983, -2.960571227626101]"
72,72.0,"[0.4652419987345136, 0.25155458041019374, -2.9579626635126886]"
73,73.0,"[0.4672691058694716, 0.2516052272737409, -2.974260688574354]"
74,74.0,"[0.4894591016121748, 0.2573048242359275, -2.97232480622317]"
75,75.0,"[0.5005303571851958, 0.24532659674768986, -2.975501498845243]"
76,76.0,"[0.4869499385824742, 0.20564682515174407, -2.9881173764969726]"
77,77.0,"[0.4884989628891421, 0.23148186068732443, -2.992898685460415]"
78,78.0,"[0.4738732965022499, 0.23034568572864075, -2.9880120094736395]"
79,79.0,"[0.4846269664701987, 0.22603992101137965, -2.9786990531578525]"
80,80.0,"[0.4642948325420495, 0.18045272631939685, -2.984783398579851]"
81,81.0,"[0.495337544645438, 0.21092763045876378, -2.9851269062404104]"
82,82.0,"[0.4974947250772113, 0.19258028565442037, -2.976795879242516]"
83,83.0,"[0.5042358531229616, 0.17410285311519105, -2.979898833654181]"
84,84.0,"[0.5104453515638506, 0.18230021195017884, -2.976336422071775]"
85,85.0,"[0.4744356369581013, 0.136227689891131, -2.9859864920972403]"
86,86.0,"[0.45476349643771385, 0.11476546033034651, -3.0048138323072635]"
87,87.0,"[0.4754043208737714, 0.13240760975306395, -2.978117566439222]"
88,88.0,"[0.45638875252703154, 0.1450313756133631, -2.950411249560069]"
89,89.0,"[0.43841913324790954, 0.16292081234388892, -2.9477567493085512]"
90,90.0,"[0.43323438392374014, 0.2256753612640485, -2.9408088425919994]"
91,91.0,"[0.4512774587604442, 0.1568738271806453, -2.949270747363355]"
92,92.0,"[0.4527756878046476, 0.19313673002383175, -2.952688898487149]"
93,93.0,"[0.44924529050895223, 0.14473000023423643, -2.9566170335419963]"
94,94.0,"[0.46742688550245637, 0.1516322610617448, -2.9533078506889563]"
95,95.0,"[0.4486665572998154, 0.14251955296156008, -2.95949930636177]"
96,96.0,"[0.4328627892494664, 0.1555735519984378, -2.961348823693837]"
97,97.0,"[0.4291584141594982, 0.15709620377834824, -2.9615674085436283]"
98,98.0,"[0.4176377812849996, 0.156100058259342, -2.965490383681869]"
99,99.0,"[0.40011518857584916, 0.17056878119912833, -2.9580084441472345]"
100,100.0,"[0.41131870053998615, 0.14173857642131693, -2.964155657448559]"
101,101.0,"[0.4280825934293603, 0.14093071139497845, -2.9649766105317696]"
102,102.0,"[0.4428027231634265, 0.1579723617566802, -2.957520289867479]"
103,103.0,"[0.4485641568697768, 0.14478770786059392, -2.9500980242834363]"
104,104.0,"[0.47065311397602266, 0.13714760389664507, -2.9606368733171844]"
105,105.0,"[0.5003451986711923, 0.1589676455633475, -2.9590083953758217]"
106,106.0,"[0.5036631176849808, 0.1769482808037047, -2.9550841750030092]"
107,107.0,"[0.5104165410402611, 0.20470333478875233, -2.9515673205585533]"
108,108.0,"[0.5364835645561986, 0.2141930120220873, -2.938488514385397]"
109,109.0,"[0.519980162130661, 0.21031237029354216, -2.9617832262407617]"
110,110.0,"[0.5464101795164951, 0.2773073277893319, -2.929912418951206]"
111,111.0,"[0.5823717469027533, 0.29292023838872266, -2.8949703258142687]"
112,112.0,"[0.583055764013215, 0.2819359419485563, -2.9136391512639213]"
113,113.0,"[0.6204087945214758, 0.2791162499935446, -2.914589230415402]"
114,114.0,"[0.6211357119134586, 0.29700223810387283, -2.9118410528837746]"
115,115.0,"[0.6246741212081309, 0.3063485915730181, -2.906136661523715]"
116,116.0,"[0.6558380978286767, 0.3018339445907033, -2.9043366300581783]"
117,117.0,"[0.6608751376195589, 0.28815979197550634, -2.894115439543797]"
118,118.0,"[0.6823079327924594, 0.3145879353471008, -2.885803763221224]"
119,119.0,"[0.6751620839193972, 0.3340641381690764, -2.847805679731322]"
120,120.0,"[0.6817821967656171, 0.31741476074863445, -2.8489359062506328]"
121,121.0,"[0.6543635383008154, 0.3232886533355578, -2.8473458283551585]"
122,122.0,"[0.6593688879834819, 0.30085283115464534, -2.868615418575351]"
123,123.0,"[0.6661056928569217, 0.2976584058179714, -2.8875137377117577]"
124,124.0,"[0.6531506064566519, 0.30581450133163235, -2.886429860538615]"
125,125.0,"[0.6605425850084515, 0.27645493067231663, -2.8929011913320153]"
126,126.0,"[0.6329720982875725, 0.2899665625681568, -2.900681225961119]"
127,127.0,"[0.6181796075948686, 0.27517577193050197, -2.913504097028113]"
128,128.0,"[0.5869468986063595, 0.26946331411161756, -2.928268923059068]"
129,129.0,"[0.5613546540480869, 0.27050067136785455, -2.931812922801721]"
130,130.0,"[0.5349941830871935, 0.21374702795350548, -2.948065024241539]"
131,131.0,"[0.554105859223825, 0.1983188622137771, -2.9519916745674704]"
132,132.0,"[0.5172180096664087, 0.16146496538818822, -2.9662819813510475]"
133,133.0,"[0.5527056118024213, 0.14854275804192033, -2.96040797492047]"
134,134.0,"[0.4856817628890611, 0.14321951522841891, -2.988580038789774]"
135,135.0,"[0.5323047896434704, 0.14228328108715932, -2.975166696795556]"
136,136.0,"[0.5473362461973076, 0.18953419787751405, -3.004805834452725]"
137,137.0,"[0.49735663632555926, 0.06750518238693232, -2.9978676364355343]"
138,138.0,"[0.4447574061112557, 0.04670916001678498, -3.0334596085848284]"
139,139.0,"[0.48409652071341075, 0.0566144632586896, -3.043271415630167]"
140,140.0,"[0.4996591083162641, 0.013660840819626012, -3.046340177213044]"
141,141.0,"[0.49368653765602244, -0.011299538731960719, -3.0325837960801896]"
142,142.0,"[0.5001968642374589, -0.040730735862684296, -3.026559143700249]"
143,143.0,"[0.5057457201609725, -0.018192333006919515, -3.0126968868602177]"
144,144.0,"[0.5308045095508686, 0.05853250519902283, -3.0339497496635195]"
145,145.0,"[0.5794006991149832, 0.08674715903254686, -2.9996523486595157]"
146,146.0,"[0.5286801303858181, 0.07483627575159521, -2.9824274457947255]"
147,147.0,"[0.5012202443426066, 0.03533275068239956, -3.0026705459047056]"
148,148.0,"[0.5609525941101404, 0.06241773130146894, -2.9394415052714944]"
149,149.0,"[0.5418175938491603, 0.04793404594342849, -2.9616908904268406]"
150,150.0,"[0.5360208589496477, 0.06796165307829054, -2.9524428762583645]"
151,151.0,"[0.5060079476747102, 0.04481503772154866, -2.930389200308506]"
152,152.0,"[0.49166385515288713, 0.04894207944652847, -2.9288594566525754]"
153,153.0,"[0.47009749757776226, 0.018639025491104983, -2.972090591151902]"
154,154.0,"[0.5000683271243188, 0.02905540432852921, -2.9814616076847487]"
155,155.0,"[0.4313742921326669, 0.0007181303118643383, -2.9772157949113667]"
156,156.0,"[0.42653739582337236, 0.014400268349867604, -2.9771072199554522]"
157,157.0,"[0.4545094787270018, 0.05442583585426306, -2.978618825139738]"
158,158.0,"[0.4719856106808391, 0.06430674693742161, -2.9922723581139508]"
159,159.0,"[0.45870986035881106, 0.06484020638668557, -2.9913336640571293]"
160,160.0,"[0.46648036767765816, 0.08080984450907634, -2.9807694347265743]"
161,161.0,"[0.4948442330352439, 0.1098477568416486, -2.9750143365615216]"
162,162.0,"[0.5123453434530181, 0.09240972854661915, -2.9587421081567173]"
163,163.0,"[0.5243078319872075, 0.13261104805335416, -2.9546256777366633]"
164,164.0,"[0.5430537802577227, 0.14301936792439918, -2.9570465878390073]"
165,165.0,"[0.5833973080503105, 0.14963165961844777, -2.9431907800917245]"
166,166.0,"[0.5710405399965803, 0.17541656374449355, -2.9461106585697823]"
167,167.0,"[0.5981877065061951, 0.15956216558124875, -2.942519635979095]"
168,168.0,"[0.6219269342399284, 0.1643502812209215, -2.936332741890062]"
169,169.0,"[0.5999556617283844, 0.1821976347625292, -2.942993575423042]"
170,170.0,"[0.6072507424399743, 0.2189288052096549, -2.9399097129211493]"
171,171.0,"[0.6287164189895759, 0.26332882699218224, -2.9237129760650937]"
172,172.0,"[0.6245530870131104, 0.274515502648496, -2.921448051273339]"
173,173.0,"[0.6594604120342334, 0.30758325404742315, -2.905437832664273]"
174,174.0,"[0.6615395391239082, 0.3072998226994854, -2.903165424313893]"
175,175.0,"[0.7080832805739412, 0.3314162242713016, -2.880126088786096]"
176,176.0,"[0.680259136673347, 0.32486778531935673, -2.8913660094057114]"
177,177.0,"[0.690459532221528, 0.3222569262607837, -2.892032180248766]"
178,178.0,"[0.6839033560387257, 0.3232278053476825, -2.8959727932021404]"
179,179.0,"[0.7132353015444955, 0.3178214420861209, -2.8796086311537907]"
180,180.0,"[0.7082222863858293, 0.30513400976958616, -2.8836647394632027]"
181,181.0,"[0.7150739394579113, 0.2996176761412935, -2.8761386855483395]"
182,182.0,"[0.6871921647658865, 0.2958906524534771, -2.880120287621042]"
183,183.0,"[0.6642831400992629, 0.2574288697365427, -2.9026896829916695]"
184,184.0,"[0.6876762258573077, 0.25725332642219423, -2.8947861866159994]"
185,185.0,"[0.6456063277057299, 0.26091854332503156, -2.898235780106612]"
186,186.0,"[0.623992357226654, 0.23916672241846257, -2.9033439695620578]"
187,187.0,"[0.6292777923268671, 0.24736377640002064, -2.915905659737121]"
188,188.0,"[0.6166512757994446, 0.21709950354034274, -2.9338512554731895]"
189,189.0,"[0.6219333175229446, 0.2207259107972163, -2.931153319955899]"
190,190.0,"[0.6293371632577585, 0.19735484889299898, -2.935647852528669]"
191,191.0,"[0.5841958821734975, 0.17278024722788868, -2.9519838370351343]"
192,192.0,"[0.5910263510030317, 0.17068222785199144, -2.9449590958435006]"
193,193.0,"[0.5980594483630918, 0.18912622226955064, -2.9461888328988843]"
194,194.0,"[0.5690772768411126, 0.19798469992599124, -2.9514072099399264]"
195,195.0,"[0.5360231787009294, 0.298073973919388, -2.913214675983319]"
196,196.0,"[0.5081982296880617, 0.3589280382785027, -2.880944250338556]"
197,197.0,"[0.5673467101892969, 0.39233004935810323, -2.8498296287497804]"
198,198.0,"[0.6324494131361889, 0.42712749250019416, -2.8142441398162736]"
199,199.0,"[0.658058790521963, 0.4395336701307294, -2.8153994383897616]"
200,200.0,"[0.7161863179237938, 0.40658976429184707, -2.8402308903704907]"
201,201.0,"[0.747938483952876, 0.33874179343295546, -2.8411571036712657]"
202,202.0,"[0.8019889778005624, 0.28696019169743564, -2.8487366899119406]"
203,203.0,"[0.8103579509033483, 0.29082537640223804, -2.8426043790830082]"
204,204.0,"[0.7929784037790781, 0.29192171702481623, -2.8331743482773852]"
205,205.0,"[0.8109228226197369, 0.3207519573765305, -2.832390473949128]"
206,206.0,"[0.8229319654010968, 0.32970260007927277, -2.8333063467233117]"
207,207.0,"[0.8365330840599573, 0.3136735432725961, -2.828999193524784]"
208,208.0,"[0.8196670545881348, 0.3085288430287487, -2.847310292301457]"
209,209.0,"[0.8359071608625909, 0.3224669282058809, -2.833861395470273]"
210,210.0,"[0.8363012740712449, 0.3258743138423756, -2.8365685078215965]"
211,211.0,"[0.844303641837515, 0.3309765103392978, -2.82273957164262]"
212,212.0,"[0.8471232573229522, 0.33076308920399394, -2.8244947551197113]"
213,213.0,"[0.8524072437479983, 0.32493160760601925, -2.815642567078713]"
214,214.0,"[0.8573726770464032, 0.3080538774722236, -2.8246916262681965]"
215,215.0,"[0.8376055616542292, 0.3008781335930303, -2.820079319326085]"
216,216.0,"[0.8261597475354855, 0.30432147276485716, -2.8325749453101725]"
217,217.0,"[0.8129747694688412, 0.30491662574577133, -2.8392589962849315]"
218,218.0,"[0.796481573560202, 0.26781142227526733, -2.8538810766959446]"
219,219.0,"[0.7818537498010311, 0.25216584191091507, -2.862853516379107]"
220,220.0,"[0.7628415175946053, 0.25402803608784086, -2.8801282593843025]"
221,221.0,"[0.7340608796764121, 0.25923410574856587, -2.874789441543807]"
222,222.0,"[0.6872410914256198, 0.23250780782566272, -2.9159925050072295]"
223,223.0,"[0.6458264088067914, 0.2501795159783287, -2.9238186593640796]"
224,224.0,"[0.5636967318753286, 0.2299483798807005, -2.9312357528429147]"
225,225.0,"[0.5351949854974308, 0.23385917204672715, -2.9638901427525206]"
226,226.0,"[0.4927651741719894, 0.2555563254770293, -2.9768128293547775]"
227,227.0,"[0.42709801731958835, 0.271411718592719, -3.0039971783527974]"
228,228.0,"[0.38440131256790755, 0.2713986656682478, -3.0221525204702764]"
229,229.0,"[0.32279985696153257, 0.2225183676848219, -3.0307930454342835]"
230,230.0,"[0.2550472035099095, 0.24419131750651574, -3.035279901475111]"
231,231.0,"[0.22800573917672498, 0.3060205091892812, -3.052728416411013]"
232,232.0,"[0.12997631711421345, 0.301741320754875, -3.0754134539513647]"
233,233.0,"[0.12559450507508557, 0.2938109685327962, -3.0826933827274487]"
234,234.0,"[0.08124493573087227, 0.2770736931231023, -3.094634356062533]"
235,235.0,"[0.059424358441242504, 0.279535987130351, -3.093197559118084]"
236,236.0,"[0.0920090482817551, 0.29924328340738476, -3.0973905878415873]"
237,237.0,"[0.10127371610735252, 0.28700453536102766, -3.0914902098780863]"
238,238.0,"[0.03821328260819364, 0.2893674832479727, -3.1222967430740094]"
239,239.0,"[0.06256152582986027, 0.26728825537829576, -3.10706383171812]"
240,240.0,"[0.09528937494009934, 0.2859202097035254, -3.107463295714628]"
241,241.0,"[0.08577103833477795, 0.2692766373700927, -3.09861330344788]"
242,242.0,"[0.12409982731704786, 0.26713421568879264, -3.0963720327822863]"
243,243.0,"[0.09756085217844901, 0.3076477967700291, -3.084060311196814]"
244,244.0,"[0.1291706040192287, 0.30523762888211425, -3.0799567360153395]"
245,245.0,"[0.16496028223508952, 0.31254777199959055, -3.0743276753526048]"
246,246.0,"[0.1358355500858159, 0.3198311003341065, -3.0685764130959527]"
247,247.0,"[0.1543484289670892, 0.32361499303247726, -3.0708049521782335]"
248,248.0,"[0.15861670799141955, 0.27140845041733774, -3.0611756975051483]"
249,249.0,"[0.16588391601645344, 0.27923343859127386, -3.058055522345041]"
250,250.0,"[0.1715299778544044, 0.2427110227436695, -3.0603606952269207]"
251,251.0,"[0.1853945718671884, 0.2884565491952557, -3.0621897059636636]"
252,252.0,"[0.18750989075641314, 0.2731354520995672, -3.055218234403402]"
253,253.0,"[0.2165609118687842, 0.27556633860879476, -3.0620322000709366]"
254,254.0,"[0.24457705786361325, 0.26402715879235694, -3.0599961803594593]"
255,255.0,"[0.26616889320017956, 0.2557743385542809, -3.0605033203575593]"
256,256.0,"[0.2872530061111391, 0.23881161177690127, -3.050786787092186]"
257,257.0,"[0.30753946290749534, 0.235472200981658, -3.0518203665211736]"
258,258.0,"[0.3329599226015687, 0.25440927797169266, -3.047918849678266]"
259,259.0,"[0.3251119822921577, 0.24967186568955918, -3.0544703453283497]"
260,260.0,"[0.32575372610050235, 0.24187092776223837, -3.044974682376973]"
261,261.0,"[0.3362598582243129, 0.26513186927362054, -3.0444672444916514]"
