,Frame Number,Rotation Vector
0,0.0,"[-0.7738399826842047, 0.07459884645677599, -3.0077606075226586]"
1,1.0,"[-0.8008363897482171, 0.05503687903862321, -2.9856220946148944]"
2,2.0,"[-0.8087870497460256, 0.07455680665940446, -2.959773398652816]"
3,3.0,"[-0.804671012769173, 0.04876028509094913, -2.96314010904878]"
4,4.0,"[-0.8265580611204325, 0.02732535082472311, -2.9417042744395214]"
5,5.0,"[-0.8555332267906945, 0.03381542620896191, -2.9099592163818766]"
6,6.0,"[-0.8445535560844425, 0.01808889769115507, -2.9113673821060058]"
7,7.0,"[-0.7903423089244924, 0.012745670367233584, -2.9496343199127493]"
8,8.0,"[-0.8116333229351431, 0.017500467414482707, -2.931411890469426]"
9,9.0,"[-0.7962793762965727, 0.019757811386530034, -2.9374614476841594]"
10,10.0,"[-0.8036564961259052, 0.018879581917758678, -2.935344455389538]"
11,11.0,"[-0.8067700194131775, 0.017623019770529984, -2.9229794910978155]"
12,12.0,"[-0.7978389102963648, 0.05362349843811327, -2.9102656035413856]"
13,13.0,"[-0.8253808155172372, 0.0919548811407285, -2.891318416618269]"
14,14.0,"[-0.8470851061065481, 0.09476139600499581, -2.8811357499744514]"
15,15.0,"[-0.8536544642840512, 0.09177218584750493, -2.894006105264724]"
16,16.0,"[-0.8941426096941832, 0.06412509753337013, -2.875811346956406]"
17,17.0,"[-0.8147726435485539, 0.03203549009655222, -2.9173034026647553]"
18,18.0,"[-0.8233724688081276, 0.05748037247136883, -2.916083569219513]"
19,19.0,"[-0.8168460063018061, 0.05260012739946396, -2.9052660501104444]"
20,20.0,"[-0.8425832942366182, 0.062272584011461754, -2.903327634890535]"
21,21.0,"[-0.8606891388884944, 0.09939677100580517, -2.9065114797790303]"
22,22.0,"[-0.8762446545979566, 0.0800977361562443, -2.8883680462911996]"
23,23.0,"[-0.8593592976121003, 0.04838705994291787, -2.886303019178065]"
24,24.0,"[-0.8501541766473623, 0.038934568738283916, -2.876764898447931]"
25,25.0,"[-0.8824074646788665, 0.05788240809653188, -2.85883218764073]"
26,26.0,"[-0.871536507732689, 0.04623737383722225, -2.856372758003085]"
27,27.0,"[-0.8603689960521334, 0.059600242626738686, -2.8643654330758936]"
28,28.0,"[-0.8784073138221702, 0.04930084811904582, -2.852578616596255]"
29,29.0,"[-0.8531248520632014, 0.014116908444007429, -2.8548363502770098]"
30,30.0,"[-0.8258188260785251, 0.01451458395644993, -2.8490862145500953]"
31,31.0,"[-0.8418184678403342, 0.01355594883791551, -2.844754943300209]"
32,32.0,"[-0.8066082828474777, 0.024627704232981544, -2.868723779787798]"
33,33.0,"[-0.828121096381081, 0.04143373671361797, -2.852772713565555]"
34,34.0,"[-0.8438541692643696, 0.047035579540066166, -2.8436580835859915]"
35,35.0,"[-0.8767271391025698, 0.07635558097271036, -2.8396087574556845]"
36,36.0,"[-0.8564771906529571, 0.07395845923118409, -2.8622536747270995]"
37,37.0,"[-0.8774983534692574, 0.0989404720738009, -2.8583762461038402]"
38,38.0,"[-0.830750737301855, 0.0883215898664289, -2.88010672074996]"
39,39.0,"[-0.861044193381405, 0.07940333716423541, -2.8719204812740737]"
40,40.0,"[-0.9061446408013569, 0.057370894147377595, -2.8476779111399213]"
41,41.0,"[-0.9147673829910448, 0.057702283059923275, -2.8496498448418914]"
