,Frame Number,Rotation Vector
0,0.0,"[-0.737857856498677, 0.3968104200814367, -3.0376955454262853]"
1,1.0,"[-0.749605552067657, 0.364318260128505, -3.0351426009963203]"
2,2.0,"[-0.8263567247421488, 0.4011361750754188, -3.008999391561212]"
3,3.0,"[-0.8612858883674372, 0.395794359151934, -3.0073965941430827]"
4,4.0,"[-0.8556571025911202, 0.39750506023914767, -3.007081678013583]"
5,5.0,"[-0.7959156869562632, 0.33918595178440525, -3.0417329488181433]"
6,6.0,"[-0.7391567044478045, 0.31542979832278134, -3.066858226354867]"
7,7.0,"[-0.7030661817903852, 0.2914372353286483, -3.0720660090951504]"
8,8.0,"[-0.6947202906914006, 0.28997812970959785, -3.070486591817669]"
9,9.0,"[-0.6571926084384438, 0.3184650703628096, -3.068431281628671]"
10,10.0,"[-0.6232161461462288, 0.2841462979497156, -3.065853256326121]"
11,11.0,"[-0.6089155213666592, 0.33289492760639217, -3.0706465820231656]"
12,12.0,"[-0.6121329012740933, 0.32249828385257606, -3.0632278167448237]"
13,13.0,"[-0.658458664443949, 0.3976186245468148, -3.0537833789060818]"
14,14.0,"[-0.6961531962031737, 0.4241844964329567, -3.0422033801999757]"
15,15.0,"[-0.701254905634754, 0.41389989281328154, -3.0427672245332733]"
16,16.0,"[-0.671710362306882, 0.4196793113450623, -3.0393746757124416]"
17,17.0,"[-0.6728397423360427, 0.4280640011831112, -3.044154756940217]"
18,18.0,"[-0.6770237670446005, 0.4527576533813899, -3.050990485879348]"
19,19.0,"[-0.6478071490221572, 0.4298230177931675, -3.0539301139784305]"
20,20.0,"[-0.6535897015220836, 0.4587034833100787, -3.052702472024607]"
21,21.0,"[-0.6386704002152236, 0.454957905388163, -3.0625017240857106]"
22,22.0,"[-0.6457960464593202, 0.4095907416668554, -3.062037703646852]"
23,23.0,"[-0.6644951834263407, 0.42016326258639713, -3.0609905267808264]"
24,24.0,"[-0.6716740447463577, 0.4190652031064769, -3.0565290793779774]"
25,25.0,"[-0.6923166748917832, 0.4232293823717252, -3.0570871904768184]"
26,26.0,"[-0.6659045999104942, 0.4283470026743587, -3.0563596473695513]"
27,27.0,"[-0.7409556153958796, 0.45154538899868546, -3.0497849135275406]"
28,28.0,"[-0.8242808593577601, 0.42613520543422145, -3.0182656179747434]"
29,29.0,"[-0.8441121999469788, 0.44097570118526747, -3.015888732456666]"
30,30.0,"[-0.8453352777235335, 0.4624471395481852, -3.01359974985148]"
31,31.0,"[-0.8344486941321467, 0.44139879883606764, -3.0097636739650384]"
32,32.0,"[-0.83908599609681, 0.47190980229314244, -3.0206340800854408]"
33,33.0,"[-0.8277522554680987, 0.4852532351891382, -3.0341343285927267]"
34,34.0,"[-0.7893447452520138, 0.4417163723633141, -3.0268041930194762]"
35,35.0,"[-0.7681613763252233, 0.4292954106995682, -3.040106228447333]"
36,36.0,"[-0.7385433115603833, 0.46347379490435947, -3.047107489792712]"
37,37.0,"[-0.6961978847868993, 0.4871867299735895, -3.051318955865426]"
38,38.0,"[-0.6840316550481257, 0.47623529408893733, -3.0452234096380653]"
39,39.0,"[-0.6864460793196128, 0.48726240004467863, -3.0488326385419526]"
40,40.0,"[-0.7161935228870366, 0.5109590607350323, -3.0439783492053865]"
41,41.0,"[-0.7441970737908689, 0.5027662048206777, -3.032275694402017]"
42,42.0,"[-0.7211719776250815, 0.4981482032174894, -3.0368459704650035]"
43,43.0,"[-0.6993934877676543, 0.47933251284330314, -3.041145190045589]"
44,44.0,"[-0.6549898935361261, 0.4788090960950419, -3.051927842567788]"
45,45.0,"[-0.5799805808829152, 0.5381564827696823, -3.0512864831585653]"
46,46.0,"[-0.5562999470499826, 0.5436267973882156, -3.0613129280636464]"
47,47.0,"[-0.5166009601360564, 0.5903422983932508, -3.0724392252992034]"
48,48.0,"[-0.4726007365144279, 0.5869574796177506, -3.0702583879052527]"
49,49.0,"[-0.4318902985843106, 0.549677474307216, -3.0729795736440284]"
50,50.0,"[-0.4044185702104344, 0.5881501016657358, -3.081310767989535]"
51,51.0,"[-0.3740506616940902, 0.5944042890483703, -3.08097354452654]"
52,52.0,"[-0.35063277785010444, 0.5970080707084423, -3.0832401074149813]"
53,53.0,"[-0.3392923002272138, 0.6266282055152533, -3.07475023408249]"
54,54.0,"[-0.33201933254058724, 0.6529340834807313, -3.0783037600190495]"
55,55.0,"[-0.31530821901565764, 0.6762129694095784, -3.0793024050138853]"
56,56.0,"[-0.32597177101460356, 0.670588403747213, -3.0744870716249437]"
57,57.0,"[-0.31536095768572375, 0.6639517177849626, -3.0815486932233713]"
58,58.0,"[-0.31954547804245137, 0.6555135485045944, -3.08077386615991]"
59,59.0,"[-0.3117377058743284, 0.6515043771903736, -3.0867407435288987]"
60,60.0,"[-0.3231676209823398, 0.6513263802161716, -3.078405785858085]"
61,61.0,"[-0.3123549466109357, 0.6445929464169682, -3.0875824104345675]"
62,62.0,"[-0.30639821204906703, 0.6555567119111927, -3.0884800791882525]"
63,63.0,"[-0.31611128338864747, 0.6274712744554748, -3.0857542588466624]"
64,64.0,"[-0.30404702374038794, 0.6524120885295057, -3.0871262015587306]"
65,65.0,"[-0.3065096707846414, 0.6499441475745312, -3.0839266002398444]"
66,66.0,"[-0.29941350892816054, 0.6568800165403914, -3.0739827946831983]"
67,67.0,"[-0.31118465159173536, 0.6435975799901059, -3.078707891226779]"
68,68.0,"[-0.33062950910209565, 0.5659354384590508, -3.0895621457803477]"
69,69.0,"[-0.34166054862259215, 0.503944069675866, -3.0833817098429366]"
70,70.0,"[-0.3550367430805544, 0.4747732007672182, -3.079017938791853]"
71,71.0,"[-0.36343752972781346, 0.46158444321275616, -3.0842695793397037]"
72,72.0,"[-0.34629703671666384, 0.4362890994198033, -3.09297777093603]"
73,73.0,"[-0.31936439727191046, 0.4327032181053315, -3.1073141673875693]"
74,74.0,"[-0.2806360616209993, 0.38124542801767625, -3.1233725657710028]"
75,75.0,"[-0.24816622367797295, 0.36453835614034746, -3.126748604141742]"
76,76.0,"[-0.2289040702647094, 0.33539280231741087, -3.1327274407012142]"
77,77.0,"[-0.21556441168044924, 0.35930903388725577, -3.137713028129333]"
78,78.0,"[-0.20950115710250417, 0.32083422344574436, -3.1350291581926966]"
79,79.0,"[-0.20764074298254945, 0.31103927661606856, -3.137291922917835]"
80,80.0,"[-0.21412369927433839, 0.30425686992664186, -3.1362337058997714]"
81,81.0,"[-0.21772472484757, 0.3131012129203437, -3.1375700815682164]"
82,82.0,"[-0.20697402450439945, 0.3044346480064559, -3.137134809534147]"
83,83.0,"[-0.22270846563777663, 0.30157430479531966, -3.130468897655026]"
84,84.0,"[-0.23048117182731767, 0.29075555814108944, -3.131502000340452]"
85,85.0,"[-0.21454285204195858, 0.2692833590500351, -3.1408573579304004]"
86,86.0,"[-0.22589764960601452, 0.2522047915617543, -3.1359093223577257]"
87,87.0,"[-0.21086146790025478, 0.23506591625837903, -3.138304561171255]"
88,88.0,"[-0.20521689217704941, 0.2327561421505259, -3.1357424612366684]"
89,89.0,"[-0.22077633820742754, 0.20062377274257162, -3.135014259353697]"
90,90.0,"[-0.27453795878012516, 0.16875610679572187, -3.1299982513053837]"
91,91.0,"[-0.29808690655081144, 0.17467184369059507, -3.1307850233428662]"
92,92.0,"[-0.31465419946528683, 0.1814943303828001, -3.1357408719151416]"
93,93.0,"[-0.3044916367060274, 0.18806024332489646, -3.1367298799142227]"
94,94.0,"[-0.32366428801131525, 0.18756904231320182, -3.135590359482768]"
95,95.0,"[-0.33163581519278124, 0.22721164376804495, -3.1367464540267687]"
96,96.0,"[-0.3407791049590326, 0.22060461227638162, -3.130167999180304]"
97,97.0,"[-0.3609632087402865, 0.2667231753339017, -3.134551146727586]"
98,98.0,"[-0.3691111914695637, 0.28222432477006604, -3.132485589604285]"
99,99.0,"[-0.38173511287950224, 0.28720465591412947, -3.1277629756773857]"
100,100.0,"[-0.39926526320113415, 0.3422805051758669, -3.1137945753437997]"
101,101.0,"[-0.4266821200606895, 0.31981506631192613, -3.0992510987930944]"
102,102.0,"[-0.46245264348887055, 0.37406191368646385, -3.0919386848496373]"
103,103.0,"[-0.5113713612974229, 0.3489479576294915, -3.0894981477042407]"
104,104.0,"[-0.516015208743462, 0.412205856827031, -3.0883784907169347]"
105,105.0,"[-0.5654219845207183, 0.45972281161645584, -3.0915209674371837]"
106,106.0,"[-0.6223682577836667, 0.4826040703410473, -3.0894939149055745]"
107,107.0,"[-0.6239189855182344, 0.5370704858335359, -3.088887988897792]"
108,108.0,"[-0.5995426443812378, 0.5142892107287711, -3.096473235175334]"
109,109.0,"[-0.5489850349226303, 0.5326905217887336, -3.107479863448056]"
110,110.0,"[-0.5261304121661998, 0.5491971015550894, -3.120411491762134]"
111,111.0,"[-0.5365419109831595, 0.5655194576462467, -3.123607763638588]"
112,112.0,"[-0.5526471697288089, 0.5168099391901849, -3.129530911097295]"
113,113.0,"[-0.5669232315642843, 0.4725164698050196, -3.140732981201875]"
114,114.0,"[-0.560592887474942, 0.4603470850150106, -3.1404941820461425]"
115,115.0,"[-0.5831116568521667, 0.48814802084619346, -3.1372166597023843]"
116,116.0,"[-0.5863783183486495, 0.49231505793204305, -3.1289909087388668]"
117,117.0,"[-0.5565782440525924, 0.513006922348537, -3.134322493889299]"
118,118.0,"[-0.5494673409745208, 0.5028313727611557, -3.132121491318824]"
119,119.0,"[-0.5247421354702868, 0.48049566965513874, -3.1334028031829]"
120,120.0,"[-0.505763662943003, 0.4909072913156292, -3.14002286565646]"
121,121.0,"[-0.5159544573869245, 0.5278435982727626, -3.121509472972115]"
122,122.0,"[-0.5257995206188064, 0.5270593029301237, -3.1082423709834703]"
123,123.0,"[-0.522815278946238, 0.504061184055149, -3.0985486170322267]"
124,124.0,"[-0.6173490165274468, 0.5597243389698382, -3.069160496600651]"
125,125.0,"[-0.632109519338611, 0.5903671730583224, -3.0531723395209216]"
126,126.0,"[-0.6618283584503553, 0.6050394911357007, -3.035799964235409]"
127,127.0,"[-0.7071536360988306, 0.5876953605306907, -3.0440327350377743]"
128,128.0,"[-0.7176281123480437, 0.58692330881024, -3.034440050869163]"
129,129.0,"[-0.7109499447701811, 0.5918476588944243, -3.033140617197038]"
130,130.0,"[-0.7228201836084116, 0.5830382319232384, -3.034076003585096]"
131,131.0,"[-0.7282737054639541, 0.5441743926380908, -3.0381267837243318]"
132,132.0,"[-0.7287885841046319, 0.5034727335403072, -3.03410773524306]"
133,133.0,"[-0.6782674705730536, 0.49441603247222693, -3.0335380411324127]"
134,134.0,"[-0.5852765451502235, 0.46344576293652057, -3.0360216145240186]"
135,135.0,"[-0.5564373338296884, 0.4944175092068984, -3.03887868593911]"
136,136.0,"[-0.5452586742206326, 0.5472464836996438, -3.04200920888541]"
137,137.0,"[-0.5351677970012572, 0.572830759480708, -3.0463338518559744]"
138,138.0,"[-0.5213219069837185, 0.5922735506939553, -3.044594492217222]"
139,139.0,"[-0.5301367970263641, 0.5905217255103159, -3.0454954076751126]"
140,140.0,"[-0.5281509458474706, 0.57796358283548, -3.053392893787412]"
141,141.0,"[-0.5254666703400201, 0.5523167158425455, -3.059533967186189]"
142,142.0,"[-0.5084816063800819, 0.5356327108646413, -3.0643256471681557]"
143,143.0,"[-0.4974082446260685, 0.5315589923889555, -3.0626824524790575]"
144,144.0,"[-0.5230395372388106, 0.5555148494503719, -3.055056239064029]"
145,145.0,"[-0.4977693258602997, 0.5633385156279459, -3.0613637580393385]"
146,146.0,"[-0.48204218198821847, 0.6464783196001622, -3.0511559073504317]"
147,147.0,"[-0.45945819014893297, 0.6283105683730534, -3.059210226979047]"
148,148.0,"[-0.3987744417792858, 0.6648879755879702, -3.053797359109903]"
149,149.0,"[-0.37337414383763046, 0.6423838171759303, -3.054009434394571]"
150,150.0,"[-0.3221230740767191, 0.6193791355858687, -3.0615471781937784]"
151,151.0,"[-0.26882207756730697, 0.6344064578149536, -3.070342399206694]"
152,152.0,"[-0.2728296690174527, 0.6436773888212071, -3.0639483092572775]"
153,153.0,"[-0.24254173860664238, 0.6517312268611498, -3.0585513172409073]"
154,154.0,"[-0.2298719880064979, 0.6839105145307875, -3.037938008504271]"
155,155.0,"[-0.1646570077719161, 0.6761000607491182, -3.0521085103972396]"
156,156.0,"[-0.18882083043267225, 0.6248821213065519, -3.060752877440685]"
157,157.0,"[-0.1833014878349832, 0.647553289727786, -3.058928350207805]"
158,158.0,"[-0.21166519481695428, 0.6412765779466512, -3.0587135079302654]"
159,159.0,"[-0.23269129646218198, 0.6300733190307041, -3.0550492321078697]"
160,160.0,"[-0.2096153288860634, 0.6427150247078262, -3.0560927917839757]"
161,161.0,"[-0.2133806376119034, 0.6441584628353824, -3.0567088905812687]"
162,162.0,"[-0.23580897887585994, 0.6407071217139518, -3.05301749767124]"
163,163.0,"[-0.23842560500087398, 0.6348931702798124, -3.0477510642231986]"
164,164.0,"[-0.24678298237067464, 0.603979313275183, -3.0450732262741957]"
165,165.0,"[-0.23770823012495637, 0.6045337475180724, -3.0458445019520073]"
166,166.0,"[-0.25766640364066223, 0.5712763299009691, -3.05700931034539]"
167,167.0,"[-0.2807727358844598, 0.5784181896543756, -3.0637855523142243]"
168,168.0,"[-0.2817274695497233, 0.6260731306729282, -3.0640036843334784]"
169,169.0,"[-0.34390358256953035, 0.5645396924913171, -3.0664009311527196]"
170,170.0,"[-0.36625046095538033, 0.5839767801996816, -3.0834618958358737]"
171,171.0,"[-0.37623163701157725, 0.5960662980144776, -3.084800381472765]"
172,172.0,"[-0.4101536735178817, 0.667150117555595, -3.0710157736287456]"
173,173.0,"[-0.4108612432282581, 0.6962104895383896, -3.0608723312094006]"
174,174.0,"[-0.39440684617805316, 0.7190382998396395, -3.070141656662088]"
175,175.0,"[-0.3682924683884368, 0.7285782795783335, -3.065376302450481]"
176,176.0,"[-0.38069165734336086, 0.7309400821935198, -3.064363847871158]"
177,177.0,"[-0.4002036418992137, 0.7272539066170006, -3.069906619367397]"
178,178.0,"[-0.39998659539891124, 0.7154496745918595, -3.0788774871868214]"
179,179.0,"[-0.4007943310683559, 0.7026788194921562, -3.0784027338554445]"
180,180.0,"[-0.42116135896701323, 0.7137648238149208, -3.081989984661901]"
181,181.0,"[-0.4665161540857317, 0.5922722832320159, -3.103693566564572]"
182,182.0,"[-0.5104126199429522, 0.5444710593337158, -3.1085442689242937]"
183,183.0,"[-0.508355659497222, 0.5248423079088964, -3.1071292428154496]"
184,184.0,"[-0.5211026345534621, 0.512286509351057, -3.11217344973559]"
185,185.0,"[-0.49510930777875295, 0.5154020597094745, -3.1083536704164554]"
186,186.0,"[-0.5033442283730704, 0.5578672879299061, -3.1069214709158652]"
187,187.0,"[-0.48441028483899023, 0.5715171656558513, -3.100479632883064]"
188,188.0,"[-0.47014658418377087, 0.616051461511929, -3.087461210842513]"
189,189.0,"[-0.4614613361200796, 0.5912727422774533, -3.0669625095078485]"
190,190.0,"[-0.4102844612293693, 0.6245553155900023, -3.0489778687410825]"
191,191.0,"[-0.38052791890081844, 0.6322666288641546, -3.035284207721534]"
192,192.0,"[-0.3443408417330428, 0.7083691646197562, -3.0351823918574503]"
193,193.0,"[-0.361005440295337, 0.706914482820213, -3.0434906118435863]"
194,194.0,"[-0.36328073226790425, 0.6774918732454811, -3.0617808352400764]"
195,195.0,"[-0.38013963186143535, 0.7234411677365703, -3.061315002846209]"
196,196.0,"[-0.3791872896722611, 0.7220988995698117, -3.053996702186472]"
197,197.0,"[-0.37903959693227124, 0.6888166345976644, -3.0561501874564856]"
198,198.0,"[-0.39112862558415534, 0.6880000924916176, -3.0467460005771065]"
199,199.0,"[-0.4032800018461625, 0.6834661544793058, -3.047303300691398]"
200,200.0,"[-0.36632657105542976, 0.7135551522150224, -3.041675485298399]"
201,201.0,"[-0.380088699206322, 0.7160234546700238, -3.0397886146574464]"
202,202.0,"[-0.38351358007174763, 0.7160842522600211, -3.038053356540733]"
203,203.0,"[-0.38230664389901287, 0.7111707457210341, -3.0359992152334487]"
204,204.0,"[-0.38058792151646015, 0.6944653680245256, -3.035302490571214]"
205,205.0,"[-0.3906082612323801, 0.6738742208960712, -3.043510656878376]"
206,206.0,"[-0.40528558373143353, 0.6273020889019958, -3.0564178287832577]"
207,207.0,"[-0.41349141186973803, 0.5836682569297805, -3.0557702040723917]"
208,208.0,"[-0.38950973642757875, 0.5274768675536246, -3.0604068094857064]"
209,209.0,"[-0.40876161974265085, 0.49563894857518587, -3.059314862032926]"
210,210.0,"[-0.4012617005975235, 0.4472894063557272, -3.0614616544438236]"
211,211.0,"[-0.42238115968655454, 0.4198081425993483, -3.057762756380198]"
212,212.0,"[-0.4047818447301197, 0.4308524880716375, -3.0505864543048844]"
213,213.0,"[-0.4110548562937403, 0.41010800844221096, -3.051915635935655]"
214,214.0,"[-0.42120916606797704, 0.40101681935756855, -3.051944233291363]"
215,215.0,"[-0.4203633543640465, 0.3741839420072593, -3.054524997282411]"
216,216.0,"[-0.43634450640363476, 0.38165239589881583, -3.0480506298620176]"
217,217.0,"[-0.41453403710364034, 0.36946669574330904, -3.0546019133398983]"
218,218.0,"[-0.4066059697658758, 0.3855579500380141, -3.05266478319455]"
219,219.0,"[-0.42465255760093146, 0.39236121723217715, -3.046063044805318]"
220,220.0,"[-0.42250509985475326, 0.41953575440019186, -3.0455889257498634]"
221,221.0,"[-0.44093182646942003, 0.39366448149025346, -3.044741613532604]"
222,222.0,"[-0.39300417774954965, 0.40351673584351966, -3.048824568909979]"
223,223.0,"[-0.3721934586355358, 0.49305661235705, -3.0325858096372285]"
224,224.0,"[-0.36002753355805756, 0.47236908396299315, -3.0311061033357243]"
225,225.0,"[-0.32397626983629296, 0.41683457320942285, -3.0339773734090296]"
226,226.0,"[-0.29745070798168893, 0.41388852437620355, -3.0490045729763158]"
227,227.0,"[-0.2707633132262954, 0.4134853102245029, -3.0524706387592855]"
228,228.0,"[-0.22567963471818475, 0.3922800071387096, -3.0585638465438523]"
229,229.0,"[-0.19956151930570998, 0.40120858994778075, -3.0558889559331184]"
230,230.0,"[-0.20296375980275924, 0.41395973577428163, -3.0594297025011574]"
231,231.0,"[-0.20395431202176453, 0.43295824928658044, -3.058309202690389]"
