,Frame Number,Rotation Vector
0,0.0,"[0.6330334441701181, 0.24108309619749024, -3.2078973289728165]"
1,1.0,"[0.6081382757834112, 0.23218461506208754, -3.2138394418710523]"
2,2.0,"[0.6059209310877562, 0.2198069933430864, -3.211238320903081]"
3,3.0,"[0.6104917243190494, 0.2618441903638246, -3.2426270011910074]"
4,4.0,"[0.6017031225314886, 0.21692191800432103, -3.242068235338496]"
5,5.0,"[0.6013089191098461, 0.16756374102033023, -3.2435769847598532]"
6,6.0,"[0.5985712809510542, 0.09775776269010636, -3.2225413832786143]"
7,7.0,"[0.5736576093053589, 0.05736654731797608, -3.236142815372205]"
8,8.0,"[0.5896287213762936, 0.10554636383182683, -3.236338718763923]"
9,9.0,"[0.5908714433967617, 0.13806878963110736, -3.236216484426681]"
10,10.0,"[0.6154470658643483, 0.16628574571424884, -3.235632248686484]"
11,11.0,"[0.6151642685505844, 0.24621561505023723, -3.2369046797268655]"
12,12.0,"[0.6192752773840814, 0.27715074079711727, -3.2328167432179256]"
13,13.0,"[0.595642143065406, 0.26233428481858734, -3.233773891094367]"
14,14.0,"[0.6139148526376768, 0.2533080805178822, -3.2263253052525713]"
15,15.0,"[0.6187653395185532, 0.25955291959419313, -3.219600939291132]"
16,16.0,"[0.6219400279400802, 0.2643357134876089, -3.2129099284395384]"
17,17.0,"[0.6235640440151076, 0.2663669563908912, -3.2140485616871124]"
18,18.0,"[0.629613697054555, 0.2686978186200758, -3.211025794353003]"
19,19.0,"[0.6327999663882807, 0.2691768189081534, -3.2067285553487297]"
20,20.0,"[0.6384771637733403, 0.26758508705020223, -3.2059509481512642]"
21,21.0,"[0.6426044765570221, 0.2810564907283703, -3.2031083671026486]"
22,22.0,"[0.620950330492913, 0.28248963429798285, -3.2081611812484105]"
23,23.0,"[0.6266630505143452, 0.26030471865449256, -3.2031582046150544]"
24,24.0,"[0.6452809790174787, 0.2874651272257565, -3.216128016856391]"
25,25.0,"[0.6354973230435947, 0.19943576478875008, -3.2211427873480805]"
26,26.0,"[0.6335082051763017, 0.12315791964456807, -3.2229896151103774]"
27,27.0,"[0.6222895995882084, 0.09104181368841134, -3.2217312368013173]"
28,28.0,"[0.615886058668802, 0.06769671825638508, -3.2183311229073843]"
29,29.0,"[0.599711389543143, 0.07545798343678688, -3.2143237698119913]"
30,30.0,"[0.6297495249890357, 0.12849999788380292, -3.2231431146641967]"
31,31.0,"[0.6510154461970554, 0.16969073194120943, -3.223542981792429]"
32,32.0,"[0.6551383448114773, 0.21302136851222783, -3.2184565850940774]"
33,33.0,"[0.6542351456119777, 0.2526211015200258, -3.214071234647668]"
34,34.0,"[0.635137282427553, 0.29856627392205376, -3.221568237460101]"
35,35.0,"[0.6528020307760781, 0.2786772554599868, -3.20404445019042]"
36,36.0,"[0.6568493962500357, 0.3017234499733419, -3.1978418926451337]"
37,37.0,"[0.6428414932706757, 0.3353973638138536, -3.1979101101137926]"
38,38.0,"[0.6553849731360071, 0.38658899632509, -3.1833474136907385]"
39,39.0,"[0.6532896571106481, 0.3872831268406403, -3.1732452876507833]"
40,40.0,"[0.6609543950360802, 0.38776119987825236, -3.1694761557238103]"
41,41.0,"[0.658396870285693, 0.37154649743478685, -3.1719007380294952]"
42,42.0,"[0.6423752113805362, 0.35968837171687384, -3.1774428999097375]"
43,43.0,"[0.6385090260893891, 0.35569606197933296, -3.1711999778528335]"
44,44.0,"[0.6397486942980101, 0.3400332924715981, -3.174882056685099]"
45,45.0,"[0.6312797893156948, 0.332658514097031, -3.1763250860222603]"
46,46.0,"[0.6277288104818405, 0.3309676034343874, -3.1771344573111935]"
47,47.0,"[0.629442636889891, 0.32997127463007997, -3.17499524233357]"
48,48.0,"[0.6249853813670527, 0.31659036646297933, -3.173591206666374]"
