,Frame Number,Rotation Vector
0,0.0,"[0.4381794474269925, 0.026617301441125153, -2.988225797758252]"
1,1.0,"[0.4372345412564317, 0.058967592969054815, -2.9907912760372746]"
2,2.0,"[0.4502113330698245, 0.0991917435400482, -3.007333474574829]"
3,3.0,"[0.48690809930265583, 0.11137383903629466, -2.9909676429267917]"
4,4.0,"[0.5007233472329419, 0.11757141576483457, -2.9802621999272625]"
5,5.0,"[0.5355543562355086, 0.1361771386137635, -2.9906546378611067]"
6,6.0,"[0.5397411172919474, 0.12917370765628056, -2.9942296620361066]"
7,7.0,"[0.5077534533945136, 0.11196928229004652, -2.994320417845389]"
8,8.0,"[0.4920719692885899, 0.09985065114072508, -3.002238582147149]"
9,9.0,"[0.4778801507812235, 0.09286905062790998, -3.004530935475199]"
10,10.0,"[0.45841191427669853, 0.10031098997618831, -3.005322743087886]"
11,11.0,"[0.4696495687429015, 0.05788674482076214, -3.0043055964059615]"
12,12.0,"[0.43642156360677353, 0.010682976747386348, -3.0134349974582797]"
13,13.0,"[0.4411615383891366, 0.03684158649773305, -3.029065042015597]"
14,14.0,"[0.3739324055849291, -0.0005643552994387944, -3.0419265759470795]"
15,15.0,"[0.3350779496574213, -0.026698297905697107, -3.045409617431484]"
16,16.0,"[0.34930442736618006, -0.0612128402724994, -3.0330808408520338]"
17,17.0,"[0.3500973841128728, -0.044654496455707154, -3.0227037138668766]"
18,18.0,"[0.41822402398738945, -0.016571183622346147, -3.032726920518905]"
19,19.0,"[0.45104201350506995, 0.0030483017267665083, -3.0280632526566333]"
20,20.0,"[0.5572173959615883, 0.06008432046610972, -3.00701951878778]"
21,21.0,"[0.5855912578065138, 0.07675263906979513, -3.0077640939192993]"
22,22.0,"[0.5783022269455844, 0.0845687343501217, -2.9775122197900927]"
23,23.0,"[0.5663520585311576, 0.07739730846446068, -2.9709773967165045]"
24,24.0,"[0.5535295709980006, 0.09575858376394819, -3.004617105168676]"
25,25.0,"[0.4747167735952993, -0.02098626044335968, -3.0455547666963576]"
26,26.0,"[0.4026209576314542, 0.03871611125360904, -3.0582743386782525]"
27,27.0,"[0.37005225979936684, 0.04709973348170975, -3.0664998932634453]"
28,28.0,"[0.3322652270100719, 0.015550114510188751, -3.1024049035462222]"
29,29.0,"[0.23374432759746358, 0.037667915282573634, -3.1190275994594323]"
30,30.0,"[0.15666554784517955, 0.047281702193178496, -3.158363365509727]"
31,31.0,"[0.1385948332962767, 0.036321569134053135, -3.192965389418488]"
32,32.0,"[0.15329169542828153, 0.023363576917666093, -3.234627710928979]"
33,33.0,"[0.1436249254243938, 0.011555366922724295, -3.259979131105751]"
34,34.0,"[0.10217127894085822, 0.015271929994354784, -3.289832030415299]"
35,35.0,"[0.11419700991764725, 0.037721580386088444, -3.307991604805471]"
36,36.0,"[0.16447089033021398, 0.033129375097249655, -3.30829186893684]"
37,37.0,"[0.18655215402183103, 0.02313946680961543, -3.3093887714135577]"
38,38.0,"[0.23831965017586854, 0.026890925506280035, -3.3132451174684645]"
39,39.0,"[0.215269763789174, -0.006371675316442167, -3.3116927121748727]"
40,40.0,"[0.22321804595693862, -0.04302180402260221, -3.32068730572312]"
41,41.0,"[0.2231811855488262, -0.06630297794765268, -3.322319829796964]"
42,42.0,"[0.22469627337932752, -0.11492153414937295, -3.3288730379722913]"
43,43.0,"[0.256677739779849, -0.1449362836422842, -3.3197160207113]"
