,Frame Number,Rotation Vector
0,1.0,"[0.4147071518166233, -0.041021939991009296, -3.044531228760557]"
1,2.0,"[0.39687726311320076, -0.055971415977196216, -3.037162964774025]"
2,3.0,"[0.4379799923643662, 0.006642730159722315, -3.0758582737217752]"
3,4.0,"[0.37046099368737073, -0.029854954002555844, -3.091333692442423]"
4,5.0,"[0.36688809143475787, -0.027686170551866642, -3.091874698867427]"
5,6.0,"[0.4010648741711424, -0.07617466435510303, -3.1025561774872363]"
6,7.0,"[0.4035366912109782, -0.06727404852139024, -3.0946758594574737]"
7,8.0,"[0.38630840119790333, -0.07370579199888072, -3.088132242236157]"
8,9.0,"[0.38300529030659874, -0.08001595343561374, -3.0912436043346885]"
9,10.0,"[0.3874781629299602, -0.07920612199105599, -3.09453096799363]"
10,11.0,"[0.38592209011790124, -0.09683792055388686, -3.1116873615251857]"
11,12.0,"[0.3843304320912229, -0.15327815419283466, -3.1026929612218064]"
12,13.0,"[0.41407353971613226, -0.15803649091835914, -3.103444878056419]"
13,14.0,"[0.383438705296138, -0.07578434740821388, -3.0826258467336998]"
14,15.0,"[0.36514297218071473, -0.08897921945949536, -3.0757751819367183]"
15,16.0,"[0.34124763052029855, -0.09791678421644961, -3.088458722935568]"
16,17.0,"[0.38368555974659696, -0.11342415888738692, -3.1009495352055705]"
17,18.0,"[0.37959167511932307, -0.0935683481994701, -3.0952042643670925]"
18,19.0,"[0.35277013483996805, -0.08764611674701574, -3.0869291943545996]"
19,20.0,"[0.36154611468834025, -0.07609194786461601, -3.0643306057624295]"
20,21.0,"[0.36607556784436607, -0.09907801116438232, -3.07167220039772]"
21,22.0,"[0.372782090445635, -0.016179194146447695, -3.065071677380899]"
22,23.0,"[0.38346996358273977, -0.10857404082547051, -3.0703849180978073]"
23,24.0,"[0.4108371887369924, -0.08815370517445786, -3.088134070372928]"
24,25.0,"[0.3801909760925814, -0.033392864293633105, -3.0731571030590756]"
25,26.0,"[0.3497686588806338, -0.056992235952978594, -3.081542204697542]"
26,27.0,"[0.3097864346407907, -0.05989031331304182, -3.0779023000573695]"
27,28.0,"[0.2922741096315297, -0.07174474774840528, -3.083418203436388]"
28,29.0,"[0.3084193878588731, -0.06353412030728835, -3.0954972597994317]"
29,30.0,"[0.3011999746813402, -0.09355894091810746, -3.092037712202295]"
30,31.0,"[0.3139772992016158, -0.1158089667363853, -3.0943674517476354]"
31,32.0,"[0.29812036187036334, -0.08827588679912754, -3.0996617036153666]"
32,33.0,"[0.30155230169609604, -0.08952091030158457, -3.093051254774056]"
