,Frame Number,Rotation Vector
0,0.0,"[-0.1441239432826448, -0.0010193511622163026, -3.1239509130402405]"
1,1.0,"[-0.10133884301001105, 0.04235147347045683, -3.132028301329776]"
2,2.0,"[-0.10122235968075786, 0.02764050580497234, -3.145605678213122]"
3,3.0,"[-0.08109174991880888, 0.05389242981883062, -3.144419336175626]"
4,4.0,"[-0.04936520692294581, 0.053570753399519354, -3.147863094334444]"
5,5.0,"[-0.009892972657241008, 0.04618985534705733, -3.1551429067894126]"
6,6.0,"[0.06623118683967404, 0.042838657354796174, -3.1822777426985196]"
7,7.0,"[0.1644159130222525, 0.07982502520670068, -3.1873563659535686]"
8,8.0,"[0.3036077220516716, 0.07817814973295353, -3.1819831586429457]"
9,9.0,"[0.37482675454787634, 0.09454557745005253, -3.1835868348280036]"
10,10.0,"[0.4271541904959592, 0.08626756333491672, -3.192415189282051]"
11,11.0,"[0.4674647719717706, 0.07100601292063688, -3.183461695831471]"
12,12.0,"[0.4566908070432249, 0.00880885681551816, -3.1805090479294904]"
13,13.0,"[0.4344286582109943, -0.005317262463444431, -3.1797815865379575]"
14,14.0,"[0.42545762821481375, -0.050607226443392536, -3.172875563228397]"
15,15.0,"[0.3739337214613806, -0.11504211917170223, -3.1615226121764652]"
16,16.0,"[0.34385800557871704, -0.17620931147569632, -3.138272874793738]"
17,17.0,"[0.304095933694475, -0.1766395260826864, -3.141064888577102]"
18,18.0,"[0.30941489384921134, -0.1620926639296764, -3.1314296584859798]"
19,19.0,"[0.346103958147526, -0.14977334621916347, -3.131805747796137]"
20,20.0,"[0.4113745119936699, -0.020105212498771365, -3.1619333991324883]"
21,21.0,"[0.40460138223949677, 0.048910240369615825, -3.152463096966495]"
22,22.0,"[0.3002377911593867, 0.1935661943253638, -3.1767618020422326]"
23,23.0,"[0.23321739160064628, 0.1833970587478893, -3.1779644604737407]"
24,24.0,"[0.14157594365931442, 0.23026211991013068, -3.172826551435762]"
25,25.0,"[0.10180983990847094, 0.22680902455727153, -3.1625451381571534]"
26,26.0,"[0.06495350251470415, 0.2387392119268047, -3.153422670988391]"
27,27.0,"[0.03563861713531318, 0.22821565657249254, -3.146130135635827]"
28,28.0,"[0.04064684261682908, 0.22108449495051963, -3.149429469282168]"
29,29.0,"[0.04560296353206022, 0.20981559540264175, -3.1495085907094658]"
30,30.0,"[0.06474603359681895, 0.21635318217678282, -3.1528799157810594]"
31,31.0,"[0.06233810363175994, 0.226224912498139, -3.155965772102408]"
32,32.0,"[0.0703068769844802, 0.23061763214670694, -3.1555129182841166]"
33,33.0,"[0.06813400355685442, 0.24462424204443076, -3.151470544338957]"
34,34.0,"[0.05912545461645006, 0.25942205585453365, -3.148078078958701]"
35,35.0,"[0.044222255520022465, 0.21088224234835382, -3.152138705768099]"
36,36.0,"[-0.05679929452598, 0.11036740452527626, -3.159845576842518]"
37,37.0,"[-0.1871093877244826, 0.1211034311577627, -3.155127262539472]"
38,38.0,"[-0.272184803856427, 0.016265226473676717, -3.1813532332633927]"
39,39.0,"[-0.3310865924993461, -0.00894836517768631, -3.1767838729902977]"
40,40.0,"[-0.3418093187019471, 3.873858442585103e-05, -3.1659918314948348]"
41,41.0,"[-0.3340005075209803, -0.018564899446019044, -3.1702802374736296]"
42,42.0,"[-0.36140666275765865, -0.015851970088807604, -3.170630397381816]"
43,43.0,"[-0.3711072880241058, 0.01978267717810857, -3.1534953976598454]"
44,44.0,"[-0.36320792709518396, -0.008988496781626625, -3.16629427337771]"
45,45.0,"[-0.389989635513666, -0.021473565073529054, -3.16257424462923]"
46,46.0,"[-0.37981962257170665, 0.002747029052499505, -3.154809196879276]"
47,47.0,"[-0.360868962396876, 0.004435217507083339, -3.151073931462376]"
48,48.0,"[-0.3564456183498769, -0.002792106632178188, -3.1548249646666875]"
49,49.0,"[-0.3998965521236773, 0.0339366660301785, -3.136365094958979]"
50,50.0,"[-0.3985322848689202, 0.039037346432840216, -3.1378476907639987]"
51,51.0,"[-0.40194497474067953, -0.03505731838818621, -3.129619942760917]"
52,52.0,"[-0.39314444740881477, -0.02523168444253065, -3.1212736566157133]"
53,53.0,"[-0.3858469200441537, -0.05480572274267213, -3.1385557770123573]"
54,54.0,"[-0.3764088440088984, -0.08994517589758166, -3.1586416495942475]"
55,55.0,"[-0.40235380752717426, -0.047319106031500115, -3.1713231094714063]"
56,56.0,"[-0.39899982694743213, -0.006458390894136476, -3.1644542981410986]"
57,57.0,"[-0.39896783568145344, 0.014137170033833316, -3.1750419272891928]"
58,58.0,"[-0.43710946825939007, 0.027709695959083083, -3.18513221211588]"
59,59.0,"[-0.451392841193305, 0.01852183660849716, -3.1730849546343785]"
60,60.0,"[-0.43575756913780966, 0.04007478491498376, -3.15054207994607]"
61,61.0,"[-0.41445105960521417, 0.02857626307539244, -3.1576293245129055]"
62,62.0,"[-0.36121247219628017, 0.039378371629827186, -3.1561727045634522]"
63,63.0,"[-0.3617406663104937, 0.03320215388595446, -3.1544170256163873]"
64,64.0,"[-0.3628174150158569, 0.04107432737889169, -3.159270103356037]"
65,65.0,"[-0.36260672730005217, 0.06791603708223008, -3.152649058764782]"
66,66.0,"[-0.37487394362290694, 0.08844319883857071, -3.1592493510387865]"
67,67.0,"[-0.40902716706173453, 0.08613135226762912, -3.1527800887216126]"
68,68.0,"[-0.44651294889872173, 0.07976675119375912, -3.1520159090513666]"
69,69.0,"[-0.45346848247342936, 0.08082936857323468, -3.1466999263223605]"
70,70.0,"[-0.4413669068035256, 0.09498398000575516, -3.140932091381668]"
71,71.0,"[-0.45133204038672897, 0.10643867561691862, -3.1403451152950925]"
72,72.0,"[-0.4456418232561598, 0.13268213061426193, -3.1444290007678704]"
73,73.0,"[-0.45054991140069994, 0.13272966360842878, -3.1461628393467076]"
74,74.0,"[-0.4545028282596096, 0.12014990299729082, -3.144022690489297]"
75,75.0,"[-0.4591815904210743, 0.11886437480942466, -3.1469354240037872]"
76,76.0,"[-0.4499515119433208, 0.11367969578704626, -3.1489111413221296]"
77,77.0,"[-0.4429516557071955, 0.11834168594243213, -3.1483953128145443]"
78,78.0,"[-0.454750774526898, 0.11211671521566081, -3.149775707007338]"
79,79.0,"[-0.43998808711736875, 0.08096145296499686, -3.1304266704827155]"
80,80.0,"[-0.4239104290065174, 0.06283901274046264, -3.118633577540582]"
81,81.0,"[-0.45484649805389044, -0.02630531770138048, -3.1016921647478357]"
82,82.0,"[-0.4184439279078949, -0.12157913468592547, -3.0882955827629117]"
83,83.0,"[-0.39075624060325126, -0.10950084866141696, -3.085457341037599]"
84,84.0,"[-0.3412231530244956, -0.08126997034045497, -3.088131538773283]"
85,85.0,"[-0.2697185903344356, 0.046390644379131596, -3.0897137759964264]"
86,86.0,"[-0.2658199546170522, 0.06135050726842865, -3.091179014349483]"
87,87.0,"[-0.2395545599130507, 0.04866535094572142, -3.0970308485893163]"
88,88.0,"[-0.2555307511830055, 0.05173244624897057, -3.087083825826994]"
89,89.0,"[-0.25698878878764053, 0.08240747863071245, -3.084421905699344]"
90,90.0,"[-0.24711798478478122, 0.09427041158434384, -3.075626482504801]"
91,91.0,"[-0.23749058398137174, 0.12305034893214228, -3.073492152359952]"
92,92.0,"[-0.17276393505561857, 0.05516389092291503, -3.0806592225681744]"
93,93.0,"[-0.061449450880932406, 0.0698619452407668, -3.0983727378071566]"
94,94.0,"[0.06498059705358203, 0.04488621032188208, -3.0993310581866993]"
95,95.0,"[0.16803054088542294, 0.0499227851268259, -3.1026627669985776]"
96,96.0,"[0.22876877239424565, 0.039328622706253875, -3.1111651546695165]"
97,97.0,"[0.21630982543170238, 0.01052015130467943, -3.10917735705187]"
98,98.0,"[0.20740143440985073, 0.05008582587805993, -3.1185280682237493]"
99,99.0,"[0.20188908361525845, 0.05552118595084051, -3.119786929058412]"
100,100.0,"[0.18274307149816377, 0.07082356736888239, -3.1209009211541727]"
101,101.0,"[0.15468733604669252, 0.04430129143165614, -3.1229139306985916]"
102,102.0,"[0.14880638050702957, 0.020165081717854565, -3.1203244519183304]"
103,103.0,"[0.1568085628178729, 0.010915816441604567, -3.123811313949136]"
104,104.0,"[0.16029404176192785, 0.007377269679115245, -3.1257077047264556]"
105,105.0,"[0.15656653198202006, 0.018146750849198735, -3.1264228245406143]"
106,106.0,"[0.14009863747752924, 0.019180720601574327, -3.135327347876505]"
107,107.0,"[0.14964089344752296, 0.009419765860078201, -3.1275824648182815]"
108,108.0,"[0.15282495572497154, 0.006249442405456505, -3.131114224886515]"
109,109.0,"[0.160515513663637, 0.021132990664669275, -3.1311071615512622]"
110,110.0,"[0.14287906492689176, 0.044959012692603106, -3.136280237545076]"
111,111.0,"[0.12634753655674563, 0.036201842576590766, -3.140550390192245]"
112,112.0,"[0.12114506487023698, 0.031727260518456514, -3.147190811755999]"
113,113.0,"[0.13690944352832596, 0.05602156546998404, -3.1492070321642793]"
