,Frame Number,Rotation Vector
0,0.0,"[0.8070300448113716, 0.22323990119940795, -2.9637117137477293]"
1,1.0,"[0.8024872129168451, 0.2211615577211661, -2.9610172341411394]"
2,2.0,"[0.8126668674195839, 0.20766542374175204, -2.950730750980437]"
3,3.0,"[0.8350443188629343, 0.23823509227876158, -2.9397270222861165]"
4,4.0,"[0.8557973443052073, 0.2554013647123897, -2.9411966455679353]"
5,5.0,"[0.8550790648346698, 0.25509538909349394, -2.934976623134459]"
6,6.0,"[0.8559515265889088, 0.27174352486989384, -2.9417091329644602]"
7,7.0,"[0.851581620467252, 0.26837556301325477, -2.9438695371619574]"
8,8.0,"[0.8691896150170804, 0.29118845974694274, -2.9419567411261696]"
9,9.0,"[0.8655066130669832, 0.28889071048755127, -2.9363520095007303]"
10,10.0,"[0.8378812903513998, 0.2339549543113491, -2.9316276478309726]"
11,11.0,"[0.8135103993874363, 0.21182723166401857, -2.934608210221962]"
12,12.0,"[0.7664795419989185, 0.20584006130613697, -2.9357412392645563]"
13,13.0,"[0.7197758699172669, 0.22916503616651396, -2.9492440430557174]"
14,14.0,"[0.6709062240218009, 0.23003442311884623, -2.9689421445805113]"
15,15.0,"[0.6464936865104159, 0.2307489962245384, -2.9928418521278064]"
16,16.0,"[0.6643434493154713, 0.24224558873887705, -3.003989608574047]"
17,17.0,"[0.6323572547225387, 0.24525188946737525, -3.006778059410563]"
18,18.0,"[0.6096871943404011, 0.22886997341006854, -3.0083907498392195]"
19,19.0,"[0.5885990567896493, 0.1993389339123175, -3.015956572727529]"
20,20.0,"[0.5774322073560472, 0.20254524081194092, -3.0223369704330754]"
21,21.0,"[0.5430963684565611, 0.21125796151154466, -3.0328139014631366]"
22,22.0,"[0.5588525980910982, 0.2214470023152603, -3.0396345697673137]"
23,23.0,"[0.5547460242168544, 0.21484935883453338, -3.0420120721313593]"
24,24.0,"[0.5569701548643813, 0.21523185554186905, -3.0461579556777036]"
25,25.0,"[0.533715447980841, 0.21783073089040297, -3.0468623682904257]"
26,26.0,"[0.5277259487344748, 0.2205719116372699, -3.041053342769546]"
27,27.0,"[0.4943813312407984, 0.20220657507213444, -3.0206457061119587]"
28,28.0,"[0.4789326208616813, 0.18993422473670624, -3.016532841131658]"
29,29.0,"[0.4743136079021941, 0.20611053053166145, -3.030115425937547]"
30,30.0,"[0.49700906228403163, 0.21905578860711417, -3.0371660874344384]"
31,31.0,"[0.5010152441502632, 0.2293167943392133, -3.0287999662610843]"
32,32.0,"[0.4845323295999309, 0.22473262104975786, -3.028582085353078]"
33,33.0,"[0.471177522470889, 0.22909157475922987, -3.0347559935608692]"
34,34.0,"[0.46271050068192143, 0.2339624952033139, -3.035097025769807]"
35,35.0,"[0.4573408628960767, 0.23252694426795795, -3.03779896720799]"
36,36.0,"[0.4508419412857635, 0.23971311916852625, -3.0419786038721424]"
37,37.0,"[0.4587441490827036, 0.2268455018600584, -3.042766126941536]"
38,38.0,"[0.4545630074604113, 0.2334406386921638, -3.041445650705171]"
39,39.0,"[0.45481942953150734, 0.22295671113135493, -3.0427894048358533]"
40,40.0,"[0.46087558860030703, 0.22271584933457525, -3.0396911555022568]"
41,41.0,"[0.4600988505116514, 0.21869350401733842, -3.0400976773640065]"
42,42.0,"[0.46459417289042704, 0.21460061142979017, -3.037104048045257]"
43,43.0,"[0.4698480988152966, 0.20873760623861123, -3.0362448880990205]"
44,44.0,"[0.47437294989704604, 0.20113326956887168, -3.035604064867693]"
45,45.0,"[0.46326515016801584, 0.1780726193622721, -3.040498896127023]"
46,46.0,"[0.471783944351586, 0.18010919867433597, -3.037387910277364]"
47,47.0,"[0.47685015983950413, 0.17860429417851204, -3.038668413039183]"
48,48.0,"[0.4640922395007337, 0.16150626155133588, -3.039806228947334]"
49,49.0,"[0.4573501024330838, 0.15923327847300556, -3.03526768183071]"
50,50.0,"[0.467740401370353, 0.16221471356441228, -3.0312605896965152]"
51,51.0,"[0.4801864240698182, 0.1673073382571135, -3.023564323738331]"
52,52.0,"[0.46422568347443394, 0.17653320049079874, -3.0218893182538826]"
53,53.0,"[0.4815421427739755, 0.18072072419400714, -3.017850775606161]"
54,54.0,"[0.4571379274117066, 0.1789455580724785, -3.004371391512622]"
55,55.0,"[0.4666895065147661, 0.15686031833999828, -2.9995549541121527]"
56,56.0,"[0.47891960043880655, 0.15089048878721442, -2.9997385983516707]"
57,57.0,"[0.49829999542886555, 0.16376644564372217, -2.9665300019292085]"
58,58.0,"[0.5506106675052386, 0.20092149651052404, -2.9460908018229466]"
59,59.0,"[0.6403256601348746, 0.22338110638918302, -2.92942152467493]"
60,60.0,"[0.7142223244369119, 0.23951006141742825, -2.9321200447649605]"
61,61.0,"[0.7578015206437015, 0.25513798358572837, -2.922427995091632]"
62,62.0,"[0.7850473437568243, 0.27582201615452556, -2.92065792668503]"
63,63.0,"[0.8158465483689591, 0.31201663264888985, -2.8891635420739474]"
64,64.0,"[0.8602511679451229, 0.3027252520061929, -2.8761156744934646]"
65,65.0,"[0.8499731277004005, 0.29352807521320223, -2.8966172932760013]"
66,66.0,"[0.8572610666334259, 0.3278494941222659, -2.8943872458509383]"
67,67.0,"[0.8648160399697413, 0.34582902946032107, -2.892944353962843]"
68,68.0,"[0.8716732673617201, 0.3236625602856982, -2.89072612419911]"
69,69.0,"[0.8766829283297094, 0.3064864713167898, -2.8903023247287902]"
70,70.0,"[0.8588274742959304, 0.31054555966566555, -2.876404421545903]"
71,71.0,"[0.8648259506827954, 0.3165405645167291, -2.873536113017036]"
72,72.0,"[0.8570529257129527, 0.31552495501071515, -2.869741177573987]"
73,73.0,"[0.8645628811363927, 0.30343497717526935, -2.87384823716113]"
74,74.0,"[0.8529592410852582, 0.2934667861282286, -2.8721742383825473]"
75,75.0,"[0.8571654201106275, 0.29250717963027417, -2.882937034433093]"
76,76.0,"[0.8497788776130598, 0.2960578764449412, -2.8910266755519096]"
77,77.0,"[0.8365362720619955, 0.28305829138704264, -2.8795047980428228]"
78,78.0,"[0.8633785763558304, 0.2965806410847271, -2.897583409066726]"
79,79.0,"[0.8659852187873905, 0.2864512099195147, -2.9051721262205112]"
80,80.0,"[0.8592466922929286, 0.27763325087783397, -2.9090083289069555]"
81,81.0,"[0.818966311118306, 0.22512434363319567, -2.9230187022230507]"
82,82.0,"[0.8176924821783637, 0.21950192468117766, -2.922981246893075]"
83,83.0,"[0.8089036592743654, 0.21395205564515826, -2.9257079270540367]"
84,84.0,"[0.8026330869216357, 0.21008397556396616, -2.9211077718745675]"
85,85.0,"[0.7964649354727833, 0.20296451578925084, -2.926531384725615]"
86,86.0,"[0.7923258433198531, 0.19884606036528904, -2.923644289911988]"
87,87.0,"[0.7892564900563168, 0.19567629924899713, -2.9257667074350135]"
88,88.0,"[0.7943338744672374, 0.19721005369901903, -2.9257343737702115]"
89,89.0,"[0.7844108555878554, 0.1956272087024685, -2.9240443783247825]"
90,90.0,"[0.7761922964426549, 0.19251515324250282, -2.924138232381588]"
91,91.0,"[0.773359387718295, 0.1921418184101508, -2.920151699954945]"
92,92.0,"[0.7606611704762741, 0.18970584641205193, -2.922451964274994]"
93,93.0,"[0.7719933266260508, 0.20422834270478976, -2.925298967052149]"
94,94.0,"[0.7621463844346669, 0.19857047016872106, -2.918321412561238]"
95,95.0,"[0.7662410593269523, 0.19422674122300143, -2.9182859177525096]"
96,96.0,"[0.7780659519922034, 0.1977078079601378, -2.91382225434238]"
97,97.0,"[0.7890342989430685, 0.20710154488810525, -2.9135856131589675]"
98,98.0,"[0.8031829698586046, 0.2062592289977315, -2.9220412911210816]"
99,99.0,"[0.8254737799946801, 0.20013198412980673, -2.9114598446352735]"
100,100.0,"[0.8217303769881081, 0.2000716064204026, -2.913836073207219]"
101,101.0,"[0.8255821454516042, 0.19330072417927707, -2.9151787308632406]"
102,102.0,"[0.8124163949481603, 0.18718263544180452, -2.9156260741902402]"
103,103.0,"[0.8125436711994624, 0.19004775750238267, -2.9128202131218526]"
104,104.0,"[0.8098356611709202, 0.1909465832584189, -2.911393453172667]"
105,105.0,"[0.8085506746834719, 0.19569943905659445, -2.9107512997901583]"
106,106.0,"[0.8206619908821581, 0.20242359794868545, -2.909196141162932]"
107,107.0,"[0.8087644896315195, 0.22130691734954114, -2.9105465763890206]"
108,108.0,"[0.8068250210270361, 0.22190767859601634, -2.9123288320775873]"
109,109.0,"[0.8248089538029368, 0.25189921318784014, -2.899864286834263]"
110,110.0,"[0.8177085750117165, 0.2519573532571, -2.8905027391898126]"
111,111.0,"[0.8243517383433157, 0.26168650413907396, -2.898127705703755]"
112,112.0,"[0.8259051867833327, 0.2675799635965452, -2.9059763303145076]"
113,113.0,"[0.8418188648994785, 0.2791951450943826, -2.9094716994132317]"
114,114.0,"[0.8617121720043958, 0.2873229360852668, -2.9259089366011266]"
115,115.0,"[0.8662083404159503, 0.29197926887997955, -2.9139939598471485]"
116,116.0,"[0.849709798968554, 0.28090575945589663, -2.9093848061800047]"
117,117.0,"[0.8353007526763442, 0.2680020725724396, -2.9165065046739964]"
118,118.0,"[0.8385058586645492, 0.26285541426680176, -2.91721244678881]"
119,119.0,"[0.818841322054403, 0.2581235101115152, -2.903814023332859]"
120,120.0,"[0.7960935102393883, 0.2584688906540248, -2.9035067016433436]"
121,121.0,"[0.806924496090326, 0.2715060012826869, -2.8869811506849086]"
122,122.0,"[0.8023737778460293, 0.30587851154443324, -2.9077741124453436]"
123,123.0,"[0.8209967520037349, 0.31234197721401313, -2.891465191579802]"
124,124.0,"[0.8200150998668002, 0.31469617423556884, -2.8992474114729836]"
125,125.0,"[0.8215416236704585, 0.32328992755868474, -2.874195752185141]"
126,126.0,"[0.8357981001870038, 0.3235280809133226, -2.860212248247252]"
127,127.0,"[0.8136673128939541, 0.3148646112512951, -2.863509004945322]"
128,128.0,"[0.7899587998674603, 0.3159951480896436, -2.8756926978039385]"
129,129.0,"[0.7894425954062809, 0.3072116665853663, -2.8815038424479127]"
130,130.0,"[0.7713805528459412, 0.29400294013653266, -2.8891854531650623]"
131,131.0,"[0.7743817166117778, 0.29264927674864905, -2.891091303449687]"
132,132.0,"[0.7746920221785151, 0.2983596691782429, -2.8920695547915414]"
133,133.0,"[0.7659512530475541, 0.30165647569305976, -2.899283189312614]"
134,134.0,"[0.7679074703935936, 0.29740916758199193, -2.908713110300102]"
135,135.0,"[0.7620509837082786, 0.29164175380584795, -2.90748895524727]"
136,136.0,"[0.7677706764742331, 0.29169570452153454, -2.9136895832001697]"
137,137.0,"[0.7677408068411857, 0.29235312842642436, -2.9127011613203257]"
138,138.0,"[0.7796514177004048, 0.296762377539083, -2.906552799207015]"
139,139.0,"[0.7689484706056418, 0.3050479178031269, -2.8975500139216375]"
140,140.0,"[0.7713674881995082, 0.2898873055948843, -2.8837440090273674]"
141,141.0,"[0.7884187747824272, 0.2855079230108624, -2.8901067485627863]"
142,142.0,"[0.7956550338982753, 0.2976778137310847, -2.892392055976928]"
143,143.0,"[0.7788186351715664, 0.3020547791375954, -2.8933275002450154]"
144,144.0,"[0.7779384114483593, 0.2984506887412122, -2.8902967117843716]"
145,145.0,"[0.747470592488458, 0.2685191154050081, -2.8914559840613236]"
146,146.0,"[0.741280385862338, 0.2704378065246771, -2.8850938349667046]"
147,147.0,"[0.7606680152364115, 0.3104031380152839, -2.8791472147560984]"
148,148.0,"[0.7677071560099771, 0.3011348038059516, -2.8775229062962437]"
149,149.0,"[0.7754314729524782, 0.30896014255915016, -2.8843338106974747]"
150,150.0,"[0.7812782362810022, 0.31250689483874594, -2.887910646719199]"
151,151.0,"[0.7894208881329116, 0.308526259049475, -2.893300688310904]"
152,152.0,"[0.7728324307344198, 0.32817834486219205, -2.8841093349092826]"
153,153.0,"[0.7504113124923799, 0.3257965348673483, -2.874773385381346]"
154,154.0,"[0.6912282871248546, 0.3051606235743209, -2.8869655710005593]"
155,155.0,"[0.6011070224621518, 0.29096915913177024, -2.916241974995545]"
156,156.0,"[0.5677010261241978, 0.2779861171480399, -2.935339015050938]"
