,Frame Number,Rotation Vector
0,0.0,"[0.05274175668783633, -0.13778836948566162, -3.119985926722195]"
1,1.0,"[0.11002154986370616, -0.12578231928659547, -3.118857791761456]"
2,2.0,"[0.18414130814985163, -0.08232987083837634, -3.111083643358459]"
3,3.0,"[0.2327230708811815, -0.07909719409036425, -3.104939095986939]"
4,4.0,"[0.2769823067405222, -0.03552678584283043, -3.1012118023680073]"
5,5.0,"[0.2840809402285922, -0.013548717504487894, -3.0974041552415503]"
6,6.0,"[0.3392065431382271, 0.05355204996573623, -3.0920277304681547]"
7,7.0,"[0.38452200423713706, 0.07743251479474408, -3.076159833725695]"
8,8.0,"[0.349979644096242, 0.11337112451560394, -3.0642882071889535]"
9,9.0,"[0.3702021699269493, 0.14406690617192092, -3.0624552840434403]"
10,10.0,"[0.34547048948073994, 0.1979017535530482, -3.0822747603553684]"
11,11.0,"[0.3537028991369982, 0.21249924939664597, -3.080686280083716]"
12,12.0,"[0.3297071461410714, 0.23947847843610107, -3.079374345038168]"
13,13.0,"[0.32569930971334976, 0.24162083939755533, -3.0790001247077856]"
14,14.0,"[0.3087919216677169, 0.2524081109048432, -3.0809098334711242]"
15,15.0,"[0.34802900159560113, 0.23293742209286356, -3.0827049348604785]"
16,16.0,"[0.38206240967105987, 0.22403935871101263, -3.079120740508581]"
17,17.0,"[0.34296823073425853, 0.22161839071368358, -3.0926696720066134]"
18,18.0,"[0.37461006980875117, 0.19769824970325486, -3.081196878748737]"
19,19.0,"[0.36852235217855334, 0.13915327928287483, -3.0897179216238726]"
20,20.0,"[0.3508665669024301, 0.10620919770068611, -3.1023809558279676]"
21,21.0,"[0.3074636228820227, 0.03633390966904661, -3.1107354058820476]"
22,22.0,"[0.3126230790014722, -0.02473340358094147, -3.1115624144921323]"
23,23.0,"[0.26990131141976587, -0.043660947882463726, -3.11204547787016]"
24,24.0,"[0.23884122878859226, 0.02145462991904051, -3.1379465501778045]"
25,25.0,"[0.21868321547122635, 0.0433520693672748, -3.1563024291524493]"
26,26.0,"[0.1899097396112087, 0.04841734766129371, -3.142659931850944]"
27,27.0,"[0.19630891799897549, 0.06311450865848035, -3.129663750650221]"
28,28.0,"[0.17276850749675632, 0.09408718717454717, -3.1367930973507763]"
29,29.0,"[0.16746404897673156, 0.07677323658236765, -3.137514252300196]"
30,30.0,"[0.16639863894810814, 0.08179772917721069, -3.1341455491256935]"
