,Frame Number,Rotation Vector
0,0.0,"[0.5768368622457685, 0.5392616374479647, -3.1262833387170907]"
1,1.0,"[-0.5446825776069301, 0.6089621051579002, -3.0627330811633895]"
2,3.0,"[-0.4582471625912226, 0.6384336763020149, -3.0783540542336065]"
3,4.0,"[-0.41902007456544377, 0.6603787067659191, -3.0770419034652257]"
4,5.0,"[-0.3759183592492033, 0.6467760028898906, -3.081572783207088]"
5,6.0,"[-0.38651847330009725, 0.5943010317488324, -3.075734145371574]"
6,7.0,"[-0.3568728147250901, 0.553003368917407, -3.0601940587042606]"
7,8.0,"[-0.3076215454282494, 0.5610139937554076, -3.0599782646028717]"
8,10.0,"[-0.30540981697985775, 0.508001838675431, -3.0846225843840247]"
9,11.0,"[-0.23471659480048587, 0.5026886749213842, -3.119538415366305]"
10,12.0,"[-0.18932319591923058, 0.5017588896500487, -3.090976327323029]"
11,13.0,"[-0.1807463940230267, 0.5094954769332797, -3.095190171861732]"
12,14.0,"[-0.1998548533129541, 0.5062462017258718, -3.0777223701472383]"
13,15.0,"[-0.20931886276700068, 0.5364798588682106, -3.0644197198513115]"
14,16.0,"[-0.20095631484537618, 0.5632960612537699, -3.04497972775867]"
15,17.0,"[-0.27237835554161355, 0.70437991364586, -3.087104008513055]"
16,18.0,"[-0.25429409325462515, 0.7640603941391685, -3.1048213073437205]"
17,19.0,"[-0.23530525768663105, 0.5441001996738875, -3.0734658313970766]"
18,20.0,"[-0.28954194447308396, 0.573978544232135, -3.08082559761173]"
19,21.0,"[-0.26302579478826643, 0.5397877093176979, -3.0420700093993087]"
20,22.0,"[-0.3261109748896181, 0.5973091572749313, -3.098818761846415]"
21,23.0,"[-0.3456185356278353, 0.6111065362939982, -3.1142567080433]"
22,24.0,"[-0.32396155198972976, 0.5532392838940292, -3.111038019512456]"
23,25.0,"[-0.3190179316798419, 0.5355613768180272, -3.116226415674921]"
24,26.0,"[-0.3473908235127587, 0.5486534374317256, -3.1533637744063996]"
25,27.0,"[-0.285030325348148, 0.4898160665606438, -3.1720751400394738]"
26,28.0,"[-0.27688901714481456, 0.4794314265981786, -3.191816446425204]"
27,29.0,"[-0.2749190944187448, 0.4823541371380683, -3.0749709093560957]"
28,30.0,"[-0.24950744859547794, 0.5073192268851688, -3.0433950671000787]"
29,31.0,"[-0.17529687255173643, 0.523904757014249, -3.0790831437550383]"
30,32.0,"[-0.12514432191980604, 0.5582402934186808, -3.0465197206499983]"
31,33.0,"[0.06447668073424136, 0.6901669289445855, -3.0197386360901426]"
32,34.0,"[0.010182284379284054, 0.6297756824934244, -3.0406451047674885]"
33,35.0,"[-0.005537437728599313, 0.571835867452872, -3.062221109242682]"
34,36.0,"[-0.04797119276034228, 0.5751781539827763, -3.054567616477286]"
35,37.0,"[-0.07888026111627029, 0.5938084107240326, -3.049085297333602]"
36,38.0,"[-0.07192867684391642, 0.5944383907093318, -3.0665971425776664]"
37,39.0,"[-0.08723181114297625, 0.5751449204891529, -3.0716948401908564]"
38,40.0,"[-0.12110225637400937, 0.6027040527753001, -3.0649019242053672]"
39,41.0,"[-0.2077612857256133, 0.6095250642952612, -3.07539714177085]"
40,42.0,"[-0.24085786007996493, 0.6041195252672834, -3.0576242453862323]"
41,43.0,"[-0.18577829410215768, 0.6485628899570264, -3.047783878452161]"
42,44.0,"[-0.2109786445843148, 0.6425065808987698, -3.0525171813836782]"
43,45.0,"[-0.29140383870794695, 0.5844207392248404, -3.074114772560926]"
44,46.0,"[-0.286363003013473, 0.6003739653467219, -3.0701155966144937]"
45,47.0,"[-0.21857387172754184, 0.7056023424491972, -3.030187018174083]"
46,48.0,"[-0.2826086422263828, 0.6273370313233962, -3.062381943435411]"
47,49.0,"[-0.32299191418788586, 0.6297420690301606, -3.0590722575406124]"
48,50.0,"[-0.2973063113935969, 0.6007988776104435, -3.079882716299637]"
49,51.0,"[-0.32294511007425697, 0.5635078536734003, -3.08765656816421]"
50,52.0,"[-0.34638850607221544, 0.5711017705081849, -3.1310780579580157]"
51,53.0,"[-0.3182231672111242, 0.5452247006653944, -3.1273392504034847]"
52,54.0,"[-0.32967625138477924, 0.5437120883554886, -3.121039897591396]"
53,55.0,"[-0.33182463786227984, 0.5525186355912352, -3.1343141906281504]"
54,56.0,"[-0.35325829661143265, 0.5574579943918648, -3.130982490509454]"
55,57.0,"[-0.34409299279416156, 0.5529833541969268, -3.1352161406237755]"
56,58.0,"[-0.3861312518709508, 0.5575056224709947, -3.157794257808843]"
57,59.0,"[-0.34584693048219395, 0.5576806024839464, -3.135053229032055]"
58,60.0,"[-0.3791190981212879, 0.5547560570388026, -3.1204575603644593]"
59,61.0,"[-0.3792084238883557, 0.5382522299492112, -3.121738739934367]"
60,62.0,"[-0.3882343588043888, 0.530546917265723, -3.1185059156108794]"
61,63.0,"[-0.37667597955014664, 0.532307856786563, -3.1293097513528663]"
62,64.0,"[-0.38761967234761485, 0.5363867185709865, -3.1451571209056057]"
63,65.0,"[-0.3941043361783574, 0.5378341197137771, -3.139376150721871]"
64,66.0,"[-0.3921824536449069, 0.5168658621668203, -3.127425484560891]"
65,67.0,"[-0.38481341109742073, 0.5294812890239772, -3.1374877984192953]"
66,68.0,"[-0.3869247185173216, 0.5396330249599522, -3.143515014900822]"
67,69.0,"[-0.3984734393814182, 0.5246923429066264, -3.175896924841719]"
68,70.0,"[-0.44073404301106933, 0.5399058197600973, -3.1851809647002347]"
69,71.0,"[-0.4086884232489721, 0.5241072195953248, -3.144246454275398]"
70,72.0,"[-0.3907227001979545, 0.559054560466026, -3.106962378875708]"
71,73.0,"[-0.35653458912151803, 0.5836225092356704, -3.094831551334715]"
72,74.0,"[-0.35991038231007155, 0.5742420164556612, -3.106446992433195]"
73,75.0,"[-0.30258095443424565, 0.5824852565073999, -3.091978288317256]"
74,76.0,"[-0.23382071569425142, 0.5952010811743237, -3.0796157115502414]"
75,77.0,"[-0.22901938014721035, 0.5805744476857825, -3.09268107479406]"
76,78.0,"[-0.17018338914428507, 0.5852545950427426, -3.0848059745563314]"
77,79.0,"[-0.15339765638667416, 0.6124713322909664, -3.0729826203510826]"
78,80.0,"[-0.09819254493827048, 0.5962387316129799, -3.063112048295168]"
79,81.0,"[-0.09076353598002777, 0.5451562593660396, -3.0414000343142513]"
80,82.0,"[-0.1500593356533148, 0.5153874842444017, -3.053940047808542]"
81,83.0,"[-0.17754820111908845, 0.5525552600690766, -3.040807874289822]"
82,84.0,"[-0.16152920141429453, 0.5710826648142676, -3.0229282106515045]"
83,85.0,"[-0.1272441470108759, 0.5231492851142303, -3.011550510860817]"
84,86.0,"[-0.14336437892232706, 0.5163437522701763, -3.0080045112641898]"
85,87.0,"[-0.1596313725070398, 0.5390081724272882, -3.015089735474885]"
86,88.0,"[-0.1367098701777414, 0.447740756999406, -3.0192636415480565]"
87,89.0,"[-0.12447473228692892, 0.4498505937432732, -2.9784475917534277]"
88,90.0,"[-0.14850866772658286, 0.43153674415725457, -2.988306164237072]"
89,91.0,"[-0.2151133067432065, 0.49877045899885153, -2.9639847478021]"
90,92.0,"[-0.2444614558081463, 0.4731327087760596, -2.969751800415101]"
91,93.0,"[-0.26381704019893687, 0.5004900504850128, -2.9459676498529075]"
92,94.0,"[-0.22381413165197328, 0.4952834803264554, -2.9606617334560927]"
93,96.0,"[-0.2587685422263214, 0.484461285015036, -2.9598868495955073]"
94,97.0,"[-0.2555645208864001, 0.47864564712404634, -2.969045681167749]"
95,98.0,"[-0.21125312621945758, 0.473687135708211, -2.9982371860471075]"
96,99.0,"[-0.2355392238409482, 0.4804722472974651, -2.999727332963677]"
97,100.0,"[-0.17254944119117924, 0.507916784357416, -3.0494406173200357]"
98,101.0,"[-0.13208691530087593, 0.4995654310638012, -3.0431084160899347]"
99,102.0,"[-0.16055987552224715, 0.523498038508137, -3.072318617867912]"
100,103.0,"[-0.26223132593468385, 0.5205508457068572, -3.104353715911287]"
101,104.0,"[-0.2989371379701891, 0.5391544410802215, -3.1015146317887625]"
102,105.0,"[-0.35310735273690697, 0.5002898282619995, -3.130342657379259]"
103,106.0,"[-0.3566961689409833, 0.5198793755356658, -3.141729111081837]"
104,107.0,"[-0.34105621143908044, 0.5204355803353652, -3.1293351787513193]"
105,108.0,"[-0.3573594325300904, 0.5404617089788862, -3.1145658083454983]"
106,109.0,"[-0.345894293124721, 0.5421216462744148, -3.1109870434876457]"
107,110.0,"[-0.3435825300917291, 0.5445581858470097, -3.110572130443717]"
108,111.0,"[-0.3497129293329198, 0.546819536040162, -3.108156024450939]"
109,112.0,"[-0.3787796060352385, 0.5382613694175726, -3.1154045087239686]"
110,113.0,"[-0.36242243733737783, 0.5437640787090311, -3.1095049304553735]"
111,114.0,"[-0.34184642944779264, 0.5450574527075897, -3.104259950697405]"
112,115.0,"[-0.3088692111098167, 0.5463394222551134, -3.099401078509123]"
113,116.0,"[-0.33300091604625737, 0.5584535457639637, -3.1058181941502294]"
114,117.0,"[-0.3664839533859161, 0.5448617477173126, -3.107120174983574]"
115,118.0,"[-0.3622997226501824, 0.5485407967834941, -3.1019889990774248]"
116,119.0,"[-0.3490203328417396, 0.5300277333260144, -3.1030990937064593]"
