,Frame Number,Rotation Vector
0,0.0,"[-0.9085908613755876, 0.31413923705197266, -2.761448734707251]"
1,1.0,"[-0.9199771224325866, 0.30648276762446874, -2.7626159547212628]"
2,2.0,"[-0.9118628012164606, 0.2964952546735065, -2.7678408770580103]"
3,3.0,"[-0.911334055944172, 0.29244600508210583, -2.769302275013266]"
4,4.0,"[-0.9350030781486767, 0.26931270885830283, -2.7730985323196435]"
5,5.0,"[-0.9108737897525969, 0.2765356676237784, -2.773540536575209]"
6,6.0,"[-0.9066942311586792, 0.2708316427407295, -2.774872965398329]"
7,7.0,"[-0.9158308919295258, 0.2836461904563898, -2.768554197077224]"
8,8.0,"[-0.9087595733024433, 0.28657383726434726, -2.769375477045041]"
9,9.0,"[-0.9044145207487583, 0.28482779235009653, -2.7651523148599773]"
10,10.0,"[-0.8914227024765188, 0.2938573749663473, -2.7721619828995445]"
11,11.0,"[-0.8983372315149695, 0.30590203983144926, -2.765307634851972]"
12,12.0,"[-0.8953850027776598, 0.31754002835078854, -2.7617515652635913]"
13,13.0,"[-0.8827251644899747, 0.3268891502371754, -2.754680152752491]"
14,14.0,"[-0.8829022546089164, 0.33784453352094984, -2.75695145055529]"
15,15.0,"[-0.8980374164729604, 0.35126922894370716, -2.756910278187358]"
16,16.0,"[-0.9233983606920649, 0.3335013075131765, -2.7590031685055956]"
17,17.0,"[-0.9119509943352023, 0.32576111630133786, -2.75724056485388]"
18,18.0,"[-0.9461301918111296, 0.25530456877931973, -2.7663363481815084]"
19,19.0,"[-0.962191165524575, 0.23190784856899088, -2.76091748896219]"
20,20.0,"[-0.949702303992471, 0.24194512375436353, -2.7697399619331255]"
21,21.0,"[-0.9238560334982239, 0.29858531758133056, -2.7819428517486924]"
22,22.0,"[-0.9655183962939126, 0.37764003137486696, -2.7857871054077328]"
23,23.0,"[-0.994571144429711, 0.4386515904421658, -2.801112418976523]"
24,24.0,"[-0.9860043218143711, 0.44579474106922545, -2.8110673949554648]"
25,25.0,"[-0.976082217413912, 0.39543933046418334, -2.799304570292999]"
26,26.0,"[-0.9614366393195826, 0.35146660428531984, -2.8034282403486586]"
27,27.0,"[-0.9654977825561396, 0.33351034245416733, -2.7962835562489188]"
28,28.0,"[-0.9742728940848877, 0.38380481183399007, -2.796806700111768]"
29,29.0,"[-1.0035452317187048, 0.33967327128262903, -2.799191107284806]"
30,30.0,"[-1.0117190748358322, 0.29992817116604087, -2.8078780492069515]"
31,31.0,"[-0.9670771301472287, 0.26796379251925323, -2.834780005620267]"
32,32.0,"[-0.9374846696456622, 0.23753516172076455, -2.8311779624150493]"
33,33.0,"[-0.9151031958313262, 0.23509236995220856, -2.827487541370938]"
34,34.0,"[-0.9098556611777894, 0.22929851995267947, -2.821508950728724]"
35,35.0,"[-0.8930052621752878, 0.2236313166897974, -2.8275838294309805]"
36,36.0,"[-0.8767661036707172, 0.220973018537637, -2.8311453195242753]"
37,37.0,"[-0.8778049039962744, 0.2190259637758216, -2.8343155675772502]"
38,38.0,"[-0.9103280878683914, 0.2346456296872392, -2.8233113395721707]"
39,39.0,"[-0.9210380697522805, 0.25883633078579976, -2.8327117103165835]"
40,40.0,"[-0.9157132628346057, 0.2471152806494132, -2.8546022569688536]"
41,41.0,"[-0.90514508429297, 0.2369313745182777, -2.864001762793127]"
42,42.0,"[-0.9371272793010609, 0.2570768188721966, -2.8543053344703644]"
43,43.0,"[-0.9400155111034103, 0.27831395172923856, -2.843533984094914]"
44,44.0,"[-0.9399163691872929, 0.2918979735290649, -2.831975503349626]"
45,45.0,"[-0.9331663686981039, 0.2630127896096904, -2.8371054918015033]"
46,46.0,"[-0.9351430606478546, 0.26461852932774244, -2.8304988240341715]"
47,47.0,"[-0.9222178584465327, 0.25586544582520565, -2.8293777391918087]"
48,48.0,"[-0.9195159904862937, 0.26786097536469805, -2.823990895454936]"
49,49.0,"[-0.9131708359356117, 0.2766564163482967, -2.8173904373984717]"
50,50.0,"[-0.9109080918462645, 0.2691376572819579, -2.813750902086583]"
51,51.0,"[-0.904597201850733, 0.26687962039310753, -2.811604420223707]"
52,52.0,"[-0.9009559595325948, 0.2862098937793719, -2.8033674532250634]"
53,53.0,"[-0.8929853201457713, 0.30298499128873124, -2.7990323623391467]"
54,54.0,"[-0.8821392177828831, 0.2857312848442273, -2.8023643008453494]"
55,55.0,"[-0.8805189850944679, 0.28015348304322885, -2.8085435357963675]"
56,56.0,"[-0.8828694918336888, 0.2761172925665416, -2.813308044659658]"
57,57.0,"[-0.8687871105394587, 0.2965561669617776, -2.820821996876003]"
58,58.0,"[-0.9129891459929876, 0.2667463130758053, -2.8196186784594794]"
