,Frame Number,Rotation Vector
0,0.0,"[-0.5364882576770537, 0.0844348059813122, -3.1027526670281467]"
1,1.0,"[-0.5343390215775936, 0.09476946887854235, -3.098928574125094]"
2,2.0,"[-0.5158366976174922, 0.09526118113258494, -3.10248667217667]"
3,3.0,"[-0.5213569112170706, 0.06361088663382614, -3.098127333555335]"
4,4.0,"[-0.48969443706728955, 0.02844960003945136, -3.098525097034627]"
5,5.0,"[-0.5062985859299405, 0.04054035522506578, -3.0929036718802334]"
6,6.0,"[-0.5329085337233586, 0.03332895652814313, -3.0928642004316704]"
7,7.0,"[-0.5303491120870221, 0.04911874652325529, -3.0965216613419355]"
8,8.0,"[-0.5088055724522613, 0.04845569806700767, -3.098059239428968]"
9,9.0,"[-0.5066658178334167, 0.07783369359132422, -3.1008704062564147]"
10,10.0,"[-0.4976272712232192, 0.06706073468434846, -3.1015116682533788]"
11,11.0,"[-0.48627730059988733, 0.05968580208389844, -3.100594219550087]"
12,12.0,"[-0.4915018266683902, 0.0666006455045384, -3.101492748025833]"
13,13.0,"[-0.5017794238052614, 0.09159929390921016, -3.0958271761614924]"
14,14.0,"[-0.5092154424531808, 0.08421220126236162, -3.0958826068182717]"
15,15.0,"[-0.5268042539289483, 0.08198398608164166, -3.0929844281161434]"
16,16.0,"[-0.5193470723813384, 0.06604388165610671, -3.0950460289907262]"
17,17.0,"[-0.5310223897578725, 0.047277528738803774, -3.0870213393178143]"
18,18.0,"[-0.5357763541335474, 0.040629694779293034, -3.0864619838779257]"
19,19.0,"[-0.5438245863434046, 0.047285281572314986, -3.082463848575153]"
20,20.0,"[-0.5435626967756809, 0.042796409346394094, -3.0857090222004073]"
21,21.0,"[-0.5496183960815915, 0.057220993889862605, -3.0866215864908377]"
22,22.0,"[-0.5442432754592091, 0.05828504473600383, -3.0882945928887655]"
23,23.0,"[-0.539296242180747, 0.05700974707840605, -3.083294896332854]"
24,24.0,"[-0.5522064001202625, 0.058696785969936535, -3.082638238424855]"
25,25.0,"[-0.5500507393115904, 0.0546124574606032, -3.08208325477928]"
26,26.0,"[-0.5334425178973072, 0.048054597232489026, -3.0912541276158527]"
27,27.0,"[-0.504672654922942, 0.04679315061512573, -3.0895015051085974]"
28,28.0,"[-0.5230468573711657, 0.0767165292964753, -3.090455030570964]"
29,29.0,"[-0.5188572364492876, 0.06446004345991792, -3.0833411389144505]"
30,30.0,"[-0.4911403778859803, 0.04190845727409392, -3.085418357460508]"
31,31.0,"[-0.4619221133190562, 0.033066074898040976, -3.087818395716683]"
32,32.0,"[-0.4589332819795302, 0.06079714136595633, -3.0920233598767357]"
33,33.0,"[-0.46977511002302214, 0.07790069911058604, -3.091810782149961]"
34,34.0,"[-0.47648271971338885, 0.09780219549060692, -3.0926477705356925]"
35,35.0,"[-0.4807907092817299, 0.08159911514847848, -3.092511779621066]"
36,36.0,"[-0.46143120179867314, 0.051097581469330855, -3.093428871210049]"
37,37.0,"[-0.45173488837633397, 0.049581634360760324, -3.0890657420659533]"
38,38.0,"[-0.44302836863039113, 0.017947231049393025, -3.0936776887288246]"
39,39.0,"[-0.4326811831090373, 0.010795269920669169, -3.0927461427274676]"
40,40.0,"[-0.41727493510957475, 0.0050806971152450465, -3.0934867187224344]"
41,41.0,"[-0.40985266291191835, 0.0030039895000271866, -3.0909582081870193]"
42,42.0,"[-0.42485327893623037, 0.0038200658007703043, -3.0883683992658106]"
43,43.0,"[-0.40513118571757323, -0.004901921077304833, -3.09288967682835]"
44,44.0,"[-0.41874099933598224, 0.00302867071256116, -3.09032069030205]"
45,45.0,"[-0.42057383325708514, 0.007066104907887936, -3.0857653425869334]"
46,46.0,"[-0.41097900574477747, 0.02125933972238909, -3.0856823184892614]"
47,47.0,"[-0.42149232062267805, 0.03920958982941232, -3.0842227130545004]"
48,48.0,"[-0.4647262012748281, 0.09841433087167505, -3.068333098260668]"
49,49.0,"[-0.4796468788003368, 0.11358617840885164, -3.0667137369528255]"
50,50.0,"[-0.47147091964992854, 0.022755518891023882, -3.0684128921459046]"
51,51.0,"[-0.48726024133864515, 0.022801696806794943, -3.0696575386661444]"
52,52.0,"[-0.5105010653829892, 0.028320140868874553, -3.0794185836358228]"
53,53.0,"[-0.5040404627723135, 0.03073852293123066, -3.082846158557086]"
54,54.0,"[-0.4946386703882674, 0.04319069320144274, -3.0843835326625726]"
55,55.0,"[-0.4948201146347217, 0.06867646414967907, -3.086542762424383]"
56,56.0,"[-0.5307172915275734, 0.08842971602232584, -3.085340068512842]"
57,57.0,"[-0.5493949791269849, 0.1065135710449182, -3.0880912232568876]"
58,58.0,"[-0.5499223901402797, 0.11636408774250633, -3.0903507088453432]"
59,59.0,"[-0.5332254870244132, 0.102175101647881, -3.096915351903118]"
60,60.0,"[-0.538680391816796, 0.08776790210045989, -3.0910189561852777]"
61,61.0,"[-0.5147590769424502, 0.0503630903109384, -3.0894830918145506]"
62,62.0,"[-0.5038496826816681, 0.04646189057237326, -3.0916295244099534]"
63,63.0,"[-0.5143424909652876, 0.048570041243476005, -3.087604394772492]"
64,64.0,"[-0.5078810481974954, 0.04806133485249479, -3.096652231545643]"
65,65.0,"[-0.5069415759782963, 0.039770070921897084, -3.0967693931347013]"
66,66.0,"[-0.5012926764724797, 0.032977874698504044, -3.09625885522437]"
67,67.0,"[-0.5060081540072464, 0.02610163691444336, -3.0933553035414816]"
68,68.0,"[-0.5112109457668033, 0.01911803412500052, -3.0923851805999947]"
69,69.0,"[-0.520155603190472, 0.023286920609530363, -3.0916868454454702]"
70,70.0,"[-0.5142330132360182, 0.020780024307139405, -3.09472623547559]"
71,71.0,"[-0.5206958345775076, 0.023984654737298695, -3.0947801191837585]"
72,72.0,"[-0.5268563668287221, 0.022986852616278204, -3.097262473568169]"
73,73.0,"[-0.5334834761142778, 0.04391821117452518, -3.0970559738389816]"
74,74.0,"[-0.519670372430426, 0.031360638570217356, -3.0972759743945186]"
75,75.0,"[-0.5240808437502094, 0.017651639087382893, -3.102494540149167]"
76,76.0,"[-0.5132192630933642, 0.020083838858858744, -3.1057754317404607]"
77,77.0,"[-0.5125802959762, 0.036648405488200635, -3.1066947439583275]"
78,78.0,"[-0.5218985381849567, 0.08094767643779854, -3.1039871042828664]"
79,79.0,"[-0.5216107333438255, 0.0653368946031781, -3.1061376130152074]"
80,80.0,"[-0.5361106457353192, 0.049985569342816304, -3.102598429819874]"
81,81.0,"[-0.5699476206310131, 0.08497143187076764, -3.0994883625310763]"
82,82.0,"[-0.6079428331540828, 0.06549483642613166, -3.10387346691631]"
83,83.0,"[-0.6389991222298016, 0.02533991756676966, -3.0874079848276934]"
84,84.0,"[-0.670458755006374, 0.042307481705021625, -3.082144171143239]"
85,85.0,"[-0.6952114133178193, 0.04735853721993722, -3.0886072322188247]"
86,86.0,"[-0.748316787647976, 0.08229720773522588, -3.0766247967108358]"
87,87.0,"[-0.7974418456648273, 0.11380162749108638, -3.0670903796836337]"
88,88.0,"[-0.8400849183557962, 0.12948899374358153, -3.059924674037542]"
89,89.0,"[-0.910849382115738, 0.15424107133844858, -3.0447527503305074]"
90,90.0,"[-0.9391530160184186, 0.13937900676422738, -3.0280004273748578]"
91,91.0,"[-0.9545973513535856, 0.13606439200219272, -3.0230541168442704]"
92,92.0,"[-0.9738030133850303, 0.14392063489202453, -3.015500890009451]"
93,93.0,"[-0.9975537861206395, 0.1416557216593496, -3.001616904171484]"
94,94.0,"[-1.00321039942871, 0.14435866655789992, -2.9998922986602192]"
95,95.0,"[-1.0199122996797678, 0.152815577976365, -2.9979664831897224]"
96,96.0,"[-1.0392782301863972, 0.16348007748895277, -2.9817791236703166]"
97,97.0,"[-1.0253771056977525, 0.1537695255255359, -2.9921605630214865]"
98,98.0,"[-1.0372955249058196, 0.1533477333111625, -2.986226075099596]"
99,99.0,"[-1.0389590134305484, 0.14788264764650505, -2.9934132110325806]"
100,100.0,"[-1.0548439138274521, 0.15095869361776115, -2.9847952090867538]"
101,101.0,"[-1.0467154585604204, 0.13985771480250755, -2.992097011945561]"
102,102.0,"[-0.9921823242916138, 0.1292354853322871, -3.0173726130543335]"
103,103.0,"[-0.9041052297469431, 0.09001872590228342, -3.0434573585706706]"
104,104.0,"[-0.8197094343842087, 0.02366577709727138, -3.0686752429917346]"
105,105.0,"[-0.7045944185247704, -0.02319630661958604, -3.0750839107186687]"
106,106.0,"[-0.5893717676699869, -0.06808928238803552, -3.084156825867316]"
107,107.0,"[-0.5477016545533415, -0.07696363627564887, -3.085285548615442]"
108,108.0,"[-0.5453377215044318, -0.07096867120045484, -3.0765534248495907]"
109,109.0,"[-0.5359650308234021, -0.08141318807305171, -3.082666659698156]"
110,110.0,"[-0.5385817582374794, -0.07541881938807242, -3.081955017543229]"
111,111.0,"[-0.5200316847420546, -0.09163082819776187, -3.083187381330701]"
112,112.0,"[-0.5157925946695484, -0.07098911613319349, -3.0918941211025373]"
113,113.0,"[-0.5248445178002171, -0.08130509710434526, -3.0953416222463104]"
114,114.0,"[-0.5242796151098267, -0.039868905711401746, -3.102622198575937]"
115,115.0,"[-0.5150801155187019, 0.005632292357141738, -3.108278333245726]"
116,116.0,"[-0.49231752433934917, 0.04183584986921654, -3.1116278875855903]"
117,117.0,"[-0.48654132734645633, 0.06766772927617067, -3.117712081941099]"
118,118.0,"[-0.4845888476451865, 0.056438544419745926, -3.112365382408942]"
119,119.0,"[-0.4847114858641965, 0.05128383920909876, -3.1084201528571116]"
120,120.0,"[-0.477185109310225, 0.05128747623799857, -3.1101549958236583]"
121,121.0,"[-0.47533076353879145, 0.050252906967335, -3.105655928786359]"
122,122.0,"[-0.4528295716255344, 0.049389975909545435, -3.1181182127197706]"
123,123.0,"[-0.468631927138722, 0.049765006444532085, -3.1163191549606566]"
124,124.0,"[-0.45643706885413055, 0.04031210225078184, -3.1120883435774305]"
125,125.0,"[-0.46546620040180037, 0.05275196748133414, -3.117920286301756]"
126,126.0,"[-0.46744666784985683, 0.05204767811188056, -3.113182012644036]"
127,127.0,"[-0.47745405966476095, 0.044021195535381946, -3.1107362727697208]"
128,128.0,"[-0.47826371457954464, 0.027659117886889375, -3.1061993930620933]"
129,129.0,"[-0.48831524509867585, 0.031635076315625864, -3.1035806496535288]"
130,130.0,"[-0.4656268819629653, 0.027631918829428746, -3.109418465811525]"
131,131.0,"[-0.46438750570578635, 0.0033334012965379667, -3.106940754786645]"
132,132.0,"[-0.470077158529069, -0.006103358083858054, -3.105695889302253]"
133,133.0,"[-0.4581225389458341, 0.01605198790619219, -3.114242002729426]"
134,134.0,"[-0.4630275482560967, 0.029812012106983473, -3.113006944701746]"
135,135.0,"[-0.44068952496095454, 0.030609213957057704, -3.126114351374403]"
136,136.0,"[-0.43812626131502247, 0.033279431202099655, -3.129592557131166]"
137,137.0,"[-0.4249540432636654, 0.04384420016657468, -3.1324502932111824]"
138,138.0,"[-0.42436634300087345, 0.04028287592592551, -3.1306968825520083]"
139,139.0,"[-0.4218688176997276, 0.04181029138370585, -3.1299348846246176]"
140,140.0,"[-0.4213297512473126, 0.04722814656396208, -3.128270830827918]"
141,141.0,"[-0.41605351818712344, 0.04130774480433978, -3.1239561159842903]"
142,142.0,"[-0.4160721260064406, 0.043744748965493206, -3.125366506690282]"
143,143.0,"[-0.4132408317320361, 0.028493894407893475, -3.1164984718721156]"
144,144.0,"[-0.42943804177266653, 0.03973101390430683, -3.1147098360082417]"
145,145.0,"[-0.4277472333892994, 0.04002720530885633, -3.114232406824517]"
146,146.0,"[-0.4416621208218591, 0.0342195432636144, -3.1063789998800333]"
147,147.0,"[-0.4488424978224443, 0.04180400872211446, -3.1041772970240573]"
148,148.0,"[-0.45189081969216055, 0.036553836219291314, -3.1023444089439733]"
149,149.0,"[-0.4556632338640494, 0.03205853361822686, -3.098941178049271]"
150,150.0,"[-0.4493755637691512, 0.025790757624340643, -3.09873622719944]"
151,151.0,"[-0.4465376617365223, 0.03719062181319766, -3.0992487330532557]"
152,152.0,"[-0.4446282521717526, 0.034482883368069796, -3.10107781829278]"
153,153.0,"[-0.44596585996037946, 0.03615592796563731, -3.100486680772388]"
154,154.0,"[-0.4434706740425622, 0.03136449244691947, -3.102759123821183]"
155,155.0,"[-0.4474269724804032, 0.025205648709312276, -3.1005983466263585]"
156,156.0,"[-0.4543250534437451, 0.024292948820014815, -3.1015127987158984]"
157,157.0,"[-0.4594335746669894, 0.02706979659869909, -3.1014112584882354]"
158,158.0,"[-0.4564973063310362, 0.015532004344559352, -3.099568059464401]"
159,159.0,"[-0.4803810319868978, 0.023965001839529567, -3.095262655935156]"
160,160.0,"[-0.4812715448238745, 0.022157595837235113, -3.0937080688310385]"
161,161.0,"[-0.4783804472344279, 0.0026866264880388646, -3.0918767435765346]"
162,162.0,"[-0.490012557589429, 0.008434812191286912, -3.086316984708273]"
163,163.0,"[-0.4882126353012186, 0.00415517003431806, -3.0875927667424135]"
164,164.0,"[-0.497818526045826, 0.021158814221459054, -3.090742491566002]"
165,165.0,"[-0.5093299003165878, 0.04680137267845993, -3.089301893946402]"
166,166.0,"[-0.5174893008601038, 0.050392136398883874, -3.085707091965233]"
167,167.0,"[-0.5096727471862292, 0.039696678261061324, -3.088698101755347]"
168,168.0,"[-0.5107646713125805, 0.045009704737435374, -3.0989555131217115]"
169,169.0,"[-0.5165759685428863, 0.04715028498519447, -3.1024717724356257]"
170,170.0,"[-0.5233055159821866, 0.06461366527118434, -3.105271901759275]"
171,171.0,"[-0.5212837066576737, 0.07131930874493497, -3.1055872777731337]"
172,172.0,"[-0.5210382876125133, 0.08260604540875076, -3.112272056519767]"
173,173.0,"[-0.53835239463738, 0.07291009519805726, -3.115068055209907]"
174,174.0,"[-0.5628235478608119, 0.07524004229974417, -3.112756876609746]"
175,175.0,"[-0.5808895003253017, 0.041255737594938995, -3.1041558379621175]"
176,176.0,"[-0.5734925044768713, 0.045828574343146695, -3.1037482861751715]"
177,177.0,"[-0.5807136099081601, 0.07681089116456245, -3.1105729923506953]"
178,178.0,"[-0.5670455797202515, 0.07641516225152266, -3.1144236821528977]"
179,179.0,"[-0.5466232652762505, 0.06470863717098715, -3.114008626502666]"
180,180.0,"[-0.5531835780182508, 0.06898620057578518, -3.1142537979941873]"
181,181.0,"[-0.5556208468781153, 0.06453362075938673, -3.1088439778823727]"
182,182.0,"[-0.5805688066836702, 0.05368137901336775, -3.097796033063333]"
183,183.0,"[-0.6127680556275256, 0.061079547968008144, -3.1113721187801917]"
184,184.0,"[-0.6689015390477534, 0.08626267374255696, -3.0929362122572637]"
185,185.0,"[-0.7175237081560788, 0.113234292987311, -3.0882419370841045]"
186,186.0,"[-0.7721750137362272, 0.12431387929155047, -3.0721709763970155]"
187,187.0,"[-0.8283417345260868, 0.13108743067290818, -3.0588615490580535]"
188,188.0,"[-0.8379185792212162, 0.1182087285796808, -3.0493686717042316]"
189,189.0,"[-0.8395769124317681, 0.12500358080795626, -3.05638248400854]"
190,190.0,"[-0.839864360229066, 0.134610346938649, -3.06211880121644]"
191,191.0,"[-0.8373610006401886, 0.14519585395886603, -3.069612109681608]"
192,192.0,"[-0.8180775605042996, 0.13585198868030063, -3.069671029515322]"
193,193.0,"[-0.8270405771549727, 0.13533786778126042, -3.0616630637394473]"
194,194.0,"[-0.8244456452494598, 0.1365794436729266, -3.0617152080579286]"
195,195.0,"[-0.8060816402334918, 0.11746710438786516, -3.0620426362042945]"
196,196.0,"[-0.8009303785432897, 0.12238127255422374, -3.067980117323534]"
197,197.0,"[-0.8009231806535053, 0.1133645746735557, -3.0689350011894367]"
198,198.0,"[-0.8036830691288548, 0.10506139100048059, -3.0730765561079125]"
199,199.0,"[-0.8106411006790509, 0.0989146669227433, -3.068380231467215]"
200,200.0,"[-0.8095917083420286, 0.0955103692095474, -3.0726849163968253]"
201,201.0,"[-0.8185386744875434, 0.10160892990007202, -3.0697762052870656]"
202,202.0,"[-0.8197925394273484, 0.10110226765763695, -3.068464367977517]"
203,203.0,"[-0.809898022725442, 0.09691791843245695, -3.0686367763068048]"
204,204.0,"[-0.7942514332887045, 0.09105438441700248, -3.0748884618276784]"
205,205.0,"[-0.7949982915065279, 0.09280055848571067, -3.0732881305067785]"
206,206.0,"[-0.7730501607813863, 0.0799597210089729, -3.0769033650325723]"
207,207.0,"[-0.7848015898727679, 0.07311267643136816, -3.074838132402583]"
208,208.0,"[-0.7681215811222222, 0.08366460542044013, -3.0850424687957223]"
209,209.0,"[-0.7395041237274896, 0.0859136981074698, -3.0898693852252186]"
210,210.0,"[-0.7370910490873399, 0.07984121009808923, -3.088883104697719]"
211,211.0,"[-0.7292285673553216, 0.0684655961089112, -3.0874230891144627]"
212,212.0,"[-0.7459767782836081, 0.055689637375009454, -3.0822268848923136]"
213,213.0,"[-0.7442873522566084, 0.05166262996690032, -3.0770440567590422]"
214,214.0,"[-0.729696397941603, 0.037503913107703714, -3.0767629177767155]"
215,215.0,"[-0.7323952174671479, 0.04373971045392382, -3.0763618239854713]"
216,216.0,"[-0.7193544164787388, 0.05153405252419001, -3.0868994549564905]"
