,Frame Number,Rotation Vector
0,0.0,"[0.25503339365331923, -0.0375034161684681, -3.1185485890804525]"
1,1.0,"[0.27334409907591967, -0.03728269424560189, -3.124898265327149]"
2,2.0,"[0.25759819477243645, -0.03496932254210348, -3.123510520671552]"
3,3.0,"[0.24350452201373377, -0.03951896743577562, -3.1192194282477663]"
4,4.0,"[0.2758183573836728, 0.03264713092850876, -3.130139261226551]"
5,5.0,"[0.38040554717400554, 0.0359371430071828, -3.123800798040257]"
6,6.0,"[0.38188636550081, -0.036512220730281944, -3.10120532625917]"
7,7.0,"[0.4900315650387899, -0.03133529620392802, -3.1238345737073043]"
8,8.0,"[0.5201894675624403, -0.036799145609048345, -3.0672161614921762]"
9,9.0,"[0.5390479160617686, -0.0018931375072677521, -3.0743035728137]"
10,10.0,"[0.5318627583327054, 0.01646219153816743, -3.074307079661331]"
11,11.0,"[0.5512616984697789, -0.013022323170928734, -3.0674162580794033]"
12,12.0,"[0.5931218172953577, -0.003483283496922929, -3.0772172023015107]"
13,13.0,"[0.6019784195551344, 0.0067671115499719344, -3.0899552589530037]"
14,14.0,"[0.5805207414108964, -0.0724762076463905, -3.094266618100032]"
15,15.0,"[0.5778551486376937, -0.06706742739028207, -3.1190163109417384]"
16,16.0,"[0.561442292442281, -0.15198597352407855, -3.0958236457990864]"
17,17.0,"[0.5607841700386247, -0.20457114803715107, -3.111183807765229]"
18,18.0,"[0.5462856857534515, -0.20624710091763473, -3.1141056825474545]"
19,19.0,"[0.5193229497486233, -0.23278613679174626, -3.1129718404786035]"
20,20.0,"[0.5415798608421334, -0.24150397771742818, -3.1171491590591964]"
21,21.0,"[0.5705772832322861, -0.21562545767614866, -3.1337358093674146]"
22,22.0,"[0.5619834641375099, -0.2104651061700985, -3.1483431058421636]"
23,23.0,"[0.5882228175407721, -0.18976257550940312, -3.1467372381014465]"
24,24.0,"[0.6157387408168481, -0.16140282266148326, -3.1524229845955434]"
25,25.0,"[0.607674579158291, -0.1396067954491497, -3.15867986060813]"
26,26.0,"[0.6011306381398136, -0.10948938042268555, -3.1769928892743176]"
27,27.0,"[0.5834644859886833, -0.07461538120008551, -3.1861280407809396]"
28,28.0,"[0.6126830894896282, -0.08120806913867647, -3.175226604211335]"
29,29.0,"[0.6275962402112303, -0.08345298004171763, -3.1742900435169363]"
30,30.0,"[0.6184896357537272, -0.0702120175479435, -3.178174801722306]"
31,31.0,"[0.6161219864443289, -0.06009346384142442, -3.179714046722023]"
32,32.0,"[0.6082069450326227, -0.0641245470678909, -3.18475609820694]"
33,33.0,"[0.603792887095525, -0.05748786414482715, -3.1854731997697874]"
34,34.0,"[0.6172767519940563, -0.068311154692636, -3.1820204852100327]"
35,35.0,"[0.6153310873933898, -0.0677997231353076, -3.1829186639449167]"
36,36.0,"[0.6133926821671395, -0.05367588733460097, -3.1872634522094385]"
37,37.0,"[0.6188572345933813, -0.02139766456299761, -3.1947716035422484]"
38,38.0,"[0.6401140447698817, -0.04675630095384342, -3.1742224304663016]"
39,39.0,"[0.6267967934755655, -0.08335153753688773, -3.163581462367133]"
40,40.0,"[0.647309808826508, -0.04705538119828932, -3.1739571924117054]"
41,41.0,"[0.6347975017043411, -0.07482691567571498, -3.1702824700141616]"
42,42.0,"[0.600609372664572, -0.0644478290841764, -3.1741484922115224]"
43,43.0,"[0.6105775171781289, -0.03786782693651354, -3.1845022851970843]"
44,44.0,"[0.6338118303573245, 0.005043619850083718, -3.209972514102726]"
45,45.0,"[0.6301748384758153, -0.010993199389110935, -3.1992667111937374]"
46,46.0,"[0.6381699724604967, -0.012742267648367505, -3.1938309103244027]"
47,47.0,"[0.6262690561606236, 0.0402254620190287, -3.1953553137400146]"
48,48.0,"[0.6403508335680927, 0.054611855912467526, -3.195256671622094]"
49,49.0,"[0.649093604898242, 0.08379979988598246, -3.2034275580125757]"
50,50.0,"[0.631633986948885, 0.08483282653609966, -3.201681056988858]"
51,51.0,"[0.610248720880945, 0.09583061290127351, -3.201738741915463]"
52,52.0,"[0.62190154140113, 0.06656000194105588, -3.1993395856985734]"
53,53.0,"[0.6023842838296833, 0.07939436291294266, -3.1977097637086693]"
54,54.0,"[0.606895013044745, 0.09152627105615785, -3.1929656537925677]"
55,55.0,"[0.6136975705630204, 0.11542681543984973, -3.191733824802803]"
56,56.0,"[0.612470123313665, 0.10458875355362182, -3.1870483591934997]"
57,57.0,"[0.6182153802471638, 0.10361905985283047, -3.1891509888388607]"
58,58.0,"[0.6276731373924347, 0.08787383441567881, -3.184881223332411]"
59,59.0,"[0.6282573509931696, 0.09153689662431112, -3.179707983560203]"
60,60.0,"[0.6483532517717719, 0.09703695524427505, -3.1866904972738435]"
61,61.0,"[0.6524521966786767, 0.09663465997585002, -3.1793038068133965]"
62,62.0,"[0.6652506673495343, 0.10561602180605821, -3.1813027662061284]"
63,63.0,"[0.6614258108634484, 0.10427219499245904, -3.1803779585391565]"
64,64.0,"[0.6848648062272121, 0.09229344927557334, -3.1791616202736668]"
65,65.0,"[0.6807607122049194, 0.0946526275133985, -3.1801441162190627]"
66,66.0,"[0.663114617945911, 0.07122204870662668, -3.177930706554686]"
67,67.0,"[0.6675301146672209, 0.07986810120449861, -3.1804162612721987]"
68,68.0,"[0.6794810777540353, 0.07426740022709023, -3.180264338948003]"
69,69.0,"[0.6810994299550116, 0.06835591372093704, -3.182959363332056]"
70,70.0,"[0.6763223513440961, 0.06689867528676645, -3.1787973634094615]"
71,71.0,"[0.6702507524878133, 0.05545869894487919, -3.1786300555685627]"
72,72.0,"[0.675758448123552, 0.06109517986887719, -3.1805257719111775]"
73,73.0,"[0.6888455236986493, 0.06626828109210899, -3.173682361084225]"
74,74.0,"[0.6861760822977586, 0.06811088647181492, -3.177477373467992]"
75,75.0,"[0.7012194844449806, 0.08760732168059163, -3.1712002950663427]"
76,76.0,"[0.7082094227288247, 0.08514146184954911, -3.1699044710276327]"
77,77.0,"[0.7005609650890815, 0.06339901594975562, -3.170262017982131]"
78,78.0,"[0.7007605984279098, 0.06353700460561595, -3.1699636888215674]"
79,79.0,"[0.7014483173646472, 0.06366362121516861, -3.169180617288412]"
80,80.0,"[0.704598385521642, 0.06891106243552633, -3.1691626768636167]"
81,81.0,"[0.7023686275574653, 0.06629445156843387, -3.1706071238824083]"
82,82.0,"[0.6894886429288581, 0.040704523982313216, -3.1722617579850416]"
83,83.0,"[0.7066745079048866, 0.06000897206385273, -3.1642774772877402]"
84,84.0,"[0.7000883115561991, 0.031532110499608794, -3.1731557447137857]"
85,85.0,"[0.6871608863252375, 0.021730905068434465, -3.1818164456793268]"
86,86.0,"[0.6713823828617845, 0.004131789003817919, -3.1888698633024894]"
87,87.0,"[0.6796934688994513, -0.002951475587902267, -3.1893468035132044]"
88,88.0,"[0.6631725684035975, 0.003921210370070033, -3.2108921962260086]"
89,89.0,"[0.652329513452253, 0.02070728688924775, -3.2128236456715467]"
90,90.0,"[0.6330902496395577, 0.015044775334272053, -3.215374490508529]"
91,91.0,"[0.646587990789396, 0.010642813142561968, -3.2145815283279857]"
92,92.0,"[0.6354215191623275, 0.019921525652987108, -3.214915958676092]"
93,93.0,"[0.6506732381546305, 0.027280579530229082, -3.2159893659221623]"
94,94.0,"[0.6513401647500798, 0.007164156662566181, -3.2130308503163465]"
95,95.0,"[0.625308245463075, -0.025583819998464673, -3.2060131710454085]"
96,96.0,"[0.6244858589193718, -0.06745040713248285, -3.1839999632480276]"
97,97.0,"[0.6311923104857795, -0.049890884427128794, -3.189397561359677]"
98,98.0,"[0.6355224417909802, -0.05366214425892636, -3.1807548044103338]"
99,99.0,"[0.6295225538709972, -0.034482595830712684, -3.1761885158013508]"
100,100.0,"[0.6345180675475369, -0.04291172534607941, -3.160422028819157]"
101,101.0,"[0.5925953668245192, -0.029977412858771757, -3.1524477987451656]"
102,102.0,"[0.5899594940465045, -0.048566383517148065, -3.1522947788587006]"
103,103.0,"[0.5889383897750198, -0.045129945268114306, -3.1431523641902626]"
104,104.0,"[0.5482338792230307, -0.061761867517191316, -3.1373018581852348]"
