,Frame Number,Rotation Vector
0,0.0,"[0.4379878583042713, 0.4883323577743601, -3.084319227974523]"
1,1.0,"[0.4439896682401567, 0.4978854586244468, -3.082942998548835]"
2,2.0,"[0.4421251684973327, 0.4920909938399539, -3.0769166508343777]"
3,3.0,"[0.42808422776903793, 0.49594489175155365, -3.084225607167725]"
4,4.0,"[0.4918463323303329, 0.5136719468471653, -3.084534683993841]"
5,5.0,"[0.44389680046026275, 0.4933520103062069, -3.094842837225421]"
6,6.0,"[0.43691892182105624, 0.47102045241180907, -3.0986882222989616]"
7,7.0,"[0.38425470262361205, 0.46212517363944927, -3.1152468496342807]"
8,8.0,"[0.36717992725136683, 0.4236192010104089, -3.1051071892907243]"
9,9.0,"[0.3637860382034677, 0.43175729750430825, -3.1018484413428955]"
10,10.0,"[0.37843035912261475, 0.4415711001255995, -3.1198822835239777]"
11,11.0,"[0.4212090644297404, 0.44648603844378915, -3.1137882615191677]"
12,12.0,"[0.4564354823965533, 0.45488377799184193, -3.0983088299110357]"
13,13.0,"[0.46442151463878906, 0.44480093822340255, -3.098091085142825]"
14,14.0,"[0.47283332373194825, 0.4522676708718466, -3.1000066851890247]"
15,15.0,"[0.46171509863831445, 0.43909014125656776, -3.108064003440899]"
16,16.0,"[0.47814521918918235, 0.45025970328505366, -3.101535851635143]"
17,17.0,"[0.47817507025416245, 0.46250832347694, -3.0975201608842244]"
18,18.0,"[0.5089580879626856, 0.4568249715055699, -3.099089735087408]"
19,19.0,"[0.5247916879709298, 0.46721034394310473, -3.096350349873515]"
20,20.0,"[0.48683535948994994, 0.45052049976988645, -3.0997905777190464]"
21,21.0,"[0.5217647093571743, 0.46269565374996613, -3.0947506368629463]"
22,22.0,"[0.5202121219369176, 0.47945258487624615, -3.0895400246930222]"
23,23.0,"[0.5210768234270438, 0.4887033814057881, -3.086951207967691]"
24,24.0,"[0.5174154759462054, 0.46722293973066137, -3.0914221744283323]"
25,25.0,"[0.4965800148648158, 0.46748340112134795, -3.0881143965482263]"
26,26.0,"[0.5050731924662157, 0.47341367031316434, -3.0834636890688]"
27,27.0,"[0.503444624344605, 0.49650094412280227, -3.075362276001416]"
28,28.0,"[0.4927723571082698, 0.49364180361349813, -3.0832462261441824]"
29,29.0,"[0.4632519141980496, 0.4793007121951224, -3.0802037325777754]"
30,30.0,"[0.4697863562214569, 0.482213079369807, -3.0776055556594017]"
31,31.0,"[0.46650202838110966, 0.4766731330415116, -3.08556168913474]"
32,32.0,"[0.47591140298088075, 0.4746147183623053, -3.08383966736163]"
33,33.0,"[0.48785650924526086, 0.4743880586996414, -3.086714078619006]"
34,34.0,"[0.49947407402338745, 0.48453332910072233, -3.0815153863474456]"
35,35.0,"[0.5172899497790406, 0.4733929464851454, -3.078928514422569]"
36,36.0,"[0.5196479452651663, 0.48102058691914484, -3.0763145692831233]"
37,37.0,"[0.5265325603362306, 0.4721736347525299, -3.078640534614985]"
38,38.0,"[0.5393367985194305, 0.4795656940996109, -3.0741297995935413]"
39,39.0,"[0.5277855637477809, 0.4717915508067678, -3.0783243107208476]"
40,40.0,"[0.5388209672488603, 0.4561776953079415, -3.082135703871784]"
41,41.0,"[0.5393279039259629, 0.4579226897284818, -3.0743241511291908]"
42,42.0,"[0.5313164762372308, 0.46775616851006496, -3.06841460087706]"
43,43.0,"[0.5285637757396328, 0.4661533119318495, -3.0736849158884976]"
44,44.0,"[0.5094627273593584, 0.45979363049372585, -3.080943570654783]"
45,45.0,"[0.51821934713674, 0.4584558213567847, -3.0872870226016675]"
46,46.0,"[0.4890886848419391, 0.4701404106318189, -3.0825123606417035]"
47,47.0,"[0.4933148853712826, 0.4679231322245357, -3.080854052775007]"
48,48.0,"[0.48464579674488867, 0.45149049622989673, -3.0804585912067504]"
49,49.0,"[0.48042506758645176, 0.4576295524615721, -3.084646166938072]"
50,50.0,"[0.507435596952994, 0.4716518590963663, -3.086969848249518]"
51,51.0,"[0.44321407705645904, 0.4682982008231439, -3.08525410057302]"
52,52.0,"[0.4749512817356018, 0.4650236012192673, -3.080182986387168]"
53,53.0,"[0.4969424049882033, 0.4853632629721588, -3.080748257700487]"
54,54.0,"[0.4764175158440809, 0.4719152956034116, -3.0797341989560167]"
55,55.0,"[0.4995555502834877, 0.47776606739545174, -3.0747799773663056]"
56,56.0,"[0.4818352642317585, 0.4481672313639002, -3.081712758890007]"
57,57.0,"[0.45156051721600166, 0.4785659928481409, -3.0859191378574566]"
58,58.0,"[0.4248573264199186, 0.4593189310663697, -3.0923853809914648]"
59,59.0,"[0.4298047162251861, 0.47560796343155354, -3.089784788215316]"
60,60.0,"[0.42560657701511356, 0.4762004399959737, -3.0900597071541647]"
61,61.0,"[0.4168377404098206, 0.45343800447529753, -3.090910953845641]"
62,62.0,"[0.44261914472369085, 0.458803477259144, -3.083669905475403]"
63,63.0,"[0.42119834669119155, 0.44251338655399014, -3.084656355758459]"
64,64.0,"[0.424261914178095, 0.44810189076277934, -3.0841036701870914]"
65,65.0,"[0.4139652659136936, 0.4612284945148978, -3.0918818942928703]"
66,66.0,"[0.41249272763900147, 0.4617477681541494, -3.0910731961319]"
67,67.0,"[0.41134004703799515, 0.4594775775530005, -3.091352094973642]"
68,68.0,"[0.40990242301940144, 0.4463301457195035, -3.088289039938098]"
69,69.0,"[0.4346103874814047, 0.46465628347934285, -3.0818773942865993]"
70,70.0,"[0.4297242202826622, 0.42932779671493493, -3.078722457479508]"
71,71.0,"[0.4363556769024052, 0.42521206873257644, -3.0805837196710786]"
72,72.0,"[0.4140523101826799, 0.4201667265834798, -3.079871204079215]"
73,73.0,"[0.43694466676362526, 0.42626157901627504, -3.0851412009101353]"
74,74.0,"[0.42706207640236, 0.4183547079428343, -3.0862920447758277]"
75,75.0,"[0.48580432232003934, 0.4700996379459294, -3.0766924521387957]"
76,76.0,"[0.4498884764124116, 0.452901835344185, -3.083933087332058]"
77,77.0,"[0.45918134348423, 0.46109761281701084, -3.082764148487231]"
78,78.0,"[0.4368396835278269, 0.4640256780462619, -3.08699516723659]"
79,79.0,"[0.4234334585240739, 0.45155305045412825, -3.095915789380625]"
80,80.0,"[0.4245018516234632, 0.43961276246139175, -3.0998384588588834]"
81,81.0,"[0.425384982158896, 0.43767284136634527, -3.1010137651245766]"
82,82.0,"[0.4443882715937844, 0.442473162636103, -3.099472148258616]"
83,83.0,"[0.4339675942991987, 0.44444348202769135, -3.0892029339081626]"
84,84.0,"[0.4891283432629045, 0.4661264740351881, -3.097578553158754]"
85,85.0,"[0.4442102954753642, 0.4568412996602314, -3.1140310617300493]"
86,86.0,"[0.38900097710860976, 0.46409780307356896, -3.117067199483532]"
87,87.0,"[0.39555823992610456, 0.4678752512971936, -3.118485672781049]"
88,88.0,"[0.3989173640717396, 0.45112120027300817, -3.1209864219423977]"
89,89.0,"[0.42456863749232854, 0.48954543672427353, -3.1185141323014074]"
90,90.0,"[0.4440306670427417, 0.4677751825643327, -3.126955036400333]"
91,91.0,"[0.4859428327648957, 0.49749627916865347, -3.113380729930441]"
92,92.0,"[0.4565522330247126, 0.4715875212308924, -3.118034656289625]"
93,93.0,"[0.4663329784650269, 0.47042478609248195, -3.117065850256691]"
94,94.0,"[0.45506593535092704, 0.4823399544191529, -3.114376418934035]"
95,95.0,"[0.44227832507292536, 0.44371396924897244, -3.1256101688952134]"
96,96.0,"[0.453171723090082, 0.4397632637367701, -3.125190105352185]"
97,97.0,"[0.4525090071178387, 0.44778146448623646, -3.1256857623604346]"
98,98.0,"[0.4187573023193688, 0.4196005422194823, -3.1379520763503006]"
99,99.0,"[0.41231053366824205, 0.4356686320959631, -3.1313009999398327]"
100,100.0,"[0.3907646212050288, 0.46181056790647557, -3.128870569647027]"
101,101.0,"[0.38643477625886485, 0.4736130509420524, -3.1211065733467067]"
102,102.0,"[0.3942203966042279, 0.4498958019690972, -3.12324968085325]"
103,103.0,"[0.3989211852293859, 0.45096584347551144, -3.122895801501648]"
104,104.0,"[0.3654026305491762, 0.4391167316204092, -3.1247669549367987]"
105,105.0,"[0.3338238593707869, 0.4465048917369752, -3.1251720055233236]"
106,106.0,"[0.3578108645450515, 0.45061705986081363, -3.1245425540810428]"
107,107.0,"[0.39169356011740997, 0.44446236597060357, -3.122697013477809]"
108,108.0,"[0.3970360826730918, 0.4273176943648826, -3.1170901711987775]"
109,109.0,"[0.4129751299439927, 0.4150548906314091, -3.1231597979667733]"
110,110.0,"[0.3906028976322454, 0.40895110518781336, -3.1252749045492454]"
111,111.0,"[0.36676168126204284, 0.42316704571876884, -3.1178257403216283]"
112,112.0,"[0.39104886910739556, 0.40770994336443084, -3.1269483287083712]"
113,113.0,"[0.41900384097641996, 0.43567264296053265, -3.1093865472372797]"
114,114.0,"[0.4849073280474215, 0.41457691342693237, -3.1182270505240335]"
115,115.0,"[0.470362481886059, 0.4439033088818241, -3.113280306475551]"
116,116.0,"[0.4804701215532387, 0.4552563943236797, -3.089394703301311]"
117,117.0,"[0.4618266240353818, 0.45009089586763906, -3.10007175166921]"
118,118.0,"[0.454279020243909, 0.45723410488435257, -3.095986552346127]"
119,119.0,"[0.402954735678163, 0.4375056696474856, -3.1041550599309384]"
120,120.0,"[0.4358026747224779, 0.43941221863372426, -3.0975845484619033]"
121,121.0,"[0.4542431877238332, 0.4132151514438391, -3.0896749517701068]"
122,122.0,"[0.4753497556317315, 0.42250850715984156, -3.0915442041687102]"
123,123.0,"[0.4537079878694443, 0.4141514447018811, -3.092834977392253]"
124,124.0,"[0.43541332663228693, 0.38731951054392544, -3.090251441582647]"
125,125.0,"[0.41880713888625093, 0.4159095990951369, -3.0948521991978586]"
126,126.0,"[0.4240701572515757, 0.39917790080602317, -3.090255036213123]"
127,127.0,"[0.4328862632001593, 0.40436945489878057, -3.090578869521134]"
128,128.0,"[0.4317228847591032, 0.38652785501610387, -3.0898689388281095]"
129,129.0,"[0.45039381442699233, 0.3751011461594292, -3.0827078465291287]"
130,130.0,"[0.43715813201187437, 0.4075257059229108, -3.0868453849276443]"
131,131.0,"[0.42362161894335343, 0.3867827698664835, -3.090311379000962]"
132,132.0,"[0.41060675321900586, 0.39818838917649785, -3.105707663586004]"
133,133.0,"[0.40622284636732664, 0.3953199976139344, -3.1049648909628185]"
134,134.0,"[0.39171741069683713, 0.38147215287279557, -3.1087498505728584]"
135,135.0,"[0.39713123579601495, 0.3887831556161506, -3.106857277993702]"
136,136.0,"[0.40358258943973035, 0.4014821759216847, -3.109814634193216]"
137,137.0,"[0.41019727853924165, 0.40852266735934833, -3.108957034960129]"
138,138.0,"[0.46359685992323296, 0.4472365997936931, -3.0937795834964903]"
139,139.0,"[0.47257127277792843, 0.4430117355138767, -3.0919361788534743]"
140,140.0,"[0.4957007185272784, 0.4585624513306087, -3.0870324577482813]"
141,141.0,"[0.4962336859032042, 0.47480220785625854, -3.085925145239517]"
142,142.0,"[0.4883005413492161, 0.47804854645112693, -3.0787377478764335]"
143,143.0,"[0.5051566881943219, 0.48309035028302183, -3.0809286562798355]"
144,144.0,"[0.4739289523069752, 0.4772539058313545, -3.076802559078017]"
145,145.0,"[0.4794545938269863, 0.47530085467690186, -3.08271943992647]"
146,146.0,"[0.49504310715900246, 0.4719777688797976, -3.0847180421168625]"
147,147.0,"[0.5093617798207198, 0.4685990592246785, -3.088266979660709]"
148,148.0,"[0.49749918258573067, 0.48870828923332504, -3.0847083696848325]"
149,149.0,"[0.5005570880557095, 0.49085285275205737, -3.0840342960539444]"
150,150.0,"[0.4935143100081543, 0.4783424685660759, -3.09122864883517]"
151,151.0,"[0.4510791956551459, 0.45701855200859504, -3.096534074834431]"
152,152.0,"[0.44305669861268887, 0.46129791425597794, -3.1021501876719926]"
153,153.0,"[0.43204225429162857, 0.45214987050878136, -3.107400382674649]"
154,154.0,"[0.4109046354701891, 0.4496263142764869, -3.1035517369021]"
155,155.0,"[0.4222763298592908, 0.4571520884263981, -3.102155778592209]"
156,156.0,"[0.40863912837640215, 0.44094985262335135, -3.1090883496802943]"
157,157.0,"[0.44874761063736796, 0.44273743517441916, -3.106074624213466]"
158,158.0,"[0.44854204683407245, 0.4602713540998624, -3.1040559693664638]"
159,159.0,"[0.460052780082829, 0.47849676417855375, -3.1029004667860822]"
160,160.0,"[0.46701449689422775, 0.4765015919528088, -3.1040568437268874]"
161,161.0,"[0.4537230037442438, 0.47351217918073263, -3.1028743967115577]"
162,162.0,"[0.4490591706372903, 0.45665738859715144, -3.10466996585252]"
163,163.0,"[0.46458821856321175, 0.46765369222820913, -3.1049958677957132]"
164,164.0,"[0.4476400948239798, 0.4835461864346209, -3.1014238480045813]"
165,165.0,"[0.37161710870925707, 0.4551118930017412, -3.1194682592735945]"
166,166.0,"[0.41097997512791407, 0.47705623546853015, -3.113715042735287]"
167,167.0,"[0.46837319769015134, 0.4819391059954716, -3.100073738922417]"
168,168.0,"[0.45556937236240747, 0.4802139938620345, -3.0981617441181646]"
169,169.0,"[0.4319784013585356, 0.4628732033889582, -3.1036204930202875]"
170,170.0,"[0.3842360998753886, 0.4665643897002406, -3.100549060416674]"
171,171.0,"[0.41045974200845964, 0.47721437229365865, -3.095892933699301]"
172,172.0,"[0.39598785150110166, 0.4616403978264089, -3.09671576799041]"
173,173.0,"[0.45596622476154, 0.4673108399819785, -3.0972147658248943]"
174,174.0,"[0.4725185382585389, 0.48221130317169764, -3.0856822584304506]"
175,175.0,"[0.47132244628268133, 0.4892424685858715, -3.085115476015774]"
176,176.0,"[0.4629410959354796, 0.484577062686529, -3.0879698273009337]"
177,177.0,"[0.470240533497953, 0.4883013390429144, -3.085350563612472]"
178,178.0,"[0.4681139805975282, 0.48755661139740303, -3.0890183952357373]"
179,179.0,"[0.48397814070529915, 0.4913797787288878, -3.080444261387803]"
180,180.0,"[0.47707407981479355, 0.470421700237801, -3.0888486609085746]"
181,181.0,"[0.4670674180123437, 0.47364452563291876, -3.088134070573422]"
182,182.0,"[0.47974298606522936, 0.4900772458641483, -3.0916271246600524]"
183,183.0,"[0.45270092933147654, 0.4974728021574503, -3.095854452197788]"
184,184.0,"[0.46788307636942883, 0.5161475655548633, -3.0925765608685394]"
185,185.0,"[0.4534662691065612, 0.5136100111533874, -3.0998901178361886]"
186,186.0,"[0.45210118156022944, 0.5066558281410859, -3.101877215460853]"
187,187.0,"[0.46879770505594354, 0.5126656194238763, -3.091144431854562]"
188,188.0,"[0.47269202092950763, 0.5059075013569212, -3.096613681054268]"
189,189.0,"[0.4482797267767029, 0.46238758981690575, -3.109204077550634]"
190,190.0,"[0.46461024495025793, 0.4504052304263891, -3.1081517484027144]"
191,191.0,"[0.4632487306915383, 0.46391567819115936, -3.103137831189488]"
192,192.0,"[0.4435517564036334, 0.4630284376103325, -3.1038097094218777]"
193,193.0,"[0.5038230535557187, 0.4553167517748399, -3.1078442041344316]"
194,194.0,"[0.5371199062363096, 0.49585555062232056, -3.0924615465854646]"
195,195.0,"[0.5150727374310475, 0.491012813299557, -3.096994086733511]"
196,196.0,"[0.5394527566210676, 0.4908385235931935, -3.0919796573304303]"
197,197.0,"[0.5203651129701854, 0.5057185183829846, -3.09083646188409]"
198,198.0,"[0.49148659391123617, 0.4941306605048155, -3.0978573334300465]"
199,199.0,"[0.48454461410866956, 0.5133875341586807, -3.0910835913152415]"
200,200.0,"[0.4617806466957441, 0.5011332269227509, -3.0905666275796757]"
201,201.0,"[0.4680716310928643, 0.4941829248923543, -3.0856258283381983]"
202,202.0,"[0.46066941382744653, 0.4439991734214049, -3.105440396874781]"
203,203.0,"[0.4822532088896018, 0.4445831333720362, -3.106494557955082]"
204,204.0,"[0.4845759323195473, 0.4510685283283467, -3.096042756061551]"
205,205.0,"[0.48989275460153886, 0.46256226899258046, -3.0914327900590193]"
206,206.0,"[0.5071636681861692, 0.46262734020334134, -3.096035158735731]"
207,207.0,"[0.4719996947044919, 0.4593172764966985, -3.0994377676200586]"
208,208.0,"[0.43644477587805386, 0.43975399746901384, -3.08794887932283]"
209,209.0,"[0.4106784142985182, 0.4513116731792865, -3.096127572190037]"
210,210.0,"[0.4191448024078523, 0.4632024461256789, -3.0895162376908893]"
211,211.0,"[0.4253335355490254, 0.477492255757262, -3.091539714729321]"
212,212.0,"[0.4221029584438936, 0.46347050674586215, -3.0932890514532922]"
213,213.0,"[0.3864428711236361, 0.4682539146171645, -3.0977388942296953]"
214,214.0,"[0.41561933412862906, 0.4938896481866461, -3.0969253157487406]"
215,215.0,"[0.39589039189462594, 0.4770169834531459, -3.098811916440176]"
216,216.0,"[0.3756058837941408, 0.4789810861981316, -3.1016497502818785]"
217,217.0,"[0.3950735440483594, 0.46639912090328517, -3.1052049301537474]"
218,218.0,"[0.3974608721629752, 0.4936846470723985, -3.0934468934242005]"
219,219.0,"[0.39824682675345974, 0.49450277752439475, -3.0956954741188096]"
220,220.0,"[0.40797411428372027, 0.5048991440151452, -3.0810174590176094]"
221,221.0,"[0.3980141809937046, 0.5024708590674197, -3.0895759292622125]"
222,222.0,"[0.37270809780570524, 0.48461784635979394, -3.0897723215127657]"
223,223.0,"[0.40691781549934003, 0.48629265130798655, -3.0845087094849255]"
224,224.0,"[0.41833850011036056, 0.4630210514993065, -3.08358445777818]"
225,225.0,"[0.410934805917074, 0.4566481740801303, -3.085359252549006]"
226,226.0,"[0.3843910539923384, 0.4419298680135141, -3.0862944113700985]"
227,227.0,"[0.358646768944312, 0.45789076054191563, -3.087889102088648]"
228,228.0,"[0.3806432458789477, 0.45666939664660805, -3.0870664321807197]"
229,229.0,"[0.3992614195512371, 0.4524326344589443, -3.0938182099353897]"
230,230.0,"[0.4057164241935976, 0.4516371447234836, -3.085361078575905]"
231,231.0,"[0.3853050644492135, 0.46126804468967314, -3.0973297922124092]"
