,Frame Number,Rotation Vector
0,0.0,"[-0.9213383186204758, 0.3877519448201653, -2.7523888937499295]"
1,1.0,"[-0.8978832208744697, 0.3718499478900446, -2.75874234112849]"
2,2.0,"[-0.912674098072134, 0.38449914716397904, -2.7462433593664266]"
3,3.0,"[-0.9034987491366854, 0.3953879660814147, -2.7447005096793493]"
4,4.0,"[-0.9167449668106923, 0.38395733916475966, -2.736162234899151]"
5,5.0,"[-0.9003417803165645, 0.37358812016055093, -2.7434721905187454]"
6,6.0,"[-0.8988294137984146, 0.38189228885738247, -2.7394560163564514]"
7,7.0,"[-0.8914082396991498, 0.39145400826168786, -2.7430220720245972]"
8,8.0,"[-0.887803834503562, 0.4065797474410735, -2.7405112476581404]"
9,9.0,"[-0.8974294766815554, 0.4083482473908035, -2.735684467683232]"
10,10.0,"[-0.8710152848478429, 0.39936197593421496, -2.741042838486901]"
11,11.0,"[-0.8574519904974369, 0.4056260062235207, -2.734264114450026]"
12,12.0,"[-0.844204038214009, 0.40110472487573406, -2.732849538632992]"
13,13.0,"[-0.8271108469130506, 0.3906557899636949, -2.7337161016496943]"
14,14.0,"[-0.817521244256543, 0.39441585243311084, -2.7312726391900566]"
15,15.0,"[-0.8029866340830478, 0.3873156280871211, -2.7358701847179856]"
16,16.0,"[-0.7914674693113206, 0.3860892651327143, -2.7426733768822795]"
17,17.0,"[-0.8009919030688716, 0.3881167407014665, -2.744071261835725]"
18,18.0,"[-0.8099637717455114, 0.3994881348356689, -2.747238075149855]"
19,19.0,"[-0.7982537372073317, 0.3860102227146996, -2.7549054024083603]"
20,20.0,"[-0.7923261315291756, 0.3725552948316851, -2.7582714167931432]"
21,21.0,"[-0.784597191529909, 0.36355056464130225, -2.7701592327407774]"
22,22.0,"[-0.772860893288605, 0.358974507602266, -2.771947700655296]"
23,23.0,"[-0.7913418363040892, 0.31399065728938574, -2.7778620017066373]"
24,24.0,"[-0.7835892309092534, 0.315627735092771, -2.7842139564691952]"
25,25.0,"[-0.7794361409712562, 0.34825319517410236, -2.771475783231179]"
26,26.0,"[-0.7944342558112374, 0.352330144560936, -2.773267395255919]"
27,27.0,"[-0.7915147608019462, 0.31866138780105235, -2.779087822892092]"
28,28.0,"[-0.7968828160260172, 0.340825870842144, -2.7760542142242297]"
29,29.0,"[-0.818521172008263, 0.33571192887712964, -2.771650955490636]"
30,30.0,"[-0.821559281172656, 0.3745753937856081, -2.7719736461559554]"
31,31.0,"[-0.7996435897806105, 0.4036108721116283, -2.7733791755014447]"
32,32.0,"[-0.8326434040347547, 0.365919817378786, -2.7764279035368196]"
33,33.0,"[-0.823342912444475, 0.3767434687120922, -2.7807423376180744]"
34,34.0,"[-0.8336577794391121, 0.35936245088639457, -2.785213136624833]"
35,35.0,"[-0.8511238266889127, 0.36119031795829815, -2.789017513034997]"
36,36.0,"[-0.8594089066777542, 0.3697893242275669, -2.7857959952284164]"
37,37.0,"[-0.8504423885887484, 0.35193015470105876, -2.7976193363603024]"
38,38.0,"[-0.8820083755153381, 0.3138066702763619, -2.8047381747262388]"
39,39.0,"[-0.8716033622987712, 0.3324851753810244, -2.803773052986977]"
40,40.0,"[-0.8728209079239602, 0.3654898174571174, -2.794252210553931]"
41,41.0,"[-0.8648348356888537, 0.37902703538656807, -2.7968793456762433]"
42,42.0,"[-0.8604346471833063, 0.415155693566534, -2.7987994844634927]"
43,43.0,"[-0.8576221411131304, 0.42236856530124584, -2.803761370329324]"
44,44.0,"[-0.8840231268235091, 0.4164393198695883, -2.789482236545971]"
45,45.0,"[-0.8865035939455581, 0.42316728626899763, -2.782164080380342]"
46,46.0,"[-0.8869707308049729, 0.4263060882806451, -2.776553576681905]"
47,47.0,"[-0.8821514793472067, 0.4281209620518374, -2.7830097254281223]"
48,48.0,"[-0.8933606628157353, 0.44516993580198216, -2.7791792788332943]"
49,49.0,"[-0.9202067730517268, 0.45319275701204575, -2.770520860503202]"
50,50.0,"[-0.9250961362166047, 0.46005705506150096, -2.7699168740131177]"
51,51.0,"[-0.9436989807897459, 0.48445386725268863, -2.768373178478114]"
52,52.0,"[-0.9505085178800635, 0.4936499480706672, -2.7729259662197663]"
53,53.0,"[-0.987308031098379, 0.5361941876852692, -2.7868067714050575]"
54,54.0,"[-1.0106574132590835, 0.543587871337728, -2.7855467364912236]"
55,55.0,"[-0.9937020733834485, 0.5695386563925309, -2.7864873967799855]"
56,56.0,"[-0.9905812395465352, 0.56813438014407, -2.7805400579929405]"
57,57.0,"[-0.9923380157700719, 0.548731737642333, -2.7884261023013015]"
58,58.0,"[-1.0036201034508812, 0.5066045870351767, -2.788751090473661]"
59,59.0,"[-0.9987913103601224, 0.4651878115905092, -2.767542960283945]"
60,60.0,"[-1.0089792192142175, 0.46028657743530205, -2.763122367628973]"
61,61.0,"[-1.025591269192025, 0.48988172865217006, -2.776770246396172]"
