,Frame Number,Rotation Vector
0,0.0,"[0.6074456001480129, 0.33608254507553154, -3.037757652867455]"
1,1.0,"[0.593651373908548, 0.34630792201524135, -3.0292719060224416]"
2,2.0,"[-0.6221082428423891, 0.11852272601412926, -3.003450994559411]"
3,3.0,"[-0.5750905565446872, 0.10911184165995522, -3.0232065776518935]"
4,4.0,"[-0.5418174396711565, 0.15468377193368837, -3.0866788345473943]"
5,5.0,"[-0.5657759836816141, 0.1475798753772553, -3.073686453345622]"
6,6.0,"[-0.5488796381960598, 0.15582619837203485, -3.091740111027805]"
7,7.0,"[-0.5554126731014106, 0.15794825574603596, -3.0788194523361527]"
8,8.0,"[-0.5468287738487554, 0.17489345494408617, -3.090998112173138]"
9,9.0,"[-0.5452629603921092, 0.15106906996383343, -3.0738929882965484]"
10,10.0,"[-0.546236251658061, 0.15793296638547366, -3.095776019313785]"
11,11.0,"[0.43573691163452466, 0.286351803887768, -3.020513740032207]"
12,12.0,"[0.37465486195937997, 0.3009863371914812, -3.0009279382224374]"
13,13.0,"[0.327875884213582, 0.2995139915820252, -2.994165371390568]"
14,14.0,"[0.3329360760452493, 0.2978813417624755, -2.9905042028410076]"
15,15.0,"[0.30911945635043814, 0.3012581516022711, -2.9836110971564924]"
16,16.0,"[0.2363923444949072, 0.29179654134972277, -2.9825620862959603]"
17,17.0,"[0.17852309074252182, 0.25351908402572076, -2.983618294336328]"
18,18.0,"[0.1389610009547538, 0.21678628394198568, -2.991806698582065]"
19,19.0,"[0.03348821421032205, 0.15508317044304232, -3.009689923945062]"
20,20.0,"[-0.04434700853880033, 0.18669131334390066, -2.974118358281312]"
21,21.0,"[-0.5408636235108564, 0.12575925815864897, -3.067817584489196]"
22,22.0,"[-0.5888170044516615, 0.11067361117870433, -3.0604411787463164]"
23,23.0,"[-0.5654740976170367, 0.1017939705998159, -3.034359121540409]"
24,24.0,"[-0.5583779536947605, 0.11423443191523155, -3.0486886959325865]"
25,25.0,"[-0.48930869807891453, 0.1608359526934987, -3.0193649493458383]"
26,26.0,"[-0.5059337104011378, 0.15468953475614824, -3.041452695984137]"
27,27.0,"[-0.5216011966803619, 0.12557717855223174, -3.047401251343057]"
28,28.0,"[1.180784764837105, 0.41236087016081474, -2.757584311065501]"
29,29.0,"[1.005472111039161, 0.39294944196070264, -2.777318237376641]"
30,30.0,"[0.8280662336581086, 0.3854568721480201, -2.814081877462228]"
31,31.0,"[0.7145359951493223, 0.3480987479300959, -2.822396496858042]"
32,32.0,"[0.6552126986167806, 0.3183006937691097, -2.811502932533099]"
33,33.0,"[0.6507191219622862, 0.3386485915059912, -2.8049546844043833]"
34,34.0,"[0.6047969910780927, 0.3291206734965658, -2.8188396693597304]"
35,35.0,"[0.580826923486653, 0.3303227171716574, -2.821082326812769]"
36,36.0,"[0.5663976864449016, 0.3451816306828991, -2.806547796947409]"
37,37.0,"[0.5504261231952092, 0.3325135470703478, -2.832409752720383]"
38,38.0,"[0.5117101110160999, 0.3550540353761324, -2.837926046401763]"
39,39.0,"[0.47704282203821363, 0.3406030714217862, -2.8491064806409114]"
40,40.0,"[0.45376456097584694, 0.3664032953766295, -2.831841023679944]"
41,41.0,"[1.0991801162989085, 0.17957251182552494, -3.0375457469470706]"
42,42.0,"[1.0991725076755, 0.1795152575800369, -3.0374907991394893]"
43,43.0,"[1.0995201475743912, 0.17920845720840156, -3.037420894945967]"
44,44.0,"[1.116555433929406, 0.2558764050616447, -3.0249731328484395]"
45,45.0,"[1.1169228767207993, 0.2618140196242384, -3.0233990146256615]"
46,46.0,"[1.1189734617454759, 0.2722634786289118, -3.0214789504096835]"
47,47.0,"[1.1201235986229585, 0.25639909120458654, -3.0173333620908602]"
48,48.0,"[1.1185575913357486, 0.265847083114189, -3.015785188294031]"
49,49.0,"[1.113239041908847, 0.17850393303297613, -2.9926011232545133]"
50,50.0,"[1.126986602352937, 0.19824810655551522, -2.995227797282455]"
