,Frame Number,Rotation Vector
0,0.0,"[-0.46242259378769807, 0.4731613670966716, -3.1850052290128668]"
1,1.0,"[-0.4461950371964931, 0.4650115674795175, -3.1739168980953125]"
2,2.0,"[-0.4412360925830106, 0.45682968869570545, -3.165851770802894]"
3,3.0,"[-0.44647034157994325, 0.39798229346043695, -3.165253231296983]"
4,4.0,"[-0.4399190038921174, 0.4067628113344758, -3.1562603701904535]"
5,5.0,"[-0.42950018238461696, 0.4171627830113548, -3.1394775292324955]"
6,6.0,"[-0.42604007580884534, 0.43566216658644996, -3.1218262162407093]"
7,7.0,"[-0.4246314515498665, 0.4362997711326411, -3.0988283445796974]"
8,8.0,"[-0.421950972755416, 0.44382437817498505, -3.0890405434178207]"
9,9.0,"[-0.42411438703577586, 0.4621386471666898, -3.0769380266950077]"
10,10.0,"[-0.43033972243338764, 0.5230773472008299, -3.0679539872051986]"
11,11.0,"[-0.42672643524078574, 0.5690922887776997, -3.0568865460511785]"
12,12.0,"[-0.43663073640449657, 0.5774999798454169, -3.053144529373627]"
13,13.0,"[-0.44628200205058843, 0.5794410793415242, -3.054875946990651]"
14,14.0,"[-0.43979265445333504, 0.602846090315694, -3.0517169762407947]"
15,15.0,"[-0.4226342663448707, 0.6142281502880306, -3.0400117846455026]"
16,16.0,"[-0.4102281381282144, 0.6459804563915643, -3.025285828741802]"
17,17.0,"[-0.39963610870440186, 0.6427979869504655, -3.039080402491304]"
18,18.0,"[-0.3593329876194953, 0.6767122857801711, -3.0283080874830905]"
19,19.0,"[-0.338264791145388, 0.6998856153709809, -3.0243243551114602]"
20,20.0,"[-0.36379363964801215, 0.7178825755069276, -3.0086642093945093]"
21,21.0,"[-0.36329102842644934, 0.7495677159563788, -2.9873459436081573]"
22,22.0,"[-0.3860177442389056, 0.7319663126977226, -2.99181495012347]"
23,23.0,"[-0.39086276743541665, 0.703709644348189, -3.0021162525764318]"
24,24.0,"[-0.36012350521558206, 0.7031174959210592, -3.0150530507221722]"
25,25.0,"[-0.3487515470980953, 0.7057656434177492, -3.02661652919459]"
26,26.0,"[-0.34611597003360234, 0.7230068671958646, -3.0352623736351996]"
27,27.0,"[-0.31508053954104975, 0.7272059956658591, -3.040942457940692]"
28,28.0,"[-0.3018387662522878, 0.7192453186744461, -3.0564294189289103]"
29,29.0,"[-0.28787457998511123, 0.7264474612989612, -3.06415096956144]"
30,30.0,"[-0.2899358420681677, 0.7199893678149502, -3.087251229144529]"
31,31.0,"[-0.27534557986607316, 0.7136761543649291, -3.110581150830374]"
32,32.0,"[-0.26187926959791574, 0.6959525212501071, -3.137538736007138]"
33,33.0,"[-0.2604082807777753, 0.6882386318732786, -3.145456684497254]"
34,34.0,"[-0.2476604981251775, 0.6832332067969188, -3.150149264009828]"
35,35.0,"[-0.2617464342351064, 0.6650792539768821, -3.155628231536531]"
36,36.0,"[-0.26797782019802163, 0.6617467848343145, -3.167612220601237]"
37,37.0,"[-0.2778647268795247, 0.6632639926987602, -3.166256989593278]"
38,38.0,"[-0.2743462269630078, 0.6504755679157548, -3.175320666688722]"
39,39.0,"[-0.280430870880149, 0.6464139484085504, -3.1801795179070473]"
40,40.0,"[-0.2890530757749684, 0.6040412072988962, -3.192836342295803]"
41,41.0,"[-0.2934417127117499, 0.5854541920775361, -3.196560073141206]"
42,42.0,"[-0.30546499938057015, 0.5859595121205968, -3.1921698103091156]"
43,43.0,"[-0.3078467803126131, 0.5822467342495491, -3.1934536509943037]"
44,44.0,"[-0.2928918466956918, 0.5974673927271478, -3.1959740719639997]"
45,45.0,"[-0.2941783701645658, 0.5910133258599387, -3.1956119890211676]"
46,46.0,"[-0.3080263203745667, 0.5773801097552477, -3.1946982669333805]"
47,47.0,"[-0.31980793400990465, 0.5726839207480211, -3.1931366016739133]"
48,48.0,"[-0.3157380237574223, 0.5759487377601114, -3.192061076716268]"
49,49.0,"[-0.32330420772763824, 0.6115290852009903, -3.1845004539739907]"
50,50.0,"[-0.32851162032554093, 0.626571415667961, -3.1810754529697975]"
51,51.0,"[-0.32230954928511646, 0.6212031199041499, -3.1826986746975567]"
52,52.0,"[-0.33065612677140804, 0.6256415135277358, -3.179837213074282]"
53,53.0,"[-0.3350379837651125, 0.632921542386549, -3.1807240399815004]"
54,54.0,"[-0.3353292280225971, 0.6060816700632369, -3.183150743223865]"
55,55.0,"[-0.31620955629944086, 0.5766039296132276, -3.196707864792833]"
56,56.0,"[-0.3042669529640657, 0.5823169504158313, -3.203057787843039]"
57,57.0,"[-0.3021136872175833, 0.5648917579827052, -3.2159476099950757]"
58,58.0,"[-0.30121218543543726, 0.5589104255247186, -3.2228337525802955]"
59,59.0,"[-0.29256857995399194, 0.5447983826337751, -3.229360728026752]"
60,60.0,"[-0.30275622858091894, 0.5720696227594003, -3.219330149806327]"
61,61.0,"[-0.3165700118881217, 0.6246610552266793, -3.2024173505097706]"
62,62.0,"[-0.333507367845462, 0.6138260654258146, -3.19155446184457]"
63,63.0,"[-0.3342901637258139, 0.607704549991672, -3.18808389468716]"
64,64.0,"[-0.33415049098567534, 0.6125248205014382, -3.186605893833854]"
65,65.0,"[-0.3167116135458814, 0.5984506119175707, -3.197452017559712]"
66,66.0,"[-0.3170934636668386, 0.6044094873423151, -3.199411508781072]"
67,67.0,"[-0.3194747351766178, 0.6081559677297591, -3.200630003693101]"
68,68.0,"[-0.2991801080858251, 0.6178730265766406, -3.202949237610007]"
69,69.0,"[-0.29623916660214517, 0.5845741146272484, -3.209381207354358]"
70,70.0,"[-0.2838374538817577, 0.5740035459663546, -3.215198010330999]"
71,71.0,"[-0.28436956822767107, 0.5746958654642293, -3.216720862040594]"
72,72.0,"[-0.2917930641654972, 0.5907182251164118, -3.2144097366716298]"
73,73.0,"[-0.3050197072091743, 0.57667882091846, -3.2092162170630734]"
74,74.0,"[-0.30115773358702336, 0.568348232193279, -3.215060056571092]"
75,75.0,"[-0.3097717093267908, 0.5776979929849275, -3.2099994218976615]"
76,76.0,"[-0.3102487328719428, 0.573632164206541, -3.212526381821879]"
77,77.0,"[-0.3117136956945242, 0.563983177405401, -3.215693627426261]"
78,78.0,"[-0.3172619755554937, 0.5318882669717119, -3.2338475631743107]"
79,79.0,"[-0.30961919086084194, 0.5172246133235107, -3.2494463424783504]"
80,80.0,"[-0.3089531384342547, 0.5265193541953319, -3.251259244113028]"
81,81.0,"[-0.3009285802568246, 0.5484061164324606, -3.2473323887133265]"
82,82.0,"[-0.3236822699611621, 0.5611411509626023, -3.2358937571851865]"
83,83.0,"[-0.3452695937997206, 0.542392908917354, -3.23660218195517]"
84,84.0,"[-0.3295429413927562, 0.522342844188816, -3.251555685243074]"
85,85.0,"[-0.3352285226750771, 0.5023253997489849, -3.2588605178637335]"
86,86.0,"[-0.31117840601917374, 0.49496276169190845, -3.262015696683926]"
87,87.0,"[-0.30946940942860574, 0.48118847024552996, -3.272596608038542]"
88,88.0,"[-0.29184370406245574, 0.4323146753634567, -3.2890668564837253]"
89,89.0,"[-0.26530432034282325, 0.4261159144911642, -3.294798187333488]"
90,90.0,"[-0.25797652959714334, 0.4123251059744621, -3.303954066679222]"
91,91.0,"[-0.2474391376422059, 0.4125172648502519, -3.3192464072613204]"
92,92.0,"[-0.2578715545619666, 0.41744984065576707, -3.3213808879573343]"
93,93.0,"[-0.22435866757750708, 0.41714720855725207, -3.3390083019376604]"
94,94.0,"[-0.23694523691514371, 0.40131227716747114, -3.3482239171701873]"
95,95.0,"[-0.2210529837012154, 0.42063561338744665, -3.344880365781457]"
96,96.0,"[-0.22454856288133496, 0.42717200755554696, -3.3433468190414293]"
97,97.0,"[-0.2380619298550937, 0.4187937519605834, -3.336521627461053]"
98,98.0,"[-0.24059981751560594, 0.43028624244989366, -3.3315271738880825]"
99,99.0,"[-0.2563644695864108, 0.4340295035173197, -3.3247821717259782]"
100,100.0,"[-0.2700117297393064, 0.4666576553714936, -3.3144324623893935]"
101,101.0,"[-0.27270228298227533, 0.484000960197224, -3.296414087778923]"
102,102.0,"[-0.2885819270677933, 0.47056892471367273, -3.2904361944206397]"
103,103.0,"[-0.2974422689110511, 0.4802444628689621, -3.291195499479684]"
104,104.0,"[-0.30147774815652995, 0.48700714974725756, -3.2836113130624014]"
105,105.0,"[-0.3172679945558198, 0.5132384768952433, -3.2679084692524474]"
106,106.0,"[-0.33720951351276085, 0.5131026131800919, -3.2537223525769803]"
107,107.0,"[-0.37196181562522984, 0.5236286703805569, -3.2396827275698965]"
108,108.0,"[-0.3737801857867806, 0.5310887918375149, -3.2281671609546323]"
109,109.0,"[-0.38762156351274657, 0.5331988961533073, -3.214106460059438]"
110,110.0,"[-0.3728131689600437, 0.5383897278679616, -3.214423002998241]"
111,111.0,"[-0.3721884515489362, 0.5426258809800342, -3.2109336371210517]"
112,112.0,"[-0.37075006782804254, 0.5360618054349023, -3.2092764223558023]"
113,113.0,"[-0.39130765055219374, 0.5447721149496181, -3.20452955090326]"
114,114.0,"[-0.39841071176012255, 0.5526996558168555, -3.1986793310662964]"
115,115.0,"[-0.39564727599472105, 0.5651030904741446, -3.1934692249297005]"
116,116.0,"[-0.3956384587870097, 0.5818338975939087, -3.18499117339493]"
117,117.0,"[-0.39759187449055056, 0.5920523725397661, -3.1751655712156452]"
118,118.0,"[-0.41224312961152143, 0.6050990133060831, -3.164778411155612]"
119,119.0,"[-0.4068004863342586, 0.5973888224696459, -3.173480819965714]"
120,120.0,"[-0.40192543928332897, 0.5854182101514663, -3.173033455015703]"
121,121.0,"[-0.416031879557006, 0.5910548336749286, -3.1715187636568127]"
122,122.0,"[-0.4195284259833394, 0.5688773185939378, -3.1787611920576753]"
123,123.0,"[-0.40710034345173507, 0.5674207828390141, -3.188048768201029]"
124,124.0,"[-0.3893237009087363, 0.5516254604994666, -3.191406243311771]"
125,125.0,"[-0.36961202601486304, 0.5409912450680903, -3.193591366246072]"
126,126.0,"[-0.3680559980929409, 0.5115709504870748, -3.1971270983590765]"
127,127.0,"[-0.36501079828631994, 0.4947583222105327, -3.2015015862126033]"
128,128.0,"[-0.3792463633169051, 0.4823229059523194, -3.2022599666125613]"
129,129.0,"[-0.3726654988167207, 0.48934139092185913, -3.2027542162025937]"
130,130.0,"[-0.3787850366030363, 0.488040630214755, -3.2000991633768976]"
131,131.0,"[-0.3559480253411043, 0.513481276652694, -3.1957899177906217]"
132,132.0,"[-0.360242989363618, 0.52305552521224, -3.194289251318683]"
133,133.0,"[-0.3428844638201994, 0.5243283079498384, -3.2120944292183324]"
134,134.0,"[-0.3415562139297565, 0.5132994267559721, -3.2163804566876957]"
135,135.0,"[-0.32547953231570814, 0.5023043177135985, -3.221846813971349]"
136,136.0,"[-0.3150680710709398, 0.49660273575127306, -3.218721882677506]"
137,137.0,"[-0.30457736711748945, 0.47500878041439526, -3.216923252209976]"
138,138.0,"[-0.29278769520963227, 0.4985503249709251, -3.205572766361183]"
139,139.0,"[-0.27507000936745946, 0.5441598439910745, -3.1949219183227777]"
140,140.0,"[-0.2804571311179169, 0.545712297366881, -3.1842924130945076]"
141,141.0,"[-0.27294721830945995, 0.5455388315484007, -3.171751577595193]"
142,142.0,"[-0.2501390975830899, 0.5273408646225698, -3.1673971129729193]"
143,143.0,"[-0.23993232733449768, 0.5305149859347086, -3.1629405295650397]"
144,144.0,"[-0.2299052541919715, 0.5301396841937053, -3.16045622452069]"
145,145.0,"[-0.22887385861256093, 0.5296165413796102, -3.156918113264323]"
146,146.0,"[-0.22811739251889088, 0.5212100574284756, -3.147940386549201]"
147,147.0,"[-0.2164815294552411, 0.5194123132708774, -3.1401481475866855]"
148,148.0,"[-0.21161262851149187, 0.5350040343627587, -3.1254197011634557]"
149,149.0,"[-0.20004588192235997, 0.5197571417722112, -3.119266603104694]"
150,150.0,"[-0.18951700403499672, 0.488381353674428, -3.1174954026447175]"
151,151.0,"[-0.19747632756418176, 0.46886274686919527, -3.116177898325819]"
152,152.0,"[-0.17364184129000937, 0.41712693624762714, -3.122239919215475]"
153,153.0,"[-0.18917214242159427, 0.3868865014081545, -3.1333921289313404]"
154,154.0,"[-0.18022777133676837, 0.38206108937343625, -3.14205306062464]"
155,155.0,"[-0.16705379861717753, 0.3787467839532464, -3.159925306500297]"
156,156.0,"[-0.17128266898981678, 0.37091960208093466, -3.1616163273540714]"
157,157.0,"[-0.153719712855528, 0.376216476714248, -3.168964508138879]"
158,158.0,"[-0.15594166873102977, 0.38098326257784026, -3.1741408134253715]"
159,159.0,"[-0.16253691875589837, 0.38232149230080736, -3.1767524142838353]"
160,160.0,"[-0.14543988156969345, 0.37828087157427415, -3.1806763934446036]"
161,161.0,"[-0.14872519719829363, 0.3840417052498739, -3.1805190261957272]"
162,162.0,"[-0.1547648618991118, 0.37459893114717274, -3.1815266786877077]"
163,163.0,"[-0.15873992793595976, 0.37937938738205057, -3.1841184388012516]"
164,164.0,"[-0.15957906339596217, 0.3776279805979194, -3.187133110977583]"
165,165.0,"[-0.15805819065487153, 0.38062395376006114, -3.1848147520483483]"
166,166.0,"[-0.16774591371711642, 0.3738085433132048, -3.1852382504021053]"
167,167.0,"[-0.1802977005716989, 0.3570392365631991, -3.186131366017801]"
168,168.0,"[-0.17509828637533467, 0.3565619812973437, -3.1888260666663917]"
169,169.0,"[-0.16903964280452394, 0.3644184493630048, -3.1908418328378616]"
170,170.0,"[-0.17370251231431907, 0.3562505210431979, -3.1906045547015576]"
171,171.0,"[-0.16971310672913534, 0.35537234159839054, -3.1930366960493375]"
