,Frame Number,Rotation Vector
0,0.0,"[-0.8510793779707039, 0.3124295833546892, -2.9778472523160233]"
1,1.0,"[-0.8511001711588598, 0.31298066538947744, -2.979884443032776]"
2,2.0,"[-0.8504779769378465, 0.3071197614731684, -2.983155983208794]"
3,3.0,"[-0.8509234948126116, 0.31561568922431826, -2.9819866362307166]"
4,4.0,"[-0.8543102066663989, 0.31767159048115357, -2.988964219247642]"
5,5.0,"[-0.85017265328182, 0.31752547946494336, -2.989408141082148]"
6,6.0,"[-0.8507507767857254, 0.3150563492047781, -2.9899586141082466]"
7,7.0,"[-0.8534151499104832, 0.31909505196448673, -2.9860707211747517]"
8,8.0,"[-0.8477275964345846, 0.31656764091145745, -2.9923947883498236]"
9,9.0,"[-0.8475921768060719, 0.3178200403529621, -2.9977459976895973]"
10,10.0,"[-0.8557481421181059, 0.32775642567137836, -2.9992547507697074]"
11,11.0,"[-0.840395097285453, 0.3003151183998135, -3.009681618917836]"
12,12.0,"[-0.8218175018900022, 0.29240351398388764, -3.026068241955934]"
13,13.0,"[-0.7804711640456795, 0.28971343952002465, -3.0259754693135954]"
14,14.0,"[-0.7326216939749904, 0.28487982774910936, -3.0396448968933263]"
15,15.0,"[-0.6694613430501174, 0.22073529071849948, -3.0762394991613653]"
16,16.0,"[-0.5641651695905495, 0.16056231861494072, -3.1218413387557256]"
17,17.0,"[-0.49874887476245516, 0.13715588940106338, -3.1292053370617174]"
18,18.0,"[-0.42588261070727845, 0.1194184788398453, -3.148789777133168]"
19,19.0,"[-0.38560825281299627, 0.11454508060327366, -3.1672302017213245]"
20,20.0,"[-0.30837777855592824, 0.08932026149487465, -3.18562234798441]"
21,21.0,"[-0.25664351118803536, 0.026172877629210327, -3.203143755074383]"
22,22.0,"[-0.2237431947515783, 0.024674214245712853, -3.21550358634004]"
23,23.0,"[-0.19585545041071922, 0.020617027386222495, -3.236910676156312]"
24,24.0,"[-0.1903322697284794, 0.03506541721520626, -3.2453823490550544]"
25,25.0,"[-0.20548863435624945, 0.03720961822598147, -3.2523781945831636]"
26,26.0,"[-0.21734950262390276, 0.044841058221410365, -3.2531216008402413]"
27,27.0,"[-0.2264447833818991, 0.07012946526955414, -3.2546008453564372]"
28,28.0,"[-0.22075317281612702, 0.10747151072838151, -3.24548476533303]"
29,29.0,"[-0.24302361203757178, 0.16611738351650918, -3.226523044821889]"
30,30.0,"[-0.2514597176377386, 0.152292659813855, -3.2243460118537914]"
31,31.0,"[-0.2690569826840349, 0.1448164275534808, -3.224226960478828]"
32,32.0,"[-0.26357590785929763, 0.11134184328074898, -3.2277181957976877]"
33,33.0,"[-0.2875049017140771, 0.11800450826051168, -3.2285029400720533]"
34,34.0,"[-0.290146066736977, 0.13141500911352788, -3.231737858638257]"
35,35.0,"[-0.2759127235250284, 0.1335035727820399, -3.2447787952831173]"
36,36.0,"[-0.303379804615602, 0.1364604089112071, -3.2450040499590416]"
37,37.0,"[-0.31239196507489386, 0.14378262130109018, -3.2418923261240913]"
38,38.0,"[-0.3104624291766828, 0.1459964038556637, -3.241227091997049]"
39,39.0,"[-0.31074739024851145, 0.15041559073105157, -3.2409934950986563]"
40,40.0,"[-0.32880882275908957, 0.16738915932251677, -3.2351167085918564]"
41,41.0,"[-0.3274930640624664, 0.15818669486879489, -3.2332576811478067]"
42,42.0,"[-0.327129875285174, 0.16910710428384404, -3.235021142626673]"
43,43.0,"[-0.3223967228096666, 0.15767693379213615, -3.236121638135508]"
44,44.0,"[-0.3254180032903469, 0.15526552751655012, -3.236179111217885]"
45,45.0,"[-0.3302646055540264, 0.14549097812100933, -3.2301121176352385]"
46,46.0,"[-0.33697219358807323, 0.13011287593975343, -3.223702511971297]"
47,47.0,"[-0.3307801710865901, 0.14261964737583077, -3.2261924569371914]"
48,48.0,"[-0.33433415766858054, 0.1456764120449528, -3.225831325960224]"
49,49.0,"[-0.34225510558427863, 0.14751000821509347, -3.222874441781378]"
50,50.0,"[-0.3383243206349723, 0.17666979062974514, -3.2184814053733]"
51,51.0,"[-0.3412761198269834, 0.18150484198953304, -3.2203967367123107]"
52,52.0,"[-0.34019293572964354, 0.20496245103939623, -3.2217167867865073]"
53,53.0,"[-0.35490383469409176, 0.22521075419221187, -3.223667985545519]"
54,54.0,"[-0.3717011104322205, 0.310885835804893, -3.212783477194356]"
55,55.0,"[-0.38987521342391196, 0.3113092107147597, -3.220286272358328]"
56,56.0,"[-0.3664704614617138, 0.32911064589754224, -3.2277183049887763]"
57,57.0,"[-0.35795616445774203, 0.3543389233960107, -3.230247386278348]"
58,58.0,"[-0.3640208977540857, 0.3803056782148058, -3.2285099307946643]"
59,59.0,"[-0.3666588953958174, 0.39622844379424166, -3.2357476224193102]"
60,60.0,"[-0.3873820869495002, 0.38822410256434337, -3.2377273192106912]"
61,61.0,"[-0.4112920709129803, 0.398372400744425, -3.235436298655959]"
62,62.0,"[-0.4223986843065676, 0.4021821346557339, -3.241728592019256]"
63,63.0,"[-0.4352604819123635, 0.4240165626031872, -3.2408413622233594]"
64,64.0,"[-0.41444427607299295, 0.4125285583943462, -3.2531693954925487]"
65,65.0,"[-0.41956585455343903, 0.41318177951308294, -3.256894078433577]"
66,66.0,"[-0.42304659708792103, 0.3895180187686468, -3.2673664052097644]"
67,67.0,"[-0.4328822015443904, 0.3853422121947925, -3.266156105632984]"
68,68.0,"[-0.4310840461030568, 0.3789165597463704, -3.264325468950613]"
69,69.0,"[-0.4441671353183899, 0.3824348104681109, -3.2630753902074057]"
70,70.0,"[-0.4497368975470496, 0.402606572791803, -3.256003480571977]"
71,71.0,"[-0.4573613035603206, 0.4020377317190844, -3.2494845204905682]"
