,Frame Number,Rotation Vector
0,0.0,"[0.4601695739605293, 0.35280828407121434, -2.8750264676608177]"
1,1.0,"[0.46415929365200503, 0.3602127130507397, -2.8833262873989187]"
2,2.0,"[0.4677024262345191, 0.3579950570289257, -2.878962528514049]"
3,3.0,"[0.4755624854264706, 0.35823292545364105, -2.870955493146484]"
4,4.0,"[0.4773176033407223, 0.3417479674627025, -2.865493392752821]"
5,5.0,"[0.5002536259656979, 0.33238495172821336, -2.8530268641700194]"
6,6.0,"[0.5277940980614625, 0.3109475099925977, -2.8384553071733265]"
7,7.0,"[0.5437177466588109, 0.3016671560387848, -2.828365012051636]"
8,8.0,"[0.5431711605374364, 0.3139244612114185, -2.8294104806659996]"
9,9.0,"[0.5557603925762356, 0.32025285007470955, -2.834889268064788]"
10,10.0,"[0.5636942873383604, 0.32590530376792887, -2.8267659999001222]"
11,11.0,"[0.5641598214243452, 0.29693065473466196, -2.836789688128123]"
12,12.0,"[0.5625370829463354, 0.28932751356880737, -2.833015985307421]"
13,13.0,"[0.5635394968621482, 0.26852560582575014, -2.833095517378708]"
14,14.0,"[0.5627360382066003, 0.27321979385546513, -2.8316265882272362]"
15,15.0,"[0.5498692799080022, 0.2677246527176977, -2.8245505535712403]"
16,16.0,"[0.5578886612035728, 0.30603647839683795, -2.8133036562238747]"
17,17.0,"[0.5612791755021215, 0.28294444222831705, -2.797623461616596]"
18,18.0,"[0.5832437315036667, 0.27156295289246757, -2.7906087731505917]"
19,19.0,"[0.6125765783810578, 0.26903060159165015, -2.8169339083581706]"
20,20.0,"[0.5996026444536331, 0.28091310532109504, -2.821701010607978]"
21,21.0,"[0.6127130844886274, 0.2822551354495035, -2.824511225197116]"
22,22.0,"[0.5916588423518245, 0.2837906207860124, -2.81264053222593]"
23,23.0,"[0.5952296572100637, 0.29203944932199327, -2.8093556044427266]"
24,24.0,"[0.5894048993060862, 0.29351162953055193, -2.8049922396726434]"
25,25.0,"[0.5827968887947126, 0.2869965039653052, -2.7997369893227018]"
26,26.0,"[0.5752428862347772, 0.2926117582777344, -2.792177413132789]"
27,27.0,"[0.5805392146023142, 0.2971668310243377, -2.7926919285321374]"
28,28.0,"[0.5603395698394392, 0.27845791199436076, -2.8060718415111956]"
29,29.0,"[0.5466795665688523, 0.2981999816357802, -2.8085102794919403]"
30,30.0,"[0.5319163132341929, 0.29882761383973666, -2.8082752360458776]"
31,31.0,"[0.5405573671834741, 0.27638788742824916, -2.801586116288442]"
32,32.0,"[0.5441029184411059, 0.2827237194379531, -2.802894438118655]"
33,33.0,"[0.5509519871247635, 0.27265964872253995, -2.801015066508911]"
34,34.0,"[0.5417920856065438, 0.2905773119795693, -2.8058522204477954]"
35,35.0,"[0.5182053000568708, 0.28298858496255164, -2.814282165035517]"
36,36.0,"[0.5152981750009186, 0.30603948109245016, -2.8078085992618735]"
37,37.0,"[0.5189537103667545, 0.3187107836932182, -2.8051961908776275]"
38,38.0,"[0.5060583767358472, 0.32280640936519595, -2.8114866773779426]"
39,39.0,"[0.4946027445366129, 0.3251369061079628, -2.821092427869843]"
40,40.0,"[0.4968325229445872, 0.33485741703342425, -2.8150165511532523]"
41,41.0,"[0.49525283508769885, 0.32935481079576245, -2.8177081333232334]"
