,Frame Number,Rotation Vector
0,0.0,"[-0.7036428975547275, 0.06172273916770602, -2.999726491376145]"
1,1.0,"[-0.6718694941056891, 0.06232163370075544, -3.0113842396735535]"
2,2.0,"[-0.6745896075536391, 0.05637783778554571, -3.0089295466776185]"
3,3.0,"[-0.6775629635296654, 0.06142400063254357, -3.0094123926767864]"
4,4.0,"[-0.6633410872747367, 0.05371386362119715, -3.0144261181378527]"
5,5.0,"[-0.6630807132059371, 0.06671685368228471, -3.0223407683466803]"
6,6.0,"[-0.6561437486603957, 0.08368134319390953, -3.0248972210163987]"
7,7.0,"[-0.6511057831503346, 0.0916099862463155, -3.0316488962842145]"
8,8.0,"[-0.6500269424341305, 0.09003146551377955, -3.030288818703566]"
9,9.0,"[-0.6310887417934563, 0.09454368277334753, -3.042154628628712]"
10,10.0,"[-0.6292428014385416, 0.09014747804132571, -3.0400739683307365]"
11,11.0,"[-0.6259028460458798, 0.08893690114873712, -3.0394619397401725]"
12,12.0,"[-0.6182550805484297, 0.0830239034945233, -3.0406854325617845]"
13,13.0,"[-0.5916089248512768, 0.06776142477085897, -3.048328303422101]"
14,14.0,"[-0.5837571174872749, 0.060040539914680904, -3.0491370082577403]"
15,15.0,"[-0.5794322260116541, 0.05274432894709108, -3.0457453011922446]"
16,16.0,"[-0.5666901745135157, 0.06151984728381258, -3.044087701647786]"
17,17.0,"[-0.5814081449412173, 0.056631835549095386, -3.038299869218173]"
18,18.0,"[-0.596288247320069, 0.06606067163506248, -3.038017562951222]"
19,19.0,"[-0.5820474313039806, 0.04307673794944625, -3.0391095768537197]"
20,20.0,"[-0.5983390164992081, 0.05012629639655658, -3.0379655977213726]"
21,21.0,"[-0.5894681791401621, 0.0419609288726327, -3.0412373104133548]"
22,22.0,"[-0.5891771124755629, 0.040173572013419895, -3.0411022213020242]"
23,23.0,"[-0.5631233950520003, 0.03890061891965693, -3.0431687820907842]"
24,24.0,"[-0.5527990583619125, 0.03545312889971937, -3.047047330990247]"
25,25.0,"[-0.5479440818585806, 0.048678073120601295, -3.046763346570168]"
26,26.0,"[-0.5516843741327597, 0.050901559628455495, -3.0471620733209415]"
27,27.0,"[-0.5478559496799983, 0.05752973721848114, -3.0480023969690864]"
28,28.0,"[-0.5542876866544237, 0.057843050699910546, -3.047079711418375]"
29,29.0,"[-0.5529598429886032, 0.060011828280665196, -3.048517837663875]"
30,30.0,"[-0.5517364087483814, 0.044865423470899446, -3.0496058425283215]"
31,31.0,"[-0.5595549727235132, 0.0483889249400493, -3.051849700873539]"
32,32.0,"[-0.5536226172053682, 0.05345671208844339, -3.0548262460472198]"
33,33.0,"[-0.5540294248090953, 0.06265090557489678, -3.057387636027774]"
34,34.0,"[-0.5635573240748597, 0.061284712284917345, -3.052598478971885]"
35,35.0,"[-0.5754275883034295, 0.058856149526479135, -3.0512560266302438]"
36,36.0,"[-0.5718928598122045, 0.06317372434047047, -3.0520273519696612]"
37,37.0,"[-0.5837058252422181, 0.05162432850840388, -3.0529487879248673]"
38,38.0,"[-0.5748493564147847, 0.056230119917099516, -3.0536135549623236]"
39,39.0,"[-0.5773535036518631, 0.047332809605256036, -3.0533752619618078]"
40,40.0,"[-0.561637470696106, 0.06791229089884915, -3.060069183484866]"
41,41.0,"[-0.5848181953532747, 0.06469103137003383, -3.0531720419913473]"
42,42.0,"[-0.567858372929776, 0.06711950024798445, -3.0611738280819374]"
43,43.0,"[-0.5602364446517849, 0.08740609172695471, -3.0707147058614055]"
44,44.0,"[-0.5718483994043776, 0.11661883917793033, -3.052864599671807]"
45,45.0,"[-0.5597261488224787, 0.1363518997555693, -3.058773073516449]"
46,46.0,"[-0.5301994436840564, 0.12339588537010104, -3.0649909460828657]"
47,47.0,"[-0.5185004516616573, 0.07233181301945524, -3.076294624544731]"
48,48.0,"[-0.5350789337884153, 0.06061312671380841, -3.0678308895180173]"
49,49.0,"[-0.5229356053391782, 0.06164364251678976, -3.0709397150500397]"
50,50.0,"[-0.5297677627640615, 0.06582843747622688, -3.0720485151877392]"
51,51.0,"[-0.5297466152490538, 0.07957050228865965, -3.070930009817689]"
52,52.0,"[-0.5190967616150395, 0.08171989809361396, -3.070702188504908]"
53,53.0,"[-0.4873722917552714, 0.08037136976928755, -3.0791006732982797]"
54,54.0,"[-0.5059283847129397, 0.09918529675342604, -3.0783682305199935]"
55,55.0,"[-0.4999863817120481, 0.10599593803495734, -3.0767552622434815]"
56,56.0,"[-0.5085415295888934, 0.12205413562027773, -3.0697555581484037]"
57,57.0,"[-0.4950028330918277, 0.1252258380948443, -3.075761902103309]"
58,58.0,"[-0.5169770777679958, 0.12283985948738436, -3.0777558036026145]"
59,59.0,"[-0.5073290842163427, 0.10503735139161662, -3.0755509192204067]"
60,60.0,"[-0.5210522011508438, 0.08313635722352039, -3.067233262270845]"
61,61.0,"[-0.5200322714942514, 0.07759312970802826, -3.0665403093129675]"
62,62.0,"[-0.5195405556088367, 0.08963187490096972, -3.0667038321237716]"
63,63.0,"[-0.5107736358318502, 0.09082194124078925, -3.0681958919994075]"
64,64.0,"[-0.5159102618987776, 0.09925916469033921, -3.0646892672541317]"
65,65.0,"[-0.5223294149380265, 0.10131749727974255, -3.0615158458330667]"
66,66.0,"[-0.5154529936053526, 0.06806018505720637, -3.0620320321716967]"
67,67.0,"[-0.5186421691415406, 0.05097204905613992, -3.0511276411084935]"
68,68.0,"[-0.5329880882003067, 0.07573361630782706, -3.0564380007533933]"
69,69.0,"[-0.5305766204091639, 0.08465288595417172, -3.064470312176394]"
70,70.0,"[-0.5222817006295645, 0.058950948694791665, -3.0639347307913654]"
71,71.0,"[-0.527333041290725, 0.06666533976931739, -3.0661024898292317]"
72,72.0,"[-0.52876938847054, 0.06052912398874646, -3.0644774588052783]"
73,73.0,"[-0.5347490131517252, 0.0613509153233622, -3.063846999418023]"
74,74.0,"[-0.5347561331716723, 0.0642859118960723, -3.0626534949725275]"
75,75.0,"[-0.5296506441735113, 0.05955705011439276, -3.063310228254672]"
76,76.0,"[-0.5071053972295926, 0.05656439593419951, -3.0668516424979395]"
77,77.0,"[-0.5217253757680556, 0.06021842378395595, -3.0584754271739483]"
78,78.0,"[-0.5101282468393841, 0.061828373269465775, -3.0559955290833285]"
79,79.0,"[-0.5240859008250708, 0.06863486703500184, -3.046718544281864]"
80,80.0,"[-0.5176727596104435, 0.08203049896580067, -3.0545671434419317]"
81,81.0,"[-0.5025488903216818, 0.07984909904914433, -3.069504546004908]"
82,82.0,"[-0.5146311098218754, 0.08236401701106616, -3.069159683196508]"
83,83.0,"[-0.5075499329126266, 0.07995074159511421, -3.0665434630439425]"
84,84.0,"[-0.5011634328448569, 0.07731009146231456, -3.066364580531033]"
85,85.0,"[-0.4933019158993946, 0.07820005570963709, -3.070622827719878]"
86,86.0,"[-0.4880364015045567, 0.07903132331275506, -3.0703216821325623]"
87,87.0,"[-0.4866856975279217, 0.08117020242344929, -3.067093268382567]"
88,88.0,"[-0.4895829392803014, 0.08736845213384443, -3.065361094316479]"
89,89.0,"[-0.4902751136090467, 0.09530139564564022, -3.064131905372383]"
90,90.0,"[-0.48246732481626026, 0.09270035663668846, -3.068900489193954]"
91,91.0,"[-0.4892952192953554, 0.09270694465420762, -3.066337813495658]"
92,92.0,"[-0.48803840608532817, 0.09249584119325628, -3.0672595455340206]"
93,93.0,"[-0.484099836953097, 0.08358855757866004, -3.071105636152127]"
94,94.0,"[-0.47296067043316703, 0.08404439621294144, -3.072299543688897]"
95,95.0,"[-0.4744891196228426, 0.08356842372498631, -3.0730939112050897]"
96,96.0,"[-0.47582643402181024, 0.0762151217915368, -3.0737345786048955]"
97,97.0,"[-0.46824025274636477, 0.08047816641903248, -3.075073808305627]"
98,98.0,"[-0.4707843123084397, 0.08107619322815907, -3.0748158204435403]"
99,99.0,"[-0.47160625623224883, 0.07927504450620367, -3.0731660251427475]"
100,100.0,"[-0.4681454915521272, 0.08693562289061943, -3.071422429043566]"
101,101.0,"[-0.46621871519809943, 0.08420789544199488, -3.0688060254966727]"
102,102.0,"[-0.4665705985611617, 0.08222973815598746, -3.0704044859034596]"
103,103.0,"[-0.4608006846299865, 0.08476446116537793, -3.065990776282271]"
104,104.0,"[-0.46071744344879606, 0.08112982369884515, -3.0664459572648486]"
105,105.0,"[-0.46902977855314215, 0.08263002043981446, -3.0645311462945752]"
106,106.0,"[-0.4692401407727846, 0.08336419902944704, -3.0699579978303304]"
107,107.0,"[-0.46621523005930926, 0.07924461882574514, -3.0686455454179256]"
108,108.0,"[-0.4837206558244365, 0.07644051700551488, -3.0629106974822125]"
109,109.0,"[-0.47775827421369965, 0.07372559626300834, -3.064934511898542]"
110,110.0,"[-0.48056042370337443, 0.07348781786329919, -3.0661163147467945]"
111,111.0,"[-0.49056894831517683, 0.0638866887066112, -3.0643600028397087]"
112,112.0,"[-0.4772565601945029, 0.0601062793058304, -3.0659073225365097]"
113,113.0,"[-0.48666152819772157, 0.0670871814711626, -3.0618726361843103]"
114,114.0,"[-0.47799018048597364, 0.04921294705756016, -3.0616863976938262]"
115,115.0,"[-0.4750039363049721, 0.052206976006047345, -3.0629935834921036]"
116,116.0,"[-0.47359597639944306, 0.048847944549104995, -3.0665348879016525]"
117,117.0,"[-0.47579692825493025, 0.05024575070218212, -3.066466881504821]"
118,118.0,"[-0.47663170259263593, 0.04529949534184732, -3.0667252022006926]"
119,119.0,"[-0.47297515786691546, 0.04878451422858286, -3.065326484041388]"
120,120.0,"[-0.47782593275115104, 0.044748378756554505, -3.063965770084293]"
121,121.0,"[-0.4762876610176254, 0.05283501532522024, -3.065224386273668]"
122,122.0,"[-0.47537162296349644, 0.05266813890644958, -3.0656074113237075]"
123,123.0,"[-0.47195294202236115, 0.054204485340259345, -3.0666902938110603]"
124,124.0,"[-0.47861898353716814, 0.05576718652208831, -3.0720272488528333]"
125,125.0,"[-0.46660036723889725, 0.05829411684546737, -3.070980338468103]"
126,126.0,"[-0.47384380241292295, 0.06142691738065499, -3.0688838765673188]"
127,127.0,"[-0.46583927130611447, 0.06480701123333206, -3.0685933921256683]"
128,128.0,"[-0.465961750763252, 0.061449944726488126, -3.0756357509922596]"
129,129.0,"[-0.47029750782525453, 0.05818115639463979, -3.074912492882322]"
130,130.0,"[-0.4551232829157684, 0.06430484244238789, -3.076412791396125]"
131,131.0,"[-0.4508651523915472, 0.06153204462463818, -3.0729893933054977]"
132,132.0,"[-0.44005681600317886, 0.05746220890570971, -3.0753468959158514]"
133,133.0,"[-0.45320614551065935, 0.06265768090734047, -3.071902357411446]"
134,134.0,"[-0.44561731755329376, 0.06578251128474713, -3.073349977642821]"
135,135.0,"[-0.43423549273772494, 0.06267536536417638, -3.075504883223766]"
136,136.0,"[-0.4394526225640419, 0.06925124155680949, -3.0671986670878275]"
137,137.0,"[-0.4449862461178744, 0.0677749911129934, -3.07051633555176]"
138,138.0,"[-0.4437436154230523, 0.06631989413017671, -3.072927164402516]"
139,139.0,"[-0.4245277965871436, 0.06643729902450649, -3.074400204476322]"
140,140.0,"[-0.45181705198481786, 0.055431660449011134, -3.0694016308702268]"
141,141.0,"[-0.45727517620158586, 0.06629665275804492, -3.075213171174829]"
142,142.0,"[-0.4710326457833573, 0.07668000251828276, -3.0772086609886515]"
143,143.0,"[-0.49003164345333233, 0.07631666146312449, -3.0710352655897206]"
144,144.0,"[-0.5378490798509307, 0.07538634881887597, -3.0533679356544403]"
145,145.0,"[-0.5469032006570491, 0.07883807083665655, -3.053538963820884]"
146,146.0,"[-0.5534167347615262, 0.09087072724793267, -3.049806977832627]"
147,147.0,"[-0.5537381364243129, 0.08844893177807724, -3.045974971352893]"
148,148.0,"[-0.5491887164581412, 0.0914980355219112, -3.0323554260000303]"
149,149.0,"[-0.5636230064682812, 0.08704554484060364, -3.016885416874396]"
150,150.0,"[-0.5721865596527949, 0.09385955814410095, -3.0095302361479126]"
151,151.0,"[-0.567776862178124, 0.08830482955396667, -3.0138441138639576]"
152,152.0,"[-0.5554942350626998, 0.07313529796299972, -3.025335767774133]"
153,153.0,"[-0.5403639408965574, 0.07599309454728809, -3.0344671981792897]"
154,154.0,"[-0.5396586077189123, 0.07525204698500415, -3.0373161728349953]"
155,155.0,"[-0.5380512759908995, 0.07546049895910621, -3.04417437442334]"
156,156.0,"[-0.5324436349662198, 0.07965743923741067, -3.0380513309224555]"
157,157.0,"[-0.5246630090200535, 0.06262171316418078, -3.0387147316638052]"
158,158.0,"[-0.5026975607189084, 0.0572057398936307, -3.0430045448493357]"
159,159.0,"[-0.49415977249612886, 0.029916515342392654, -3.0412032103673043]"
160,160.0,"[-0.5027023479718463, 0.034335678829201084, -3.039162837795604]"
161,161.0,"[-0.4911279021150417, 0.03758631078313034, -3.047797147318078]"
162,162.0,"[-0.4829103259292765, 0.050328830346147456, -3.050100910845727]"
163,163.0,"[-0.4930814239896634, 0.05903775172290516, -3.0444278312168644]"
164,164.0,"[-0.49108289808869376, 0.05259698465792529, -3.0412602430211395]"
165,165.0,"[-0.49387274916730123, 0.061577848894716146, -3.0398307832372797]"
166,166.0,"[-0.4902013708489592, 0.05346334777473333, -3.0385557396554406]"
167,167.0,"[-0.4849653426924111, 0.03798896171122547, -3.0421678665360234]"
168,168.0,"[-0.47393455711495885, 0.0305045616808504, -3.041684467405538]"
169,169.0,"[-0.4741659585715168, 0.04232026173160964, -3.038019813316377]"
170,170.0,"[-0.5041574250439987, 0.05839064804577859, -3.0283182115238567]"
171,171.0,"[-0.5212478934667965, 0.06237295800585325, -3.0236836168159686]"
172,172.0,"[-0.5215061457150141, 0.05376501974128203, -3.024181827984612]"
173,173.0,"[-0.5330481778796804, 0.062241303160528866, -3.0205148455042408]"
174,174.0,"[-0.5362927983364266, 0.06192213692393758, -3.0180924395202733]"
175,175.0,"[-0.5195878315012966, 0.07456217281651184, -3.0179200714119214]"
176,176.0,"[-0.5160182718108565, 0.04550198011484095, -3.021991480214331]"
177,177.0,"[-0.5176236066927847, 0.04629688282781968, -3.025981919909591]"
178,178.0,"[-0.49780434447790517, 0.04284347376308093, -3.032339971443416]"
179,179.0,"[-0.49804132250250316, 0.046729868563095515, -3.0357842517404876]"
180,180.0,"[-0.49385556010803544, 0.043088426404417936, -3.034734695855878]"
181,181.0,"[-0.5026059862315475, 0.044624282257263, -3.036073585120677]"
182,182.0,"[-0.4833828026347686, 0.037730914637746096, -3.0420310216494775]"
183,183.0,"[-0.4796536417575993, 0.049507831435821964, -3.0422181205872567]"
184,184.0,"[-0.4822006303000068, 0.056135537796668564, -3.0426069652492873]"
185,185.0,"[-0.5079128030246539, 0.06544814628128694, -3.0341995330043265]"
186,186.0,"[-0.4981361239296896, 0.05961693500744727, -3.0436461880393995]"
187,187.0,"[-0.5090305967598888, 0.059580019665447695, -3.0417644314811416]"
188,188.0,"[-0.4764204978054998, 0.07035737956273998, -3.052404727435564]"
189,189.0,"[-0.5011457792234345, 0.08694113943553476, -3.0546262045586006]"
190,190.0,"[-0.5094597071668319, 0.08437732885117648, -3.0552908841181923]"
191,191.0,"[-0.5210661752282494, 0.09705362412989822, -3.0745015262753976]"
192,192.0,"[-0.5514083348424599, 0.1264445099501082, -3.0802894537891]"
193,193.0,"[-0.5631937246818749, 0.13221020389984584, -3.0573057003855526]"
194,194.0,"[-0.5942310344971868, 0.13877824243084408, -3.0294454718413175]"
195,195.0,"[-0.5971843685191264, 0.15373454097912664, -3.0161875809019834]"
196,196.0,"[-0.6067132099705966, 0.1659386153459536, -3.0084004584490556]"
197,197.0,"[-0.6396139052426885, 0.1542730617328239, -3.005198364622341]"
198,198.0,"[-0.624423402591253, 0.1291930620124522, -3.0050346220185102]"
199,199.0,"[-0.6302711873113619, 0.12437039251993912, -3.0121632811758077]"
200,200.0,"[-0.5803842300525409, 0.1125130080417081, -3.0224145046606563]"
201,201.0,"[-0.5774191201693435, 0.10510323224269348, -3.0268318720242164]"
202,202.0,"[-0.5784609447772843, 0.11267018206068878, -3.0228139420706768]"
203,203.0,"[-0.565153100490387, 0.12659269466291645, -3.0274411550942424]"
204,204.0,"[-0.5593715767890602, 0.11181831775737575, -3.035147883351717]"
205,205.0,"[-0.5542401605437641, 0.10861090894990579, -3.0390445033855324]"
206,206.0,"[-0.5477667221281025, 0.12857350507658058, -3.0389691589920176]"
