,Frame Number,Rotation Vector
0,0.0,"[0.42791656938390155, 0.32969974640135286, -2.947055078061883]"
1,1.0,"[0.44369514929414, 0.334761046419991, -2.9202787120427267]"
2,2.0,"[0.44453773133994956, 0.3314799752146086, -2.9323153985802466]"
3,3.0,"[0.46547807934746704, 0.32977442292884274, -2.9025111756018704]"
4,4.0,"[0.4914537028500277, 0.3482036373206854, -2.874220654310024]"
5,5.0,"[0.49328207468653434, 0.35095607581347643, -2.8307243684648102]"
6,6.0,"[0.5255653893928065, 0.40156384359836433, -2.8006806652131573]"
7,7.0,"[0.514098551216555, 0.405019668089701, -2.7817377380498187]"
8,8.0,"[0.5107128140775673, 0.37764477649529854, -2.77777621850768]"
9,9.0,"[0.5208457914830015, 0.3458551922503306, -2.781956686005038]"
10,10.0,"[0.5165421934259578, 0.3415016333939175, -2.78839315933236]"
11,11.0,"[0.5016895041671061, 0.3207351093696117, -2.801267460060469]"
12,12.0,"[0.5038477422384985, 0.32576505905567893, -2.7916506501061216]"
13,13.0,"[0.5120011538483601, 0.3420714412891939, -2.780208776777218]"
14,14.0,"[0.5186436165134081, 0.3701037108175525, -2.7593680904928353]"
15,15.0,"[0.5329821190117834, 0.36792683225840395, -2.751507736044876]"
16,16.0,"[0.5372895193163156, 0.3864182900191566, -2.746844094212942]"
17,17.0,"[0.5282039424044296, 0.3830671231712367, -2.755200832154768]"
18,18.0,"[0.5064251818011243, 0.37015668715241057, -2.7651078764454984]"
19,19.0,"[0.4993372728694124, 0.36940410404506513, -2.771612359651635]"
20,20.0,"[0.4921418969251067, 0.37634777436087136, -2.776595014059839]"
21,21.0,"[0.4825254948518378, 0.3709542084395006, -2.7741450438084643]"
22,22.0,"[0.4979912131474267, 0.37916485063400496, -2.769011882515794]"
23,23.0,"[0.517866388058977, 0.3963558810248817, -2.76380625224228]"
24,24.0,"[0.5211243637154134, 0.3979307520460063, -2.7681664502569805]"
25,25.0,"[0.5050399151710155, 0.38822147465768025, -2.7811917445679177]"
26,26.0,"[0.5114028063751107, 0.37747823712606327, -2.77676668245545]"
27,27.0,"[0.48886879968456043, 0.3803209219947361, -2.804848640328298]"
28,28.0,"[0.4842244441348149, 0.386050344007291, -2.8244675371103756]"
29,29.0,"[0.46705256420143443, 0.3907497170698345, -2.8510077464704477]"
30,30.0,"[0.45393012912864433, 0.4183671647352391, -2.866226031252806]"
31,31.0,"[0.4480219533794889, 0.4476860254732219, -2.898230808357492]"
32,32.0,"[0.43545667801314997, 0.46631166464221074, -2.9101953819585473]"
33,33.0,"[0.4317151734136832, 0.4387081198874537, -2.930544436715277]"
34,34.0,"[0.4344513538493539, 0.4179506877646675, -2.931436661434457]"
35,35.0,"[0.4507406452551958, 0.3722244721903805, -2.9478054012001143]"
36,36.0,"[0.44425126186661007, 0.3428914004605284, -2.95734389950235]"
37,37.0,"[0.45382206511293627, 0.3370411667544581, -2.959673763208753]"
38,38.0,"[0.48279122979898287, 0.3639570888677273, -2.9374754670073666]"
39,39.0,"[0.463573907908048, 0.34737573679140393, -2.9346428335839634]"
40,40.0,"[0.47973731287432886, 0.3384069948049161, -2.933409279090764]"
41,41.0,"[0.49394392863495107, 0.32696338637675404, -2.908586250311374]"
42,42.0,"[0.5003102547281404, 0.3630609366197845, -2.8988905243361818]"
43,43.0,"[0.5186997491509487, 0.39393124089073506, -2.865247001043245]"
44,44.0,"[0.524193321136478, 0.38244492167653066, -2.818354119128199]"
45,45.0,"[0.5340547799184007, 0.36960167604078475, -2.7911946456570655]"
46,46.0,"[0.5714030903400591, 0.3806828964390632, -2.7538534959079963]"
47,47.0,"[0.5729505055744818, 0.38360729729337834, -2.7389137336872955]"
48,48.0,"[0.5654370754477481, 0.3968309423460286, -2.726258347342044]"
49,49.0,"[0.5633599406317182, 0.4150832450099382, -2.6996161030892454]"
50,50.0,"[0.5660335320753915, 0.4066681455768101, -2.692637224850806]"
51,51.0,"[0.5707744763560602, 0.3887989552204501, -2.6780211628574393]"
52,52.0,"[0.6282965392405564, 0.4266694685377345, -2.672925708123058]"
53,53.0,"[0.6437108721820816, 0.4399024578639579, -2.6829639656685846]"
54,54.0,"[0.6734139546732706, 0.4524245134830788, -2.7195368828511484]"
55,55.0,"[0.6698152670829887, 0.4409335223104634, -2.7515322860270417]"
56,56.0,"[0.6047947813906434, 0.4291496845938747, -2.786739319331972]"
57,57.0,"[0.5715098941798913, 0.41663246425542133, -2.8047766430889545]"
58,58.0,"[0.5555758774197773, 0.4134078194517772, -2.8351918067242377]"
59,59.0,"[0.5517775210894685, 0.42229260895178633, -2.867889397219342]"
60,60.0,"[0.5301457827416352, 0.3890378483418229, -2.887264367399917]"
61,61.0,"[0.5188579409431264, 0.4169108942299361, -2.9285670552173415]"
62,62.0,"[0.4820822436947427, 0.4001666773372504, -2.9477721368813854]"
63,63.0,"[0.49289611186459464, 0.39861371970525644, -2.936338001813176]"
64,64.0,"[0.4941436503870585, 0.4299769091854155, -2.9440137554118433]"
65,65.0,"[0.4770251636830946, 0.4429236392341522, -2.944842263883875]"
66,66.0,"[0.47544805981353155, 0.4315387749348815, -2.944244194293972]"
67,67.0,"[0.47899637210417445, 0.4323247664388457, -2.9464598252565337]"
68,68.0,"[0.4889981254601178, 0.4350343640148293, -2.9440961813814637]"
69,69.0,"[0.48871522836627224, 0.44684389017120824, -2.9500293156352777]"
70,70.0,"[0.4899485514711665, 0.4436411035169082, -2.94847640795322]"
71,71.0,"[0.5054706359281919, 0.4320507724973675, -2.9408853948461453]"
72,72.0,"[0.5099586109820994, 0.43588536894165564, -2.9358904634676968]"
73,73.0,"[0.5076947467846769, 0.4327624572563585, -2.9316610523625077]"
74,74.0,"[0.5047357043054242, 0.4470963188462719, -2.9293860649571717]"
75,75.0,"[0.5190487439285666, 0.44544222025668834, -2.9246908481953136]"
76,76.0,"[0.5147079489842428, 0.4411711785654504, -2.9246218738839858]"
77,77.0,"[0.5181546277959118, 0.4470384718299785, -2.937061463842509]"
78,78.0,"[0.5439348881852335, 0.43706248278892074, -2.9139470337914113]"
79,79.0,"[0.5228149711001369, 0.39959162182179475, -2.913951473620965]"
80,80.0,"[0.5201708940257794, 0.3395717818234666, -2.9089790214287405]"
81,81.0,"[0.5121566115418273, 0.31879326498157995, -2.9178104725072194]"
82,82.0,"[0.5038404656184574, 0.33780718234488766, -2.9184640753813356]"
83,83.0,"[0.5322238500089043, 0.3566826858596354, -2.89383902481478]"
84,84.0,"[0.5541533003053858, 0.36542319788616656, -2.853318167583617]"
85,85.0,"[0.5864942393001166, 0.3744322860234536, -2.7774019030874206]"
86,86.0,"[0.5656349018450864, 0.371355133269356, -2.759060904597353]"
