,Frame Number,Rotation Vector
0,0.0,"[0.16648558146696948, 0.3858966613932068, -3.067758405564282]"
1,1.0,"[0.1863428523162302, 0.35412927195514093, -3.0737872599332525]"
2,2.0,"[0.18605309491630267, 0.3541766264647719, -3.0742757505919722]"
3,3.0,"[0.18375250920043132, 0.35628710980408507, -3.078155864137162]"
4,4.0,"[0.18762421443930843, 0.35739233618275257, -3.0883373903670996]"
5,5.0,"[0.16583994845085878, 0.37155341520318935, -3.081435681370638]"
6,6.0,"[0.15030736636609976, 0.41436321624000844, -3.101567203521508]"
7,7.0,"[0.05772334505217877, 0.37024122533237425, -3.1188586283643094]"
8,8.0,"[-0.030896135101706225, 0.3613213586918427, -3.117408341436502]"
9,9.0,"[-0.13048533414736543, 0.4228211924917607, -3.1063500887415114]"
10,10.0,"[-0.24409136794767428, 0.3734284443065852, -3.079757784731777]"
11,11.0,"[-0.30214660708615226, 0.35202696439454195, -3.079368293924294]"
12,12.0,"[-0.3541645905854882, 0.2798034230883817, -3.088070038958305]"
13,13.0,"[-0.38534430516094353, 0.2523953185913718, -3.085873282141572]"
14,14.0,"[-0.3792521017718089, 0.26432229108646094, -3.085308134666392]"
15,15.0,"[-0.3693483619361131, 0.2632851894179595, -3.0897314357297474]"
16,16.0,"[-0.37904356055424304, 0.25089254648975806, -3.092623896679865]"
17,17.0,"[-0.3960502075104975, 0.2672777902657163, -3.091052396654426]"
18,18.0,"[-0.4006555631484392, 0.29978890839696426, -3.073045465240209]"
19,19.0,"[-0.4242652010419231, 0.2847376982683261, -3.0582151371200563]"
20,20.0,"[-0.42555572484538173, 0.38341096126207963, -3.0393887295468587]"
21,21.0,"[-0.4109722967044987, 0.3183064230184317, -3.0407579060147927]"
22,22.0,"[-0.45050570764386955, 0.2976024127913223, -3.036285382799712]"
23,23.0,"[-0.4529016978947327, 0.29119677696822105, -3.028287329219101]"
24,24.0,"[-0.4505413307987282, 0.31301808683305654, -3.036771265082845]"
25,25.0,"[-0.4428150344403714, 0.3261890647018062, -3.038929731008321]"
26,26.0,"[-0.4517862551451317, 0.3712061639105121, -3.0343134032637855]"
27,27.0,"[-0.45722321973567875, 0.3334276854447338, -3.0214266589598817]"
28,28.0,"[-0.4519827050301946, 0.330492034685145, -3.0245022512240514]"
29,29.0,"[-0.4790906738212462, 0.38422217204800435, -3.018219997327878]"
30,30.0,"[-0.5054598935404496, 0.40730984119992997, -3.0040968918728455]"
31,31.0,"[-0.5062532189851291, 0.36387000321217305, -2.9979851967384]"
32,32.0,"[-0.4833767901486018, 0.32950691668784954, -3.01921836086176]"
33,33.0,"[-0.46477630053717134, 0.3367926132917172, -3.028972155379959]"
34,34.0,"[-0.4536612693419324, 0.3667409634881804, -3.026424280583345]"
35,35.0,"[-0.4849867103774106, 0.3529858304650912, -3.021604728640011]"
36,36.0,"[-0.5089827964311149, 0.3666711708113054, -3.0209591744366597]"
37,37.0,"[-0.47589258390935774, 0.32931293440493153, -3.036684376227862]"
38,38.0,"[-0.4939629499910558, 0.33991852549343116, -3.035084152601327]"
39,39.0,"[-0.4744169512157308, 0.35373678123267804, -3.0401674618991255]"
40,40.0,"[-0.46388025479544903, 0.3555218862454494, -3.0444375560863923]"
41,41.0,"[-0.45124512370250164, 0.361997244159709, -3.0441240401727367]"
42,42.0,"[-0.4425646525495314, 0.3811084557377469, -3.040205053684172]"
43,43.0,"[-0.4896643018298443, 0.3563950321880108, -3.0309507775558946]"
44,44.0,"[-0.4783090076331998, 0.3674806657285196, -3.031820234708122]"
45,45.0,"[-0.46161358770968985, 0.393514026507758, -3.0257798850683115]"
46,46.0,"[-0.4487433703807826, 0.3876525081170256, -3.028004163378739]"
47,47.0,"[-0.45692492501158555, 0.3859133860300932, -3.0263862541043203]"
48,48.0,"[-0.4590725251012251, 0.35553494028718213, -3.0251971978755776]"
49,49.0,"[-0.42673432670686834, 0.34495499321536377, -3.021850097628]"
50,50.0,"[-0.41248797922260666, 0.37803678438975463, -3.0161996524593566]"
51,51.0,"[-0.32799905155635234, 0.4219031167184389, -3.033315216411075]"
52,52.0,"[-0.3246364285701668, 0.4491807957735651, -3.0293427219768216]"
53,53.0,"[-0.3029953233739774, 0.44813939521972, -3.022558447772888]"
54,54.0,"[-0.2657883919185303, 0.40068317568649137, -3.0384997754667045]"
55,55.0,"[-0.24250047540905975, 0.4933993401965237, -3.0088948003537856]"
56,56.0,"[-0.2076125803343055, 0.47011743216614443, -3.01340456756376]"
57,57.0,"[-0.20510551868256277, 0.4856822714421584, -3.0078011705525745]"
58,58.0,"[-0.2097295926167726, 0.42475827614020417, -3.016584077639786]"
59,59.0,"[-0.16295740517205215, 0.4756816634329874, -3.0110834904340757]"
60,60.0,"[-0.12190042914050288, 0.47726661064753534, -3.01746232676499]"
61,61.0,"[-0.10653632771661678, 0.43792287051536827, -3.030449992446319]"
62,62.0,"[-0.10295119636091378, 0.45221508124067167, -3.0235975264394708]"
63,63.0,"[-0.10241866121220568, 0.45781473494028035, -3.0214142739780367]"
64,64.0,"[-0.09712038327071443, 0.4632548608960373, -3.0193430657953506]"
65,65.0,"[-0.1054909267906647, 0.47785532961910715, -3.017708530237641]"
66,66.0,"[-0.11442194424050237, 0.45185815828422565, -3.020761930055877]"
67,67.0,"[-0.12325459806067524, 0.4227925466866654, -3.022136530559499]"
68,68.0,"[-0.12885651743196624, 0.45916464154767606, -3.0232802229633884]"
69,69.0,"[-0.13568085626781015, 0.4985020490068935, -3.0186117967511517]"
70,70.0,"[-0.12141729037625054, 0.4724455298738206, -3.027851333906046]"
71,71.0,"[-0.12602185028066246, 0.4703425281863241, -3.0255501956540582]"
72,72.0,"[-0.12468549592478761, 0.45678928455344303, -3.0264128475178658]"
73,73.0,"[-0.10990499416303605, 0.44971482568688054, -3.0314071736916244]"
74,74.0,"[-0.10961419064438603, 0.43821819625099956, -3.0327306958032647]"
75,75.0,"[-0.1082187399090897, 0.44190728277757674, -3.0329168931305226]"
76,76.0,"[-0.11854456662203378, 0.3896010256660006, -3.0370672429009224]"
77,77.0,"[-0.1361539960148803, 0.33717089890692487, -3.0552504405904517]"
78,78.0,"[-0.14646319828869397, 0.3294005749347034, -3.0508828245959156]"
79,79.0,"[-0.12552903657758746, 0.37489715619087144, -3.0500097426398423]"
80,80.0,"[-0.21317538878196593, 0.39514411264984417, -3.026870510223505]"
81,81.0,"[-0.256245870753415, 0.3305548762549203, -3.0195759582962425]"
82,82.0,"[-0.3434270985315706, 0.31129260410687726, -3.0229200822478246]"
83,83.0,"[-0.4681322647282394, 0.24618933391728043, -2.9867440763079807]"
84,84.0,"[-0.4880343490096606, 0.24971563999419727, -2.991786563281041]"
85,85.0,"[-0.45412164077365685, 0.3002688926305692, -3.000084016032128]"
86,86.0,"[-0.4570413373560171, 0.28452261441832866, -3.0087380995097828]"
87,87.0,"[-0.46350464312910017, 0.26034405806878347, -3.0145410434524873]"
88,88.0,"[-0.44056406053843455, 0.2806558326978984, -3.0169066863882463]"
89,89.0,"[-0.3993171847809689, 0.35860289329215483, -3.0205869635936873]"
90,90.0,"[-0.40139190954229287, 0.3503451816442885, -3.0215701531457886]"
91,91.0,"[-0.3925504586054856, 0.36086517991778744, -3.024625055856967]"
92,92.0,"[-0.41475856853999876, 0.31199111179251465, -3.0247407156882398]"
93,93.0,"[-0.4113692275777587, 0.3488567253965965, -3.0284283250948203]"
94,94.0,"[-0.44119410409746723, 0.32386790514599284, -3.0209292014290425]"
95,95.0,"[-0.427242647937635, 0.337350429252636, -3.0224294422105817]"
96,96.0,"[-0.4099465452170709, 0.33982825934395555, -3.036749318984566]"
97,97.0,"[-0.4237188393781646, 0.3419644369303813, -3.0224234766022726]"
98,98.0,"[-0.41954392398072543, 0.35975568094889987, -3.0210904482406638]"
99,99.0,"[-0.4137594557817602, 0.34996355961386566, -3.015384006342613]"
100,100.0,"[-0.40921859031615865, 0.3467628956031263, -3.022483827303621]"
101,101.0,"[-0.4396330199917239, 0.3566275723752075, -3.001384508820074]"
102,102.0,"[-0.4390377041404938, 0.36267597752654124, -3.008003787889853]"
103,103.0,"[-0.4343242219212009, 0.3304601397890602, -2.9995963653244906]"
104,104.0,"[-0.4340037489638711, 0.3489071133774167, -3.007993277795812]"
