,Frame Number,Rotation Vector
0,0.0,"[-0.7890032051460609, 0.2562993537427318, -2.8282227282793357]"
1,1.0,"[-0.7856797675523213, 0.2576457403381465, -2.841955569297771]"
2,2.0,"[-0.8213500531293311, 0.2827023775650486, -2.8416024690368205]"
3,3.0,"[-0.8034808837008173, 0.2677228516671816, -2.8514499283761574]"
4,4.0,"[-0.8358768967247721, 0.28230043671710503, -2.8483728166787077]"
5,5.0,"[-0.8592574595606262, 0.3074011731773273, -2.8392190420750607]"
6,6.0,"[-0.8575621288559937, 0.3039280548001127, -2.840400615614757]"
7,7.0,"[-0.8371421630449903, 0.2953491370206051, -2.8544733474505692]"
8,8.0,"[-0.845253348509689, 0.268836076864021, -2.847416715970238]"
9,9.0,"[-0.8412499330739087, 0.2637342758017382, -2.8629950693379955]"
10,10.0,"[-0.8872168612499346, 0.28886303751012976, -2.8331193881239978]"
11,11.0,"[-0.8381062239635149, 0.3051227517058009, -2.8633259336688255]"
12,12.0,"[-0.8657573216547916, 0.32536871755660357, -2.83155202669474]"
13,13.0,"[-0.842016364118825, 0.3201676229969966, -2.8580815353100646]"
14,14.0,"[-0.8592053027885348, 0.3164899361874609, -2.8524225036037274]"
15,15.0,"[-0.8727709008501763, 0.30311643133841776, -2.8547576257539338]"
16,16.0,"[-0.8627942294904016, 0.33671270105736834, -2.8499750910246746]"
17,17.0,"[-0.8937451176523834, 0.2965363568273033, -2.8388427658310826]"
18,18.0,"[-0.8990538686411511, 0.29532419396088266, -2.8319434457648294]"
19,19.0,"[-0.8972105751816313, 0.2922177889937592, -2.838665700265227]"
20,20.0,"[-0.8694266462967508, 0.2895407075458627, -2.857653539427793]"
21,21.0,"[-0.8610928364102117, 0.2866606671054327, -2.8580532455295367]"
22,22.0,"[-0.864508731605903, 0.2792064983298595, -2.864221745143728]"
23,23.0,"[-0.8619801330910877, 0.2796318745060515, -2.8653952569946455]"
24,24.0,"[-0.8593508432437758, 0.26964042766091306, -2.8712692923176837]"
25,25.0,"[-0.8962222154974151, 0.2827716981957077, -2.8546143253487624]"
26,26.0,"[-0.8675354146783062, 0.27529980604976323, -2.870262047443079]"
27,27.0,"[-0.9021517311578127, 0.27449889649350195, -2.847480830754588]"
28,28.0,"[-0.9104714561654753, 0.2560752679774025, -2.8524519373601556]"
29,29.0,"[-0.9099020130000873, 0.26608255069722153, -2.848550802966716]"
30,30.0,"[-0.9123215364325556, 0.2837934535774137, -2.8488080037055736]"
31,31.0,"[-0.8561652576707451, 0.2788096120398098, -2.8715799040679877]"
32,32.0,"[-0.8649518727681678, 0.31409341957458686, -2.8647835072654866]"
33,33.0,"[-0.8382758656283044, 0.32105077088953704, -2.877428164824355]"
34,34.0,"[-0.8651306480543638, 0.299264851950884, -2.866272730870371]"
35,35.0,"[-0.8576390703022883, 0.30757211202036316, -2.8723069461496094]"
36,36.0,"[-0.8590072033531589, 0.32614786185688827, -2.8716096295935665]"
37,37.0,"[-0.8535419765303556, 0.3091411780839299, -2.875843243787644]"
38,38.0,"[-0.8606856937133147, 0.31031425912263577, -2.8716999208958502]"
39,39.0,"[-0.885294906714939, 0.30152778883839243, -2.854663235919082]"
40,40.0,"[-0.8944455570941333, 0.32039133354892235, -2.8481832968852805]"
41,41.0,"[-0.909053551503746, 0.3236266818755574, -2.850122374996567]"
42,42.0,"[-0.913587168149664, 0.31385019849901447, -2.841465945429737]"
43,43.0,"[-0.9351083672412904, 0.3365482900870087, -2.830736437321966]"
44,44.0,"[-0.9271924968966592, 0.3359292609475462, -2.8355378911271574]"
45,45.0,"[-0.9077463785916121, 0.3255520199927129, -2.851143102852266]"
46,46.0,"[-0.9132184475813306, 0.32638632595336553, -2.8465623936866407]"
47,47.0,"[-0.9117324851497501, 0.33477697411790625, -2.841861033806407]"
48,48.0,"[-0.9053670334537738, 0.3605706606852332, -2.855802028800467]"
49,49.0,"[-0.935093759002482, 0.3162578073243028, -2.852275838325771]"
50,50.0,"[-0.9192124592358489, 0.3252719077564495, -2.859520837850649]"
51,51.0,"[-0.9160761617172364, 0.30942981774708805, -2.8509019700045606]"
52,52.0,"[-0.908598568822331, 0.3272421063633124, -2.873989035580341]"
53,53.0,"[-0.8852089115909566, 0.27731477306148344, -2.897918154484638]"
54,54.0,"[-0.8238474507684631, 0.22820284559686524, -2.9143945105726523]"
55,55.0,"[-0.7843600932118845, 0.13707166085855807, -2.95280270275488]"
56,56.0,"[-0.7559698777594033, 0.09287504354292132, -3.0104293734930376]"
57,57.0,"[-0.7267827255419119, 0.03229425018644858, -3.0450096293214126]"
58,58.0,"[-0.685459591259846, -0.009362972791856643, -3.035495312369715]"
59,59.0,"[-0.7053533270376506, -0.015203603822532264, -3.0281637450759735]"
60,60.0,"[-0.7591226861988337, -0.0006292977289032091, -3.004987905043761]"
61,61.0,"[-0.8304018620013089, 0.05324886209092978, -2.9527719929470906]"
62,62.0,"[-0.8969713083242344, 0.1611923938372477, -2.8688297335551827]"
63,63.0,"[-0.9619996093442946, 0.21897397924725628, -2.824248988371168]"
64,64.0,"[-0.9987369940153992, 0.271812298166138, -2.76346301134983]"
65,65.0,"[-1.0014108923257603, 0.28479115185470427, -2.727633064415872]"
66,66.0,"[-0.9380835029676061, 0.24575785054626686, -2.7320963247196426]"
67,67.0,"[-0.8350535659032039, 0.17690224738640478, -2.75205770907438]"
68,68.0,"[-0.8624998474363722, 0.12443647176716098, -2.74276092547438]"
69,69.0,"[-0.9094395171520341, 0.16110701763407187, -2.7459965677046787]"
70,70.0,"[-0.8872158016177568, 0.15566668169450879, -2.7563686333974617]"
71,71.0,"[-0.8740503697812708, 0.20293710255355993, -2.769416139069925]"
72,72.0,"[-0.87269360057995, 0.21438412206390264, -2.7735920267067127]"
73,73.0,"[-0.8386520290274293, 0.20265076799428025, -2.7810895381747898]"
74,74.0,"[-0.85576304500027, 0.19361963635087032, -2.76340014191261]"
75,75.0,"[-0.8457466340852658, 0.12207525246142228, -2.7817556284389076]"
76,76.0,"[-0.8054353926267286, 0.036027267617173994, -2.797567931542282]"
77,77.0,"[-0.826693528552483, 0.02974385711893944, -2.79488372192221]"
78,78.0,"[-0.849287283967755, 0.050836059332706435, -2.8097825242430092]"
79,79.0,"[-0.8203011899082886, 0.05244607916743233, -2.8282332283191427]"
80,80.0,"[-0.8296083662929906, 0.10074538493827545, -2.8440991011586583]"
81,81.0,"[-0.836198694520225, 0.17055904367644767, -2.8599930211675075]"
82,82.0,"[-0.8428705505532939, 0.20555637995797466, -2.8650731606563236]"
83,83.0,"[-0.8312450774657236, 0.15036461214608074, -2.858207905395621]"
84,84.0,"[-0.8726231037201332, 0.12476420647793367, -2.8289323365578127]"
85,85.0,"[-0.8662879180169253, 0.12138694935047939, -2.859934785881789]"
86,86.0,"[-0.8832136594047657, 0.14443511999413344, -2.8706358438112494]"
87,87.0,"[-0.8763722889837198, 0.16216754662941693, -2.8818455665827827]"
88,88.0,"[-0.9044380082829007, 0.19069437564983424, -2.8702384794772677]"
89,89.0,"[-0.9086401781730106, 0.18759832899901396, -2.8667347426845464]"
90,90.0,"[-0.9035448709718941, 0.1943962040624607, -2.866323825133904]"
91,91.0,"[-0.898475603276285, 0.1877217137032059, -2.876773125709547]"
92,92.0,"[-0.8866390793389531, 0.16967256165451694, -2.8684395670656087]"
93,93.0,"[-0.9087300723656444, 0.1529489925064067, -2.8581584375251192]"
94,94.0,"[-0.9006525539351649, 0.19131004188352985, -2.872422888858471]"
95,95.0,"[-0.9237344961507202, 0.23283519409594136, -2.8713048167166186]"
96,96.0,"[-0.929579391853093, 0.22509749233178203, -2.896426901006128]"
97,97.0,"[-0.937436271207361, 0.22426143990564024, -2.8943457350708655]"
98,98.0,"[-0.9284127212019243, 0.21711255618163, -2.8931005384209625]"
