,Frame Number,Rotation Vector
0,0.0,"[0.4758280798688975, 0.12306696408292547, -3.2205687625184103]"
1,1.0,"[0.47165949810289215, 0.13298695993477758, -3.2233863666544584]"
2,2.0,"[0.4613752394356719, 0.14642979333416306, -3.248393440106346]"
3,3.0,"[0.44386066368444094, 0.1673019839942032, -3.259412479679599]"
4,4.0,"[0.43558658706513415, 0.14211972779505155, -3.2629711013718814]"
5,5.0,"[0.4610072826552842, 0.1693488717044487, -3.2546339113104]"
6,6.0,"[0.38687089200096075, 0.1526647836742602, -3.2737486653645003]"
7,7.0,"[0.38124738839829014, 0.1570229318373845, -3.28091494338821]"
8,8.0,"[0.40285422671571197, 0.14990500249011152, -3.256848387607485]"
9,9.0,"[0.4044059515048963, 0.1190908678127797, -3.253413594782612]"
10,10.0,"[0.447058905529769, 0.1138218115295859, -3.2275834466679068]"
11,11.0,"[0.40930325916074267, 0.0706346616013313, -3.1875116146397704]"
12,12.0,"[0.3686371984264408, 0.0773198968784144, -3.177143482507575]"
13,13.0,"[0.34420427160713296, 0.08451750447787611, -3.1642972845687574]"
14,14.0,"[0.34287910493657264, 0.06089188695142755, -3.1328358166302177]"
15,15.0,"[0.3455642417304399, 0.048155253217882873, -3.124249519148034]"
16,16.0,"[0.34033710184624394, 0.006727673975989062, -3.1086874982838695]"
17,17.0,"[0.33690693048088394, -0.021692970278150446, -3.0965552475346065]"
18,18.0,"[0.3349662175470427, -0.03435810044473885, -3.093398118372566]"
19,19.0,"[0.3366241617544042, -0.011910686116971077, -3.073826572639039]"
20,20.0,"[0.3590211145565646, 0.019234413909363413, -3.0637906672497293]"
21,21.0,"[0.3607436663164643, 0.03535400535424501, -3.0666875940959843]"
22,22.0,"[0.35043898341538926, 0.05314262634292955, -3.0671067889279247]"
23,23.0,"[0.35451502894631604, 0.08918554150949418, -3.0825089351838146]"
24,24.0,"[0.3395757263138818, 0.08504602570496662, -3.0891692809746827]"
25,25.0,"[0.34570247943899485, 0.07608965408993948, -3.103469465217844]"
26,26.0,"[0.3340501244322809, 0.08469510789705796, -3.1124821559226334]"
27,27.0,"[0.361014552405732, 0.08556623614696604, -3.1088983209478553]"
28,28.0,"[0.34817452640736685, 0.030252660210900232, -3.1134233110184977]"
29,29.0,"[0.33004648597831193, 0.017848098684477703, -3.103343813841929]"
30,30.0,"[0.321360485089193, 0.03231474236857877, -3.1018224711039695]"
31,31.0,"[0.3230881431536875, 0.04212809460190294, -3.0985803777826075]"
32,32.0,"[0.31976470977489896, 0.04921779342602947, -3.097646508149382]"
33,33.0,"[0.32471297279467853, 0.04631751444069347, -3.0964989938768754]"
34,34.0,"[0.3296454193301805, 0.05043836107288354, -3.091555513638116]"
35,35.0,"[0.34108540632056783, 0.04844697613126055, -3.093856510849341]"
36,36.0,"[0.341480040994592, 0.05216887188127164, -3.093345706916672]"
37,37.0,"[0.3520315556025656, 0.03644330516540166, -3.0904359501896064]"
38,38.0,"[0.35921158374414197, 0.03272212847136634, -3.0981687946984304]"
39,39.0,"[0.37528699973531715, 0.029710055482528492, -3.0999237207799166]"
40,40.0,"[0.3724537957338521, 0.03696852365754459, -3.102399304631466]"
41,41.0,"[0.4062588181124351, 0.04774922178396945, -3.0874287857157046]"
42,42.0,"[0.41292091531075104, 0.052205567254891054, -3.0942610905319143]"
43,43.0,"[0.39638866284654645, 0.04071029759280051, -3.1036963347120223]"
44,44.0,"[0.37747076697788173, 0.04649086187897336, -3.0914526343763904]"
45,45.0,"[0.38567049297768186, 0.07502326076213028, -3.096666671309171]"
46,46.0,"[0.3910138773879675, 0.08514322643882682, -3.0960483852850484]"
47,47.0,"[0.3789852975145794, 0.0738406082846562, -3.1096832824699887]"
48,48.0,"[0.40162037474917184, 0.09185789565556475, -3.115590384251938]"
49,49.0,"[0.42064281412619076, 0.11055658050033687, -3.1404588400353375]"
50,50.0,"[0.43782442431719665, 0.13982174562259475, -3.155570225622775]"
51,51.0,"[0.4689508163333692, 0.15821957341909768, -3.1901570052936905]"
52,52.0,"[0.5285252774140037, 0.19721053301749747, -3.1949404057805033]"
53,53.0,"[0.5671908397983613, 0.3149981934653306, -3.229259644361119]"
54,54.0,"[0.5944781812974855, 0.33081299227757216, -3.255996105471552]"
55,55.0,"[0.6032359836099751, 0.31464894346547617, -3.2784218225544257]"
56,56.0,"[0.5857014004550648, 0.2945765487362904, -3.2653181739740607]"
57,57.0,"[0.615474140628907, 0.3122404081648673, -3.2797499874957134]"
58,58.0,"[0.6213930442295919, 0.3153484127479479, -3.299842138944615]"
59,59.0,"[0.609782694446609, 0.26143795637141365, -3.2767604073107717]"
60,60.0,"[0.5845332855605487, 0.2237227130185367, -3.2897079351360294]"
61,61.0,"[0.5474269188491927, 0.2460933015429946, -3.276930288174701]"
62,62.0,"[0.4492437673865243, 0.21188007394111422, -3.2372246204186723]"
63,63.0,"[0.3910128858900545, 0.14562807132510744, -3.188348982873193]"
64,64.0,"[0.3657874972610767, 0.12935536720077193, -3.225121466307119]"
65,65.0,"[0.3129786391140771, 0.03604745512210073, -3.211416359635141]"
66,66.0,"[0.259306425823229, 0.028076324497138084, -3.19188901214861]"
67,67.0,"[0.253001888971361, 0.03405437523413342, -3.1655924834790508]"
68,68.0,"[0.2303091416084513, 0.040811839620593336, -3.176561765553052]"
69,69.0,"[0.2636352710222309, 0.032796081104980446, -3.176607883804718]"
70,70.0,"[0.2908045744444488, 0.06596356374300574, -3.175735723282624]"
71,71.0,"[0.34916445715535593, 0.12812161965936542, -3.1596613326612815]"
72,72.0,"[0.3781898221406392, 0.12745329784486933, -3.13454141151986]"
73,73.0,"[0.39333551852812976, 0.1262490859434777, -3.1368741796647055]"
74,74.0,"[0.3976382592581324, 0.11709499551315326, -3.1381711834159467]"
75,75.0,"[0.41523363566855265, 0.0959090430575966, -3.154132681636462]"
76,76.0,"[0.43189614741766225, 0.1092184075205709, -3.1627182542009247]"
77,77.0,"[0.4445738085736338, 0.1353281284604894, -3.1869760701043446]"
78,78.0,"[0.43208225176405596, 0.15589505628198227, -3.2093951286906974]"
