,Frame Number,Rotation Vector
0,0.0,"[-0.4879964539921413, 0.15892892542338957, -3.012487268298629]"
1,1.0,"[-0.48993675945427173, 0.16069863259532546, -3.0133526117753497]"
2,2.0,"[-0.4886305720866053, 0.15932239094360975, -3.015558001824011]"
3,3.0,"[-0.4837637201218716, 0.1593090516993805, -3.018930415867244]"
4,4.0,"[-0.4806881551149772, 0.16540294500460434, -3.018570675662827]"
5,5.0,"[-0.4671173563247416, 0.17991559282539232, -3.0223068267297624]"
6,6.0,"[-0.4619265392606959, 0.18057832238363095, -3.0182337886422177]"
7,7.0,"[-0.44445409992555646, 0.18958670848286233, -3.0211128545002417]"
8,8.0,"[-0.43560807550764125, 0.17959241863806577, -3.0233078393065425]"
9,9.0,"[-0.4235942010730745, 0.18476541315174264, -3.0306281950692453]"
10,10.0,"[-0.4063089720530626, 0.2112820238666246, -3.032460574299362]"
11,11.0,"[-0.3879933035833171, 0.20093007733042315, -3.042870250532252]"
12,12.0,"[-0.3502996275155414, 0.2146887369642459, -3.0501340887017614]"
13,13.0,"[-0.3187770361766587, 0.22252053306514633, -3.0644341246492934]"
14,14.0,"[-0.2941844178608552, 0.21645155392000373, -3.0773999746903065]"
15,15.0,"[-0.25696086164757126, 0.24472000079654524, -3.0916731160781334]"
16,16.0,"[-0.23742198196028674, 0.25315244701986356, -3.097899954315222]"
17,17.0,"[-0.2128243393022774, 0.26170439431031906, -3.10272454926103]"
18,18.0,"[-0.17700837173690842, 0.2561952682819625, -3.11543019595387]"
19,19.0,"[-0.15426312698279326, 0.26335817924834715, -3.1184752234037636]"
20,20.0,"[-0.14113633382514446, 0.2714384665140989, -3.125073322704567]"
21,21.0,"[-0.12691956165986182, 0.29314122733847947, -3.129872168478598]"
22,22.0,"[-0.10080624854807804, 0.305643585978935, -3.133580945972069]"
23,23.0,"[-0.1046708577238857, 0.3168587443505602, -3.132560898282301]"
24,24.0,"[-0.08192662513913719, 0.36324671745007053, -3.137011076019715]"
25,25.0,"[-0.07457935638840127, 0.35529464798902255, -3.143757953022775]"
26,26.0,"[-0.05997256050600819, 0.3522641733832674, -3.143124754895532]"
27,27.0,"[-0.06750727419526997, 0.3441951047522778, -3.1455913013591426]"
28,28.0,"[-0.05724372983219776, 0.3452489195511804, -3.1468042618708476]"
29,29.0,"[-0.045236244428014834, 0.35722472758151075, -3.1523794516923007]"
30,30.0,"[-0.04719723032767646, 0.34279642110179126, -3.1541665333498554]"
31,31.0,"[-0.039886885291944965, 0.34105111643594405, -3.1538275585559745]"
32,32.0,"[-0.0462006299352683, 0.31959706910941393, -3.1557875198692873]"
33,33.0,"[-0.04738888969119022, 0.3257988365110146, -3.158585431466557]"
34,34.0,"[-0.04132461283073441, 0.32778576114335356, -3.1609323883538556]"
35,35.0,"[-0.04355087713721834, 0.3340799679255347, -3.157970186301637]"
36,36.0,"[-0.03874119970376728, 0.3254148333722048, -3.159673098308501]"
37,37.0,"[-0.04209279796269386, 0.31760015072388453, -3.155150541442905]"
38,38.0,"[-0.03326143188233383, 0.3089507642321388, -3.1548794516499226]"
39,39.0,"[-0.036076022241202196, 0.3098543351257182, -3.153169358198279]"
40,40.0,"[-0.038006265362790066, 0.3095122921050333, -3.151233630839675]"
41,41.0,"[-0.037697942881947374, 0.31118991637960436, -3.15142462208906]"
42,42.0,"[-0.037295501664945115, 0.31156798958485754, -3.151077302877143]"
43,43.0,"[-0.034406255522530634, 0.3001461893129559, -3.1531782940978843]"
44,44.0,"[-0.04066814197669793, 0.31278646414733513, -3.1508554151703247]"
45,45.0,"[-0.032664089515542394, 0.2999563933293052, -3.1571405081018846]"
46,46.0,"[-0.045996264486704914, 0.31937229763474917, -3.158487145601096]"
47,47.0,"[-0.03271773449014464, 0.3181865425251121, -3.1541354057193254]"
48,48.0,"[-0.044093742142563896, 0.32218755355544, -3.158320094105414]"
49,49.0,"[-0.0428905031100147, 0.3283496356847724, -3.161979202209395]"
50,50.0,"[-0.062107343879987106, 0.3088514951428183, -3.1620829625098925]"
51,51.0,"[-0.07187151856449564, 0.31446540723933203, -3.159532278416232]"
52,52.0,"[-0.06649863640686947, 0.2688943788719714, -3.1569748470774424]"
53,53.0,"[-0.06039239746651302, 0.23716841528776766, -3.1574373193619882]"
54,54.0,"[-0.0640902435947505, 0.22441971420061038, -3.152970538022253]"
55,55.0,"[-0.06297563131907666, 0.19311158009037996, -3.1555239479797046]"
56,56.0,"[-0.06671076066897098, 0.22090465722430241, -3.1479760235690573]"
57,57.0,"[-0.0788589775704712, 0.2141947067556606, -3.153506781121329]"
58,58.0,"[-0.10843184770310178, 0.17099422377961546, -3.1537073357862067]"
59,59.0,"[-0.13169516706170709, 0.16946589407976284, -3.156190487905051]"
60,60.0,"[-0.15927651132993595, 0.20526814291563025, -3.153779116971852]"
61,61.0,"[-0.1732343295871043, 0.24964515291016598, -3.152118857164991]"
62,62.0,"[-0.19728989652781498, 0.26361674523410134, -3.1480080110774376]"
63,63.0,"[-0.21320427545599982, 0.2685240732720497, -3.14230426967927]"
64,64.0,"[-0.23234578878370213, 0.2649990458596374, -3.1274539827765677]"
65,65.0,"[-0.22953026807020657, 0.2339170638004255, -3.1137500984558644]"
66,66.0,"[-0.22336810593716083, 0.23185678651043978, -3.1072762239896243]"
67,67.0,"[-0.22004994150534782, 0.21944572102755613, -3.103006720712446]"
68,68.0,"[-0.23760854400791773, 0.21904129815816792, -3.0974801695783705]"
69,69.0,"[-0.2561532121000185, 0.20640563304770237, -3.10185968359782]"
70,70.0,"[-0.2735715415609825, 0.1841866020616329, -3.0946016581157414]"
71,71.0,"[-0.304625494395225, 0.1958329652792885, -3.0863942745310196]"
72,72.0,"[-0.32026667978464396, 0.19193688859268745, -3.076949210409001]"
73,73.0,"[-0.34275850477146913, 0.20397777419271831, -3.064746532075926]"
74,74.0,"[-0.33620811662748606, 0.209806720450644, -3.06032795608924]"
75,75.0,"[-0.3480362764860179, 0.19658434760701213, -3.0578217674512387]"
76,76.0,"[-0.34999823931445795, 0.18471624114024585, -3.053942086496293]"
77,77.0,"[-0.3520624341707865, 0.19244040743819202, -3.0527072559777935]"
78,78.0,"[-0.3477382392384377, 0.18803024949160088, -3.059707019565298]"
79,79.0,"[-0.36060325968031814, 0.18073000765288652, -3.058508444483361]"
80,80.0,"[-0.3732388075177398, 0.17355968367790928, -3.061773142289437]"
81,81.0,"[-0.3726756721634092, 0.1826079732867126, -3.058755185088775]"
82,82.0,"[-0.3931721112616701, 0.19521847430571526, -3.0606042658793973]"
83,83.0,"[-0.4123081595326004, 0.19404068039687647, -3.0660960464909772]"
84,84.0,"[-0.4168025267986616, 0.2054330474925204, -3.067413082995015]"
85,85.0,"[-0.4350215199234315, 0.19269025007259286, -3.0609920687292353]"
86,86.0,"[-0.43391204006812983, 0.20030787361458702, -3.052699993778838]"
