,Frame Number,Rotation Vector
0,43.0,"[-0.43289865779978726, 0.23813286821978644, -3.032372278152012]"
1,44.0,"[-0.40454313454977736, 0.2144335943160414, -2.9795618437384928]"
2,45.0,"[-0.38771912969857875, 0.04774802511258764, -2.8825734058841648]"
3,46.0,"[-0.3292600715029289, 0.06946053678917875, -2.9236066326292263]"
4,47.0,"[-0.32925469103710375, 0.06946062417169639, -2.9236104286563247]"
5,48.0,"[-0.32881880627269117, 0.06961803602420373, -2.923412509866729]"
6,49.0,"[-0.3322120413239694, 0.06861393619908507, -2.921931794063253]"
7,50.0,"[-0.32996868150505704, 0.07499340694290707, -2.9217855715649854]"
8,51.0,"[-0.3228244688613913, 0.07589957887473055, -2.9242552893742544]"
9,52.0,"[-0.32246838361468877, 0.08537427596002974, -2.9255361667252675]"
10,53.0,"[-0.30661802013996636, 0.0881259042075987, -2.9331795413087534]"
11,54.0,"[-0.3152249833036736, 0.10694989334128532, -2.932645207792671]"
12,55.0,"[-0.3081597781921909, 0.11377703207542059, -2.9368167255519113]"
13,56.0,"[-0.2917607846304156, 0.13046305646541007, -2.946164120563942]"
14,57.0,"[-0.29906424863316466, 0.14432346595721823, -2.9425268384393184]"
15,58.0,"[-0.28539476567829014, 0.16507096133559435, -2.9472381376909427]"
16,59.0,"[-0.27577283102999006, 0.13964969239261982, -2.954190920368238]"
17,60.0,"[-0.2582463680376688, 0.13374787156091297, -2.9579097108237216]"
18,61.0,"[-0.2541777016903891, 0.15082530885128398, -2.9617187140186534]"
19,62.0,"[-0.2316007918537813, 0.16571506027589022, -2.9631602819188303]"
20,63.0,"[-0.21258849398944396, 0.1510368546292333, -2.9718040361005063]"
21,64.0,"[-0.1866960452729562, 0.13403627851208835, -2.997148825542765]"
22,65.0,"[-0.15886217768834504, 0.14407901896651543, -3.0298789229809744]"
23,66.0,"[-0.10963734020023273, 0.13484926850875248, -3.0516216382714165]"
24,67.0,"[-0.08050387655149929, 0.0679187126491128, -3.061837798483257]"
25,68.0,"[-0.0691344003162786, 0.07718320828601209, -3.079887102700191]"
26,69.0,"[-0.04751609962455067, 0.07416428221968734, -3.084991616209452]"
27,70.0,"[-0.01991234770460125, 0.07547872998561375, -3.096461637328825]"
28,71.0,"[0.010624587630312569, 0.05416234091353812, -3.1087618059497757]"
29,72.0,"[0.04711520693161533, 0.08598069807805533, -3.115682953517674]"
30,73.0,"[0.06289920815905348, 0.07842200605134104, -3.121082870692181]"
31,74.0,"[0.0757011187373807, 0.04906278295769319, -3.1354479849239323]"
32,75.0,"[0.0834723728132437, 0.04631335092403208, -3.1407496109278044]"
33,76.0,"[0.10329701419871737, 0.028264868845092612, -3.134356579220462]"
34,77.0,"[0.14240375634053878, 0.055908002986532215, -3.1320117739029416]"
35,78.0,"[0.1502673272972196, 0.0989995605670658, -3.1257119367754562]"
36,79.0,"[0.12732032810609892, 0.11277622205067192, -3.11550934089447]"
37,80.0,"[0.08633914689055001, 0.14093326246309923, -3.1066686138315194]"
38,81.0,"[0.08049239396526593, 0.14884548105029374, -3.098115415023121]"
39,82.0,"[0.059410272460604124, 0.15823121992372816, -3.0940256439967757]"
40,83.0,"[0.039672783497306324, 0.15734236989724004, -3.0872969496344878]"
41,84.0,"[0.037207181652803595, 0.18191666557211308, -3.0827741617205615]"
42,85.0,"[0.008022188658844197, 0.19398183469400318, -3.0751209559563915]"
43,86.0,"[-0.008801275619209513, 0.2093094811745178, -3.072339748449428]"
44,87.0,"[-0.010861373217001362, 0.201189139990682, -3.0641860223513073]"
45,88.0,"[-0.015305762312438048, 0.1889483372661379, -3.062409284595601]"
46,89.0,"[-0.002544221302915607, 0.1923229126392214, -3.060276060182436]"
47,90.0,"[-0.01708567159567574, 0.2046123980385252, -3.058605417447716]"
48,91.0,"[-0.029341296037792248, 0.23697612481681532, -3.0532974122887655]"
49,92.0,"[-0.037914816464768464, 0.2532249316667131, -3.052461070938242]"
50,93.0,"[-0.04573634110984562, 0.2543531601481563, -3.0526567100017763]"
51,94.0,"[-0.04782172451930008, 0.2470052408424706, -3.053975829418311]"
52,95.0,"[-0.05091093956878047, 0.24030226369353258, -3.054387459741985]"
