,Frame Number,Rotation Vector
0,0.0,"[-0.7138254737058107, 0.36859500498779313, -2.9356984090773466]"
1,1.0,"[-0.713279212859147, 0.36575868489985097, -2.934162084370894]"
2,2.0,"[-0.7271552345188972, 0.3708220792767831, -2.929788664091169]"
3,3.0,"[-0.719426613496471, 0.3746183104812999, -2.9288957491951395]"
4,4.0,"[-0.7136778866810765, 0.3683239604285069, -2.9236711406022087]"
5,5.0,"[-0.7186303307755784, 0.3677563986229807, -2.9213056553857246]"
6,6.0,"[-0.7498319948724316, 0.3611468261629379, -2.918192577602735]"
7,7.0,"[-0.7191417479857172, 0.3585285070925181, -2.9181915042671207]"
8,8.0,"[-0.724859658244489, 0.28685734581150113, -2.9184306923181342]"
9,9.0,"[-0.723296744946056, 0.29509633501438975, -2.910243446503438]"
10,10.0,"[-0.7288978431916106, 0.31957866159648685, -2.9041610074695154]"
11,11.0,"[-0.7397711170580032, 0.3318831450356798, -2.9083816838386767]"
12,12.0,"[-0.7424263562223338, 0.34983668678750757, -2.904876696942546]"
13,13.0,"[-0.7345440280689467, 0.3494428480274649, -2.907711252752329]"
14,14.0,"[-0.738617715851924, 0.34726356547785775, -2.9128159910006617]"
15,15.0,"[-0.7549523960597079, 0.3470746467462175, -2.9029383297272258]"
16,16.0,"[-0.76806691961666, 0.33686344847760846, -2.893743436840181]"
17,17.0,"[-0.7743625426259708, 0.3243741551485875, -2.894759230742157]"
18,18.0,"[-0.7567771727788414, 0.33623975862870564, -2.909720772921815]"
19,19.0,"[-0.771797725397678, 0.3333504844294118, -2.902765849760802]"
20,20.0,"[-0.7732413505996485, 0.3424025171664002, -2.8969375102573207]"
21,21.0,"[-0.7796664258412349, 0.3594502134389507, -2.8825615155112527]"
22,22.0,"[-0.7828346428052838, 0.3385401984877091, -2.8917878720170993]"
23,23.0,"[-0.7669955890297842, 0.31770676118663765, -2.8855161438941432]"
24,24.0,"[-0.7838197334056572, 0.3280136459701821, -2.866976262876533]"
25,25.0,"[-0.790912088597977, 0.3399796199772038, -2.8683764574405277]"
26,26.0,"[-0.8006064453901134, 0.3554185306453898, -2.8623695189058793]"
