,Frame Number,Rotation Vector
0,0.0,"[-0.3469162037550059, 0.2899772295998054, -3.1146387739419543]"
1,1.0,"[-0.3367526962723931, 0.3178466886900837, -3.120409729317283]"
2,2.0,"[-0.36381605668285055, 0.36996770336562274, -3.1228545545637605]"
3,3.0,"[-0.3581146709663045, 0.43917625977411845, -3.121840601841301]"
4,4.0,"[-0.328466428748501, 0.4706660528103888, -3.1333905974218577]"
5,5.0,"[-0.3353502880434042, 0.48653563717044085, -3.1247811258271865]"
6,6.0,"[-0.31490149344022517, 0.488778461436851, -3.1210534783879407]"
7,7.0,"[-0.29398542850685805, 0.49150423450015585, -3.1235880053514147]"
8,8.0,"[-0.28776862938514247, 0.47800534984768145, -3.131345526722191]"
9,9.0,"[-0.26336936626479873, 0.48945672881093305, -3.1341797551110218]"
10,10.0,"[-0.23680275944213167, 0.49220913607032873, -3.131875090968725]"
11,11.0,"[-0.21591426570335776, 0.49461945097147525, -3.1298617623456177]"
12,12.0,"[-0.20054940160671567, 0.4818600851449603, -3.132220895252012]"
13,13.0,"[-0.19147594630927783, 0.4856157052583183, -3.1293841088508416]"
14,14.0,"[-0.18994813761420573, 0.48895575797779206, -3.136658702463513]"
15,15.0,"[-0.21240578224883322, 0.4845015627856422, -3.1335829097779655]"
16,16.0,"[-0.2204936236734171, 0.4416140251442247, -3.14791143168308]"
17,17.0,"[-0.22185215094220076, 0.44105479054011476, -3.1497739516897294]"
18,18.0,"[-0.21895637683053473, 0.45157437066248973, -3.15014614119344]"
19,19.0,"[-0.2104570614951466, 0.45416643639947113, -3.151271349244007]"
20,20.0,"[-0.20412419464184997, 0.4130312165812311, -3.1718770912266647]"
21,21.0,"[-0.20216091990506369, 0.3589844771543375, -3.2082324421634105]"
22,22.0,"[-0.19424427148259926, 0.3074238917381557, -3.241881783540094]"
23,23.0,"[-0.17172091427258807, 0.21311051582906318, -3.280063135593449]"
24,24.0,"[-0.14962077846387292, 0.1328871946667796, -3.3051325228596014]"
25,25.0,"[-0.16648242735369118, 0.13030794420582517, -3.309463184766209]"
26,26.0,"[-0.16512530563322247, 0.12366830171059373, -3.2975247116163313]"
27,27.0,"[-0.1783917085789338, 0.1784356920325004, -3.2827015761666485]"
28,28.0,"[-0.21347089258662613, 0.20266973303075417, -3.2454699444207527]"
29,29.0,"[-0.25929509743558143, 0.22837405739305994, -3.206797189419243]"
30,30.0,"[-0.25877233606221894, 0.19068851864565328, -3.190529355144164]"
31,31.0,"[-0.2392835958741439, 0.05231467628156731, -3.193588514975034]"
32,32.0,"[-0.26841573705739147, 0.015871513212716976, -3.17815416062136]"
33,33.0,"[-0.2457190249138006, 0.032893485215995555, -3.18784041194643]"
34,34.0,"[-0.2859512127706318, 0.06101100675417972, -3.177166180515513]"
35,35.0,"[-0.28785114876507556, 0.07825106230786172, -3.176804219054786]"
36,36.0,"[-0.30450609525092454, 0.059081167666761185, -3.1767779799975346]"
37,37.0,"[-0.3321978067742842, 0.05613855745514154, -3.16722888510535]"
38,38.0,"[-0.33813357329184707, 0.06032880421260253, -3.164523304077756]"
39,39.0,"[-0.35441111896165434, 0.06916292103741459, -3.1645414540897576]"
40,40.0,"[-0.3558425959439699, 0.11523729348583447, -3.1675988116607683]"
41,41.0,"[-0.37129690401790505, 0.19374748788215357, -3.160387408621739]"
42,42.0,"[-0.37482681774048676, 0.24382607651628946, -3.1692499345379717]"
43,43.0,"[-0.38338867200687715, 0.2969964831465141, -3.1757923352948096]"
44,44.0,"[-0.4037784239628775, 0.31402123802672255, -3.1861573362410485]"
45,45.0,"[-0.4128333472941066, 0.3244178444626233, -3.185245330685114]"
46,46.0,"[-0.41655344369128866, 0.30259146278118626, -3.185801689352151]"
47,47.0,"[-0.4388992233695775, 0.2677960634692499, -3.177709597829483]"
48,48.0,"[-0.4493373915563343, 0.24805050403457704, -3.168046714448394]"
49,49.0,"[-0.4236615112606493, 0.2182276598133192, -3.1664932477606023]"
50,50.0,"[-0.4102008823704569, 0.20437730652991104, -3.1654836719510975]"
51,51.0,"[-0.3719579474065777, 0.24699239344617419, -3.1763571540391213]"
52,52.0,"[-0.3359174208196639, 0.24698696470468084, -3.1808946380188474]"
53,53.0,"[-0.2878596858726718, 0.2594870901316885, -3.192569784517877]"
54,54.0,"[-0.24464966517963502, 0.2539078826162223, -3.1929613071876197]"
55,55.0,"[-0.2138497685823409, 0.32695671096312895, -3.202199766244446]"
56,56.0,"[-0.13215277061120137, 0.3601822245410018, -3.218037893259012]"
57,57.0,"[-0.05489581119734918, 0.4053261591247038, -3.2254860897203512]"
58,58.0,"[0.009961221258008461, 0.459220575544906, -3.2320335747895963]"
59,59.0,"[0.0462620940543194, 0.4874699698338201, -3.211051244302215]"
60,60.0,"[0.1412056920531921, 0.5151957041067176, -3.20954186328507]"
61,61.0,"[0.20119210195397275, 0.5572110138597071, -3.196777820173531]"
62,62.0,"[0.22555532451577903, 0.5826706414371516, -3.1851148923058363]"
63,63.0,"[0.25233017538682767, 0.5922558988313142, -3.1831627616923375]"
64,64.0,"[0.3006142077376213, 0.6246347552274222, -3.175874132023758]"
65,65.0,"[0.35624153110675455, 0.5991547493016036, -3.1691042598382255]"
66,66.0,"[0.42351504549081675, 0.5466164151373951, -3.1641404021976984]"
67,67.0,"[0.4559814465322057, 0.5081923662054079, -3.155883890180738]"
68,68.0,"[0.5000310506048606, 0.5035659405542808, -3.1434973597615476]"
69,69.0,"[0.5372883196528456, 0.5047524516735122, -3.133086735416788]"
70,70.0,"[0.5631152568523653, 0.5075532405835542, -3.123580894630207]"
71,71.0,"[0.5535146732691962, 0.5362576023595124, -3.116396568465291]"
72,72.0,"[0.5569777968050834, 0.5390002388128932, -3.115114565632097]"
73,73.0,"[0.5529764300659917, 0.555662189664485, -3.1138113765413653]"
74,74.0,"[0.5624076511049275, 0.5590814842222618, -3.108082690960489]"
75,75.0,"[0.5853575664459979, 0.5504563196760758, -3.102402807475865]"
76,76.0,"[0.6208579371998559, 0.5567648582395105, -3.0847524325833193]"
77,77.0,"[0.6118471716915658, 0.5698394827663285, -3.0772619767143294]"
78,78.0,"[0.6030805524077895, 0.5732406229408532, -3.0693685745880317]"
