,Frame Number,Rotation Vector
0,0.0,"[0.659402087057675, 0.19550731253091816, -3.1389692898780774]"
1,1.0,"[0.6739444982335243, 0.2276093751962138, -3.1286453597857933]"
2,2.0,"[0.6718002488548467, 0.2508411519965077, -3.1266021369778274]"
3,3.0,"[0.642885171409608, 0.24466870576304484, -3.1234793773036764]"
4,4.0,"[0.6446833950200466, 0.24418984882021844, -3.1237131546446233]"
5,5.0,"[0.6446237467865608, 0.2219537099638074, -3.1276837826053576]"
6,6.0,"[0.6176377449808627, 0.214242434714943, -3.135104279052811]"
7,7.0,"[0.6121216346596235, 0.22444693469096852, -3.141812376401339]"
8,8.0,"[0.5984529934399995, 0.19622036670514412, -3.1408662606660815]"
9,9.0,"[0.5974682092724509, 0.18776090575001483, -3.1460458880060713]"
10,10.0,"[0.6291995499866527, 0.1426557779838676, -3.135746714185463]"
11,11.0,"[0.6321260315718191, 0.11188698994376703, -3.134713018583086]"
12,12.0,"[0.6628383087835474, 0.10154839625111127, -3.1354442934280318]"
13,13.0,"[0.6779411510135662, 0.14855722483487013, -3.150240395909231]"
14,14.0,"[0.730943515164816, 0.20625547515505643, -3.161808674024417]"
15,15.0,"[0.6894209004408738, 0.12953010188889208, -3.1655519501149265]"
16,16.0,"[0.6787562126410831, 0.12776753171930869, -3.1769743239702537]"
17,17.0,"[0.6784382186926098, 0.09381414052704065, -3.170705016342727]"
18,18.0,"[0.6584355722508161, 0.08745158450405943, -3.172602600278397]"
19,19.0,"[0.6374386213770075, 0.07752264330429112, -3.192119512160524]"
20,20.0,"[0.601370583225866, 0.05905706554294338, -3.1971420800890553]"
21,21.0,"[0.5504169963385366, 0.017777430236769684, -3.2101011008972016]"
22,22.0,"[0.5396727470078609, 0.03993723126373117, -3.229059038990831]"
23,23.0,"[0.5185146144968487, 0.01799047477283095, -3.226984152789136]"
24,24.0,"[0.5139876270479941, 0.05786798272290305, -3.243233005830724]"
25,25.0,"[0.4666003388719413, 0.031778588587140055, -3.25235194584581]"
26,26.0,"[0.43466484122871607, -0.00015898945291832774, -3.2387498989367045]"
27,27.0,"[0.4755587850269991, 0.1293400387819766, -3.2669483793170495]"
28,28.0,"[0.4787730718045695, 0.10928449274629423, -3.245202590005134]"
29,29.0,"[0.5828420641321245, 0.1033209508459872, -3.194200523068415]"
30,30.0,"[0.6639472021204198, 0.10876574117222068, -3.1259026427828727]"
31,31.0,"[0.8279631413904419, 0.15253858631371128, -3.077756950547993]"
32,32.0,"[0.9200327710617164, 0.13604804407616597, -3.056834225858025]"
33,33.0,"[0.9447234064668261, 0.17389352484191983, -3.058058921779099]"
34,34.0,"[0.9849253292772358, 0.21326202139004688, -3.0587304087883243]"
35,35.0,"[1.0076439055098174, 0.20080746520815304, -3.0420818962115894]"
36,36.0,"[1.019003543393824, 0.22858384120213157, -3.0476686399124135]"
37,37.0,"[1.046400997502854, 0.2352577648541616, -3.0477683978678827]"
38,38.0,"[1.066442428773412, 0.266719709356469, -3.056999404879276]"
39,39.0,"[1.0375348850737396, 0.21515702341908535, -3.062304516755576]"
40,40.0,"[0.9516663582034044, 0.26103829644292603, -3.1256005449297843]"
41,41.0,"[0.8269215803767828, 0.30401579056323796, -3.1981146512055636]"
42,42.0,"[0.7111843809676289, 0.23181951912013257, -3.2487809915809893]"
43,43.0,"[0.6024889080513373, 0.15183530040869647, -3.2848906797747297]"
44,44.0,"[0.4253427091245919, 0.0997581207747629, -3.2896463222536028]"
45,45.0,"[0.3276401558813135, 0.08429522309218565, -3.2929007551821017]"
46,46.0,"[0.3158497634960637, 0.10802576950759357, -3.2851428761688894]"
47,47.0,"[0.34430236790256197, 0.16372527527753777, -3.2672290088069995]"
48,48.0,"[0.42381623646845024, 0.20920927584005428, -3.2450421706091617]"
49,49.0,"[0.5894624527208464, 0.24053833760059812, -3.2033892359501017]"
50,50.0,"[0.6603738675436432, 0.26007648407412876, -3.180762211439004]"
51,51.0,"[0.711864701546121, 0.3053246407664805, -3.1656006858206442]"
52,52.0,"[0.6798659460642514, 0.24404538787734806, -3.153192751296877]"
53,53.0,"[0.6743203337537288, 0.2750240414292216, -3.171479239066375]"
54,54.0,"[0.6208891004723561, 0.24751053705097545, -3.18199205761007]"
55,55.0,"[0.6103071210093052, 0.25481623019851496, -3.207007005016582]"
56,56.0,"[0.6302850507755865, 0.29081843619678255, -3.2015350378291485]"
57,57.0,"[0.6440993595021528, 0.22489767036472538, -3.1964905137736643]"
