,Frame Number,Rotation Vector
0,0.0,"[-0.24676881271641418, -0.006278574533627515, -3.0819333364789867]"
1,1.0,"[-0.2538563348138581, 0.010968940817224286, -3.0770309402306615]"
2,2.0,"[-0.25907414833052256, -0.00967366456869525, -3.0792618822100577]"
3,3.0,"[-0.2770526476530507, -0.006514713034918909, -3.0723997821666504]"
4,4.0,"[-0.2791591095228992, 0.00542480153718478, -3.0644681726460976]"
5,5.0,"[-0.2865233755504865, -0.02756402769659363, -3.0471872284990584]"
6,6.0,"[-0.25938477697806794, -0.0026345185939133124, -3.0619275632089917]"
7,7.0,"[-0.2717138777067702, 0.028238525238136653, -3.050386493750752]"
8,8.0,"[-0.2892158278301025, -0.008910762166740823, -3.042653498941854]"
9,9.0,"[-0.2825653131812579, -0.00308602699443601, -3.0428257476116674]"
10,10.0,"[-0.26841668247350176, -0.024933161455728037, -3.0398750698011376]"
11,11.0,"[-0.26742342038470995, 0.010178088173318552, -3.036980401902196]"
12,12.0,"[-0.2842558401898499, 0.04301649052441526, -3.0290926121987245]"
13,13.0,"[-0.31781737953454603, 0.04779634970620581, -3.0003930586070493]"
14,14.0,"[-0.33611067030201747, 0.054112857123745264, -2.992984912904271]"
15,15.0,"[-0.3603766087824558, 0.0423765626296722, -2.9838419035787345]"
16,16.0,"[-0.34620965197963466, 0.00016046717720774728, -2.989189139524966]"
17,17.0,"[-0.354005863194209, -4.972586382114093e-05, -2.979146962532928]"
18,18.0,"[-0.3737626147376163, 0.024135424665665366, -2.9703691626029842]"
19,19.0,"[-0.37020341069998686, 0.03253742363601383, -2.977156840632775]"
20,20.0,"[-0.35771142505874265, 0.021827359421156007, -2.9705842963020808]"
21,21.0,"[-0.3434116735938082, 0.018266396236282796, -2.9611301786946083]"
22,22.0,"[-0.349473976603947, 0.004528100961348675, -2.9614342251758914]"
23,23.0,"[-0.3612187195776728, 0.01795030844693778, -2.947517669643666]"
24,24.0,"[-0.37334600825899417, 0.004154055114772997, -2.9490875081146593]"
25,25.0,"[-0.382353168486633, 0.014724803271882202, -2.9552870484184215]"
26,26.0,"[-0.38046865886605225, -0.002981644474098968, -2.9535905383419516]"
27,27.0,"[-0.3698713088153439, 0.04839088551336214, -2.9512770117540414]"
28,28.0,"[-0.391081049879671, 0.046417003064990456, -2.9529698499300623]"
29,29.0,"[-0.38167135038615657, 0.06464995048477482, -2.9424846233664885]"
30,30.0,"[-0.393433331024986, 0.04621898362049552, -2.940312759970334]"
31,31.0,"[-0.39816185875498666, 0.035438147758882654, -2.9287590743818996]"
32,32.0,"[-0.40171291964792977, 0.02611881979433676, -2.9258713525350064]"
33,33.0,"[-0.41442419545908554, 0.036621475665814474, -2.9272269252939807]"
34,34.0,"[-0.4294532704136628, 0.03862645422846445, -2.9228227493813663]"
35,35.0,"[-0.41636346270022406, 0.06360152416871222, -2.9208106202448914]"
36,36.0,"[-0.4003319483182009, 0.07176216284487824, -2.9161167573323223]"
37,37.0,"[-0.3821376451486844, 0.09646998840033859, -2.890910311039504]"
38,38.0,"[-0.35017251260521975, 0.13271745855567904, -2.876006108779221]"
39,39.0,"[-0.3368234484116275, 0.1283540858787728, -2.8797231018965155]"
40,40.0,"[-0.32762753879739875, 0.12313934183191956, -2.8814615615140426]"
41,41.0,"[-0.3386136950736086, 0.18492876420891388, -2.866610876659527]"
42,42.0,"[-0.35054350679109264, 0.20732405943504975, -2.8720056182944007]"
43,43.0,"[-0.31106785761224626, 0.24729378229287702, -2.868378979248685]"
44,44.0,"[-0.32837139316618663, 0.2297363594236632, -2.859937521996753]"
45,45.0,"[-0.33794676682908215, 0.20341417780531537, -2.8916826030061555]"
46,46.0,"[-0.3138799607268599, 0.18827505921233056, -2.9011097681333426]"
47,47.0,"[-0.3127280345516015, 0.16947144216979726, -2.9209597342347484]"
48,48.0,"[-0.2925200248435997, 0.136367231638905, -2.9289335758631267]"
49,49.0,"[-0.28222593465152296, 0.11876843470804718, -2.9482748500541187]"
50,50.0,"[-0.2861092711959842, 0.10191312357105684, -2.9506164407935485]"
51,51.0,"[-0.3109944354232045, 0.09254423546909775, -2.9614737566841214]"
52,52.0,"[-0.32696759833876315, 0.11827902199624432, -2.960927819998622]"
53,53.0,"[-0.3456406539749136, 0.1380724744566607, -2.9678242102135286]"
54,54.0,"[-0.3656913858970811, 0.16665818079982778, -2.951201506162766]"
55,55.0,"[-0.4109131723415036, 0.253340851205909, -2.92851848296566]"
56,56.0,"[-0.3875020846101257, 0.30980366287910527, -2.914156696532179]"
57,57.0,"[-0.394940018980722, 0.33051866472476626, -2.9148531477985387]"
58,58.0,"[-0.40743866226279185, 0.35684825676383775, -2.899586600577315]"
59,59.0,"[-0.41205059974554076, 0.37475554054639415, -2.884766704051977]"
60,60.0,"[-0.410464631734082, 0.3466551474771337, -2.8732324387822388]"
61,61.0,"[-0.41026019799162494, 0.34609311411532767, -2.8963200423466944]"
62,62.0,"[-0.4211711513182752, 0.35131847867339294, -2.876158191338311]"
63,63.0,"[-0.42107947039674437, 0.3593354985261411, -2.871434472871462]"
64,64.0,"[-0.40986290853611407, 0.35082394727567257, -2.8887361934471394]"
65,65.0,"[-0.4126417377217677, 0.3591567920743263, -2.884543282259351]"
66,66.0,"[-0.3983400001335357, 0.37852861441350477, -2.9032762303583173]"
67,67.0,"[-0.4197109610614625, 0.3648477707651739, -2.9046387445307564]"
68,68.0,"[-0.4078997552735974, 0.36183465449821856, -2.8975203626910724]"
69,69.0,"[-0.4289229704126934, 0.30959380648020474, -2.917057527612171]"
70,70.0,"[-0.43356742784595786, 0.2780527973143054, -2.8917794208781786]"
71,71.0,"[-0.41762086217971317, 0.28137701251869823, -2.892307640622245]"
72,72.0,"[-0.422387118855828, 0.2699458958342664, -2.870080419645655]"
73,73.0,"[-0.4228073457947638, 0.2643400769172765, -2.8422480918808875]"
74,74.0,"[-0.40080681941348384, 0.2778091430933008, -2.841041135717402]"
75,75.0,"[-0.39163340760905907, 0.26983562574514247, -2.8421190000014844]"
76,76.0,"[-0.39721986020923533, 0.26043573006215004, -2.831123033952176]"
77,77.0,"[-0.4097659045654105, 0.24116960423217335, -2.8356286468690213]"
78,78.0,"[-0.39591466203734993, 0.23270559390573664, -2.8499478306245845]"
79,79.0,"[-0.3624383566385873, 0.28547430127835216, -2.8819479147710108]"
80,80.0,"[-0.35626997709626257, 0.26831320573342304, -2.948663195976386]"
81,81.0,"[-0.2956977144598304, 0.24138688320943347, -2.945520556567286]"
82,82.0,"[-0.2688065528333234, 0.20844729136964474, -2.944561983422801]"
83,83.0,"[-0.24633560135891713, 0.14217255654265945, -2.946227654464675]"
84,84.0,"[-0.28510742684701607, 0.09161505762860157, -2.9428616138167727]"
85,85.0,"[-0.258737338096508, 0.004052094962677552, -2.953786565973874]"
86,86.0,"[-0.2863028338201157, 0.03578394396780356, -2.9622160944661853]"
87,87.0,"[-0.27304051247574335, 0.026593632501034765, -2.9860020170135604]"
88,88.0,"[-0.264867885002945, -0.004626565832440637, -3.0105265576962803]"
89,89.0,"[-0.25658619540921396, 0.0017163771897923692, -3.0365633592519243]"
90,90.0,"[-0.28976573562580316, -0.007190432276134503, -3.0593488296364715]"
91,91.0,"[-0.2689321901895154, 0.005287979310940237, -3.080862406901952]"
92,92.0,"[-0.280423190678785, 0.009204273900232065, -3.0939021134220663]"
93,93.0,"[-0.23368514104972773, 0.017513663529486682, -3.1407430242628633]"
94,94.0,"[-0.2632143227030864, -0.01332025886409299, -3.167367219100612]"
95,95.0,"[-0.2414413506789526, -0.014515839515013177, -3.1869025495088232]"
96,96.0,"[-0.2457259764709072, -0.00389900852888481, -3.1879238808217174]"
97,97.0,"[-0.2559737808472127, -0.026286946481553955, -3.192416845637299]"
98,98.0,"[-0.27357890006530955, -0.07642306396811259, -3.1827255041492912]"
99,99.0,"[-0.2707893882815876, -0.10500577889972364, -3.1835488628671045]"
100,100.0,"[-0.27682515974258126, -0.124932269179456, -3.1777162567857777]"
101,101.0,"[-0.3067640281104481, -0.09259605135554176, -3.1837070811179378]"
102,102.0,"[-0.3052297231434868, -0.1342826227263141, -3.1769192978585066]"
103,103.0,"[-0.29854812166358763, -0.12690408627145658, -3.176530276977109]"
104,104.0,"[-0.3090516387241517, -0.1319023348596689, -3.1702757410921594]"
105,105.0,"[-0.28152171640875917, -0.11321282492377598, -3.179383857931195]"
106,106.0,"[-0.26230273307020135, -0.08739572459944783, -3.184004434947087]"
107,107.0,"[-0.2605187850020217, -0.05784947708773836, -3.1818375976751807]"
108,108.0,"[-0.24315633597684697, -0.05018364884786347, -3.19219051363157]"
109,109.0,"[-0.2477630905604963, -0.03924085534278757, -3.2002642412666122]"
110,110.0,"[-0.23914430264202857, 0.0044269252596266006, -3.218732965500296]"
111,111.0,"[-0.2368543908248652, 0.013485865004840381, -3.2195640906347216]"
112,112.0,"[-0.27185723094108966, 0.04801700005036587, -3.2103324409327874]"
113,113.0,"[-0.25522938162719605, 0.08658170511149105, -3.2132425047213204]"
114,114.0,"[-0.24701938839683008, 0.0996224533027177, -3.207450638874424]"
115,115.0,"[-0.22045572519480772, 0.14011263591007123, -3.2102920499739263]"
116,116.0,"[-0.2192604296414443, 0.13192769531791518, -3.205018364872059]"
117,117.0,"[-0.2422510654473465, 0.1526489357082207, -3.192569105705982]"
118,118.0,"[-0.23502494559108594, 0.16045141241444838, -3.1929603295830518]"
119,119.0,"[-0.21381553284730936, 0.15402912614393144, -3.182202189608861]"
120,120.0,"[-0.2127452026072992, 0.21072930951454666, -3.187283337138925]"
121,121.0,"[-0.20845193313963328, 0.21149478890452458, -3.1805983295551568]"
122,122.0,"[-0.18678157781241542, 0.20666032534555503, -3.1805620629589235]"
123,123.0,"[-0.19641642863358003, 0.2068170106786352, -3.1703589185017114]"
124,124.0,"[-0.21472376292553053, 0.19011010974494366, -3.1691247291735256]"
125,125.0,"[-0.19240740925085148, 0.19380738576696263, -3.1780883234882853]"
126,126.0,"[-0.1653689188871143, 0.18005933540288457, -3.177774714596008]"
127,127.0,"[-0.19170840802575612, 0.17063979689684644, -3.1698570038415634]"
128,128.0,"[-0.19257179640135536, 0.12041671229041782, -3.154122093692707]"
129,129.0,"[-0.20367128811532056, 0.09704478662286531, -3.1485472639664054]"
130,130.0,"[-0.20549768716371475, 0.08303241626740193, -3.1423060110884147]"
131,131.0,"[-0.2077936464792044, 0.09210449212203001, -3.1398766692487894]"
132,132.0,"[-0.18060780848438776, 0.05064844354066235, -3.1547081386531897]"
133,133.0,"[-0.15398385503905854, 0.07832593245806478, -3.156772803312998]"
134,134.0,"[-0.17605769111203196, 0.05981259303292075, -3.1546634608301685]"
135,135.0,"[-0.1845492760047382, 0.04530054102447456, -3.1480014664023988]"
136,136.0,"[-0.18691527686995923, 0.024697966088472315, -3.1464370656288936]"
137,137.0,"[-0.1717130804984909, 0.03127114506112415, -3.143423608187587]"
138,138.0,"[-0.1704524465930077, 0.03152766215633665, -3.1346983003459643]"
139,139.0,"[-0.18035131317972886, 0.016481410681502592, -3.1390475056209644]"
140,140.0,"[-0.1953221838072563, 0.026317598327449496, -3.1227899063569864]"
141,141.0,"[-0.18758670983034184, 0.01196400874045082, -3.124802327477304]"
142,142.0,"[-0.19000467869275595, 0.007499189120325032, -3.1183194769173563]"
143,143.0,"[-0.21021487975451905, -0.015437802613980868, -3.097099067154032]"
144,144.0,"[-0.2114983577502538, -0.03306516870080511, -3.0888149867135013]"
145,145.0,"[-0.20786921584362425, -0.026550923852934716, -3.0871698867042467]"
146,146.0,"[-0.2284999099617212, -0.0407682318759372, -3.077773345421378]"
147,147.0,"[-0.21660659138671376, -0.049421254847053994, -3.0781443195783615]"
148,148.0,"[-0.23713721108076338, -0.03827439407393707, -3.074844338560497]"
149,149.0,"[-0.22108000345209644, -0.04573268552796752, -3.0802849996755515]"
150,150.0,"[-0.23985037598099462, -0.048121758465038834, -3.0859149294660426]"
151,151.0,"[-0.26652898202203884, -0.03406854567199417, -3.082066189928743]"
152,152.0,"[-0.2676909015336002, -0.029707191994993654, -3.0762289191772263]"
153,153.0,"[-0.26634288993869354, -0.024944189808850156, -3.0776909823747807]"
154,154.0,"[-0.2564539615666579, -0.036268949746733406, -3.0785525472889876]"
155,155.0,"[-0.2820701187465529, -0.006107853006823659, -3.0706626502619643]"
156,156.0,"[-0.27482104301352506, -0.0018282759846176924, -3.0705102748085165]"
157,157.0,"[-0.2518251986410199, -0.015568870851055277, -3.075630775801097]"
158,158.0,"[-0.26337187530276573, -0.009112350381787572, -3.0710625612172087]"
159,159.0,"[-0.27603442425516156, 0.028381335884105945, -3.0654374017367867]"
160,160.0,"[-0.256656954175923, -0.005795090897985939, -3.0738691019587363]"
161,161.0,"[-0.24891956942107135, 0.01723291769265791, -3.0922246407358993]"
162,162.0,"[-0.2702207168072344, 0.028904510501918706, -3.083343728295087]"
163,163.0,"[-0.2400645714075068, 0.009796891386239617, -3.0795164897843925]"
164,164.0,"[-0.2328655821549941, 0.013452383710365608, -3.0762574710384665]"
165,165.0,"[-0.23444019314631498, 0.0029099408841075226, -3.0732582058639597]"
166,166.0,"[-0.23488631590715509, -0.02972654231195488, -3.072813493654308]"
167,167.0,"[-0.2398757628374715, -0.052987624701246426, -3.0658738221961457]"
168,168.0,"[-0.24583142277924333, -0.09544666920664373, -3.0578815716081515]"
169,169.0,"[-0.25176653244095054, -0.09105010886465116, -3.056531810018742]"
170,170.0,"[-0.2698777238438549, -0.018923919722221946, -3.063117904398563]"
171,171.0,"[-0.2669250525255056, -0.0018373345956053625, -3.0741399832628824]"
172,172.0,"[-0.2814069836423186, 0.0004278782174470533, -3.068591425519352]"
173,173.0,"[-0.2899082211149356, 0.029705657067813522, -3.0610611276706674]"
174,174.0,"[-0.29334394079943954, 0.02080459761827764, -3.0624446426119056]"
175,175.0,"[-0.30398930528492263, 0.055526903854573165, -3.058502581963611]"
176,176.0,"[-0.3153057727549878, 0.10004385912345856, -3.055687024787463]"
177,177.0,"[-0.3163423078278196, 0.10228834885059418, -3.0547480928611135]"
178,178.0,"[-0.3232290240542041, 0.10868327013010302, -3.0488130948848644]"
179,179.0,"[-0.33720855390242793, 0.09521385944256659, -3.036310216601251]"
180,180.0,"[-0.3259961889808217, 0.1292792820818213, -3.0400302224339235]"
181,181.0,"[-0.34479040107751957, 0.13267199550190256, -3.0277225351918786]"
182,182.0,"[-0.34175718104209896, 0.1455677814057229, -3.0271235653218014]"
183,183.0,"[-0.3448276594837504, 0.15557220458925644, -3.0225239011976615]"
184,184.0,"[-0.342820615704878, 0.15081636389695927, -3.026322499145308]"
185,185.0,"[-0.33891131109278855, 0.16451551668822162, -3.028675474546269]"
186,186.0,"[-0.3436524126847486, 0.1646376653226059, -3.021856739424215]"
187,187.0,"[-0.3479341084840688, 0.16277871189421075, -3.017883269163021]"
188,188.0,"[-0.3523155734476177, 0.15400148401385366, -3.0213428464972205]"
189,189.0,"[-0.35793493416758976, 0.1361772344824053, -3.0261095385082704]"
190,190.0,"[-0.3507637935171566, 0.14911985814313572, -3.025002929849156]"
191,191.0,"[-0.35556438361881487, 0.15323948504558962, -3.0288885150939895]"
192,192.0,"[-0.3546551708923256, 0.2032150853622999, -3.0202452613747974]"
193,193.0,"[-0.3611982054338753, 0.19335710370592843, -3.0165290027079577]"
194,194.0,"[-0.35205384223490177, 0.1989092562840819, -3.0222895055584442]"
195,195.0,"[-0.35434589607198247, 0.20461062659615398, -3.0266408320509846]"
196,196.0,"[-0.3298404138346163, 0.2053843367176712, -3.0332699145027324]"
197,197.0,"[-0.33022486251711386, 0.20944239735059472, -3.0294763657855794]"
198,198.0,"[-0.3088866843175706, 0.16836196698188563, -3.02183427408826]"
199,199.0,"[-0.28152060261543577, 0.1242950776050837, -3.0234459470788293]"
200,200.0,"[-0.29861829370196413, 0.1389756623314286, -3.0126533706192773]"
201,201.0,"[-0.29015645017712194, 0.11810402658359916, -3.012396424004644]"
202,202.0,"[-0.3209146482891066, 0.1359052478261202, -3.0058180558245966]"
203,203.0,"[-0.3180954007052168, 0.10511809821319079, -3.0052752226652464]"
204,204.0,"[-0.3191933235690075, 0.08958314424861341, -3.0122355291651064]"
205,205.0,"[-0.3316949830840996, 0.09799881797884138, -3.0075844659041824]"
206,206.0,"[-0.3144794936450614, 0.1100627685112274, -3.039413189487272]"
207,207.0,"[-0.3306104624440627, 0.10266251574616744, -3.049425141286182]"
208,208.0,"[-0.33804245998123644, 0.10734211563989961, -3.0457436035016947]"
209,209.0,"[-0.34818595045715073, 0.07935752092499218, -3.0379817885187865]"
210,210.0,"[-0.35611221185380304, 0.04929609559364401, -3.013888468804455]"
211,211.0,"[-0.3551701444556543, -0.016390982049243583, -3.00298281922401]"
212,212.0,"[-0.37065345889655504, -0.04958885778244193, -2.9955886135550283]"
213,213.0,"[-0.3497486837074811, -0.0977484835344887, -2.9872775397061218]"
214,214.0,"[-0.33269180879869964, -0.09733945312200051, -2.9879753519021155]"
215,215.0,"[-0.33672817845478914, -0.09498819863163273, -2.9857770518665987]"
216,216.0,"[-0.34189318320203627, -0.0689736993313966, -2.9843780863213496]"
217,217.0,"[-0.3583369875517706, -0.04384135316003084, -2.972124739637394]"
218,218.0,"[-0.3344250451397637, -0.05952209432716708, -2.9858567463954007]"
