,Frame Number,Rotation Vector
0,0.0,"[-0.2632367478950405, 0.342330960263944, -3.257238586182559]"
1,1.0,"[-0.302055577536004, 0.37691008052839026, -3.2606288969372375]"
2,2.0,"[-0.29713940003938405, 0.384269020960022, -3.2621139438398963]"
3,3.0,"[-0.3227285727452152, 0.3919093517417152, -3.256443534687669]"
4,4.0,"[-0.3688196211307453, 0.41885165820447795, -3.261833007337976]"
5,5.0,"[-0.37626014400149926, 0.42085165136844166, -3.257519294778345]"
6,6.0,"[-0.3624660167954518, 0.41044849533355277, -3.2584566260110153]"
7,7.0,"[-0.37739352489620126, 0.4486553738112792, -3.2451896976913455]"
8,8.0,"[-0.3563495528446518, 0.4259661374897517, -3.236664601158262]"
9,9.0,"[-0.32532976785616385, 0.44824550389194234, -3.242018699817341]"
10,10.0,"[-0.3198788133748416, 0.44723022248554306, -3.2356616823240683]"
11,11.0,"[-0.2950145082825017, 0.46152385991905437, -3.239345846160953]"
12,12.0,"[-0.281654354983, 0.44345776849670326, -3.2388842484881915]"
13,13.0,"[-0.24618223846709758, 0.4595786281630813, -3.238729026288774]"
14,14.0,"[-0.23067505116772855, 0.4330510559880261, -3.238144922994697]"
15,15.0,"[-0.20049057745914436, 0.4507885147527079, -3.2286847661866322]"
16,16.0,"[-0.1948058552800952, 0.4586414043569211, -3.2198471873534906]"
17,17.0,"[-0.2120053520167026, 0.4639025287028553, -3.2121642134328146]"
18,18.0,"[-0.2855562285423917, 0.43646586178877095, -3.198452279730866]"
19,19.0,"[-0.3106570981422055, 0.45022497078605567, -3.189007978562871]"
20,20.0,"[-0.399953663593928, 0.4632847004498355, -3.176468961417891]"
21,21.0,"[-0.4666871374444022, 0.46211202940808155, -3.165856695582771]"
22,22.0,"[-0.5190296842223837, 0.4560764628447092, -3.156199483725028]"
23,23.0,"[-0.6205065203994915, 0.4449830430728456, -3.113815706854393]"
24,24.0,"[-0.601752697037431, 0.41641359579524284, -3.1315024350839855]"
25,25.0,"[-0.6490508845098023, 0.436821803904127, -3.1188029775207373]"
26,26.0,"[-0.6623878786382182, 0.44320083705160945, -3.1268481792700085]"
27,27.0,"[-0.6499761039960456, 0.4637836563811889, -3.1535838273975467]"
28,28.0,"[-0.6986993988901021, 0.4830451123207871, -3.142569021585163]"
29,29.0,"[-0.7237253188172325, 0.4596420132931208, -3.161318000971013]"
30,30.0,"[-0.7176959441662005, 0.474503379101174, -3.171786074850115]"
31,31.0,"[-0.7198173550857784, 0.4743355706045252, -3.183978845826159]"
32,32.0,"[-0.7384720569281844, 0.5133127284419698, -3.1421897300539334]"
33,33.0,"[-0.7566321385759702, 0.4725015027645766, -3.1494549660212874]"
34,34.0,"[-0.7189514187687444, 0.49799553717434103, -3.164163198326912]"
35,35.0,"[-0.6835460030580217, 0.5062916607364534, -3.171266135656015]"
36,36.0,"[-0.7017374178780611, 0.5170116274852496, -3.159943766215108]"
37,37.0,"[-0.7029673213802433, 0.5333254248871905, -3.1492563037868346]"
38,38.0,"[-0.6789762671658849, 0.5366406863748352, -3.167852499135153]"
39,39.0,"[-0.6750114854523194, 0.5605834363140129, -3.1692320561449527]"
40,40.0,"[-0.6514269791484381, 0.5514350338166342, -3.1735960693863645]"
41,41.0,"[-0.6514299770358362, 0.5621697529645016, -3.1750243665688034]"
42,42.0,"[-0.6313075118322193, 0.5619507839149156, -3.1935831813820594]"
43,43.0,"[-0.6444952455844389, 0.5544485863576445, -3.181259248167249]"
44,44.0,"[-0.6432117735395773, 0.5577334085761193, -3.1824474349492116]"
45,45.0,"[-0.6903174508295813, 0.5457602472107038, -3.1468996261981994]"
